Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,42,11.3,7.6-15.1
H.S. or G.E.D.,151,13.7,11.3-16.1
Some post-H.S.,148,12.4,10.2-14.6
College graduate,197,14.8,12.5-17.0
Alaska,,,
Less than H.S.,18,15.0,6.9-23.1
H.S. or G.E.D.,162,18.7,14.5-22.8
Some post-H.S.,170,19.3,15.6-23.0
College graduate,179,16.1,12.9-19.3
Arizona,,,
Less than H.S.,76,14.8,10.9-18.6
H.S. or G.E.D.,314,15.6,13.5-17.7
Some post-H.S.,356,14.6,12.8-16.4
College graduate,352,12.6,11.1-14.1
Arkansas,,,
Less than H.S.,33,10.6,6.0-15.1
H.S. or G.E.D.,159,16.6,13.8-19.4
Some post-H.S.,109,13.9,11.1-16.8
College graduate,138,14.0,11.3-16.7
California,,,
Less than H.S.,68,15.3,11.4-19.2
H.S. or G.E.D.,139,20.6,16.6-24.5
Some post-H.S.,165,13.9,11.5-16.3
College graduate,359,15.7,13.8-17.7
Colorado,,,
Less than H.S.,67,13.8,10.4-17.1
H.S. or G.E.D.,306,18.5,16.4-20.6
Some post-H.S.,394,18.5,16.6-20.4
College graduate,669,18.2,16.9-19.6
Connecticut,,,
Less than H.S.,57,12.5,8.0-17.0
H.S. or G.E.D.,247,13.0,10.8-15.2
Some post-H.S.,260,15.4,12.7-18.2
College graduate,478,14.9,13.2-16.6
Delaware,,,
Less than H.S.,32,10.6,5.9-15.2
H.S. or G.E.D.,136,14.4,11.6-17.2
Some post-H.S.,129,17.2,13.7-20.8
College graduate,135,12.8,9.9-15.6
District of Columbia,,,
Less than H.S.,17,19.2,9.8-28.5
H.S. or G.E.D.,58,17.1,12.0-22.1
Some post-H.S.,68,17.1,12.4-21.7
College graduate,379,26.7,24.1-29.3
Florida,,,
Less than H.S.,105,13.2,8.6-17.9
H.S. or G.E.D.,323,14.5,11.5-17.5
Some post-H.S.,343,13.1,10.6-15.6
College graduate,377,13.0,10.6-15.3
Georgia,,,
Less than H.S.,74,10.5,7.2-13.8
H.S. or G.E.D.,244,13.2,10.6-15.7
Some post-H.S.,252,14.5,11.9-17.2
College graduate,339,15.5,13.4-17.7
Hawaii,,,
Less than H.S.,29,17.0,10.5-23.6
H.S. or G.E.D.,336,20.3,17.9-22.7
Some post-H.S.,302,13.9,12.0-15.9
College graduate,414,13.0,11.4-14.5
Idaho,,,
Less than H.S.,34,11.6,6.7-16.5
H.S. or G.E.D.,204,17.2,14.4-20.1
Some post-H.S.,228,12.7,10.5-14.9
College graduate,215,14.9,12.4-17.4
Illinois,,,
Less than H.S.,10,*,
H.S. or G.E.D.,79,10.7,8.2-13.2
Some post-H.S.,104,14.5,11.5-17.4
College graduate,203,14.9,12.7-17.0
Indiana,,,
Less than H.S.,83,19.6,15.4-23.9
H.S. or G.E.D.,281,13.1,11.4-14.7
Some post-H.S.,273,16.9,14.8-18.9
College graduate,321,16.0,14.3-17.8
Iowa,,,
Less than H.S.,51,13.0,9.3-16.6
H.S. or G.E.D.,502,21.6,19.7-23.5
Some post-H.S.,595,24.3,22.4-26.2
College graduate,523,20.2,18.5-21.9
Kansas,,,
Less than H.S.,52,15.6,11.2-20.0
H.S. or G.E.D.,346,16.5,14.6-18.4
Some post-H.S.,457,19.0,17.2-20.8
College graduate,519,15.9,14.5-17.3
Kentucky,,,
Less than H.S.,23,9.7,5.3-14.1
H.S. or G.E.D.,131,13.8,11.1-16.5
Some post-H.S.,138,15.3,12.6-18.0
College graduate,160,16.9,14.2-19.7
Louisiana,,,
Less than H.S.,50,17.4,12.0-22.7
H.S. or G.E.D.,195,18.4,15.5-21.3
Some post-H.S.,183,18.5,15.4-21.6
College graduate,261,19.9,17.5-22.4
Maine,,,
Less than H.S.,43,16.2,9.9-22.5
H.S. or G.E.D.,292,15.2,12.8-17.6
Some post-H.S.,318,14.7,12.5-16.8
College graduate,403,12.8,11.1-14.4
Maryland,,,
Less than H.S.,62,11.1,7.6-14.6
H.S. or G.E.D.,354,12.9,11.1-14.7
Some post-H.S.,324,13.0,11.2-14.9
College graduate,623,12.0,10.8-13.1
Massachusetts,,,
Less than H.S.,32,14.5,9.2-19.8
H.S. or G.E.D.,172,15.1,12.5-17.6
Some post-H.S.,225,16.6,14.2-19.1
College graduate,488,15.8,14.2-17.5
Michigan,,,
Less than H.S.,36,17.9,12.0-23.7
H.S. or G.E.D.,244,16.4,14.3-18.6
Some post-H.S.,316,18.8,16.6-21.0
College graduate,413,16.8,15.1-18.6
Minnesota,,,
Less than H.S.,86,15.2,11.4-19.0
H.S. or G.E.D.,585,18.0,16.5-19.5
Some post-H.S.,786,19.3,17.8-20.7
College graduate,"1,029",18.5,17.3-19.6
Mississippi,,,
Less than H.S.,57,13.2,9.5-16.9
H.S. or G.E.D.,155,12.5,10.3-14.7
Some post-H.S.,163,14.4,12.0-16.7
College graduate,167,13.2,11.0-15.4
Missouri,,,
Less than H.S.,55,14.1,9.6-18.6
H.S. or G.E.D.,317,14.2,12.4-16.0
Some post-H.S.,369,19.0,16.9-21.2
College graduate,437,18.2,16.4-20.0
Montana,,,
Less than H.S.,45,21.1,14.7-27.4
H.S. or G.E.D.,321,21.4,19.0-23.8
Some post-H.S.,313,19.8,17.5-22.0
College graduate,363,17.6,15.8-19.4
Nebraska,,,
Less than H.S.,93,12.4,9.1-15.7
H.S. or G.E.D.,667,19.9,17.9-21.9
Some post-H.S.,801,22.8,20.8-24.8
College graduate,782,20.5,18.8-22.3
Nevada,,,
Less than H.S.,30,21.8,13.6-30.0
H.S. or G.E.D.,100,17.7,13.8-21.5
Some post-H.S.,125,16.1,12.8-19.4
College graduate,119,15.7,12.4-19.1
New Hampshire,,,
Less than H.S.,24,13.8,6.7-20.8
H.S. or G.E.D.,197,15.8,13.3-18.3
Some post-H.S.,191,17.0,14.0-19.9
College graduate,291,15.9,13.8-18.0
New Jersey,,,
Less than H.S.,77,12.9,9.8-16.0
H.S. or G.E.D.,316,14.4,12.6-16.2
Some post-H.S.,342,16.5,14.5-18.5
College graduate,688,15.8,14.5-17.1
New Mexico,,,
Less than H.S.,59,17.9,12.3-23.6
H.S. or G.E.D.,182,12.8,10.2-15.5
Some post-H.S.,188,15.3,12.2-18.4
College graduate,198,12.2,9.9-14.4
New York,,,
Less than H.S.,92,11.1,8.3-13.9
H.S. or G.E.D.,393,14.1,12.4-15.8
Some post-H.S.,456,16.2,14.4-18.0
College graduate,826,15.5,14.3-16.7
North Carolina,,,
Less than H.S.,48,10.3,7.0-13.6
H.S. or G.E.D.,171,13.6,11.4-15.8
Some post-H.S.,195,15.2,13.0-17.4
College graduate,260,15.0,13.0-16.9
North Dakota,,,
Less than H.S.,22,11.8,5.4-18.1
H.S. or G.E.D.,161,21.6,18.0-25.2
Some post-H.S.,237,23.9,20.8-27.1
College graduate,216,18.1,15.4-20.8
Ohio,,,
Less than H.S.,89,14.7,10.8-18.7
H.S. or G.E.D.,558,15.2,13.6-16.7
Some post-H.S.,521,16.8,15.1-18.6
College graduate,654,17.6,16.0-19.2
Oklahoma,,,
Less than H.S.,26,9.0,5.4-12.6
H.S. or G.E.D.,97,9.6,7.5-11.7
Some post-H.S.,142,12.7,10.5-15.0
College graduate,152,14.1,11.7-16.5
Oregon,,,
Less than H.S.,47,19.6,13.9-25.3
H.S. or G.E.D.,173,15.7,13.2-18.1
Some post-H.S.,237,15.7,13.7-17.7
College graduate,292,16.1,14.3-18.0
Pennsylvania,,,
Less than H.S.,28,10.8,6.3-15.4
H.S. or G.E.D.,199,15.5,13.0-18.0
Some post-H.S.,220,20.1,17.0-23.2
College graduate,381,17.4,15.4-19.4
Rhode Island,,,
Less than H.S.,35,12.5,7.5-17.6
H.S. or G.E.D.,145,14.1,11.1-17.1
Some post-H.S.,159,16.9,13.3-20.5
College graduate,291,15.4,13.0-17.8
South Carolina,,,
Less than H.S.,36,14.0,9.1-18.9
H.S. or G.E.D.,137,15.3,12.5-18.1
Some post-H.S.,141,16.9,14.0-19.9
College graduate,186,15.4,13.0-17.8
South Dakota,,,
Less than H.S.,45,22.7,10.5-35.0
H.S. or G.E.D.,242,14.4,10.8-17.9
Some post-H.S.,344,18.1,14.6-21.6
College graduate,317,20.2,16.3-24.0
Tennessee,,,
Less than H.S.,33,11.1,5.8-16.3
H.S. or G.E.D.,123,12.3,9.6-14.9
Some post-H.S.,130,15.2,12.1-18.4
College graduate,193,16.7,14.0-19.4
Texas,,,
Less than H.S.,163,16.2,11.5-20.9
H.S. or G.E.D.,398,17.4,14.3-20.5
Some post-H.S.,435,16.3,13.7-18.8
College graduate,506,15.8,13.6-18.0
Utah,,,
Less than H.S.,46,13.3,9.1-17.4
H.S. or G.E.D.,338,15.7,13.9-17.5
Some post-H.S.,296,11.0,9.7-12.4
College graduate,255,7.6,6.6-8.7
Vermont,,,
Less than H.S.,23,10.2,5.4-15.1
H.S. or G.E.D.,226,17.3,14.1-20.4
Some post-H.S.,202,20.3,16.5-24.1
College graduate,344,17.4,15.1-19.8
Virginia,,,
Less than H.S.,51,9.5,6.4-12.5
H.S. or G.E.D.,251,15.0,12.9-17.2
Some post-H.S.,254,15.0,12.8-17.2
College graduate,487,16.1,14.4-17.8
Washington,,,
Less than H.S.,74,13.0,9.6-16.3
H.S. or G.E.D.,347,16.6,14.7-18.4
Some post-H.S.,494,16.6,15.0-18.3
College graduate,624,14.0,12.8-15.3
West Virginia,,,
Less than H.S.,32,8.0,4.9-11.1
H.S. or G.E.D.,172,11.9,10.0-13.9
Some post-H.S.,132,12.3,10.1-14.5
College graduate,136,10.6,8.6-12.5
Wisconsin,,,
Less than H.S.,38,22.6,14.6-30.5
H.S. or G.E.D.,274,23.6,20.3-26.8
Some post-H.S.,297,23.6,20.5-26.8
College graduate,340,20.9,18.5-23.4
Wyoming,,,
Less than H.S.,25,19.7,11.4-28.1
H.S. or G.E.D.,150,18.2,14.8-21.5
Some post-H.S.,128,14.5,11.6-17.4
College graduate,166,16.2,13.3-19.1
Guam,,,
Less than H.S.,15,13.2,5.6-20.8
H.S. or G.E.D.,99,16.4,12.3-20.5
Some post-H.S.,68,16.9,10.8-23.0
College graduate,116,18.0,14.6-21.3
Puerto Rico,,,
Less than H.S.,53,10.9,6.7-15.2
H.S. or G.E.D.,144,14.2,11.6-16.8
Some post-H.S.,143,13.6,11.1-16.2
College graduate,202,12.2,10.2-14.3
Virgin Islands,,,
Less than H.S.,17,*,
H.S. or G.E.D.,44,3.8,1.9-5.6
Some post-H.S.,35,*,
College graduate,54,*,
