Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,50,10.6,7.3-13.9
H.S. or G.E.D.,188,11.6,9.7-13.4
Some post-H.S.,178,12.7,10.7-14.8
College graduate,257,14.5,12.5-16.5
Alaska,,,
Less than H.S.,14,*,
H.S. or G.E.D.,129,18.1,14.0-22.2
Some post-H.S.,104,14.9,10.8-19.0
College graduate,138,14.9,11.5-18.4
Arizona,,,
Less than H.S.,59,11.9,7.3-16.5
H.S. or G.E.D.,251,15.9,13.0-18.8
Some post-H.S.,314,16.9,14.3-19.4
College graduate,312,13.4,11.4-15.5
Arkansas,,,
Less than H.S.,27,11.2,6.2-16.2
H.S. or G.E.D.,131,13.6,10.9-16.3
Some post-H.S.,125,15.6,12.6-18.6
College graduate,127,12.8,10.2-15.5
California,,,
Less than H.S.,226,15.3,13.1-17.5
H.S. or G.E.D.,316,17.0,14.9-19.0
Some post-H.S.,444,19.0,17.1-20.9
College graduate,703,15.4,14.1-16.8
Colorado,,,
Less than H.S.,65,16.3,12.1-20.4
H.S. or G.E.D.,262,19.2,16.8-21.5
Some post-H.S.,324,18.4,16.4-20.4
College graduate,538,18.1,16.6-19.7
Connecticut,,,
Less than H.S.,38,10.6,6.9-14.3
H.S. or G.E.D.,222,16.1,13.6-18.7
Some post-H.S.,241,16.8,14.3-19.3
College graduate,489,15.9,14.3-17.5
Delaware,,,
Less than H.S.,39,10.9,6.6-15.2
H.S. or G.E.D.,127,17.8,14.1-21.5
Some post-H.S.,133,20.1,15.9-24.2
College graduate,187,16.2,13.2-19.2
District of Columbia,,,
Less than H.S.,13,*,
H.S. or G.E.D.,70,24.2,18.4-30.0
Some post-H.S.,51,19.4,13.7-25.1
College graduate,259,28.5,25.3-31.7
Florida,,,
Less than H.S.,185,11.4,8.6-14.3
H.S. or G.E.D.,569,15.6,13.2-18.1
Some post-H.S.,608,16.8,14.6-19.1
College graduate,614,16.8,14.4-19.2
Georgia,,,
Less than H.S.,94,19.1,14.2-23.9
H.S. or G.E.D.,206,14.3,11.7-17.0
Some post-H.S.,210,13.8,11.1-16.5
College graduate,297,17.8,15.2-20.5
Hawaii,,,
Less than H.S.,38,14.9,9.3-20.5
H.S. or G.E.D.,355,20.9,18.5-23.2
Some post-H.S.,307,16.5,14.3-18.7
College graduate,444,15.5,13.9-17.2
Idaho,,,
Less than H.S.,57,22.1,15.3-28.9
H.S. or G.E.D.,192,18.8,15.2-22.5
Some post-H.S.,198,14.1,11.4-16.9
College graduate,207,15.4,12.5-18.3
Illinois,,,
Less than H.S.,39,12.2,8.0-16.3
H.S. or G.E.D.,189,18.0,15.3-20.7
Some post-H.S.,263,22.4,19.8-25.1
College graduate,455,21.8,19.9-23.7
Indiana,,,
Less than H.S.,59,13.6,9.9-17.4
H.S. or G.E.D.,253,13.2,11.5-15.0
Some post-H.S.,288,17.5,15.4-19.6
College graduate,373,17.1,15.3-18.8
Iowa,,,
Less than H.S.,65,13.8,10.3-17.3
H.S. or G.E.D.,445,20.1,18.2-21.9
Some post-H.S.,589,25.1,23.2-27.0
College graduate,537,21.3,19.6-23.1
Kansas,,,
Less than H.S.,52,15.4,10.9-19.9
H.S. or G.E.D.,354,16.7,14.8-18.5
Some post-H.S.,499,19.1,17.3-20.8
College graduate,539,16.8,15.4-18.2
Kentucky,,,
Less than H.S.,32,7.3,4.3-10.3
H.S. or G.E.D.,254,15.0,12.6-17.4
Some post-H.S.,255,18.0,15.2-20.8
College graduate,295,17.7,14.9-20.4
Louisiana,,,
Less than H.S.,69,17.9,13.2-22.5
H.S. or G.E.D.,192,17.0,14.2-19.8
Some post-H.S.,179,18.7,15.9-21.5
College graduate,264,22.7,19.9-25.5
Maine,,,
Less than H.S.,41,14.2,8.5-19.9
H.S. or G.E.D.,342,15.8,13.4-18.1
Some post-H.S.,372,18.4,15.9-20.9
College graduate,475,17.6,15.6-19.6
Maryland,,,
Less than H.S.,83,12.2,8.8-15.6
H.S. or G.E.D.,412,14.0,12.3-15.7
Some post-H.S.,396,14.4,12.6-16.2
College graduate,786,13.7,12.5-14.8
Massachusetts,,,
Less than H.S.,45,15.5,10.5-20.4
H.S. or G.E.D.,236,18.5,15.9-21.1
Some post-H.S.,289,20.7,18.2-23.2
College graduate,600,19.5,17.9-21.1
Michigan,,,
Less than H.S.,48,14.4,10.2-18.7
H.S. or G.E.D.,365,17.1,15.2-19.0
Some post-H.S.,492,19.4,17.6-21.3
College graduate,602,18.3,16.7-19.9
Minnesota,,,
Less than H.S.,90,16.3,12.7-19.9
H.S. or G.E.D.,561,19.1,17.4-20.8
Some post-H.S.,929,22.4,21.0-23.8
College graduate,"1,143",21.4,20.2-22.6
Mississippi,,,
Less than H.S.,44,13.1,8.5-17.6
H.S. or G.E.D.,122,12.4,9.8-14.9
Some post-H.S.,144,15.1,12.3-17.8
College graduate,141,12.2,10.1-14.4
Missouri,,,
Less than H.S.,54,15.8,11.1-20.5
H.S. or G.E.D.,239,15.5,13.3-17.8
Some post-H.S.,250,17.3,14.8-19.7
College graduate,312,18.2,15.9-20.4
Montana,,,
Less than H.S.,44,17.6,12.0-23.2
H.S. or G.E.D.,314,21.2,18.8-23.5
Some post-H.S.,356,22.0,19.6-24.3
College graduate,370,19.5,17.5-21.5
Nebraska,,,
Less than H.S.,90,11.9,8.9-14.9
H.S. or G.E.D.,646,18.7,16.9-20.4
Some post-H.S.,828,23.4,21.6-25.2
College graduate,798,22.8,21.0-24.5
Nevada,,,
Less than H.S.,40,16.8,10.9-22.6
H.S. or G.E.D.,105,18.0,14.1-21.9
Some post-H.S.,137,16.5,13.4-19.7
College graduate,119,15.1,11.6-18.7
New Hampshire,,,
Less than H.S.,33,19.2,11.6-26.8
