Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,82,27.0,20.3-33.6
H.S. or G.E.D.,350,36.2,32.3-40.2
Some post-H.S.,515,48.1,44.5-51.8
College graduate,744,56.1,52.9-59.4
Alaska,,,
Less than H.S.,89,34.5,26.6-42.5
H.S. or G.E.D.,626,48.3,44.8-51.9
Some post-H.S.,824,55.0,51.7-58.3
College graduate,"1,348",62.7,59.8-65.5
Arizona,,,
Less than H.S.,196,38.1,31.8-44.5
H.S. or G.E.D.,847,47.2,43.6-50.9
Some post-H.S.,"1,385",54.7,51.8-57.6
College graduate,"2,112",62.0,59.4-64.5
Arkansas,,,
Less than H.S.,76,30.0,23.4-36.6
H.S. or G.E.D.,501,39.9,36.6-43.2
Some post-H.S.,488,46.2,42.6-49.8
College graduate,808,57.5,54.4-60.6
California,,,
Less than H.S.,251,37.1,32.4-41.8
H.S. or G.E.D.,877,49.1,46.0-52.3
Some post-H.S.,"1,259",53.3,50.6-56.0
College graduate,"2,945",61.1,58.9-63.3
Colorado,,,
Less than H.S.,194,41.7,36.0-47.4
H.S. or G.E.D.,789,49.7,46.5-53.0
Some post-H.S.,"1,255",60.6,58.0-63.2
College graduate,"3,067",72.7,71.1-74.4
Connecticut,,,
Less than H.S.,162,36.5,30.2-42.8
H.S. or G.E.D.,813,49.1,45.5-52.6
Some post-H.S.,"1,073",57.8,54.5-61.0
College graduate,"3,018",70.7,68.8-72.7
Delaware,,,
Less than H.S.,55,27.2,19.2-35.1
H.S. or G.E.D.,394,45.3,40.9-49.6
Some post-H.S.,493,57.4,53.2-61.6
College graduate,910,66.8,63.5-70.1
District of Columbia,,,
Less than H.S.,31,32.4,20.1-44.6
H.S. or G.E.D.,167,44.4,37.8-51.1
Some post-H.S.,186,54.0,47.2-60.8
College graduate,"1,542",80.8,78.6-83.1
Florida,,,
Less than H.S.,211,34.4,27.2-41.5
H.S. or G.E.D.,"1,290",49.7,45.9-53.4
Some post-H.S.,"1,679",55.2,51.8-58.7
College graduate,"2,781",67.2,64.5-69.8
Georgia,,,
Less than H.S.,151,27.9,22.7-33.2
H.S. or G.E.D.,689,43.1,39.7-46.4
Some post-H.S.,951,51.2,48.1-54.3
College graduate,"1,871",62.4,60.0-64.9
Hawaii,,,
Less than H.S.,73,35.6,27.1-44.1
H.S. or G.E.D.,739,46.3,43.2-49.4
Some post-H.S.,"1,017",48.8,45.9-51.8
College graduate,"1,866",58.3,55.9-60.7
Idaho,,,
Less than H.S.,134,46.8,40.0-53.6
H.S. or G.E.D.,664,45.3,42.3-48.3
Some post-H.S.,865,47.6,45.0-50.2
College graduate,"1,082",52.5,50.1-54.9
Illinois,,,
Less than H.S.,101,37.8,30.4-45.2
H.S. or G.E.D.,379,47.1,42.7-51.4
Some post-H.S.,528,58.0,54.1-61.9
College graduate,"1,122",67.4,64.5-70.3
Indiana,,,
Less than H.S.,142,28.1,23.5-32.7
H.S. or G.E.D.,994,41.2,38.9-43.6
Some post-H.S.,"1,207",53.2,50.8-55.6
College graduate,"2,054",64.4,62.5-66.3
Iowa,,,
Less than H.S.,211,33.1,28.0-38.3
H.S. or G.E.D.,"1,216",49.0,46.5-51.5
Some post-H.S.,"1,373",57.1,54.6-59.7
College graduate,"1,784",68.3,66.2-70.4
Kansas,,,
Less than H.S.,130,38.2,32.0-44.3
H.S. or G.E.D.,"1,055",44.7,42.0-47.4
Some post-H.S.,"1,588",54.2,51.8-56.5
College graduate,"2,538",66.6,64.8-68.4
Kentucky,,,
Less than H.S.,53,25.2,18.0-32.4
H.S. or G.E.D.,271,24.6,21.2-28.0
Some post-H.S.,367,37.2,33.2-41.3
College graduate,502,52.0,48.2-55.8
Louisiana,,,
Less than H.S.,100,30.3,24.5-36.1
H.S. or G.E.D.,603,46.5,43.1-50.0
Some post-H.S.,684,54.3,51.0-57.5
College graduate,"1,125",65.4,62.8-68.0
Maine,,,
Less than H.S.,109,33.1,25.9-40.2
H.S. or G.E.D.,"1,021",42.9,40.2-45.6
Some post-H.S.,"1,387",54.5,52.0-57.0
College graduate,"2,878",68.3,66.5-70.2
Maryland,,,
Less than H.S.,224,28.4,23.9-32.8
H.S. or G.E.D.,"1,357",44.3,41.4-47.2
Some post-H.S.,"1,597",53.1,50.3-55.9
College graduate,"4,325",62.9,61.1-64.7
Massachusetts,,,
Less than H.S.,226,42.9,37.4-48.5
H.S. or G.E.D.,879,48.2,45.2-51.3
Some post-H.S.,"1,236",57.6,54.9-60.3
College graduate,"3,793",69.4,67.7-71.1
Michigan,,,
Less than H.S.,109,37.7,31.1-44.3
H.S. or G.E.D.,961,48.5,45.9-51.2
Some post-H.S.,"1,259",54.7,52.3-57.1
College graduate,"2,563",67.7,66.0-69.5
Minnesota,,,
Less than H.S.,162,36.3,30.8-41.8
H.S. or G.E.D.,"1,442",48.5,46.1-50.9
Some post-H.S.,"2,579",61.3,59.4-63.1
College graduate,"5,048",69.9,68.6-71.3
Mississippi,,,
Less than H.S.,106,30.2,24.0-36.4
H.S. or G.E.D.,348,37.9,34.2-41.7
Some post-H.S.,551,46.9,43.5-50.3
College graduate,633,49.3,45.8-52.7
Missouri,,,
Less than H.S.,108,33.0,26.8-39.2
H.S. or G.E.D.,801,45.7,42.7-48.6
Some post-H.S.,994,53.8,50.9-56.7
College graduate,"1,559",64.8,62.4-67.2
Montana,,,
Less than H.S.,113,43.3,36.0-50.5
H.S. or G.E.D.,903,56.8,53.9-59.7
Some post-H.S.,"1,080",58.4,55.7-61.0
College graduate,"1,735",68.9,66.8-71.0
Nebraska,,,
Less than H.S.,142,37.2,31.0-43.5
H.S. or G.E.D.,912,49.2,46.1-52.3
Some post-H.S.,"1,134",59.4,56.5-62.2
College graduate,"1,445",67.6,65.1-70.2
Nevada,,,
Less than H.S.,75,40.1,31.5-48.7
H.S. or G.E.D.,378,52.8,47.7-58.0
Some post-H.S.,474,61.7,57.2-66.3
College graduate,634,57.4,52.9-61.9
New Hampshire,,,
Less than H.S.,62,36.5,27.0-45.9
H.S. or G.E.D.,609,52.0,48.0-55.9
