Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,18,6.0,2.9-9.1
H.S. or G.E.D.,46,5.4,3.5-7.2
Some post-H.S.,66,5.9,4.1-7.6
College graduate,80,6.6,4.9-8.3
Alaska,,,
Less than H.S.,20,6.1,3.0-9.3
H.S. or G.E.D.,124,8.3,6.6-10.0
Some post-H.S.,122,8.3,6.6-10.1
College graduate,187,9.0,7.4-10.7
Arizona,,,
Less than H.S.,36,7.8,4.5-11.1
H.S. or G.E.D.,130,6.9,5.0-8.9
Some post-H.S.,191,7.2,5.7-8.8
College graduate,235,6.7,5.3-8.1
Arkansas,,,
Less than H.S.,20,8.1,4.2-12.1
H.S. or G.E.D.,88,7.5,5.5-9.4
Some post-H.S.,76,8.0,5.8-10.2
College graduate,110,8.2,6.4-10.0
California,,,
Less than H.S.,39,6.3,3.8-8.9
H.S. or G.E.D.,133,7.7,6.0-9.5
Some post-H.S.,148,6.1,4.7-7.4
College graduate,303,5.7,4.9-6.5
Colorado,,,
Less than H.S.,34,9.6,5.7-13.4
H.S. or G.E.D.,136,8.3,6.7-9.9
Some post-H.S.,177,7.9,6.6-9.2
College graduate,315,7.9,6.9-8.8
Connecticut,,,
Less than H.S.,15,*,
H.S. or G.E.D.,112,6.3,4.8-7.8
Some post-H.S.,122,6.1,4.6-7.6
College graduate,284,6.4,5.4-7.4
Delaware,,,
Less than H.S.,4,*,
H.S. or G.E.D.,55,5.2,3.5-6.8
Some post-H.S.,48,6.0,3.7-8.3
College graduate,93,6.1,4.3-7.9
District of Columbia,,,
Less than H.S.,7,*,
H.S. or G.E.D.,24,7.0,3.5-10.4
Some post-H.S.,22,8.2,4.0-12.3
College graduate,187,10.9,9.1-12.7
Florida,,,
Less than H.S.,39,*,
H.S. or G.E.D.,220,9.5,7.1-11.9
Some post-H.S.,251,6.6,5.1-8.1
College graduate,325,8.0,6.5-9.6
Georgia,,,
Less than H.S.,34,6.3,3.5-9.1
H.S. or G.E.D.,105,6.6,4.8-8.4
Some post-H.S.,120,6.0,4.6-7.4
College graduate,186,6.2,5.0-7.4
Hawaii,,,
Less than H.S.,17,7.7,3.7-11.7
H.S. or G.E.D.,158,10.7,8.5-12.8
Some post-H.S.,167,7.5,6.1-8.9
College graduate,247,6.7,5.6-7.8
Idaho,,,
Less than H.S.,22,8.5,4.3-12.7
H.S. or G.E.D.,105,7.2,5.7-8.8
Some post-H.S.,130,7.1,5.8-8.5
College graduate,136,6.8,5.5-8.0
Illinois,,,
Less than H.S.,10,*,
H.S. or G.E.D.,44,4.7,3.1-6.4
Some post-H.S.,53,5.4,3.7-7.2
College graduate,91,5.4,4.2-6.7
Indiana,,,
Less than H.S.,29,5.7,3.5-8.0
H.S. or G.E.D.,119,4.7,3.7-5.6
Some post-H.S.,148,6.4,5.2-7.5
College graduate,184,5.9,4.9-6.9
Iowa,,,
Less than H.S.,28,5.1,2.6-7.6
H.S. or G.E.D.,202,9.4,7.9-11.0
Some post-H.S.,199,8.7,7.2-10.1
College graduate,169,6.9,5.7-8.1
Kansas,,,
Less than H.S.,21,5.0,2.6-7.3
H.S. or G.E.D.,140,6.0,4.8-7.2
Some post-H.S.,189,6.7,5.5-7.9
College graduate,227,6.1,5.2-7.1
Kentucky,,,
Less than H.S.,14,*,
H.S. or G.E.D.,43,3.5,2.1-4.9
Some post-H.S.,49,5.2,3.2-7.1
College graduate,45,3.9,2.4-5.4
Louisiana,,,
Less than H.S.,18,4.9,2.4-7.4
H.S. or G.E.D.,86,6.8,5.2-8.5
Some post-H.S.,104,8.3,6.4-10.2
College graduate,133,8.3,6.6-10.0
Maine,,,
Less than H.S.,30,6.4,3.5-9.4
H.S. or G.E.D.,187,7.8,6.5-9.2
Some post-H.S.,207,8.2,6.8-9.5
College graduate,356,8.0,6.9-9.1
Maryland,,,
Less than H.S.,27,3.3,1.4-5.1
H.S. or G.E.D.,172,5.0,3.7-6.3
Some post-H.S.,187,6.3,5.0-7.6
College graduate,423,5.0,4.3-5.6
Massachusetts,,,
Less than H.S.,41,8.8,5.4-12.2
H.S. or G.E.D.,115,5.8,4.4-7.2
Some post-H.S.,155,7.0,5.7-8.3
College graduate,362,6.5,5.7-7.3
Michigan,,,
Less than H.S.,25,8.3,4.6-12.1
H.S. or G.E.D.,140,7.5,6.1-8.9
Some post-H.S.,159,7.1,5.8-8.4
College graduate,243,6.7,5.7-7.6
Minnesota,,,
Less than H.S.,37,10.8,6.9-14.7
H.S. or G.E.D.,220,7.7,6.4-8.9
Some post-H.S.,352,8.8,7.7-9.9
College graduate,516,6.8,6.2-7.5
Mississippi,,,
Less than H.S.,23,7.3,3.5-11.1
H.S. or G.E.D.,66,7.3,5.2-9.4
Some post-H.S.,67,5.1,3.7-6.4
College graduate,61,4.6,3.2-6.0
Missouri,,,
Less than H.S.,24,7.8,4.1-11.6
H.S. or G.E.D.,139,8.4,6.7-10.1
Some post-H.S.,147,8.4,6.8-10.1
College graduate,177,7.1,5.9-8.4
Montana,,,
Less than H.S.,24,11.7,6.2-17.2
H.S. or G.E.D.,149,10.1,8.2-12.0
Some post-H.S.,154,9.6,7.9-11.3
College graduate,249,10.7,9.3-12.2
Nebraska,,,
Less than H.S.,23,6.7,3.0-10.4
H.S. or G.E.D.,128,7.2,5.6-8.8
Some post-H.S.,135,8.5,6.6-10.3
College graduate,128,6.1,4.7-7.4
Nevada,,,
Less than H.S.,10,*,
H.S. or G.E.D.,46,5.7,3.6-7.8
Some post-H.S.,76,9.4,6.6-12.1
College graduate,82,7.2,5.0-9.4
New Hampshire,,,
Less than H.S.,13,9.8,4.3-15.2
H.S. or G.E.D.,86,7.8,5.8-9.8
Some post-H.S.,110,8.2,6.1-10.4
College graduate,219,7.1,5.9-8.3
New Jersey,,,
Less than H.S.,15,*,
H.S. or G.E.D.,59,4.0,2.7-5.3
Some post-H.S.,70,3.9,2.7-5.1
College graduate,217,6.1,5.1-7.1
New Mexico,,,
Less than H.S.,11,*,
H.S. or G.E.D.,49,6.0,3.8-8.2
Some post-H.S.,67,6.6,4.6-8.5
College graduate,121,7.2,5.5-8.8
New York,,,
Less than H.S.,47,4.4,2.8-5.9
H.S. or G.E.D.,215,6.5,5.3-7.7
Some post-H.S.,226,6.4,5.3-7.5
College graduate,493,6.4,5.6-7.1
North Carolina,,,
Less than H.S.,14,*,
H.S. or G.E.D.,50,5.0,3.3-6.7
Some post-H.S.,80,7.1,5.3-8.9
College graduate,118,6.9,5.4-8.4
North Dakota,,,
Less than H.S.,12,*,
H.S. or G.E.D.,67,7.7,5.7-9.8
Some post-H.S.,90,9.5,7.5-11.6
College graduate,98,6.4,5.0-7.8
Ohio,,,
Less than H.S.,47,8.1,5.1-11.0
H.S. or G.E.D.,255,6.7,5.5-7.8
Some post-H.S.,256,6.5,5.5-7.6
College graduate,288,6.2,5.3-7.1
Oklahoma,,,
Less than H.S.,15,4.7,2.1-7.4
H.S. or G.E.D.,58,4.9,3.5-6.2
