Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,74,25.4,19.2-31.6
H.S. or G.E.D.,310,32.2,28.6-35.7
Some post-H.S.,487,43.5,40.0-47.0
College graduate,795,55.1,52.1-58.1
Alaska,,,
Less than H.S.,88,45.4,36.1-54.7
H.S. or G.E.D.,584,46.2,42.1-50.3
Some post-H.S.,843,55.0,51.3-58.7
College graduate,"1,303",66.3,63.3-69.2
Arizona,,,
Less than H.S.,205,38.5,33.4-43.7
H.S. or G.E.D.,935,45.0,42.2-47.8
Some post-H.S.,"1,619",53.7,51.4-56.1
College graduate,"2,349",60.9,58.8-63.0
Arkansas,,,
Less than H.S.,74,29.5,22.4-36.6
H.S. or G.E.D.,413,35.0,31.4-38.6
Some post-H.S.,554,49.2,45.4-52.9
College graduate,746,54.2,50.7-57.7
California,,,
Less than H.S.,293,36.0,32.2-40.0
H.S. or G.E.D.,528,50.7,46.9-54.5
Some post-H.S.,799,55.6,52.3-59.0
College graduate,"1,922",64.8,62.3-67.2
Colorado,,,
Less than H.S.,231,37.3,32.8-41.8
H.S. or G.E.D.,972,53.4,50.8-56.1
Some post-H.S.,"1,397",60.5,58.2-62.8
College graduate,"3,230",71.3,69.8-72.8
Connecticut,,,
Less than H.S.,107,30.7,24.2-37.2
H.S. or G.E.D.,800,48.1,44.8-51.3
Some post-H.S.,952,56.7,53.5-59.9
College graduate,"2,601",69.6,67.7-71.5
Delaware,,,
Less than H.S.,64,33.0,24.5-41.6
H.S. or G.E.D.,354,46.2,41.7-50.8
Some post-H.S.,480,57.4,53.1-61.8
College graduate,895,65.4,62.2-68.5
District of Columbia,,,
Less than H.S.,50,45.3,33.1-57.6
H.S. or G.E.D.,173,47.2,40.4-54.0
Some post-H.S.,179,51.9,45.1-58.8
College graduate,"1,521",80.1,78.0-82.2
Georgia,,,
Less than H.S.,158,32.0,26.4-37.7
H.S. or G.E.D.,633,40.5,37.1-44.0
Some post-H.S.,872,54.5,51.2-57.8
College graduate,"1,619",65.4,62.9-67.8
Hawaii,,,
Less than H.S.,63,32.4,23.8-40.9
H.S. or G.E.D.,765,41.5,38.6-44.4
Some post-H.S.,"1,043",52.2,49.3-55.0
College graduate,"1,851",56.8,54.6-59.0
Idaho,,,
Less than H.S.,128,37.3,31.1-43.5
H.S. or G.E.D.,685,45.3,42.4-48.3
Some post-H.S.,945,47.9,45.3-50.5
College graduate,"1,125",53.6,51.2-56.0
Illinois,,,
Less than H.S.,33,32.4,22.1-42.8
H.S. or G.E.D.,252,39.1,34.6-43.6
Some post-H.S.,372,51.0,46.8-55.2
College graduate,918,65.7,62.8-68.6
Indiana,,,
Less than H.S.,168,35.3,30.3-40.3
H.S. or G.E.D.,"1,043",43.4,41.2-45.7
Some post-H.S.,"1,161",53.0,50.7-55.3
College graduate,"2,089",64.2,62.4-66.0
Iowa,,,
Less than H.S.,207,32.9,27.6-38.2
H.S. or G.E.D.,"1,320",49.2,46.8-51.7
Some post-H.S.,"1,506",60.3,58.0-62.7
College graduate,"1,943",67.6,65.6-69.7
Kansas,,,
Less than H.S.,197,39.8,34.8-44.7
H.S. or G.E.D.,"1,736",45.2,43.4-47.1
Some post-H.S.,"2,642",55.5,53.9-57.1
College graduate,"4,310",65.9,64.6-67.2
Kentucky,,,
Less than H.S.,89,23.7,17.9-29.6
H.S. or G.E.D.,435,31.8,28.7-34.9
Some post-H.S.,551,40.5,37.1-43.9
College graduate,779,56.5,53.4-59.6
Louisiana,,,
Less than H.S.,132,42.7,36.0-49.3
H.S. or G.E.D.,503,44.8,41.2-48.4
Some post-H.S.,656,55.5,52.1-58.9
College graduate,"1,116",66.5,63.8-69.2
Maine,,,
Less than H.S.,120,35.9,28.9-42.9
H.S. or G.E.D.,"1,236",46.4,43.8-49.0
Some post-H.S.,"1,673",55.0,52.5-57.4
College graduate,"3,248",70.5,68.8-72.2
Maryland,,,
Less than H.S.,191,29.0,24.4-33.7
H.S. or G.E.D.,"1,262",42.3,39.7-44.9
Some post-H.S.,"1,588",53.0,50.5-55.5
College graduate,"4,413",65.0,63.4-66.5
Massachusetts,,,
Less than H.S.,115,29.8,23.8-35.8
H.S. or G.E.D.,646,50.6,47.2-54.1
Some post-H.S.,974,59.1,56.3-62.0
College graduate,"2,608",69.2,67.3-71.0
Michigan,,,
Less than H.S.,100,33.0,26.7-39.3
H.S. or G.E.D.,933,45.4,42.9-48.0
Some post-H.S.,"1,253",54.7,52.3-57.0
College graduate,"2,372",67.6,65.8-69.4
Minnesota,,,
Less than H.S.,158,33.7,28.6-38.8
H.S. or G.E.D.,"1,502",50.4,48.3-52.6
Some post-H.S.,"2,654",61.4,59.7-63.0
College graduate,"4,741",69.8,68.6-71.0
Mississippi,,,
Less than H.S.,98,28.4,22.5-34.3
H.S. or G.E.D.,339,32.3,28.7-35.9
Some post-H.S.,445,45.0,41.3-48.6
College graduate,579,51.3,47.9-54.7
Missouri,,,
Less than H.S.,212,34.0,28.8-39.3
H.S. or G.E.D.,"1,394",44.8,42.2-47.4
Some post-H.S.,"1,626",54.5,52.0-57.0
College graduate,"2,188",63.1,60.8-65.3
Montana,,,
Less than H.S.,97,42.8,34.6-51.0
H.S. or G.E.D.,768,53.6,50.5-56.7
Some post-H.S.,"1,031",60.8,58.1-63.5
College graduate,"1,582",69.0,66.8-71.2
Nebraska,,,
Less than H.S.,204,31.4,26.6-36.2
H.S. or G.E.D.,"1,917",50.6,48.4-52.8
Some post-H.S.,"2,530",61.5,59.5-63.4
College graduate,"3,336",70.8,69.2-72.5
Nevada,,,
Less than H.S.,45,31.4,22.1-40.8
H.S. or G.E.D.,304,44.8,39.8-49.8
Some post-H.S.,431,52.0,47.2-56.8
College graduate,580,60.7,56.0-65.4
New Hampshire,,,
Less than H.S.,58,33.1,24.0-42.2
H.S. or G.E.D.,648,50.9,47.2-54.6
Some post-H.S.,873,59.1,55.7-62.5
College graduate,"1,943",73.2,71.1-75.2
New Jersey,,,
Less than H.S.,174,35.9,30.4-41.4
H.S. or G.E.D.,700,46.8,43.5-50.1
Some post-H.S.,900,58.9,55.8-62.1
College graduate,"2,167",65.6,63.6-67.8
New Mexico,,,
Less than H.S.,175,31.2,26.4-36.1
H.S. or G.E.D.,575,40.2,36.9-43.6
Some post-H.S.,717,45.2,41.9-48.4
College graduate,"1,222",58.9,56.2-61.6
New York,,,
Less than H.S.,815,33.7,30.8-36.6
H.S. or G.E.D.,"4,193",43.3,41.5-45.2
Some post-H.S.,"4,854",54.4,52.5-56.2
College graduate,"8,905",66.8,65.5-68.2
North Carolina,,,
Less than H.S.,124,32.1,26.2-37.9
H.S. or G.E.D.,430,44.1,40.4-47.8
Some post-H.S.,584,47.9,44.5-51.3
College graduate,"1,171",64.0,61.5-66.4
North Dakota,,,
Less than H.S.,105,45.7,37.4-54.0
H.S. or G.E.D.,784,54.3,51.1-57.5
Some post-H.S.,993,57.8,54.9-60.8
College graduate,"1,209",67.3,64.7-69.8
Ohio,,,
Less than H.S.,181,34.0,28.8-39.2
H.S. or G.E.D.,"1,602",45.2,43.0-47.4
Some post-H.S.,"1,784",55.1,52.9-57.3
College graduate,"2,861",66.1,64.3-67.9
Oklahoma,,,
Less than H.S.,69,23.0,17.5-28.6
H.S. or G.E.D.,392,36.1,32.8-39.5
Some post-H.S.,595,43.7,40.5-46.8
College graduate,856,54.4,51.5-57.3
Oregon,,,
Less than H.S.,88,34.5,27.7-41.2
H.S. or G.E.D.,484,49.1,45.4-52.7
Some post-H.S.,929,57.4,54.6-60.3
College graduate,"1,423",68.3,66.0-70.6
Pennsylvania,,,
Less than H.S.,75,29.4,22.1-36.7
H.S. or G.E.D.,726,45.6,42.6-48.6
Some post-H.S.,801,58.2,55.0-61.3
College graduate,"1,727",65.9,63.6-68.2
Rhode Island,,,
Less than H.S.,100,34.6,28.0-41.2
H.S. or G.E.D.,514,49.0,45.1-52.9
Some post-H.S.,739,62.6,59.3-66.0
College graduate,"1,792",72.1,70.0-74.2
South Carolina,,,
Less than H.S.,159,29.8,24.8-34.8
H.S. or G.E.D.,819,42.1,39.1-45.1
Some post-H.S.,"1,126",52.9,50.1-55.7
College graduate,"2,141",65.3,63.2-67.4
South Dakota,,,
Less than H.S.,98,33.9,20.5-47.4
H.S. or G.E.D.,863,51.2,46.2-56.2
Some post-H.S.,"1,130",62.0,57.6-66.3
College graduate,"1,482",65.5,61.3-69.8
Tennessee,,,
Less than H.S.,71,24.0,18.1-29.9
H.S. or G.E.D.,418,39.2,35.7-42.8
Some post-H.S.,551,49.9,46.4-53.4
College graduate,932,60.2,57.2-63.0
Texas,,,
Less than H.S.,320,37.6,32.4-42.8
H.S. or G.E.D.,983,45.4,41.8-48.9
Some post-H.S.,"1,334",54.5,51.2-57.8
College graduate,"2,483",62.5,59.9-65.0
Utah,,,
Less than H.S.,150,33.7,28.3-39.1
H.S. or G.E.D.,831,38.4,35.9-41.0
Some post-H.S.,895,31.6,29.5-33.6
College graduate,"1,123",29.4,27.6-31.1
Vermont,,,
Less than H.S.,79,36.6,27.9-45.2
H.S. or G.E.D.,674,48.2,44.4-52.0
Some post-H.S.,861,63.1,59.7-66.6
College graduate,"2,207",75.0,73.0-77.0
Virginia,,,
Less than H.S.,107,31.3,25.1-37.4
H.S. or G.E.D.,776,47.4,44.4-50.5
Some post-H.S.,"1,116",53.4,50.6-56.1
College graduate,"2,847",67.2,65.4-69.1
Washington,,,
Less than H.S.,188,33.4,28.6-38.3
H.S. or G.E.D.,"1,133",50.4,47.7-53.0
Some post-H.S.,"1,884",56.7,54.6-58.9
College graduate,"3,771",66.7,65.1-68.3
West Virginia,,,
Less than H.S.,70,18.5,14.0-23.0
H.S. or G.E.D.,633,33.8,31.4-36.2
Some post-H.S.,550,39.3,36.5-42.2
College graduate,984,51.4,49.0-53.8
Wisconsin,,,
Less than H.S.,73,44.1,34.1-54.1
H.S. or G.E.D.,915,59.1,55.8-62.5
Some post-H.S.,"1,067",65.8,62.6-69.0
College graduate,"1,669",72.9,70.5-75.3
Wyoming,,,
Less than H.S.,43,41.6,29.7-53.5
H.S. or G.E.D.,446,48.0,43.8-52.3
Some post-H.S.,639,53.0,49.4-56.7
College graduate,927,63.8,60.6-67.0
Guam,,,
Less than H.S.,28,31.4,19.6-43.2
H.S. or G.E.D.,207,38.8,32.2-45.3
Some post-H.S.,138,39.1,31.2-47.0
College graduate,270,50.0,42.7-57.2
Puerto Rico,,,
Less than H.S.,89,18.6,14.1-23.1
H.S. or G.E.D.,228,26.9,23.1-30.8
Some post-H.S.,330,38.1,33.8-42.5
College graduate,635,45.2,41.9-48.5
Virgin Islands,,,
Less than H.S.,68,39.5,24.6-54.4
H.S. or G.E.D.,171,43.8,33.5-54.0
Some post-H.S.,104,46.7,34.4-59.0
College graduate,261,62.5,51.9-73.2
Virgin Islands,,,
Less than H.S.,56,39.3,23.8-54.7
H.S. or G.E.D.,160,34.8,22.9-46.7
Some post-H.S.,142,61.9,44.9-78.8
College graduate,268,58.9,49.1-68.6
