Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,15,3.7,1.8-5.6
H.S. or G.E.D.,67,6.3,4.5-8.1
Some post-H.S.,65,5.4,3.9-7.0
College graduate,74,4.8,3.5-6.2
Alaska,,,
Less than H.S.,12,*,
H.S. or G.E.D.,92,9.3,6.7-12.0
Some post-H.S.,88,9.9,7.4-12.5
College graduate,106,8.8,6.5-11.2
Arizona,,,
Less than H.S.,38,6.1,3.6-8.5
H.S. or G.E.D.,140,6.3,4.9-7.7
Some post-H.S.,194,7.0,5.7-8.2
College graduate,223,6.4,5.3-7.4
Arkansas,,,
Less than H.S.,19,6.9,3.0-10.8
H.S. or G.E.D.,91,8.0,6.2-10.0
Some post-H.S.,66,6.1,4.2-8.1
College graduate,75,6.0,4.4-7.7
California,,,
Less than H.S.,22,4.9,2.6-7.2
H.S. or G.E.D.,49,6.2,4.3-8.2
Some post-H.S.,86,6.6,4.8-8.4
College graduate,170,6.7,5.4-7.9
Colorado,,,
Less than H.S.,24,4.7,2.7-6.6
H.S. or G.E.D.,143,7.4,6.0-8.7
Some post-H.S.,183,8.1,6.7-9.4
College graduate,350,8.6,7.6-9.5
Connecticut,,,
Less than H.S.,25,4.3,2.0-6.6
H.S. or G.E.D.,131,6.0,4.4-7.5
Some post-H.S.,130,6.2,4.6-7.8
College graduate,259,6.5,5.4-7.5
Delaware,,,
Less than H.S.,13,*,
H.S. or G.E.D.,54,6.0,3.9-8.1
Some post-H.S.,53,6.3,3.9-8.6
College graduate,77,6.1,4.1-8.1
District of Columbia,,,
Less than H.S.,7,*,
H.S. or G.E.D.,19,6.2,2.6-9.9
Some post-H.S.,33,8.7,5.2-12.2
College graduate,177,9.6,7.9-11.4
Florida,,,
Less than H.S.,68,5.9,2.7-9.2
H.S. or G.E.D.,205,7.7,5.2-10.3
Some post-H.S.,215,6.2,4.8-7.7
College graduate,252,7.3,5.6-9.0
Georgia,,,
Less than H.S.,34,5.0,2.7-7.2
H.S. or G.E.D.,123,5.8,4.3-7.2
Some post-H.S.,133,6.7,4.9-8.4
College graduate,176,6.0,4.8-7.3
Hawaii,,,
Less than H.S.,16,9.6,4.4-14.6
H.S. or G.E.D.,162,10.1,8.3-11.9
Some post-H.S.,166,6.2,4.9-7.4
College graduate,248,6.6,5.6-7.7
Idaho,,,
Less than H.S.,18,*,
H.S. or G.E.D.,120,8.6,6.6-10.7
Some post-H.S.,126,6.4,4.9-7.9
College graduate,100,7.0,5.2-8.8
Illinois,,,
Less than H.S.,8,*,
H.S. or G.E.D.,46,6.1,4.1-8.2
Some post-H.S.,47,5.9,4.0-7.7
College graduate,87,5.6,4.3-6.9
Indiana,,,
Less than H.S.,37,7.5,4.8-10.2
H.S. or G.E.D.,138,5.6,4.6-6.7
Some post-H.S.,130,7.5,6.0-9.0
College graduate,140,5.8,4.8-6.9
Iowa,,,
Less than H.S.,24,6.3,3.6-9.0
H.S. or G.E.D.,217,8.8,7.6-10.1
Some post-H.S.,256,9.6,8.4-10.9
College graduate,185,6.3,5.3-7.3
Kansas,,,
Less than H.S.,18,5.6,2.7-8.5
H.S. or G.E.D.,163,7.0,5.7-8.2
Some post-H.S.,185,7.0,5.9-8.2
College graduate,207,5.8,4.9-6.8
Kentucky,,,
Less than H.S.,11,*,
H.S. or G.E.D.,60,6.9,4.8-9.0
Some post-H.S.,68,6.2,4.5-7.9
College graduate,76,6.7,4.9-8.4
Louisiana,,,
Less than H.S.,26,7.1,3.7-10.6
H.S. or G.E.D.,92,7.2,5.5-8.9
Some post-H.S.,84,8.1,6.0-10.2
College graduate,129,8.7,7.0-10.4
Maine,,,
Less than H.S.,28,11.5,5.6-17.3
H.S. or G.E.D.,179,7.9,6.3-9.4
Some post-H.S.,202,6.5,5.2-7.8
College graduate,349,8.7,7.4-10.0
Maryland,,,
Less than H.S.,34,5.2,2.8-7.7
H.S. or G.E.D.,150,4.2,3.2-5.0
Some post-H.S.,170,6.2,4.9-7.5
College graduate,321,5.1,4.4-5.8
Massachusetts,,,
Less than H.S.,14,5.8,2.6-9.1
H.S. or G.E.D.,77,6.2,4.5-7.9
Some post-H.S.,138,8.0,6.5-9.6
College graduate,259,7.0,5.9-8.1
Michigan,,,
Less than H.S.,19,8.0,4.0-12.0
H.S. or G.E.D.,109,6.8,5.3-8.2
Some post-H.S.,138,6.6,5.4-7.9
College graduate,189,6.6,5.5-7.7
Minnesota,,,
Less than H.S.,38,6.8,4.3-9.4
H.S. or G.E.D.,244,7.1,6.1-8.1
