Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,85,30.9,24.1-37.6
H.S. or G.E.D.,371,36.4,32.7-40.0
Some post-H.S.,529,48.3,44.6-51.9
College graduate,759,56.0,52.9-59.1
Alaska,,,
Less than H.S.,61,35.1,26.2-44.0
H.S. or G.E.D.,595,44.8,41.3-48.3
Some post-H.S.,791,54.6,51.2-58.0
College graduate,"1,367",64.1,61.4-66.8
Arizona,,,
Less than H.S.,196,28.1,23.4-32.8
H.S. or G.E.D.,"1,073",47.0,43.9-50.0
Some post-H.S.,"1,684",52.6,50.1-55.2
College graduate,"2,767",62.5,60.5-64.6
Arkansas,,,
Less than H.S.,87,28.1,21.9-34.3
H.S. or G.E.D.,512,37.0,33.9-40.0
Some post-H.S.,541,46.9,43.5-50.3
College graduate,837,54.7,51.9-57.6
California,,,
Less than H.S.,335,30.9,27.3-34.5
H.S. or G.E.D.,925,45.9,43.0-48.9
Some post-H.S.,"1,476",56.0,53.4-58.7
College graduate,"3,037",58.1,55.7-60.6
Colorado,,,
Less than H.S.,173,39.7,34.2-45.2
H.S. or G.E.D.,770,51.4,48.2-54.5
Some post-H.S.,"1,176",60.2,57.5-62.9
College graduate,"2,982",71.2,69.5-72.9
Connecticut,,,
Less than H.S.,150,37.9,31.2-44.6
H.S. or G.E.D.,861,49.3,45.7-52.8
Some post-H.S.,"1,065",56.0,52.5-59.5
College graduate,"3,180",71.6,69.6-73.7
Delaware,,,
Less than H.S.,59,29.7,21.3-38.1
H.S. or G.E.D.,422,46.0,41.7-50.4
Some post-H.S.,521,54.5,49.8-59.1
College graduate,"1,127",65.7,62.4-69.0
District of Columbia,,,
Less than H.S.,37,45.8,32.3-59.3
H.S. or G.E.D.,167,42.2,34.6-49.8
Some post-H.S.,202,56.2,48.7-63.8
College graduate,"1,598",80.1,77.8-82.5
Florida,,,
Less than H.S.,229,37.8,30.7-44.9
H.S. or G.E.D.,"1,299",48.8,45.2-52.4
Some post-H.S.,"1,624",54.1,50.6-57.5
College graduate,"2,818",63.6,60.8-66.4
Georgia,,,
Less than H.S.,142,33.6,27.6-39.6
H.S. or G.E.D.,670,41.4,38.1-44.8
Some post-H.S.,833,51.3,48.1-54.5
College graduate,"1,874",62.0,59.5-64.5
Hawaii,,,
Less than H.S.,88,37.3,28.6-46.1
H.S. or G.E.D.,750,42.8,39.6-46.1
Some post-H.S.,"1,030",51.3,48.3-54.4
College graduate,"1,898",57.1,54.7-59.5
Idaho,,,
Less than H.S.,145,34.3,28.6-39.9
H.S. or G.E.D.,841,42.7,39.8-45.6
Some post-H.S.,921,49.2,46.3-52.2
College graduate,"1,051",54.0,51.2-56.8
Illinois,,,
Less than H.S.,143,41.5,35.0-48.0
H.S. or G.E.D.,487,47.9,44.0-51.8
Some post-H.S.,602,54.9,50.9-58.8
College graduate,"1,574",67.2,64.6-69.7
Indiana,,,
Less than H.S.,158,28.9,24.3-33.6
H.S. or G.E.D.,"1,220",43.0,40.8-45.2
Some post-H.S.,"1,242",51.5,49.1-53.8
College graduate,"2,313",63.9,62.1-65.7
Iowa,,,
Less than H.S.,201,32.3,26.9-37.7
H.S. or G.E.D.,"1,231",50.5,48.0-53.0
Some post-H.S.,"1,370",59.4,57.0-61.9
College graduate,"1,845",69.2,67.1-71.3
Kansas,,,
Less than H.S.,113,35.7,29.1-42.3
H.S. or G.E.D.,989,45.0,42.3-47.7
Some post-H.S.,"1,435",53.7,51.3-56.1
College graduate,"2,338",64.6,62.7-66.6
Louisiana,,,
Less than H.S.,142,34.8,28.9-40.7
H.S. or G.E.D.,584,42.7,39.5-46.0
Some post-H.S.,675,53.0,49.5-56.4
College graduate,"1,048",63.1,60.2-66.0
Maine,,,
Less than H.S.,138,35.9,29.3-42.5
H.S. or G.E.D.,"1,257",46.8,44.2-49.4
Some post-H.S.,"1,610",55.9,53.3-58.4
College graduate,"3,273",68.1,66.3-70.0
Maryland,,,
Less than H.S.,210,26.8,22.5-31.2
H.S. or G.E.D.,"1,504",45.0,42.2-47.8
Some post-H.S.,"1,686",51.2,48.4-54.0
College graduate,"4,910",63.4,61.7-65.2
Massachusetts,,,
Less than H.S.,132,30.6,24.4-36.8
H.S. or G.E.D.,732,48.5,44.8-52.2
Some post-H.S.,"1,059",58.5,55.3-61.6
College graduate,"3,510",71.0,69.2-72.8
Michigan,,,
Less than H.S.,93,30.2,24.0-36.5
H.S. or G.E.D.,950,45.4,42.6-48.1
Some post-H.S.,"1,261",52.2,49.7-54.8
College graduate,"2,619",65.9,64.0-67.8
Minnesota,,,
Less than H.S.,211,34.6,29.5-39.8
H.S. or G.E.D.,"1,515",48.6,46.0-51.2
Some post-H.S.,"2,378",59.2,57.0-61.4
College graduate,"4,723",69.4,67.9-71.0
Mississippi,,,
Less than H.S.,81,30.7,23.9-37.6
H.S. or G.E.D.,377,39.2,35.4-43.0
Some post-H.S.,516,45.9,42.3-49.4
College graduate,710,53.2,49.9-56.6
Missouri,,,
Less than H.S.,105,28.5,22.5-34.4
H.S. or G.E.D.,789,42.0,39.0-45.1
Some post-H.S.,896,51.9,48.8-55.0
College graduate,"1,414",61.9,59.4-64.4
Montana,,,
Less than H.S.,117,45.8,38.2-53.3
H.S. or G.E.D.,811,50.7,47.8-53.7
Some post-H.S.,"1,081",59.7,57.0-62.4
College graduate,"1,903",69.2,67.2-71.3
Nebraska,,,
Less than H.S.,222,29.6,25.2-34.0
H.S. or G.E.D.,"1,624",49.7,47.4-52.0
Some post-H.S.,"2,009",59.7,57.5-61.9
College graduate,"2,822",68.7,66.9-70.5
Nevada,,,
Less than H.S.,44,38.0,26.2-49.8
H.S. or G.E.D.,310,52.0,45.7-58.3
Some post-H.S.,386,55.3,49.8-60.8
College graduate,626,63.0,58.4-67.7
New Hampshire,,,
