Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,311,57.1,51.9-62.2
H.S. or G.E.D.,"1,173",63.2,60.4-65.9
Some post-H.S.,"1,276",70.5,68.0-73.1
College graduate,"1,716",80.4,78.4-82.4
Alaska,,,
Less than H.S.,78,61.8,49.3-74.3
H.S. or G.E.D.,549,72.5,67.8-77.3
Some post-H.S.,618,77.5,72.9-82.1
College graduate,978,90.6,88.2-92.9
Arizona,,,
Less than H.S.,363,60.5,54.0-67.1
H.S. or G.E.D.,"1,363",74.1,71.0-77.2
Some post-H.S.,"1,998",76.6,74.0-79.2
College graduate,"2,568",85.0,83.0-87.0
Arkansas,,,
Less than H.S.,225,59.9,53.8-65.9
H.S. or G.E.D.,"1,006",62.7,59.5-65.9
Some post-H.S.,916,71.7,68.5-74.9
College graduate,"1,191",79.9,77.1-82.6
California,,,
Less than H.S.,906,60.0,57.1-62.9
H.S. or G.E.D.,"1,383",73.7,71.3-76.1
Some post-H.S.,"2,084",81.1,79.2-82.9
College graduate,"3,904",86.6,85.4-87.9
Colorado,,,
Less than H.S.,324,60.6,55.9-65.3
H.S. or G.E.D.,"1,272",75.5,73.2-77.8
Some post-H.S.,"1,853",80.4,78.4-82.3
College graduate,"3,571",90.8,89.7-91.8
Connecticut,,,
Less than H.S.,198,53.1,47.0-59.1
H.S. or G.E.D.,"1,309",70.6,67.9-73.3
Some post-H.S.,"1,571",77.6,75.1-80.0
College graduate,"3,555",86.6,85.3-88.0
Delaware,,,
Less than H.S.,202,56.3,49.0-63.7
H.S. or G.E.D.,638,68.0,64.0-72.0
Some post-H.S.,622,73.3,69.5-77.0
College graduate,"1,158",84.9,82.4-87.5
District of Columbia,,,
Less than H.S.,63,56.7,45.4-67.9
H.S. or G.E.D.,256,70.0,64.1-75.9
Some post-H.S.,298,74.7,69.2-80.2
College graduate,"1,302",90.2,88.4-92.0
Florida,,,
Less than H.S.,836,56.4,51.3-61.5
H.S. or G.E.D.,"2,784",68.9,66.0-71.8
Some post-H.S.,"3,314",74.0,71.4-76.5
College graduate,"4,026",85.8,83.8-87.7
Georgia,,,
Less than H.S.,403,56.4,51.1-61.6
H.S. or G.E.D.,"1,056",62.9,59.5-66.4
Some post-H.S.,"1,290",75.9,73.0-78.9
College graduate,"1,906",85.0,82.7-87.2
Hawaii,,,
Less than H.S.,180,63.9,56.5-71.3
H.S. or G.E.D.,"1,306",70.1,67.5-72.7
Some post-H.S.,"1,506",75.5,73.0-77.9
College graduate,"2,603",84.0,82.4-85.7
Idaho,,,
Less than H.S.,192,57.9,50.3-65.4
H.S. or G.E.D.,946,71.3,67.8-74.7
Some post-H.S.,"1,332",79.0,76.2-81.8
College graduate,"1,444",85.6,83.0-88.2
Illinois,,,
Less than H.S.,189,54.2,48.3-60.1
H.S. or G.E.D.,775,68.2,65.2-71.2
Some post-H.S.,990,74.9,72.3-77.5
College graduate,"2,036",86.3,84.7-87.9
Indiana,,,
Less than H.S.,290,52.4,47.4-57.3
H.S. or G.E.D.,"1,545",61.4,59.1-63.8
Some post-H.S.,"1,514",72.4,70.2-74.6
College graduate,"2,332",83.9,82.3-85.4
Iowa,,,
Less than H.S.,273,58.0,53.2-62.9
H.S. or G.E.D.,"1,838",64.7,62.7-66.7
Some post-H.S.,"2,161",76.4,74.6-78.1
College graduate,"2,565",85.1,83.7-86.5
Kansas,,,
Less than H.S.,253,58.6,52.9-64.2
H.S. or G.E.D.,"1,694",64.5,62.4-66.7
Some post-H.S.,"2,415",73.6,71.9-75.3
College graduate,"3,394",84.3,83.0-85.5
Kentucky,,,
Less than H.S.,284,46.1,40.1-52.1
H.S. or G.E.D.,"1,378",61.8,58.8-64.7
Some post-H.S.,"1,458",71.4,68.6-74.3
College graduate,"1,968",83.0,80.8-85.1
Louisiana,,,
Less than H.S.,229,54.9,49.3-60.5
H.S. or G.E.D.,814,61.9,58.8-65.1
Some post-H.S.,800,72.3,69.1-75.4
College graduate,"1,158",81.1,78.6-83.5
Maine,,,
Less than H.S.,235,57.8,50.6-65.0
H.S. or G.E.D.,"1,834",60.1,57.4-62.8
Some post-H.S.,"2,028",71.8,69.3-74.3
College graduate,"3,377",82.1,80.3-83.8
Maryland,,,
Less than H.S.,479,57.7,52.9-62.5
H.S. or G.E.D.,"2,645",67.8,65.6-70.0
Some post-H.S.,"2,749",78.9,77.1-80.7
College graduate,"6,412",86.3,85.2-87.4
Massachusetts,,,
Less than H.S.,163,43.4,37.3-49.4
H.S. or G.E.D.,944,68.2,65.4-71.0
Some post-H.S.,"1,232",73.8,71.3-76.3
College graduate,"3,129",84.6,83.1-86.1
Michigan,,,
Less than H.S.,221,60.8,54.8-66.7
H.S. or G.E.D.,"1,690",67.2,64.9-69.4
Some post-H.S.,"2,377",76.1,74.3-78.0
College graduate,"3,379",85.8,84.5-87.2
Minnesota,,,
Less than H.S.,380,64.7,60.2-69.1
H.S. or G.E.D.,"2,342",71.9,70.0-73.7
Some post-H.S.,"3,651",80.4,79.1-81.7
