Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,184,51.7,44.8-58.7
H.S. or G.E.D.,736,65.8,62.4-69.2
Some post-H.S.,877,72.8,69.7-75.9
College graduate,"1,227",84.8,82.8-86.8
Alaska,,,
Less than H.S.,130,65.5,57.2-73.8
H.S. or G.E.D.,"1,028",72.8,69.6-76.0
Some post-H.S.,"1,191",80.1,77.6-82.5
College graduate,"1,979",88.9,87.1-90.7
Arizona,,,
Less than H.S.,425,62.5,57.6-67.4
H.S. or G.E.D.,"1,811",74.2,71.7-76.7
Some post-H.S.,"2,784",79.7,77.8-81.6
College graduate,"4,226",88.3,87.1-89.6
Arkansas,,,
Less than H.S.,161,43.6,37.1-50.1
H.S. or G.E.D.,"1,007",64.7,61.8-67.6
Some post-H.S.,913,69.7,66.8-72.6
College graduate,"1,405",82.5,80.5-84.5
California,,,
Less than H.S.,660,56.0,52.4-59.7
H.S. or G.E.D.,"1,580",74.2,71.8-76.7
Some post-H.S.,"2,313",79.9,77.8-81.9
College graduate,"4,592",86.9,85.4-88.4
Colorado,,,
Less than H.S.,276,57.5,52.2-62.7
H.S. or G.E.D.,"1,214",75.6,73.1-78.1
Some post-H.S.,"1,703",82.6,80.6-84.6
College graduate,"4,007",91.7,90.8-92.7
Connecticut,,,
Less than H.S.,258,54.1,47.8-60.4
H.S. or G.E.D.,"1,247",65.1,61.9-68.4
Some post-H.S.,"1,515",74.9,72.1-77.8
College graduate,"4,173",86.3,84.8-87.8
Delaware,,,
Less than H.S.,117,57.6,49.2-66.1
H.S. or G.E.D.,658,65.1,61.3-68.9
Some post-H.S.,757,77.7,74.4-81.1
College graduate,"1,544",84.4,81.9-87.0
District of Columbia,,,
Less than H.S.,59,64.2,51.5-76.9
H.S. or G.E.D.,300,74.9,69.1-80.7
Some post-H.S.,326,77.4,71.4-83.3
College graduate,"2,010",92.2,90.6-93.8
Florida,,,
Less than H.S.,426,52.6,45.9-59.4
H.S. or G.E.D.,"2,338",69.1,65.9-72.3
Some post-H.S.,"2,682",76.8,74.1-79.4
College graduate,"4,186",85.9,84.0-87.9
Georgia,,,
Less than H.S.,305,60.8,55.2-66.3
H.S. or G.E.D.,"1,270",69.1,66.3-71.8
Some post-H.S.,"1,437",76.8,74.3-79.3
College graduate,"2,885",86.0,84.4-87.6
Hawaii,,,
Less than H.S.,142,62.8,54.4-71.2
H.S. or G.E.D.,"1,327",71.0,68.0-73.9
Some post-H.S.,"1,689",79.7,77.3-82.1
College graduate,"3,006",87.0,85.4-88.5
Idaho,,,
Less than H.S.,257,61.2,55.6-66.8
H.S. or G.E.D.,"1,489",74.5,72.1-76.9
Some post-H.S.,"1,612",79.3,77.0-81.6
College graduate,"1,906",89.3,87.7-90.8
Illinois,,,
Less than H.S.,255,58.8,52.8-64.8
H.S. or G.E.D.,764,73.5,70.3-76.6
Some post-H.S.,906,78.2,74.7-81.8
College graduate,"2,169",89.2,87.7-90.6
Indiana,,,
Less than H.S.,358,60.0,55.5-64.5
H.S. or G.E.D.,"2,212",69.4,67.5-71.3
Some post-H.S.,"2,086",78.4,76.6-80.1
College graduate,"3,480",87.1,86.0-88.3
Iowa,,,
