Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,173,53.1,46.5-59.7
H.S. or G.E.D.,701,62.6,59.3-66.0
Some post-H.S.,875,72.1,69.2-75.0
College graduate,"1,276",80.2,78.0-82.4
Alaska,,,
Less than H.S.,155,67.7,59.4-75.9
H.S. or G.E.D.,992,73.7,70.2-77.1
Some post-H.S.,"1,252",80.6,77.9-83.2
College graduate,"1,893",89.2,87.4-90.9
Arizona,,,
Less than H.S.,404,63.7,58.8-68.6
H.S. or G.E.D.,"1,623",73.7,71.4-76.1
Some post-H.S.,"2,546",77.4,75.5-79.2
College graduate,"3,595",86.8,85.5-88.2
Arkansas,,,
Less than H.S.,196,59.6,53.0-66.3
H.S. or G.E.D.,957,62.1,58.8-65.4
Some post-H.S.,998,71.6,68.5-74.8
College graduate,"1,358",84.0,81.6-86.4
California,,,
Less than H.S.,554,60.9,57.0-64.7
H.S. or G.E.D.,909,77.7,74.6-80.8
Some post-H.S.,"1,211",80.1,77.6-82.6
College graduate,"2,753",90.9,89.5-92.3
Colorado,,,
Less than H.S.,431,63.7,59.7-67.7
H.S. or G.E.D.,"1,546",76.6,74.5-78.8
Some post-H.S.,"2,090",82.7,81.0-84.4
College graduate,"4,575",92.6,91.8-93.4
Connecticut,,,
Less than H.S.,221,52.8,46.3-59.2
H.S. or G.E.D.,"1,237",69.2,66.3-72.0
Some post-H.S.,"1,489",79.3,77.0-81.6
College graduate,"3,573",88.0,86.7-89.3
Delaware,,,
Less than H.S.,115,48.0,39.4-56.7
H.S. or G.E.D.,600,69.0,65.1-72.8
Some post-H.S.,665,73.6,70.1-77.0
College graduate,"1,243",84.1,81.8-86.4
District of Columbia,,,
Less than H.S.,82,62.0,51.2-72.9
H.S. or G.E.D.,323,74.2,69.1-79.2
Some post-H.S.,320,79.1,74.2-84.0
College graduate,"1,941",92.3,90.9-93.6
Georgia,,,
Less than H.S.,328,57.0,51.7-62.2
H.S. or G.E.D.,"1,364",71.0,68.2-73.8
Some post-H.S.,"1,555",80.1,77.9-82.4
College graduate,"2,643",86.2,84.5-87.9
Hawaii,,,
Less than H.S.,135,69.2,61.2-77.3
H.S. or G.E.D.,"1,441",76.0,73.6-78.3
Some post-H.S.,"1,756",79.5,77.2-81.8
College graduate,"2,938",86.9,85.4-88.4
Idaho,,,
Less than H.S.,236,68.2,62.8-73.5
H.S. or G.E.D.,"1,202",74.4,72.0-76.9
Some post-H.S.,"1,722",80.6,78.7-82.5
College graduate,"2,034",87.3,85.8-88.8
Illinois,,,
Less than H.S.,55,54.1,43.3-65.0
H.S. or G.E.D.,454,67.1,62.9-71.2
Some post-H.S.,550,70.3,66.6-74.1
College graduate,"1,297",85.9,83.9-87.9
Indiana,,,
Less than H.S.,311,57.7,53.0-62.5
H.S. or G.E.D.,"1,831",67.5,65.6-69.5
Some post-H.S.,"1,894",77.0,75.2-78.8
College graduate,"3,171",87.0,85.8-88.2
Iowa,,,
Less than H.S.,325,50.4,44.9-55.8
H.S. or G.E.D.,"1,956",68.3,66.2-70.5
Some post-H.S.,"2,096",78.5,76.6-80.4
College graduate,"2,652",86.4,85.0-87.8
Kansas,,,
Less than H.S.,333,59.6,54.9-64.2
H.S. or G.E.D.,"2,832",68.7,67.0-70.3
Some post-H.S.,"3,954",76.8,75.5-78.1
College graduate,"6,088",87.6,86.8-88.4
Kentucky,,,
Less than H.S.,232,52.2,45.8-58.6
H.S. or G.E.D.,"1,071",64.2,61.2-67.3
Some post-H.S.,"1,093",73.8,70.9-76.8
College graduate,"1,292",81.4,79.0-83.8
Louisiana,,,
Less than H.S.,204,55.3,49.2-61.4
H.S. or G.E.D.,843,63.8,60.5-67.0
Some post-H.S.,"1,003",74.9,72.0-77.8
College graduate,"1,572",85.6,83.7-87.4
Maine,,,
Less than H.S.,204,56.7,49.7-63.7
H.S. or G.E.D.,"1,861",65.8,63.5-68.2
Some post-H.S.,"2,305",73.9,71.8-75.9
College graduate,"4,201",85.4,84.2-86.7
Maryland,,,
Less than H.S.,452,59.2,54.6-63.7
H.S. or G.E.D.,"2,400",70.6,68.5-72.8
Some post-H.S.,"2,625",78.6,76.7-80.5
College graduate,"6,542",88.5,87.6-89.5
Massachusetts,,,
Less than H.S.,188,50.2,43.8-56.6
H.S. or G.E.D.,991,74.2,71.4-77.2
Some post-H.S.,"1,393",78.6,76.3-80.9
College graduate,"3,506",88.4,87.2-89.7
Michigan,,,
Less than H.S.,194,57.2,51.1-63.3
H.S. or G.E.D.,"1,651",72.2,70.2-74.3
Some post-H.S.,"1,984",77.3,75.5-79.2
College graduate,"3,406",87.9,86.7-89.2
Minnesota,,,
Less than H.S.,299,62.6,57.6-67.5
H.S. or G.E.D.,"2,308",73.1,71.3-74.8
Some post-H.S.,"3,706",80.1,78.8-81.4
College graduate,"6,386",88.3,87.4-89.1
Mississippi,,,
Less than H.S.,246,58.0,52.1-63.8
