Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,473,64.0,59.7-68.3
H.S. or G.E.D.,"1,412",67.6,64.7-70.5
Some post-H.S.,"1,409",70.7,67.9-73.5
College graduate,"1,647",83.2,81.1-85.4
Alaska,,,
Less than H.S.,118,53.4,41.8-65.0
H.S. or G.E.D.,592,58.8,53.2-64.5
Some post-H.S.,670,69.9,65.0-74.7
College graduate,959,80.4,76.8-84.0
Arizona,,,
Less than H.S.,473,47.3,43.6-51.0
H.S. or G.E.D.,"2,194",56.9,54.9-59.0
Some post-H.S.,"3,380",65.9,64.2-67.6
College graduate,"4,919",80.3,79.0-81.7
Arkansas,,,
Less than H.S.,281,54.5,46.7-62.4
H.S. or G.E.D.,"1,402",66.7,62.5-70.9
Some post-H.S.,"1,154",67.9,63.5-72.4
College graduate,"1,380",83.9,80.5-87.2
California,,,
Less than H.S.,242,31.0,27.3-34.7
H.S. or G.E.D.,624,48.2,45.1-51.3
Some post-H.S.,"1,167",61.5,59.1-64.0
College graduate,"2,557",74.7,73.1-76.3
Colorado,,,
Less than H.S.,202,41.7,36.6-46.7
H.S. or G.E.D.,"1,278",58.1,55.5-60.7
Some post-H.S.,"1,851",65.8,63.7-68.0
College graduate,"3,671",80.7,79.3-82.1
Connecticut,,,
Less than H.S.,154,39.7,34.0-45.4
H.S. or G.E.D.,"1,526",63.3,60.7-65.8
Some post-H.S.,"1,672",67.5,65.0-70.1
College graduate,"4,232",85.0,83.8-86.3
Delaware,,,
Less than H.S.,170,55.0,48.5-61.6
H.S. or G.E.D.,698,67.2,63.7-70.8
Some post-H.S.,715,74.2,70.6-77.7
College graduate,"1,215",87.0,85.0-89.0
District of Columbia,,,
Less than H.S.,36,17.1,10.3-24.0
H.S. or G.E.D.,216,20.8,17.4-24.2
Some post-H.S.,310,36.6,32.0-41.2
College graduate,"1,359",58.4,55.4-61.4
Florida,,,
Less than H.S.,"1,149",47.8,43.3-52.2
H.S. or G.E.D.,"4,181",63.3,60.4-66.1
Some post-H.S.,"4,413",66.7,64.2-69.3
College graduate,"5,070",79.9,77.8-82.0
Georgia,,,
Less than H.S.,305,50.3,45.4-55.2
H.S. or G.E.D.,960,60.4,57.4-63.4
Some post-H.S.,976,66.5,63.6-69.4
College graduate,"1,714",79.5,77.6-81.4
Hawaii,,,
Less than H.S.,82,36.9,29.4-44.4
H.S. or G.E.D.,801,53.2,50.2-56.1
Some post-H.S.,"1,196",62.6,60.1-65.1
College graduate,"2,285",76.9,75.2-78.5
Idaho,,,
Less than H.S.,175,57.4,50.2-64.7
H.S. or G.E.D.,904,65.4,61.7-69.0
Some post-H.S.,"1,211",72.8,69.9-75.8
College graduate,"1,417",82.2,79.6-84.8
Illinois,,,
Less than H.S.,149,50.2,44.0-56.4
H.S. or G.E.D.,824,65.8,62.6-69.0
Some post-H.S.,992,71.7,69.0-74.3
College graduate,"1,800",78.8,77.0-80.6
Indiana,,,
Less than H.S.,533,55.9,52.0-59.8
H.S. or G.E.D.,"3,265",69.9,68.2-71.7
Some post-H.S.,"2,560",71.2,69.3-73.1
College graduate,"3,860",84.4,83.1-85.7
Iowa,,,
Less than H.S.,187,55.4,49.5-61.2
H.S. or G.E.D.,"1,754",71.5,69.4-73.6
Some post-H.S.,"1,659",72.3,70.1-74.5
College graduate,"2,194",85.9,84.4-87.4
Kansas,,,
Less than H.S.,480,51.1,47.2-55.0
H.S. or G.E.D.,"3,906",65.1,63.6-66.6
Some post-H.S.,"4,726",67.6,66.2-69.0
College graduate,"6,885",82.5,81.5-83.5
Kentucky,,,
Less than H.S.,461,57.6,52.1-63.1
H.S. or G.E.D.,"1,991",70.3,67.4-73.1
Some post-H.S.,"1,733",67.1,64.2-70.1
College graduate,"2,180",83.0,80.8-85.2
Louisiana,,,
Less than H.S.,234,54.2,48.6-59.9
H.S. or G.E.D.,"1,019",66.5,63.5-69.6
Some post-H.S.,877,69.8,66.7-72.9
College graduate,"1,266",83.4,81.1-85.6
Maine,,,
Less than H.S.,242,58.5,51.4-65.6
H.S. or G.E.D.,"1,981",70.0,67.3-72.6
Some post-H.S.,"1,929",75.9,73.2-78.6
College graduate,"3,440",84.1,82.3-85.9
Maryland,,,
Less than H.S.,322,40.4,34.8-45.9
H.S. or G.E.D.,"2,357",64.6,62.0-67.2
Some post-H.S.,"2,195",68.2,65.7-70.7
College graduate,"5,248",83.1,81.7-84.5
Massachusetts,,,
Less than H.S.,87,29.4,22.4-36.5
H.S. or G.E.D.,737,59.1,55.0-63.1
Some post-H.S.,"1,052",68.9,65.6-72.1
College graduate,"2,598",77.4,75.5-79.3
Michigan,,,
Less than H.S.,255,53.9,48.8-59.0
H.S. or G.E.D.,"1,972",71.8,69.9-73.7
Some post-H.S.,"2,326",73.7,72.0-75.4
College graduate,"3,464",84.6,83.3-85.8
Minnesota,,,
Less than H.S.,341,50.8,46.2-55.4
H.S. or G.E.D.,"2,849",69.9,68.0-71.7
Some post-H.S.,"3,800",74.7,73.2-76.1
College graduate,"5,723",84.6,83.6-85.6
Mississippi,,,
Less than H.S.,343,58.6,52.5-64.7
H.S. or G.E.D.,"1,088",68.1,64.4-71.9
Some post-H.S.,"1,088",69.8,66.4-73.3
College graduate,"1,386",84.3,81.8-86.9
Missouri,,,
Less than H.S.,333,53.0,47.5-58.6
H.S. or G.E.D.,"1,609",69.3,66.7-71.9
Some post-H.S.,"1,464",69.6,67.0-72.2
College graduate,"1,933",80.8,78.8-82.8
Montana,,,
Less than H.S.,212,57.9,50.7-65.1
H.S. or G.E.D.,"1,190",65.6,62.4-68.8
Some post-H.S.,"1,351",66.4,63.4-69.3
College graduate,"1,547",81.9,79.6-84.3
Nebraska,,,
Less than H.S.,506,48.7,43.9-53.4
H.S. or G.E.D.,"3,491",63.7,61.5-65.9
Some post-H.S.,"3,485",68.2,66.1-70.3
College graduate,"3,830",84.6,83.1-86.0
Nevada,,,
Less than H.S.,123,40.6,33.2-48.0
H.S. or G.E.D.,524,52.3,47.7-56.9
Some post-H.S.,808,58.2,54.1-62.2
College graduate,972,75.5,71.9-79.1
New Hampshire,,,
Less than H.S.,104,41.9,33.3-50.4
H.S. or G.E.D.,984,67.5,64.0-71.1
Some post-H.S.,"1,100",75.7,72.4-79.0
College graduate,"2,133",86.0,84.0-88.0
New Jersey,,,
Less than H.S.,203,33.0,27.5-38.6
H.S. or G.E.D.,"1,715",63.6,60.8-66.4
Some post-H.S.,"1,771",67.2,64.3-70.0
College graduate,"4,080",81.4,79.8-83.0
New Mexico,,,
Less than H.S.,463,62.7,58.0-67.3
H.S. or G.E.D.,"1,281",64.6,61.4-67.8
Some post-H.S.,"1,314",70.7,67.7-73.7
College graduate,"1,846",84.9,82.9-86.9
New York,,,
Less than H.S.,247,27.5,23.5-31.5
H.S. or G.E.D.,"1,437",54.1,51.6-56.6
Some post-H.S.,"1,623",59.7,57.3-62.0
College graduate,"3,346",70.1,68.6-71.6
North Carolina,,,
Less than H.S.,226,50.7,44.9-56.6
H.S. or G.E.D.,710,59.5,56.1-62.9
Some post-H.S.,882,70.7,67.8-73.6
College graduate,"1,363",79.7,77.6-81.8
North Dakota,,,
Less than H.S.,249,55.5,48.8-62.2
H.S. or G.E.D.,"1,412",59.3,56.2-62.4
Some post-H.S.,"1,756",67.4,64.5-70.2
College graduate,"1,977",78.0,75.6-80.5
Ohio,,,
Less than H.S.,397,51.6,46.3-56.9
H.S. or G.E.D.,"3,028",66.6,64.5-68.8
Some post-H.S.,"2,345",68.6,66.3-70.9
College graduate,"3,183",83.0,81.5-84.6
Oklahoma,,,
Less than H.S.,285,52.5,46.6-58.3
H.S. or G.E.D.,"1,461",65.9,63.1-68.7
Some post-H.S.,"1,530",67.1,64.4-69.8
College graduate,"1,770",82.9,80.6-85.2
Oregon,,,
Less than H.S.,122,42.6,36.1-49.1
H.S. or G.E.D.,701,57.0,53.7-60.3
Some post-H.S.,"1,044",63.7,61.0-66.4
College graduate,"1,705",78.1,76.3-80.0
Pennsylvania,,,
Less than H.S.,160,58.6,51.8-65.3
