Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,398,57.6,52.7-62.5
H.S. or G.E.D.,"1,370",67.2,64.3-70.1
Some post-H.S.,"1,355",74.6,71.9-77.3
College graduate,"1,704",82.3,80.1-84.6
Alaska,,,
Less than H.S.,109,61.1,51.4-70.8
H.S. or G.E.D.,480,57.1,52.3-61.9
Some post-H.S.,574,69.7,65.1-74.3
College graduate,789,78.0,74.4-81.6
Arizona,,,
Less than H.S.,309,48.4,41.9-54.9
H.S. or G.E.D.,"1,268",57.5,53.9-61.0
Some post-H.S.,"1,796",67.0,64.1-69.9
College graduate,"2,332",79.0,76.8-81.1
Arkansas,,,
Less than H.S.,324,54.6,48.2-61.0
H.S. or G.E.D.,"1,383",64.6,61.2-68.0
Some post-H.S.,"1,068",70.1,66.4-73.8
College graduate,"1,371",82.8,79.9-85.8
California,,,
Less than H.S.,355,33.8,30.6-37.0
H.S. or G.E.D.,759,46.5,43.8-49.2
Some post-H.S.,"1,431",61.7,59.5-63.8
College graduate,"3,029",74.2,72.8-75.6
Colorado,,,
Less than H.S.,236,39.7,35.3-44.0
H.S. or G.E.D.,"1,150",60.1,57.5-62.7
Some post-H.S.,"1,588",66.1,63.7-68.4
College graduate,"3,240",79.9,78.4-81.4
Connecticut,,,
Less than H.S.,194,41.0,35.5-46.4
H.S. or G.E.D.,"1,563",63.0,60.4-65.6
Some post-H.S.,"1,786",68.8,66.3-71.3
College graduate,"4,239",84.1,82.7-85.4
Delaware,,,
Less than H.S.,193,49.5,43.5-55.5
H.S. or G.E.D.,940,69.4,66.3-72.6
Some post-H.S.,993,76.2,73.2-79.1
College graduate,"1,519",84.7,82.6-86.9
District of Columbia,,,
Less than H.S.,36,16.5,9.3-23.8
H.S. or G.E.D.,211,25.6,21.6-29.7
Some post-H.S.,277,33.1,28.4-37.9
College graduate,"1,926",58.9,56.2-61.5
Florida,,,
Less than H.S.,729,51.2,45.7-56.6
H.S. or G.E.D.,"3,008",60.3,57.2-63.3
Some post-H.S.,"3,125",70.6,68.1-73.1
College graduate,"3,596",75.6,73.4-77.8
Georgia,,,
Less than H.S.,424,50.0,46.2-53.8
H.S. or G.E.D.,"1,379",59.1,56.7-61.6
Some post-H.S.,"1,501",64.7,62.4-67.0
College graduate,"2,753",81.2,79.7-82.6
Hawaii,,,
Less than H.S.,119,48.5,40.9-56.1
H.S. or G.E.D.,815,51.4,48.5-54.2
Some post-H.S.,"1,165",63.3,60.8-65.9
College graduate,"2,265",77.4,75.8-79.0
Idaho,,,
Less than H.S.,150,56.8,49.2-64.5
H.S. or G.E.D.,658,66.3,62.4-70.1
Some post-H.S.,821,70.5,67.0-73.9
