Location,n,Percentage,95% CI
"All States, DC and Territories (median) **",,,
Less than H.S.,52,10.7,
H.S. or G.E.D.,52,29.0,
Some post-H.S.,52,31.4,
College+,52,27.1,
All States and DC (median) **,,,
Less than H.S.,50,10.5,
H.S. or G.E.D.,50,29.0,
Some post-H.S.,50,31.6,
College+,50,27.1,
Alabama,,,
Less than H.S.,638,14.7,13.4-16.1
H.S. or G.E.D.,"2,098",31.2,29.7-32.6
Some post-H.S.,"2,017",31.7,30.3-33.2
College+,"2,276",22.4,21.3-23.5
Alaska,,,
Less than H.S.,126,8.8,6.8-10.9
H.S. or G.E.D.,830,28.5,26.0-31.1
Some post-H.S.,849,36.3,33.4-39.2
College+,"1,153",26.3,24.1-28.6
Arizona,,,
Less than H.S.,651,13.9,12.3-15.5
H.S. or G.E.D.,"2,154",25.4,23.8-27.0
Some post-H.S.,"2,866",35.0,33.3-36.7
College+,"3,234",25.6,24.3-27.0
Arkansas,,,
Less than H.S.,503,13.9,12.3-15.4
H.S. or G.E.D.,"1,806",34.5,32.6-36.3
Some post-H.S.,"1,419",31.3,29.5-33.2
College+,"1,600",20.4,19.0-21.7
California,,,
Less than H.S.,"1,757",16.8,16.0-17.7
H.S. or G.E.D.,"2,107",22.0,21.0-23.0
Some post-H.S.,"2,831",31.4,30.2-32.5
College+,"4,884",29.8,28.8-30.8
Colorado,,,
Less than H.S.,631,9.2,8.4-10.0
H.S. or G.E.D.,"1,903",22.8,21.8-23.9
Some post-H.S.,"2,461",31.5,30.3-32.7
College+,"4,280",36.5,35.3-37.6
Connecticut,,,
Less than H.S.,439,10.1,9.0-11.2
H.S. or G.E.D.,"2,094",27.8,26.5-29.2
Some post-H.S.,"2,211",26.9,25.6-28.2
College+,"4,366",35.2,33.9-36.4
Delaware,,,
Less than H.S.,408,11.0,9.5-12.4
H.S. or G.E.D.,"1,052",31.9,29.8-34.1
Some post-H.S.,953,28.6,26.5-30.7
College+,"1,458",28.6,26.7-30.4
District of Columbia,,,
Less than H.S.,134,9.5,7.6-11.3
H.S. or G.E.D.,430,17.6,15.7-19.5
Some post-H.S.,446,18.3,16.3-20.3
College+,"1,591",54.7,52.1-57.2
Florida,,,
Less than H.S.,"1,737",12.8,11.6-13.9
H.S. or G.E.D.,"4,923",29.2,27.7-30.7
Some post-H.S.,"5,005",31.2,29.7-32.7
College+,"5,198",26.8,25.4-28.2
Georgia,,,
Less than H.S.,888,14.1,12.7-15.5
H.S. or G.E.D.,"1,949",28.7,27.0-30.4
Some post-H.S.,"1,982",29.8,28.1-31.6
College+,"2,500",27.3,25.8-28.9
Hawaii,,,
Less than H.S.,302,8.4,7.2-9.5
H.S. or G.E.D.,"2,023",29.0,27.6-30.3
Some post-H.S.,"2,093",32.9,31.4-34.3
College+,"3,244",29.8,28.6-31.1
Idaho,,,
Less than H.S.,364,10.1,8.7-11.6
H.S. or G.E.D.,"1,479",29.0,27.1-30.9
Some post-H.S.,"1,817",37.0,35.0-39.1
College+,"1,784",23.9,22.3-25.5
Illinois,,,
Less than H.S.,400,11.6,10.4-12.9
H.S. or G.E.D.,"1,251",26.7,25.3-28.2
Some post-H.S.,"1,400",30.6,29.1-32.1
College+,"2,449",31.1,29.8-32.3
Indiana,,,
Less than H.S.,648,12.2,11.2-13.3
H.S. or G.E.D.,"2,850",33.4,32.2-34.7
Some post-H.S.,"2,295",30.7,29.4-31.9
College+,"3,037",23.7,22.7-24.6
Iowa,,,
Less than H.S.,539,8.6,7.8-9.4
H.S. or G.E.D.,"3,051",30.6,29.6-31.7
Some post-H.S.,"3,042",35.0,33.9-36.1
College+,"3,146",25.8,24.9-26.8
Kansas,,,
Less than H.S.,482,10.0,9.0-11.0
H.S. or G.E.D.,"2,936",26.6,25.6-27.6
Some post-H.S.,"3,549",33.9,32.8-35.0
College+,"4,326",29.5,28.5-30.4
Kentucky,,,
Less than H.S.,671,14.4,12.9-15.9
H.S. or G.E.D.,"2,474",33.3,31.7-35.0
Some post-H.S.,"2,246",30.7,29.0-32.3
College+,"2,569",21.6,20.4-22.8
Louisiana,,,
Less than H.S.,479,15.7,14.2-17.2
H.S. or G.E.D.,"1,484",34.0,32.3-35.7
Some post-H.S.,"1,226",28.9,27.3-30.6
College+,"1,517",21.4,20.1-22.6
Maine,,,
Less than H.S.,520,7.9,6.8-9.0
H.S. or G.E.D.,"3,350",31.8,30.4-33.2
Some post-H.S.,"3,136",31.4,29.9-32.8
College+,"4,316",28.9,27.7-30.2
Maryland,,,
Less than H.S.,998,10.4,9.5-11.3
H.S. or G.E.D.,"4,399",25.8,24.7-26.8
Some post-H.S.,"3,945",27.7,26.7-28.8
College+,"7,985",36.1,35.0-37.1
Massachusetts,,,
Less than H.S.,412,10.3,9.1-11.4
H.S. or G.E.D.,"1,568",24.9,23.6-26.2
Some post-H.S.,"1,824",26.0,24.7-27.3
College+,"3,864",38.9,37.6-40.2
Michigan,,,
Less than H.S.,416,10.0,8.9-11.1
H.S. or G.E.D.,"2,704",29.3,28.1-30.5
Some post-H.S.,"3,277",34.6,33.4-35.8
College+,"4,091",26.1,25.2-27.1
Minnesota,,,
Less than H.S.,648,8.0,7.3-8.7
H.S. or G.E.D.,"3,537",25.6,24.7-26.4
Some post-H.S.,"4,842",34.1,33.2-35.0
College+,"6,455",32.4,31.6-33.2
Mississippi,,,
Less than H.S.,663,16.0,14.5-17.5
H.S. or G.E.D.,"1,545",30.4,28.7-32.1
Some post-H.S.,"1,449",33.9,32.1-35.7
College+,"1,448",19.7,18.5-20.9
Missouri,,,
Less than H.S.,532,10.9,9.7-12.1
H.S. or G.E.D.,"2,382",30.8,29.3-32.3
Some post-H.S.,"2,027",32.2,30.6-33.8
College+,"2,341",26.1,24.9-27.4
Montana,,,
Less than H.S.,324,8.0,7.0-9.0
H.S. or G.E.D.,"1,773",30.1,28.7-31.4
Some post-H.S.,"2,021",34.4,33.0-35.8
College+,"2,359",27.6,26.4-28.8
Nebraska,,,
Less than H.S.,993,9.6,8.8-10.4
H.S. or G.E.D.,"4,990",26.9,25.9-27.8
Some post-H.S.,"4,958",35.2,34.0-36.3
College+,"4,886",28.4,27.4-29.4
Nevada,,,
Less than H.S.,278,14.6,12.7-16.5
H.S. or G.E.D.,678,29.2,26.8-31.6
Some post-H.S.,871,34.4,32.0-36.9
College+,940,21.8,19.8-23.7
New Hampshire,,,
Less than H.S.,245,7.5,6.3-8.8
H.S. or G.E.D.,"1,553",28.5,26.8-30.2
Some post-H.S.,"1,507",30.5,28.8-32.3
College+,"2,525",33.5,31.9-35.1
New Mexico,,,
Less than H.S.,661,15.7,14.2-17.1
H.S. or G.E.D.,"1,549",27.2,25.6-28.8
Some post-H.S.,"1,634",33.3,31.5-35.1
College+,"2,117",23.8,22.5-25.1
New York,,,
Less than H.S.,"1,083",13.7,12.7-14.7
H.S. or G.E.D.,"3,548",26.4,25.3-27.5
Some post-H.S.,"3,479",26.8,25.7-27.9
College+,"6,001",33.1,32.1-34.2
North Carolina,,,
Less than H.S.,409,13.1,11.7-14.5
H.S. or G.E.D.,"1,012",26.7,25.1-28.3
Some post-H.S.,"1,275",32.6,30.9-34.3
College+,"1,581",27.6,26.2-29.0
North Dakota,,,
Less than H.S.,242,8.0,6.5-9.4
H.S. or G.E.D.,"1,519",26.6,24.9-28.2
Some post-H.S.,"1,762",39.0,37.1-41.0
College+,"1,990",26.5,25.0-28.0
Ohio,,,
Less than H.S.,886,10.5,9.5-11.6
H.S. or G.E.D.,"4,779",33.5,32.2-34.8
Some post-H.S.,"3,698",30.6,29.3-31.9
College+,"4,117",25.4,24.3-26.5
Oklahoma,,,
Less than H.S.,512,13.0,11.7-14.2
H.S. or G.E.D.,"1,843",31.7,30.2-33.1
Some post-H.S.,"1,923",32.7,31.2-34.2
College+,"2,033",22.7,21.5-23.8
Oregon,,,
Less than H.S.,391,10.3,9.2-11.5
H.S. or G.E.D.,"1,445",24.0,22.7-25.3
Some post-H.S.,"1,931",35.7,34.3-37.2
College+,"2,314",30.0,28.7-31.3
Pennsylvania,,,
Less than H.S.,321,10.4,9.1-11.6
H.S. or G.E.D.,"1,902",35.2,33.6-36.7
Some post-H.S.,"1,563",26.3,24.9-27.7
College+,"2,802",28.2,26.9-29.4
Rhode Island,,,
