Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,352,49.3,43.6-55.0
H.S. or G.E.D.,978,50.5,47.2-53.9
Some post-H.S.,"1,021",55.8,52.6-59.1
College graduate,"1,056",60.5,57.3-63.7
Alaska,,,
Less than H.S.,110,42.8,33.7-51.8
H.S. or G.E.D.,621,51.7,47.8-55.7
Some post-H.S.,786,61.9,58.2-65.5
College graduate,"1,155",73.9,70.9-77.0
Arizona,,,
Less than H.S.,193,58.1,48.4-67.9
H.S. or G.E.D.,574,55.4,49.9-60.9
Some post-H.S.,736,61.0,56.3-65.7
College graduate,939,66.9,63.0-70.9
Arkansas,,,
Less than H.S.,286,44.8,38.7-51.0
H.S. or G.E.D.,898,47.6,44.3-50.9
Some post-H.S.,649,48.4,44.5-52.2
College graduate,814,59.1,55.5-62.7
California,,,
Less than H.S.,864,70.8,67.5-74.2
H.S. or G.E.D.,"1,245",65.9,63.1-68.7
Some post-H.S.,"1,771",68.7,66.2-71.1
College graduate,"3,077",72.6,70.7-74.5
Colorado,,,
Less than H.S.,387,56.9,52.1-61.6
H.S. or G.E.D.,"1,663",57.9,55.5-60.3
Some post-H.S.,"2,173",64.2,62.1-66.3
College graduate,"3,914",71.1,69.6-72.6
Connecticut,,,
Less than H.S.,275,58.6,52.2-65.0
H.S. or G.E.D.,"1,096",57.9,54.4-61.3
Some post-H.S.,"1,164",67.8,64.5-71.1
College graduate,"2,381",74.6,72.6-76.7
Delaware,,,
Less than H.S.,211,56.3,49.4-63.2
H.S. or G.E.D.,816,53.8,50.2-57.3
Some post-H.S.,791,60.9,57.3-64.5
College graduate,"1,198",66.9,64.1-69.8
District of Columbia,,,
Less than H.S.,146,48.5,39.4-57.6
H.S. or G.E.D.,390,59.7,53.8-65.5
Some post-H.S.,439,65.7,59.9-71.5
College graduate,"2,149",71.1,68.2-73.9
Florida,,,
Less than H.S.,"1,545",57.9,53.6-62.2
H.S. or G.E.D.,"5,406",60.1,57.8-62.5
Some post-H.S.,"5,699",60.9,58.8-62.9
College graduate,"6,665",68.7,66.8-70.6
Georgia,,,
Less than H.S.,412,50.5,45.5-55.5
H.S. or G.E.D.,"1,034",50.5,47.5-53.6
Some post-H.S.,"1,150",58.9,56.0-61.8
College graduate,"1,714",65.5,63.2-67.8
Hawaii,,,
Less than H.S.,194,64.8,58.0-71.7
H.S. or G.E.D.,"1,168",54.0,50.9-57.2
Some post-H.S.,"1,275",60.8,57.8-63.8
College graduate,"2,038",66.5,64.2-68.8
Idaho,,,
Less than H.S.,197,51.9,44.6-59.1
H.S. or G.E.D.,835,54.5,50.7-58.3
Some post-H.S.,"1,106",64.4,61.2-67.6
College graduate,"1,212",70.9,67.9-74.0
Illinois,,,
Less than H.S.,197,62.2,55.1-69.2
H.S. or G.E.D.,921,57.4,54.0-60.9
Some post-H.S.,941,63.8,60.3-67.2
College graduate,"1,452",69.2,66.5-71.9
Indiana,,,
Less than H.S.,393,45.8,41.3-50.3
H.S. or G.E.D.,"1,880",53.2,50.9-55.4
Some post-H.S.,"1,426",56.8,54.2-59.3
College graduate,"1,919",67.7,65.6-69.9
Iowa,,,
Less than H.S.,258,54.0,47.6-60.4
H.S. or G.E.D.,"1,590",55.7,53.1-58.2
Some post-H.S.,"1,400",60.5,57.8-63.2
College graduate,"1,760",70.8,68.4-73.1
Kansas,,,
Less than H.S.,762,52.5,49.4-55.7
H.S. or G.E.D.,"3,361",54.5,52.9-56.0
Some post-H.S.,"4,007",57.0,55.5-58.5
College graduate,"5,263",65.9,64.7-67.2
Kentucky,,,
Less than H.S.,572,51.1,46.3-55.9
H.S. or G.E.D.,"1,743",49.6,47.0-52.1
Some post-H.S.,"1,577",54.1,51.4-56.8
College graduate,"1,791",63.1,60.6-65.6
Louisiana,,,
Less than H.S.,226,50.0,42.8-57.2
H.S. or G.E.D.,809,50.9,47.0-54.8
Some post-H.S.,699,51.0,46.8-55.2
College graduate,999,59.9,56.3-63.5
Maine,,,
Less than H.S.,206,54.8,48.1-61.5
H.S. or G.E.D.,"1,520",60.3,57.8-62.9
Some post-H.S.,"1,391",67.0,64.4-69.6
College graduate,"2,202",76.4,74.4-78.4
Maryland,,,
Less than H.S.,412,52.4,46.7-58.0
H.S. or G.E.D.,"1,857",59.7,57.0-62.5
Some post-H.S.,"1,872",63.9,61.2-66.6
College graduate,"3,804",71.5,69.8-73.2
Massachusetts,,,
Less than H.S.,679,59.7,54.7-64.7
H.S. or G.E.D.,"1,950",63.4,60.6-66.2
Some post-H.S.,"2,128",66.0,63.4-68.6
College graduate,"4,475",73.1,71.5-74.7
Michigan,,,
Less than H.S.,309,51.8,46.5-57.1
H.S. or G.E.D.,"2,261",59.9,57.8-62.0
Some post-H.S.,"2,242",61.9,59.9-64.0
College graduate,"3,097",70.9,69.1-72.7
Minnesota,,,
Less than H.S.,305,55.0,48.0-61.9
H.S. or G.E.D.,"1,894",57.0,53.8-60.1
Some post-H.S.,"2,545",59.1,56.3-61.8
College graduate,"4,106",71.1,68.9-73.3
Mississippi,,,
Less than H.S.,487,40.7,36.2-45.1
H.S. or G.E.D.,"1,069",48.7,45.6-51.9
Some post-H.S.,927,53.0,49.6-56.3
College graduate,"1,168",57.0,53.9-60.1
Missouri,,,
Less than H.S.,326,45.8,39.9-51.7
H.S. or G.E.D.,"1,257",53.9,50.8-57.0
Some post-H.S.,"1,058",57.9,54.6-61.2
College graduate,"1,294",65.6,62.5-68.6
Montana,,,
Less than H.S.,357,52.2,46.4-58.0
H.S. or G.E.D.,"1,589",56.3,53.7-58.9
Some post-H.S.,"1,733",61.7,59.2-64.2
College graduate,"2,133",70.2,67.9-72.4
Nebraska,,,
Less than H.S.,569,56.9,51.7-62.1
H.S. or G.E.D.,"3,101",55.9,53.6-58.1
Some post-H.S.,"3,023",58.2,56.0-60.4
College graduate,"3,356",69.1,67.1-71.2
Nevada,,,
Less than H.S.,170,54.4,45.5-63.2
H.S. or G.E.D.,786,65.0,60.5-69.5
Some post-H.S.,"1,078",64.5,60.5-68.5
College graduate,"1,125",71.4,67.4-75.4
New Hampshire,,,
Less than H.S.,158,54.8,46.6-63.0
H.S. or G.E.D.,"1,018",60.1,56.8-63.3
Some post-H.S.,"1,119",67.4,64.5-70.4
College graduate,"1,807",73.5,71.3-75.7
New Jersey,,,
Less than H.S.,503,57.7,53.0-62.3
H.S. or G.E.D.,"1,993",61.6,59.1-64.1
Some post-H.S.,"1,864",63.1,60.4-65.8
College graduate,"3,560",71.3,69.4-73.1
New Mexico,,,
Less than H.S.,573,55.8,51.5-60.1
H.S. or G.E.D.,"1,358",57.0,54.0-60.1
Some post-H.S.,"1,406",59.9,57.0-62.7
College graduate,"1,946",69.9,67.4-72.3
New York,,,
Less than H.S.,485,59.8,55.1-64.5
H.S. or G.E.D.,"1,218",62.6,59.8-65.4
Some post-H.S.,"1,281",65.4,62.6-68.2
College graduate,"2,534",71.3,69.3-73.3
North Carolina,,,
Less than H.S.,572,54.6,50.5-58.6
H.S. or G.E.D.,"1,225",53.4,50.5-56.2
Some post-H.S.,"1,307",56.8,54.1-59.6
College graduate,"1,754",65.7,63.3-68.2
North Dakota,,,
Less than H.S.,271,54.7,48.0-61.3
H.S. or G.E.D.,"1,329",55.2,52.2-58.2
Some post-H.S.,"1,490",59.8,57.0-62.6
College graduate,"1,490",66.0,63.3-68.7
Ohio,,,
Less than H.S.,404,52.0,46.8-57.2
H.S. or G.E.D.,"2,120",53.6,51.2-56.0
Some post-H.S.,"1,706",58.3,55.8-60.9
College graduate,"2,365",68.8,66.7-70.9
Oklahoma,,,
Less than H.S.,404,43.8,39.3-48.2
H.S. or G.E.D.,"1,114",45.0,42.4-47.7
Some post-H.S.,"1,211",50.9,48.3-53.5
College graduate,"1,393",58.5,56.0-61.1
Oregon,,,
Less than H.S.,144,58.6,50.9-66.3
H.S. or G.E.D.,786,60.3,56.9-63.8
Some post-H.S.,"1,166",68.1,65.3-70.9
College graduate,"1,668",73.8,71.4-76.1
Pennsylvania,,,
Less than H.S.,437,53.6,48.8-58.4
H.S. or G.E.D.,"2,295",59.2,57.2-61.3
Some post-H.S.,"1,556",62.3,59.7-64.8
College graduate,"2,508",71.6,69.6-73.5
Rhode Island,,,
Less than H.S.,280,58.9,53.2-64.6
H.S. or G.E.D.,"1,003",62.8,59.6-66.1
Some post-H.S.,985,62.6,59.2-65.9
College graduate,"1,740",71.7,69.3-74.2
South Carolina,,,
Less than H.S.,570,48.4,44.2-52.6
H.S. or G.E.D.,"1,592",50.8,48.3-53.4
Some post-H.S.,"1,494",55.4,52.7-58.1
College graduate,"2,107",63.6,61.2-66.0
South Dakota,,,
Less than H.S.,273,53.5,46.1-60.8
H.S. or G.E.D.,"1,169",57.0,53.5-60.6
Some post-H.S.,"1,287",61.9,58.4-65.5
College graduate,"1,431",66.8,63.4-70.3
Tennessee,,,
Less than H.S.,299,46.2,40.3-52.2
H.S. or G.E.D.,871,53.2,49.6-56.8
Some post-H.S.,774,55.9,52.3-59.5
College graduate,957,63.2,59.9-66.4
Texas,,,
Less than H.S.,843,55.6,51.4-59.7
H.S. or G.E.D.,"1,258",53.4,50.3-56.4
Some post-H.S.,"1,475",57.5,54.6-60.3
College graduate,"2,290",62.8,60.3-65.3
Utah,,,
Less than H.S.,307,55.2,49.9-60.5
H.S. or G.E.D.,"1,720",56.3,54.1-58.6
Some post-H.S.,"2,633",64.2,62.4-66.1
College graduate,"3,175",72.4,70.8-74.1
Vermont,,,
Less than H.S.,176,57.2,50.0-64.5
H.S. or G.E.D.,"1,139",63.2,60.3-66.1
Some post-H.S.,943,64.6,61.2-67.9
College graduate,"1,938",76.1,74.0-78.1
Virginia,,,
Less than H.S.,358,51.8,46.7-57.0
H.S. or G.E.D.,"1,118",58.9,56.0-61.8
Some post-H.S.,"1,249",63.2,60.2-66.2
College graduate,"2,192",69.1,66.9-71.2
Washington,,,
Less than H.S.,300,52.4,46.9-58.0
H.S. or G.E.D.,"1,452",59.1,56.5-61.7
Some post-H.S.,"2,158",63.8,61.7-66.0
College graduate,"3,210",70.7,69.0-72.5
West Virginia,,,
Less than H.S.,313,42.6,38.2-46.9
