Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,80,22.2,16.6-27.8
H.S. or G.E.D.,214,13.6,11.5-15.7
Some post-H.S.,184,12.6,10.5-14.8
College graduate,177,9.0,7.5-10.6
Alaska,,,
Less than H.S.,46,19.0,12.2-25.8
H.S. or G.E.D.,190,12.0,9.4-14.6
Some post-H.S.,238,11.8,9.6-14.1
College graduate,193,7.3,5.8-8.8
Arizona,,,
Less than H.S.,127,18.2,14.3-22.1
H.S. or G.E.D.,319,12.6,10.8-14.4
Some post-H.S.,493,12.6,11.2-14.0
College graduate,377,6.7,5.8-7.7
Arkansas,,,
Less than H.S.,117,23.2,18.0-28.5
H.S. or G.E.D.,326,16.4,14.0-18.7
Some post-H.S.,270,13.9,11.7-16.1
College graduate,174,7.3,5.9-8.8
California,,,
Less than H.S.,158,14.8,12.2-17.4
H.S. or G.E.D.,150,10.0,8.2-11.9
Some post-H.S.,206,10.5,8.6-12.4
College graduate,246,7.1,5.9-8.4
Colorado,,,
Less than H.S.,104,14.2,11.2-17.3
H.S. or G.E.D.,291,11.7,10.1-13.2
Some post-H.S.,340,11.4,10.0-12.8
College graduate,340,5.6,4.9-6.3
Connecticut,,,
Less than H.S.,67,16.4,11.7-21.1
H.S. or G.E.D.,227,9.9,8.2-11.5
Some post-H.S.,228,9.4,7.8-11.1
College graduate,265,5.8,4.9-6.7
Delaware,,,
Less than H.S.,48,19.7,13.4-26.0
H.S. or G.E.D.,131,12.1,9.4-14.8
Some post-H.S.,124,11.6,9.0-14.2
College graduate,112,6.1,4.7-7.5
District of Columbia,,,
Less than H.S.,30,17.4,10.3-24.4
H.S. or G.E.D.,66,12.4,8.5-16.2
Some post-H.S.,49,9.0,5.9-12.2
College graduate,109,4.0,3.0-5.0
Georgia,,,
Less than H.S.,147,20.4,16.1-24.7
H.S. or G.E.D.,330,11.6,9.8-13.4
Some post-H.S.,324,11.7,9.8-13.5
College graduate,293,6.8,5.6-7.9
Hawaii,,,
Less than H.S.,31,13.2,7.6-18.8
H.S. or G.E.D.,189,7.3,6.0-8.6
Some post-H.S.,197,7.8,6.3-9.3
College graduate,249,6.0,5.0-7.0
Idaho,,,
Less than H.S.,76,15.9,11.9-19.9
H.S. or G.E.D.,247,12.0,10.2-13.9
Some post-H.S.,285,10.2,8.8-11.6
College graduate,209,7.2,6.0-8.3
Illinois,,,
