Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,165,26.9,22.2-31.6
H.S. or G.E.D.,414,16.3,14.4-18.2
Some post-H.S.,370,15.6,13.7-17.4
College graduate,253,9.1,7.8-10.5
Alaska,,,
Less than H.S.,28,18.4,9.9-27.0
H.S. or G.E.D.,108,8.9,6.2-11.6
Some post-H.S.,127,11.8,8.7-14.8
College graduate,89,5.6,3.8-7.4
Arizona,,,
Less than H.S.,163,20.5,15.6-25.4
H.S. or G.E.D.,362,12.3,10.3-14.4
Some post-H.S.,496,15.7,13.5-17.8
College graduate,337,6.9,5.7-8.0
Arkansas,,,
Less than H.S.,151,27.9,22.5-33.3
H.S. or G.E.D.,394,18.1,15.7-20.5
Some post-H.S.,303,17.7,15.1-20.2
College graduate,183,8.6,6.8-10.5
California,,,
Less than H.S.,329,16.8,14.8-18.9
H.S. or G.E.D.,271,11.1,9.6-12.6
Some post-H.S.,420,13.1,11.6-14.7
College graduate,421,7.3,6.4-8.3
Colorado,,,
Less than H.S.,92,12.2,9.5-14.9
H.S. or G.E.D.,277,12.6,11.0-14.3
Some post-H.S.,300,11.2,9.8-12.6
College graduate,375,6.8,6.0-7.7
Connecticut,,,
Less than H.S.,99,20.2,15.9-24.5
H.S. or G.E.D.,323,12.6,10.8-14.4
Some post-H.S.,298,11.1,9.5-12.8
College graduate,332,6.0,5.2-6.8
Delaware,,,
Less than H.S.,81,20.9,14.5-27.3
H.S. or G.E.D.,162,13.9,11.1-16.6
Some post-H.S.,159,13.5,10.8-16.2
College graduate,143,6.9,5.4-8.4
District of Columbia,,,
Less than H.S.,28,20.2,11.8-28.6
H.S. or G.E.D.,73,13.2,9.6-16.9
Some post-H.S.,64,10.0,7.2-12.9
College graduate,115,5.9,4.4-7.4
Florida,,,
Less than H.S.,477,24.0,19.4-28.5
H.S. or G.E.D.,921,15.0,12.9-17.1
Some post-H.S.,856,14.6,12.7-16.6
College graduate,552,7.1,5.7-8.4
Georgia,,,
Less than H.S.,212,19.4,15.6-23.2
H.S. or G.E.D.,346,15.6,13.3-18.0
Some post-H.S.,337,13.4,11.1-15.7
College graduate,225,7.5,5.9-9.1
Hawaii,,,
Less than H.S.,62,15.6,10.8-20.3
H.S. or G.E.D.,284,11.4,9.8-12.9
Some post-H.S.,291,12.0,10.2-13.7
College graduate,271,6.9,5.9-7.9
Idaho,,,
Less than H.S.,84,22.8,16.3-29.2
H.S. or G.E.D.,257,12.8,10.6-15.0
Some post-H.S.,300,13.5,11.3-15.7
College graduate,176,8.1,6.2-10.0
Illinois,,,
Less than H.S.,80,18.1,14.0-22.3
H.S. or G.E.D.,186,13.2,11.2-15.3
Some post-H.S.,202,12.3,10.5-14.2
College graduate,194,6.9,5.8-8.0
Indiana,,,
Less than H.S.,155,23.2,19.3-27.0
H.S. or G.E.D.,506,14.2,12.8-15.7
Some post-H.S.,408,14.9,13.3-16.5
College graduate,262,7.1,6.1-8.2
Iowa,,,
Less than H.S.,89,16.4,12.8-20.0
H.S. or G.E.D.,375,10.8,9.6-12.0
Some post-H.S.,363,10.3,9.1-11.5
College graduate,243,6.4,5.5-7.3
Kansas,,,
Less than H.S.,91,18.7,14.5-23.0
H.S. or G.E.D.,408,12.4,11.0-13.7
Some post-H.S.,473,12.0,10.8-13.3
College graduate,366,7.9,7.0-8.9
Kentucky,,,
Less than H.S.,225,31.4,26.0-36.7
H.S. or G.E.D.,517,18.6,16.3-21.0
Some post-H.S.,391,13.4,11.5-15.3
College graduate,271,8.7,6.7-10.7
Louisiana,,,
Less than H.S.,152,28.9,24.1-33.8
H.S. or G.E.D.,273,16.0,13.9-18.1
Some post-H.S.,178,12.5,10.3-14.6
College graduate,130,7.1,5.7-8.5
Maine,,,
Less than H.S.,142,25.5,19.6-31.4
H.S. or G.E.D.,635,16.7,14.9-18.5
Some post-H.S.,538,14.4,12.6-16.3
College graduate,411,7.7,6.5-8.8
Maryland,,,
Less than H.S.,240,18.7,15.3-22.1
H.S. or G.E.D.,661,11.2,9.9-12.4
Some post-H.S.,578,10.9,9.6-12.2
College graduate,656,5.9,5.2-6.5
Massachusetts,,,
