Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,112,27.2,20.6-33.8
H.S. or G.E.D.,235,15.6,13.1-18.1
Some post-H.S.,210,12.5,10.4-14.5
College graduate,153,7.7,6.3-9.2
Alaska,,,
Less than H.S.,55,13.1,8.7-17.5
H.S. or G.E.D.,227,12.9,10.8-15.0
Some post-H.S.,282,13.1,11.2-15.0
College graduate,227,8.5,7.0-9.9
Arizona,,,
Less than H.S.,151,19.1,14.6-23.5
H.S. or G.E.D.,331,12.8,10.6-15.0
Some post-H.S.,616,15.6,13.8-17.5
College graduate,449,9.2,7.7-10.7
Arkansas,,,
Less than H.S.,139,33.4,27.5-39.3
H.S. or G.E.D.,382,18.1,15.9-20.3
Some post-H.S.,268,16.9,14.6-19.3
College graduate,174,8.0,6.6-9.4
California,,,
Less than H.S.,153,18.4,14.8-22.1
H.S. or G.E.D.,250,11.2,9.4-13.0
Some post-H.S.,425,13.5,11.9-15.2
College graduate,507,8.6,7.5-9.8
Colorado,,,
Less than H.S.,89,15.6,12.0-19.2
H.S. or G.E.D.,215,11.3,9.5-13.1
Some post-H.S.,330,13.3,11.4-15.2
College graduate,437,9.1,8.0-10.1
Connecticut,,,
Less than H.S.,96,17.0,12.0-21.9
H.S. or G.E.D.,312,14.4,11.9-16.8
Some post-H.S.,321,12.8,10.9-14.7
College graduate,416,7.3,6.3-8.3
Delaware,,,
Less than H.S.,61,24.4,17.0-31.9
H.S. or G.E.D.,129,12.1,9.3-14.9
Some post-H.S.,153,13.7,10.7-16.7
College graduate,130,6.5,5.1-8.0
District of Columbia,,,
Less than H.S.,19,13.6,6.9-20.3
H.S. or G.E.D.,70,13.1,8.9-17.3
Some post-H.S.,59,11.6,7.8-15.3
College graduate,122,4.3,3.4-5.3
Florida,,,
Less than H.S.,210,23.4,17.4-29.3
H.S. or G.E.D.,610,13.5,11.2-15.7
Some post-H.S.,664,13.6,11.7-15.6
College graduate,502,7.7,6.4-9.1
Georgia,,,
Less than H.S.,182,24.4,19.9-28.8
H.S. or G.E.D.,402,13.9,12.0-15.9
Some post-H.S.,395,13.9,12.0-15.9
College graduate,330,6.9,5.8-8.1
Hawaii,,,
