Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,346,94.5,91.6-97.3
H.S. or G.E.D.,"1,107",89.5,87.3-91.7
Some post-H.S.,"1,160",85.4,83.0-87.7
College graduate,"1,248",85.7,83.6-87.9
Alaska,,,
Less than H.S.,247,92.9,89.5-96.3
H.S. or G.E.D.,"1,250",86.6,84.5-88.8
Some post-H.S.,"1,370",81.5,79.1-83.9
College graduate,"1,921",83.6,81.5-85.6
Arizona,,,
Less than H.S.,600,97.1,95.7-98.4
H.S. or G.E.D.,"1,853",89.8,88.0-91.7
Some post-H.S.,"2,715",84.2,82.3-86.1
College graduate,"3,353",87.6,86.2-89.1
Arkansas,,,
Less than H.S.,350,94.6,92.3-97.0
H.S. or G.E.D.,"1,496",89.8,88.0-91.5
Some post-H.S.,"1,158",86.9,84.8-89.0
College graduate,"1,462",86.9,85.0-88.8
California,,,
Less than H.S.,728,97.6,96.2-98.9
H.S. or G.E.D.,"1,805",89.2,87.2-91.2
Some post-H.S.,"2,378",88.2,86.7-89.8
College graduate,"4,779",93.1,92.3-94.0
Colorado,,,
Less than H.S.,515,97.2,95.8-98.6
H.S. or G.E.D.,"1,555",91.3,89.8-92.8
Some post-H.S.,"1,980",86.4,84.5-88.3
College graduate,"4,052",89.9,88.9-90.9
Connecticut,,,
Less than H.S.,486,98.1,97.2-99.1
H.S. or G.E.D.,"1,735",91.0,89.3-92.7
Some post-H.S.,"1,861",91.5,90.1-92.9
College graduate,"4,449",93.2,92.3-94.1
Delaware,,,
Less than H.S.,235,94.9,91.9-98.0
H.S. or G.E.D.,902,88.3,85.8-90.7
Some post-H.S.,871,84.3,81.3-87.3
College graduate,"1,373",88.4,86.4-90.3
District of Columbia,,,
Less than H.S.,118,97.6,93.4-100.0
H.S. or G.E.D.,422,91.8,88.4-95.2
Some post-H.S.,389,92.8,90.0-95.6
College graduate,"2,036",94.7,93.4-95.9
Florida,,,
Less than H.S.,752,94.8,92.2-97.4
H.S. or G.E.D.,"2,848",86.5,84.5-88.6
Some post-H.S.,"3,213",84.6,82.3-87.0
College graduate,"4,041",85.9,84.1-87.7
Georgia,,,
Less than H.S.,652,95.6,93.7-97.4
H.S. or G.E.D.,"1,893",89.5,87.8-91.2
Some post-H.S.,"2,001",84.9,82.9-86.9
College graduate,"3,102",88.9,87.6-90.2
Hawaii,,,
Less than H.S.,224,97.2,94.8-99.5
H.S. or G.E.D.,"1,690",87.2,85.1-89.2
Some post-H.S.,"1,856",85.7,83.7-87.7
College graduate,"2,935",87.1,85.6-88.7
Idaho,,,
Less than H.S.,328,92.8,88.8-96.7
H.S. or G.E.D.,"1,446",90.2,88.6-91.8
Some post-H.S.,"1,660",83.7,81.9-85.5
College graduate,"1,936",87.9,86.4-89.4
Illinois,,,
Less than H.S.,341,98.5,96.6-100.0
H.S. or G.E.D.,841,93.0,90.9-95.1
Some post-H.S.,899,88.2,85.7-90.6
College graduate,"1,617",92.2,90.6-93.8
Indiana,,,
Less than H.S.,601,95.6,94.0-97.3
H.S. or G.E.D.,"2,702",90.2,89.0-91.5
Some post-H.S.,"2,401",88.4,87.1-89.8
