Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,333,91.7,87.8-95.6
H.S. or G.E.D.,"1,111",88.3,85.9-90.7
Some post-H.S.,"1,093",85.0,82.6-87.5
College graduate,"1,412",85.2,83.2-87.3
Alaska,,,
Less than H.S.,208,91.6,86.8-96.4
H.S. or G.E.D.,"1,178",86.5,84.0-89.1
Some post-H.S.,"1,293",80.4,77.6-83.1
College graduate,"1,775",81.3,78.9-83.8
Arizona,,,
Less than H.S.,616,95.8,93.6-97.9
H.S. or G.E.D.,"1,992",89.6,88.0-91.2
Some post-H.S.,"2,859",84.9,83.3-86.5
College graduate,"3,539",86.8,85.5-88.1
Arkansas,,,
Less than H.S.,364,93.9,90.8-96.9
H.S. or G.E.D.,"1,479",88.9,86.9-90.9
Some post-H.S.,"1,238",86.6,84.4-88.8
College graduate,"1,434",88.1,86.3-89.9
California,,,
Less than H.S.,901,99.0,98.3-99.8
H.S. or G.E.D.,"1,059",91.3,89.4-93.1
Some post-H.S.,"1,365",89.0,87.0-91.0
College graduate,"2,792",93.2,92.2-94.2
Colorado,,,
Less than H.S.,697,97.2,95.2-99.1
H.S. or G.E.D.,"1,810",89.3,87.8-90.8
Some post-H.S.,"2,157",85.7,84.2-87.2
College graduate,"4,332",88.4,87.4-89.4
Connecticut,,,
Less than H.S.,396,96.0,93.6-98.4
H.S. or G.E.D.,"1,640",90.7,89.0-92.4
Some post-H.S.,"1,716",90.7,89.1-92.4
College graduate,"3,710",93.1,92.2-94.0
Delaware,,,
Less than H.S.,222,93.2,88.5-97.8
H.S. or G.E.D.,807,89.0,86.6-91.4
Some post-H.S.,791,85.8,83.2-88.4
College graduate,"1,269",88.5,86.7-90.3
District of Columbia,,,
Less than H.S.,127,92.9,88.4-97.5
H.S. or G.E.D.,419,94.2,92.0-96.4
Some post-H.S.,377,91.2,87.7-94.7
College graduate,"1,974",94.9,93.9-96.0
Georgia,,,
Less than H.S.,611,94.0,91.8-96.2
H.S. or G.E.D.,"1,868",89.9,88.2-91.7
Some post-H.S.,"1,718",82.9,80.6-85.2
College graduate,"2,644",87.8,86.4-89.2
Hawaii,,,
Less than H.S.,181,85.0,77.4-92.5
H.S. or G.E.D.,"1,700",86.5,84.5-88.5
Some post-H.S.,"1,875",83.5,81.2-85.7
College graduate,"2,938",84.9,83.2-86.5
Idaho,,,
Less than H.S.,388,95.5,93.2-97.8
H.S. or G.E.D.,"1,518",90.3,88.7-91.9
Some post-H.S.,"1,895",86.2,84.4-87.9
College graduate,"2,033",86.0,84.4-87.6
Illinois,,,
Less than H.S.,106,93.8,88.0-99.6
H.S. or G.E.D.,650,92.0,89.6-94.3
Some post-H.S.,692,87.5,84.7-90.3
College graduate,"1,414",92.8,91.4-94.2
Indiana,,,
Less than H.S.,560,95.4,93.6-97.2
H.S. or G.E.D.,"2,538",88.9,87.7-90.2
Some post-H.S.,"2,236",88.2,86.8-89.5
College graduate,"3,358",92.5,91.6-93.4
Iowa,,,
Less than H.S.,640,96.1,94.0-98.2
H.S. or G.E.D.,"2,608",89.2,87.9-90.6
Some post-H.S.,"2,384",88.6,87.2-90.0
College graduate,"2,839",92.6,91.5-93.6
Kansas,,,
Less than H.S.,568,94.8,93.1-96.6
H.S. or G.E.D.,"3,803",89.6,88.6-90.6
Some post-H.S.,"4,636",88.4,87.5-89.4
College graduate,"6,306",89.9,89.2-90.6
Kentucky,,,
Less than H.S.,436,95.7,93.5-98.0
H.S. or G.E.D.,"1,555",88.9,87.0-90.9
Some post-H.S.,"1,336",89.1,87.2-91.0
College graduate,"1,447",89.4,87.7-91.1
Louisiana,,,
Less than H.S.,369,95.8,93.8-97.8
