Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,100,66.7,57.3-76.0
H.S. or G.E.D.,327,69.6,64.5-74.6
Some post-H.S.,351,67.4,62.5-72.4
College graduate,418,73.7,68.8-78.6
Alaska,,,
Less than H.S.,30,61.7,43.2-80.3
H.S. or G.E.D.,187,56.4,49.5-63.3
Some post-H.S.,337,65.3,60.1-70.4
College graduate,513,67.4,62.6-72.2
Arizona,,,
Less than H.S.,119,64.5,54.2-74.7
H.S. or G.E.D.,433,60.6,54.9-66.3
Some post-H.S.,835,69.6,65.5-73.7
College graduate,"1,226",76.6,73.2-80.1
Arkansas,,,
Less than H.S.,83,56.2,46.6-65.7
H.S. or G.E.D.,445,71.7,67.5-75.8
Some post-H.S.,373,71.3,66.7-75.8
College graduate,467,75.8,71.9-79.6
California,,,
Less than H.S.,72,56.3,45.2-67.5
H.S. or G.E.D.,223,59.6,52.3-67.0
Some post-H.S.,478,66.2,61.0-71.3
College graduate,850,68.8,64.8-72.7
Colorado,,,
Less than H.S.,47,66.4,51.1-81.7
H.S. or G.E.D.,276,73.7,68.1-79.3
Some post-H.S.,442,75.3,70.1-80.4
College graduate,920,81.8,79.2-84.3
Connecticut,,,
Less than H.S.,70,54.3,38.2-70.3
H.S. or G.E.D.,337,70.3,63.7-76.9
Some post-H.S.,424,75.6,71.1-80.1
College graduate,"1,081",77.0,73.5-80.4
Delaware,,,
Less than H.S.,40,73.0,59.4-86.5
H.S. or G.E.D.,270,76.4,70.9-82.0
Some post-H.S.,270,70.3,64.1-76.6
College graduate,416,77.4,72.8-82.1
District of Columbia,,,
Less than H.S.,24,*,
H.S. or G.E.D.,84,70.1,60.1-80.1
Some post-H.S.,98,71.2,61.2-81.2
College graduate,474,80.2,76.1-84.4
Florida,,,
Less than H.S.,154,51.8,37.7-65.9
H.S. or G.E.D.,852,64.6,59.6-69.6
Some post-H.S.,"1,059",67.0,62.4-71.6
College graduate,"1,469",70.7,66.4-75.1
Georgia,,,
Less than H.S.,154,61.5,52.6-70.3
H.S. or G.E.D.,565,67.7,63.1-72.3
Some post-H.S.,619,77.5,73.8-81.3
College graduate,946,79.8,76.7-82.9
Hawaii,,,
Less than H.S.,42,61.1,42.7-79.6
H.S. or G.E.D.,260,51.3,44.8-57.9
Some post-H.S.,500,61.5,56.7-66.2
College graduate,868,69.1,65.6-72.6
Idaho,,,
Less than H.S.,37,57.3,44.3-70.3
H.S. or G.E.D.,281,66.2,61.1-71.3
Some post-H.S.,438,68.1,63.9-72.4
College graduate,509,75.8,72.1-79.5
Illinois,,,
Less than H.S.,42,58.5,44.5-72.5
H.S. or G.E.D.,140,66.0,57.1-75.0
Some post-H.S.,194,67.8,60.2-75.5
College graduate,278,72.3,65.9-78.7
Indiana,,,
Less than H.S.,112,57.8,48.9-66.8
H.S. or G.E.D.,725,70.7,67.2-74.2
Some post-H.S.,590,72.5,68.6-76.3
College graduate,853,77.1,74.0-80.2
Iowa,,,
Less than H.S.,76,63.5,51.5-75.5
H.S. or G.E.D.,704,70.6,66.9-74.3
Some post-H.S.,609,73.5,69.5-77.4
College graduate,719,78.6,75.5-81.8
Kansas,,,
Less than H.S.,85,57.4,47.2-67.6
H.S. or G.E.D.,740,68.0,64.4-71.6
Some post-H.S.,925,76.9,73.8-80.1
College graduate,"1,230",78.4,75.8-81.0
Kentucky,,,
Less than H.S.,95,63.4,53.2-73.6
H.S. or G.E.D.,228,58.4,51.2-65.5
Some post-H.S.,241,71.6,64.4-78.9
College graduate,233,72.6,65.1-80.0
Louisiana,,,
Less than H.S.,89,60.0,50.1-69.8
H.S. or G.E.D.,347,63.2,58.0-68.4
Some post-H.S.,326,71.1,65.9-76.3
College graduate,509,77.8,73.7-81.8
Maine,,,
Less than H.S.,83,65.6,55.0-76.2
H.S. or G.E.D.,710,68.7,65.0-72.4
Some post-H.S.,853,73.5,70.3-76.8
College graduate,"1,534",73.9,71.4-76.4
Maryland,,,
