Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,80,56.4,46.2-66.7
H.S. or G.E.D.,332,71.2,66.4-76.0
Some post-H.S.,310,72.4,67.2-77.6
College graduate,432,76.2,72.0-80.3
Alaska,,,
Less than H.S.,30,64.8,48.6-81.0
H.S. or G.E.D.,176,61.1,54.2-68.1
Some post-H.S.,312,59.5,53.3-65.7
College graduate,483,72.3,67.6-76.9
Arizona,,,
Less than H.S.,94,49.8,39.8-59.9
H.S. or G.E.D.,398,64.8,59.2-70.3
Some post-H.S.,898,71.7,68.0-75.4
College graduate,"1,110",75.5,72.4-78.5
Arkansas,,,
Less than H.S.,131,64.2,55.8-72.7
H.S. or G.E.D.,619,69.4,65.4-73.3
Some post-H.S.,524,72.3,68.1-76.6
College graduate,624,75.9,72.3-79.6
California,,,
Less than H.S.,77,44.6,33.9-55.3
H.S. or G.E.D.,158,71.0,63.2-78.9
Some post-H.S.,295,69.2,63.2-75.2
College graduate,587,67.4,62.6-72.2
Colorado,,,
Less than H.S.,61,55.4,41.7-69.2
H.S. or G.E.D.,320,74.4,69.3-79.4
Some post-H.S.,504,77.6,73.9-81.3
College graduate,988,79.0,76.5-81.6
Connecticut,,,
Less than H.S.,63,62.4,48.4-76.4
H.S. or G.E.D.,291,70.0,64.5-75.6
Some post-H.S.,363,76.4,71.5-81.2
College graduate,761,76.3,73.1-79.5
Delaware,,,
Less than H.S.,32,*,
H.S. or G.E.D.,213,72.9,66.8-79.1
Some post-H.S.,230,73.2,66.7-79.7
College graduate,360,73.5,68.5-78.5
District of Columbia,,,
Less than H.S.,31,61.6,46.7-76.6
H.S. or G.E.D.,87,67.7,58.0-77.3
Some post-H.S.,96,67.5,57.6-77.3
College graduate,439,78.2,73.9-82.6
Georgia,,,
Less than H.S.,161,61.8,54.1-69.5
H.S. or G.E.D.,523,67.7,63.2-72.2
Some post-H.S.,545,71.8,67.1-76.5
College graduate,805,76.7,72.9-80.4
Hawaii,,,
Less than H.S.,31,41.2,24.6-57.9
H.S. or G.E.D.,271,53.2,47.1-59.4
Some post-H.S.,458,63.3,58.2-68.3
College graduate,825,68.3,64.7-71.9
Idaho,,,
