Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,115,56.2,46.9-65.5
H.S. or G.E.D.,349,66.3,60.6-71.9
Some post-H.S.,339,69.9,64.9-74.9
College graduate,426,71.7,66.9-76.5
Alaska,,,
Less than H.S.,23,53.1,30.2-75.9
H.S. or G.E.D.,126,53.5,43.2-63.8
Some post-H.S.,205,62.5,54.8-70.2
College graduate,334,78.2,72.8-83.6
Arizona,,,
Less than H.S.,123,58.0,48.7-67.3
H.S. or G.E.D.,504,69.2,64.1-74.4
Some post-H.S.,763,72.3,68.4-76.2
College graduate,"1,079",78.4,75.1-81.7
Arkansas,,,
Less than H.S.,161,69.8,63.0-76.6
H.S. or G.E.D.,538,68.7,64.6-72.8
Some post-H.S.,478,76.0,71.8-80.3
College graduate,529,71.7,67.4-76.0
California,,,
Less than H.S.,45,53.1,39.8-66.5
H.S. or G.E.D.,115,75.8,67.0-84.6
Some post-H.S.,217,69.2,62.2-76.2
College graduate,396,71.4,65.6-77.1
Colorado,,,
Less than H.S.,75,59.9,49.3-70.4
H.S. or G.E.D.,358,73.4,68.6-78.1
Some post-H.S.,547,75.2,71.4-79.0
College graduate,"1,105",80.5,78.0-83.0
Connecticut,,,
Less than H.S.,79,45.4,33.3-57.5
H.S. or G.E.D.,446,77.0,72.2-81.8
Some post-H.S.,453,73.3,68.4-78.2
College graduate,913,75.2,71.4-79.0
Delaware,,,
Less than H.S.,45,51.8,35.6-68.0
H.S. or G.E.D.,239,71.2,63.9-78.5
Some post-H.S.,240,75.4,69.4-81.4
College graduate,342,75.2,69.5-80.8
District of Columbia,,,
Less than H.S.,28,*,
H.S. or G.E.D.,93,69.3,60.5-78.2
Some post-H.S.,111,66.6,57.6-75.5
College graduate,502,76.6,72.7-80.4
Florida,,,
Less than H.S.,203,40.4,29.3-51.5
H.S. or G.E.D.,803,66.8,61.8-71.8
Some post-H.S.,980,66.9,62.1-71.6
College graduate,"1,169",71.1,66.9-75.3
Georgia,,,
Less than H.S.,216,63.0,56.2-69.7
H.S. or G.E.D.,592,71.5,67.3-75.8
Some post-H.S.,563,72.8,68.3-77.3
College graduate,777,77.6,73.6-81.5
Hawaii,,,
Less than H.S.,35,49.0,33.2-64.8
H.S. or G.E.D.,270,60.4,54.4-66.4
Some post-H.S.,441,61.6,56.9-66.2
College graduate,730,67.4,63.4-71.4
Idaho,,,
Less than H.S.,67,68.8,56.8-80.9
H.S. or G.E.D.,307,69.2,63.3-75.2
Some post-H.S.,496,72.2,67.4-77.1
College graduate,409,73.1,68.1-78.0
Illinois,,,
Less than H.S.,32,54.4,38.4-70.4
H.S. or G.E.D.,226,62.2,55.5-68.9
Some post-H.S.,207,65.0,58.3-71.7
College graduate,276,71.3,65.9-76.7
Indiana,,,
Less than H.S.,101,67.8,59.4-76.1
H.S. or G.E.D.,698,72.6,69.3-75.8
Some post-H.S.,526,74.5,70.9-78.1
College graduate,628,76.2,72.9-79.4
Iowa,,,
Less than H.S.,79,67.2,56.8-77.6
H.S. or G.E.D.,744,74.5,71.4-77.5
Some post-H.S.,653,75.6,72.2-78.9
College graduate,737,77.5,74.5-80.5
Kansas,,,
Less than H.S.,80,64.4,54.1-74.7
H.S. or G.E.D.,671,69.7,66.3-73.1
Some post-H.S.,786,74.8,71.6-77.9
College graduate,"1,109",79.7,77.3-82.0
Kentucky,,,
Less than H.S.,106,71.3,62.3-80.2
