Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,98,58.8,48.5-69.0
H.S. or G.E.D.,321,62.6,56.8-68.4
Some post-H.S.,332,64.2,59.1-69.2
College graduate,429,76.7,72.2-81.2
Alaska,,,
Less than H.S.,31,59.6,41.4-77.8
H.S. or G.E.D.,183,54.7,47.9-61.5
Some post-H.S.,305,55.9,50.4-61.3
College graduate,548,71.4,67.0-75.8
Arizona,,,
Less than H.S.,112,61.2,51.4-70.9
H.S. or G.E.D.,396,58.8,53.1-64.6
Some post-H.S.,707,57.5,53.2-61.8
College graduate,"1,146",70.1,66.5-73.6
Arkansas,,,
Less than H.S.,88,50.9,41.6-60.2
H.S. or G.E.D.,427,67.6,63.4-71.8
Some post-H.S.,360,68.5,64.0-73.0
College graduate,470,74.6,70.7-78.4
California,,,
Less than H.S.,83,66.7,57.0-76.3
H.S. or G.E.D.,241,62.9,55.9-69.9
Some post-H.S.,487,65.1,60.1-70.1
College graduate,950,72.3,68.5-76.1
Colorado,,,
Less than H.S.,59,74.8,62.7-87.0
H.S. or G.E.D.,260,67.2,61.1-73.3
Some post-H.S.,411,72.5,68.1-76.9
College graduate,957,80.8,78.1-83.5
Connecticut,,,
Less than H.S.,81,69.4,56.9-82.0
H.S. or G.E.D.,381,71.9,65.4-78.4
Some post-H.S.,453,77.6,73.4-81.9
College graduate,"1,180",81.3,78.6-84.1
Delaware,,,
Less than H.S.,39,72.3,59.5-85.1
H.S. or G.E.D.,250,64.6,57.9-71.3
Some post-H.S.,262,63.1,56.5-69.7
College graduate,429,74.7,69.8-79.6
District of Columbia,,,
Less than H.S.,25,*,
H.S. or G.E.D.,83,69.0,59.1-78.9
Some post-H.S.,96,70.0,60.6-79.3
College graduate,504,81.3,77.4-85.2
Florida,,,
Less than H.S.,143,44.2,30.3-58.0
H.S. or G.E.D.,789,61.0,55.8-66.2
Some post-H.S.,985,63.5,58.8-68.2
College graduate,"1,462",71.4,67.4-75.5
Georgia,,,
Less than H.S.,161,59.6,51.0-68.1
H.S. or G.E.D.,538,62.6,58.2-67.1
Some post-H.S.,561,65.9,61.7-70.2
College graduate,935,77.1,73.8-80.4
Hawaii,,,
Less than H.S.,47,75.1,62.7-87.6
H.S. or G.E.D.,319,62.2,56.1-68.4
Some post-H.S.,550,68.7,64.2-73.2
College graduate,959,75.4,72.2-78.5
Idaho,,,
Less than H.S.,33,47.2,33.6-60.9
H.S. or G.E.D.,268,59.5,54.2-64.8
Some post-H.S.,374,56.2,51.8-60.6
College graduate,491,71.6,67.7-75.4
Illinois,,,
Less than H.S.,49,56.5,42.2-70.9
H.S. or G.E.D.,133,61.9,52.8-70.9
Some post-H.S.,183,64.2,56.7-71.8
College graduate,287,70.5,64.1-76.9
Indiana,,,
Less than H.S.,96,52.4,43.6-61.3
H.S. or G.E.D.,697,66.1,62.4-69.8
Some post-H.S.,546,66.9,62.9-70.9
College graduate,863,77.0,73.9-80.0
Iowa,,,
Less than H.S.,84,67.9,56.6-79.1
H.S. or G.E.D.,714,68.1,64.4-71.8
Some post-H.S.,610,72.8,69.0-76.6
College graduate,740,77.4,74.1-80.7
Kansas,,,
Less than H.S.,94,67.8,58.7-76.9
H.S. or G.E.D.,700,64.2,60.5-67.9
Some post-H.S.,851,68.9,65.3-72.4
College graduate,"1,249",76.6,73.8-79.4
Kentucky,,,
Less than H.S.,94,55.3,44.1-66.5
H.S. or G.E.D.,236,59.8,52.7-66.9
Some post-H.S.,226,70.4,63.4-77.4
College graduate,254,72.7,65.4-80.0
Louisiana,,,
Less than H.S.,86,56.1,46.3-66.0
H.S. or G.E.D.,332,60.7,55.6-65.9
Some post-H.S.,317,66.5,61.2-71.8
College graduate,502,72.5,68.2-76.7
Maine,,,
Less than H.S.,93,67.7,57.2-78.2
H.S. or G.E.D.,734,71.0,67.6-74.4
Some post-H.S.,849,72.0,68.7-75.3
College graduate,"1,670",80.1,77.9-82.3
Maryland,,,
Less than H.S.,166,67.0,57.9-76.1
H.S. or G.E.D.,892,69.5,65.3-73.6
Some post-H.S.,871,73.5,69.8-77.3
College graduate,"1,969",79.5,76.9-82.0
Massachusetts,,,
Less than H.S.,107,65.5,54.9-76.1
H.S. or G.E.D.,385,71.2,66.0-76.5
Some post-H.S.,467,71.4,66.5-76.3
College graduate,"1,273",79.6,76.9-82.4
Michigan,,,
Less than H.S.,59,59.3,47.4-71.3
H.S. or G.E.D.,628,71.7,68.3-75.0
Some post-H.S.,793,74.7,71.7-77.7
College graduate,"1,221",81.3,79.0-83.5
Minnesota,,,
Less than H.S.,89,69.9,59.7-80.2
H.S. or G.E.D.,683,68.0,64.2-71.8
Some post-H.S.,"1,030",72.4,69.5-75.3
College graduate,"1,759",81.5,79.4-83.5
Mississippi,,,
Less than H.S.,59,48.6,38.1-59.1
H.S. or G.E.D.,155,56.6,48.8-64.5
Some post-H.S.,202,62.8,56.0-69.6
College graduate,217,71.3,65.5-77.1
Missouri,,,
Less than H.S.,88,56.9,46.4-67.3
H.S. or G.E.D.,503,63.8,59.2-68.3
Some post-H.S.,475,72.3,67.6-76.9
College graduate,604,73.4,69.3-77.5
Montana,,,
Less than H.S.,48,53.4,40.5-66.3
H.S. or G.E.D.,393,59.8,55.3-64.4
Some post-H.S.,503,59.8,55.7-63.9
College graduate,842,73.0,69.9-76.0
Nebraska,,,
Less than H.S.,74,67.7,58.0-77.4
H.S. or G.E.D.,653,69.9,66.4-73.4
Some post-H.S.,602,71.2,67.6-74.9
College graduate,723,78.9,75.8-82.0
Nevada,,,
Less than H.S.,22,42.8,25.1-60.4
H.S. or G.E.D.,134,52.2,42.5-62.0
Some post-H.S.,206,63.3,55.7-71.0
College graduate,294,70.9,63.7-78.2
New Hampshire,,,
Less than H.S.,58,57.1,45.4-68.7
H.S. or G.E.D.,483,71.2,67.1-75.3
Some post-H.S.,583,74.4,70.6-78.2
College graduate,"1,275",81.9,79.8-84.1
New Jersey,,,
Less than H.S.,55,55.4,41.6-69.1
H.S. or G.E.D.,266,67.0,60.9-73.0
Some post-H.S.,317,67.5,61.5-73.4
College graduate,775,77.1,73.7-80.5
New Mexico,,,
Less than H.S.,102,75.5,67.2-83.8
H.S. or G.E.D.,256,64.1,57.2-70.9
Some post-H.S.,323,70.4,64.8-76.0
College graduate,622,74.8,71.0-78.6
New York,,,
Less than H.S.,183,68.5,60.7-76.4
H.S. or G.E.D.,803,64.9,60.8-69.1
Some post-H.S.,883,71.0,67.2-74.9
College graduate,"1,863",75.4,72.7-78.0
North Carolina,,,
Less than H.S.,54,66.9,49.3-84.5
H.S. or G.E.D.,182,72.8,65.9-79.7
Some post-H.S.,230,70.9,64.9-76.9
College graduate,331,70.9,65.6-76.2
North Dakota,,,
Less than H.S.,51,57.0,45.6-68.5
H.S. or G.E.D.,277,62.9,57.8-68.1
Some post-H.S.,312,64.8,60.0-69.6
College graduate,384,73.0,68.9-77.2
Ohio,,,
Less than H.S.,128,56.1,47.2-65.1
H.S. or G.E.D.,997,58.7,55.3-62.2
Some post-H.S.,963,66.8,63.2-70.3
College graduate,"1,275",73.3,70.4-76.3
Oklahoma,,,
Less than H.S.,82,70.5,60.6-80.4
H.S. or G.E.D.,344,64.9,60.1-69.7
Some post-H.S.,392,68.8,64.3-73.3
College graduate,427,70.7,66.6-74.7
Oregon,,,
Less than H.S.,32,63.6,49.9-77.3
H.S. or G.E.D.,205,60.9,53.4-68.5
Some post-H.S.,360,68.6,63.8-73.4
College graduate,533,72.8,68.1-77.5
Pennsylvania,,,
Less than H.S.,34,61.7,44.7-78.7
H.S. or G.E.D.,259,65.7,57.8-73.5
Some post-H.S.,224,76.4,70.0-82.9
College graduate,350,83.0,78.3-87.7
Rhode Island,,,
Less than H.S.,67,53.8,40.8-66.7
H.S. or G.E.D.,288,76.9,71.5-82.2
Some post-H.S.,364,74.9,69.7-80.1
College graduate,755,83.1,80.1-86.1
South Carolina,,,
Less than H.S.,172,67.7,60.9-74.5
H.S. or G.E.D.,654,64.4,60.5-68.3
Some post-H.S.,657,66.7,63.0-70.4
College graduate,"1,164",78.0,75.4-80.6
South Dakota,,,
Less than H.S.,63,50.4,23.3-77.6
H.S. or G.E.D.,497,69.0,59.7-78.3
Some post-H.S.,536,60.4,50.8-69.9
College graduate,701,67.4,59.8-75.0
Tennessee,,,
Less than H.S.,86,51.8,41.1-62.6
H.S. or G.E.D.,293,66.7,61.1-72.2
Some post-H.S.,313,69.3,63.6-75.0
College graduate,379,74.5,69.6-79.4
Texas,,,
Less than H.S.,209,47.8,38.5-57.1
H.S. or G.E.D.,576,62.8,57.6-68.0
