Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,91,51.5,41.4-61.7
H.S. or G.E.D.,301,58.3,52.8-63.7
Some post-H.S.,311,64.0,58.5-69.5
College graduate,377,74.5,69.9-79.1
Alaska,,,
Less than H.S.,22,36.4,16.9-55.9
H.S. or G.E.D.,144,45.1,37.5-52.7
Some post-H.S.,291,49.6,44.3-54.8
College graduate,550,66.1,61.7-70.5
Arizona,,,
Less than H.S.,124,47.2,38.2-56.3
H.S. or G.E.D.,505,57.1,52.3-61.9
Some post-H.S.,912,58.3,54.5-62.0
College graduate,"1,505",69.3,66.5-72.1
Arkansas,,,
Less than H.S.,81,58.8,49.4-68.2
H.S. or G.E.D.,440,60.7,56.4-65.1
Some post-H.S.,374,64.3,59.7-68.9
College graduate,508,71.7,67.9-75.5
California,,,
Less than H.S.,171,57.8,50.2-65.4
H.S. or G.E.D.,326,60.9,55.0-66.8
Some post-H.S.,641,57.1,52.3-61.9
College graduate,"1,351",74.9,70.9-78.9
Colorado,,,
Less than H.S.,64,67.5,56.0-79.1
H.S. or G.E.D.,226,60.5,53.7-67.3
Some post-H.S.,438,65.2,60.8-69.6
College graduate,"1,018",77.8,75.1-80.5
Connecticut,,,
Less than H.S.,71,50.2,34.0-66.3
H.S. or G.E.D.,397,68.4,61.9-75.0
Some post-H.S.,521,66.6,60.5-72.6
College graduate,"1,255",79.7,77.0-82.5
Delaware,,,
Less than H.S.,45,66.0,52.1-79.9
H.S. or G.E.D.,286,62.7,57.0-68.4
Some post-H.S.,289,66.0,60.0-71.9
College graduate,600,76.8,72.8-80.7
District of Columbia,,,
Less than H.S.,19,*,
H.S. or G.E.D.,83,48.0,38.1-57.9
Some post-H.S.,119,65.8,56.6-75.1
College graduate,531,77.7,73.3-82.1
Florida,,,
Less than H.S.,147,48.2,35.3-61.0
H.S. or G.E.D.,784,57.5,52.4-62.5
Some post-H.S.,927,63.5,59.0-68.0
College graduate,"1,440",68.3,64.9-71.8
Georgia,,,
Less than H.S.,122,56.0,46.5-65.5
H.S. or G.E.D.,507,61.1,56.7-65.5
Some post-H.S.,454,59.6,55.0-64.3
College graduate,904,69.1,65.1-73.1
Hawaii,,,
Less than H.S.,44,59.3,42.1-76.5
H.S. or G.E.D.,298,52.8,46.0-59.6
Some post-H.S.,515,59.5,54.6-64.4
College graduate,983,68.6,65.2-72.0
Idaho,,,
Less than H.S.,44,35.4,25.1-45.7
H.S. or G.E.D.,264,49.5,44.1-55.0
Some post-H.S.,374,50.8,45.8-55.8
College graduate,431,61.5,56.8-66.2
Illinois,,,
Less than H.S.,51,55.8,40.2-71.4
H.S. or G.E.D.,178,63.0,55.4-70.6
Some post-H.S.,234,66.3,59.7-72.8
College graduate,513,78.2,74.3-82.1
Indiana,,,
Less than H.S.,94,56.1,47.1-65.2
H.S. or G.E.D.,742,59.2,56.0-62.3
Some post-H.S.,574,60.4,56.7-64.0
College graduate,905,68.5,65.6-71.4
Iowa,,,
Less than H.S.,78,54.7,43.3-66.0
