Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,98,32.8,25.9-39.7
H.S. or G.E.D.,251,20.9,17.9-23.9
Some post-H.S.,292,23.7,20.7-26.8
College graduate,286,17.8,15.5-20.0
Alaska,,,
Less than H.S.,31,15.6,9.2-22.0
H.S. or G.E.D.,241,18.5,15.8-21.2
Some post-H.S.,335,22.8,20.0-25.6
College graduate,407,17.8,15.7-19.9
Arizona,,,
Less than H.S.,149,19.7,15.8-23.6
H.S. or G.E.D.,458,17.5,15.3-19.7
Some post-H.S.,724,19.2,17.3-21.1
College graduate,822,16.5,15.0-18.0
Arkansas,,,
Less than H.S.,103,28.8,22.7-35.0
H.S. or G.E.D.,354,21.4,18.9-24.0
Some post-H.S.,377,28.0,25.0-31.0
College graduate,344,21.1,18.7-23.4
California,,,
Less than H.S.,160,10.4,8.5-12.4
H.S. or G.E.D.,429,18.8,16.6-21.0
Some post-H.S.,704,21.2,19.1-23.2
College graduate,969,15.1,13.8-16.5
Colorado,,,
Less than H.S.,91,19.4,14.9-23.8
H.S. or G.E.D.,339,21.6,19.1-24.0
Some post-H.S.,540,25.1,22.8-27.3
College graduate,878,19.3,17.9-20.7
Connecticut,,,
Less than H.S.,82,15.0,10.7-19.4
H.S. or G.E.D.,377,18.3,15.6-21.0
Some post-H.S.,446,23.2,20.1-26.2
College graduate,885,17.3,15.7-18.8
Delaware,,,
Less than H.S.,50,22.6,15.5-29.8
H.S. or G.E.D.,220,19.1,16.1-22.1
Some post-H.S.,240,24.3,20.4-28.2
College graduate,326,16.4,14.1-18.7
District of Columbia,,,
Less than H.S.,22,24.2,12.3-36.0
H.S. or G.E.D.,83,24.9,18.1-31.6
Some post-H.S.,88,22.1,16.1-28.1
College graduate,413,19.5,17.3-21.7
Florida,,,
Less than H.S.,176,22.6,16.8-28.4
H.S. or G.E.D.,597,15.5,13.2-17.9
Some post-H.S.,690,17.3,15.0-19.7
College graduate,717,14.1,12.3-15.8
Georgia,,,
Less than H.S.,121,21.2,16.4-26.0
H.S. or G.E.D.,358,15.9,13.7-18.1
Some post-H.S.,400,21.0,18.5-23.5
College graduate,538,14.6,13.0-16.2
Hawaii,,,
Less than H.S.,45,15.1,9.3-20.9
H.S. or G.E.D.,281,12.6,10.6-14.5
Some post-H.S.,372,15.5,13.4-17.6
College graduate,525,13.1,11.7-14.6
Idaho,,,
Less than H.S.,112,23.3,18.3-28.2
H.S. or G.E.D.,456,23.0,20.5-25.4
Some post-H.S.,466,23.4,20.9-25.9
College graduate,439,22.3,19.8-24.8
Illinois,,,
Less than H.S.,71,19.2,13.6-24.8
H.S. or G.E.D.,203,19.6,16.6-22.7
Some post-H.S.,228,18.1,15.3-21.0
College graduate,452,16.8,15.0-18.6
Indiana,,,
Less than H.S.,167,26.1,21.8-30.3
H.S. or G.E.D.,792,24.7,22.8-26.5
Some post-H.S.,713,26.3,24.3-28.3
College graduate,797,20.2,18.7-21.6
Iowa,,,
Less than H.S.,123,18.7,14.5-23.0
H.S. or G.E.D.,511,19.8,17.8-21.8
