Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,46,7.3,4.8-9.8
H.S. or G.E.D.,112,5.1,3.9-6.3
Some post-H.S.,103,4.9,3.8-6.0
College graduate,93,3.9,3.0-4.8
Alaska,,,
Less than H.S.,18,4.2,2.0-6.5
H.S. or G.E.D.,56,2.4,1.5-3.3
Some post-H.S.,61,3.9,2.4-5.4
College graduate,48,2.3,1.4-3.2
Arizona,,,
Less than H.S.,53,6.3,4.1-8.6
H.S. or G.E.D.,140,3.9,3.0-4.9
Some post-H.S.,201,4.3,3.4-5.2
College graduate,180,3.9,3.1-4.7
Arkansas,,,
Less than H.S.,58,10.9,7.2-14.6
H.S. or G.E.D.,167,6.2,4.8-7.7
Some post-H.S.,129,6.4,4.9-7.9
College graduate,88,3.2,2.3-4.0
California,,,
Less than H.S.,29,5.3,2.8-7.8
H.S. or G.E.D.,34,3.0,1.8-4.1
Some post-H.S.,59,4.0,2.8-5.3
College graduate,52,1.7,1.1-2.3
Colorado,,,
Less than H.S.,27,3.4,2.0-4.8
H.S. or G.E.D.,96,3.0,2.3-3.7
Some post-H.S.,133,3.7,2.9-4.4
College graduate,143,2.3,1.9-2.7
Connecticut,,,
Less than H.S.,43,5.2,3.2-7.4
H.S. or G.E.D.,131,4.2,3.2-5.2
Some post-H.S.,111,3.5,2.5-4.4
College graduate,120,1.9,1.4-2.4
Delaware,,,
Less than H.S.,33,8.9,4.9-12.8
H.S. or G.E.D.,90,6.4,4.6-8.2
Some post-H.S.,53,5.1,3.3-6.9
College graduate,67,3.7,2.6-4.8
District of Columbia,,,
Less than H.S.,9,*,
H.S. or G.E.D.,26,3.7,2.0-5.3
Some post-H.S.,26,2.8,1.6-4.0
College graduate,48,1.0,0.6-1.3
Florida,,,
Less than H.S.,142,8.1,5.1-11.1
H.S. or G.E.D.,252,5.1,3.9-6.3
Some post-H.S.,262,4.9,3.8-6.0
College graduate,201,4.3,2.8-5.7
Georgia,,,
Less than H.S.,97,6.8,4.7-9.0
H.S. or G.E.D.,201,5.4,4.3-6.4
Some post-H.S.,153,4.1,2.9-5.4
College graduate,132,2.6,1.9-3.4
Hawaii,,,
Less than H.S.,20,7.3,3.4-11.2
H.S. or G.E.D.,79,2.3,1.6-2.9
Some post-H.S.,90,2.7,1.9-3.5
College graduate,90,2.2,1.6-2.8
Idaho,,,
Less than H.S.,35,7.9,4.6-11.2
H.S. or G.E.D.,93,4.5,3.2-5.8
Some post-H.S.,113,4.7,3.4-5.9
College graduate,65,2.8,1.8-3.7
Illinois,,,
Less than H.S.,10,*,
H.S. or G.E.D.,64,5.6,3.9-7.3
Some post-H.S.,54,4.7,3.3-6.1
College graduate,34,1.4,0.8-2.0
Indiana,,,
Less than H.S.,56,7.0,5.0-9.0
H.S. or G.E.D.,217,5.9,5.0-6.8
Some post-H.S.,138,4.1,3.3-4.9
College graduate,108,2.9,2.3-3.5
Iowa,,,
Less than H.S.,49,8.6,5.7-11.4
H.S. or G.E.D.,199,5.3,4.5-6.2
Some post-H.S.,124,3.3,2.6-4.0
College graduate,106,2.7,2.1-3.3
Kansas,,,
Less than H.S.,47,10.1,6.7-13.6
H.S. or G.E.D.,180,4.7,3.9-5.5
Some post-H.S.,166,3.7,3.0-4.3
College graduate,139,2.2,1.8-2.6
Kentucky,,,
Less than H.S.,59,13.3,9.3-17.2
H.S. or G.E.D.,104,5.9,4.6-7.3
Some post-H.S.,82,5.1,3.7-6.5
College graduate,53,3.3,2.2-4.4
Louisiana,,,
Less than H.S.,44,8.6,5.6-11.6
H.S. or G.E.D.,84,4.3,3.2-5.4
Some post-H.S.,79,4.2,3.1-5.2
College graduate,65,2.8,2.0-3.6
Maine,,,
Less than H.S.,68,9.6,6.7-12.6
H.S. or G.E.D.,264,6.1,5.1-7.1
Some post-H.S.,226,5.5,4.5-6.5
College graduate,195,2.8,2.2-3.3
Maryland,,,
