Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,40,8.7,5.3-12.0
H.S. or G.E.D.,76,5.1,3.6-6.7
Some post-H.S.,60,3.3,2.2-4.3
College graduate,54,2.2,1.5-2.9
Alaska,,,
Less than H.S.,14,*,
H.S. or G.E.D.,54,2.5,1.6-3.3
Some post-H.S.,69,3.7,2.3-5.1
College graduate,63,2.1,1.1-3.1
Arizona,,,
Less than H.S.,28,3.5,1.9-5.2
H.S. or G.E.D.,94,2.8,2.1-3.6
Some post-H.S.,177,3.5,2.8-4.3
College graduate,140,2.3,1.8-2.8
Arkansas,,,
Less than H.S.,36,5.4,3.2-7.7
H.S. or G.E.D.,125,4.4,3.3-5.5
Some post-H.S.,101,4.3,3.1-5.5
College graduate,83,1.9,1.4-2.5
California,,,
Less than H.S.,28,3.1,1.7-4.4
H.S. or G.E.D.,35,2.5,1.5-3.4
Some post-H.S.,56,3.0,2.0-4.0
College graduate,82,2.4,1.6-3.1
Colorado,,,
Less than H.S.,23,2.5,1.4-3.6
H.S. or G.E.D.,68,2.9,2.0-3.8
Some post-H.S.,88,2.5,1.9-3.2
College graduate,96,1.6,1.2-2.0
Connecticut,,,
Less than H.S.,24,5.1,2.7-7.5
H.S. or G.E.D.,66,3.2,2.2-4.2
Some post-H.S.,67,2.6,1.8-3.5
College graduate,79,1.6,1.2-2.1
Delaware,,,
Less than H.S.,15,*,
H.S. or G.E.D.,46,3.3,1.9-4.6
Some post-H.S.,60,5.5,3.8-7.2
College graduate,49,2.2,1.5-2.8
District of Columbia,,,
Less than H.S.,17,7.7,3.4-11.9
H.S. or G.E.D.,31,3.8,2.2-5.5
Some post-H.S.,35,5.2,3.0-7.4
College graduate,42,0.9,0.6-1.3
Georgia,,,
Less than H.S.,57,6.0,3.9-8.0
H.S. or G.E.D.,145,4.9,3.7-6.1
Some post-H.S.,125,3.4,2.5-4.3
College graduate,102,2.0,1.3-2.6
Hawaii,,,
Less than H.S.,9,*,
H.S. or G.E.D.,58,2.3,1.5-3.1
Some post-H.S.,91,3.3,2.4-4.3
College graduate,100,2.5,1.9-3.2
Idaho,,,
Less than H.S.,21,4.0,2.1-5.9
H.S. or G.E.D.,79,3.8,2.7-5.0
Some post-H.S.,86,2.7,1.9-3.4
College graduate,63,1.8,1.3-2.4
Illinois,,,
Less than H.S.,10,*,
H.S. or G.E.D.,30,2.9,1.6-4.1
Some post-H.S.,34,4.0,2.5-5.6
College graduate,40,1.7,1.1-2.3
Indiana,,,
Less than H.S.,54,6.3,4.4-8.2
H.S. or G.E.D.,160,3.9,3.2-4.6
Some post-H.S.,120,3.1,2.5-3.8
College graduate,121,2.1,1.7-2.6
Iowa,,,
Less than H.S.,18,*,
H.S. or G.E.D.,136,3.7,2.9-4.5
Some post-H.S.,88,2.2,1.7-2.8
College graduate,75,1.5,1.1-2.0
Kansas,,,
Less than H.S.,57,7.2,5.0-9.4
H.S. or G.E.D.,200,3.5,2.9-4.0
Some post-H.S.,196,2.8,2.3-3.2
College graduate,182,1.8,1.5-2.1
Kentucky,,,
Less than H.S.,60,10.0,6.6-13.3
H.S. or G.E.D.,112,4.6,3.5-5.7
Some post-H.S.,78,4.1,2.9-5.3
College graduate,57,2.4,1.6-3.2
Louisiana,,,
Less than H.S.,36,7.2,4.5-9.8
H.S. or G.E.D.,88,4.8,3.1-6.4
Some post-H.S.,72,4.5,3.2-5.7
College graduate,77,2.6,1.9-3.4
Maine,,,
Less than H.S.,35,9.7,5.4-14.0
H.S. or G.E.D.,143,3.4,2.7-4.2
Some post-H.S.,140,3.3,2.6-4.0
College graduate,153,2.4,1.9-2.8
Maryland,,,
Less than H.S.,45,3.6,2.2-4.9
H.S. or G.E.D.,202,3.7,3.0-4.4
Some post-H.S.,183,3.4,2.8-4.1
College graduate,198,1.9,1.5-2.2
Massachusetts,,,
Less than H.S.,15,*,
H.S. or G.E.D.,49,2.3,1.5-3.1
Some post-H.S.,67,4.0,2.9-5.2
College graduate,72,1.6,1.2-2.0
Michigan,,,
Less than H.S.,41,9.3,6.2-12.4
H.S. or G.E.D.,132,4.0,3.2-4.9
Some post-H.S.,116,3.4,2.7-4.1
College graduate,126,2.3,1.8-2.7
Minnesota,,,
Less than H.S.,26,5.7,3.1-8.3
H.S. or G.E.D.,125,3.0,2.4-3.6
Some post-H.S.,169,2.8,2.3-3.2
College graduate,148,1.4,1.1-1.6
Mississippi,,,
Less than H.S.,60,13.6,9.6-17.6
H.S. or G.E.D.,88,5.7,4.2-7.1
Some post-H.S.,66,3.8,2.7-4.8
College graduate,50,2.6,1.7-3.5
Missouri,,,
Less than H.S.,82,6.6,4.5-8.6
H.S. or G.E.D.,228,3.4,2.8-4.1
Some post-H.S.,178,3.5,2.7-4.3
College graduate,118,2.6,1.8-3.4
Montana,,,
Less than H.S.,13,*,
H.S. or G.E.D.,77,3.7,2.7-4.6
Some post-H.S.,59,2.1,1.4-2.9
College graduate,68,1.7,1.2-2.2
Nebraska,,,
Less than H.S.,35,4.4,2.4-6.4
H.S. or G.E.D.,162,2.8,2.2-3.4
Some post-H.S.,185,3.0,2.4-3.7
College graduate,136,1.5,1.1-1.8
Nevada,,,
Less than H.S.,5,*,
H.S. or G.E.D.,32,2.7,1.4-3.9
Some post-H.S.,51,4.1,2.6-5.6
College graduate,36,2.7,1.4-4.0
New Hampshire,,,
Less than H.S.,24,7.7,4.1-11.4
H.S. or G.E.D.,79,2.9,2.0-3.7
Some post-H.S.,78,2.7,1.9-3.4
College graduate,98,1.8,1.4-2.3
New Jersey,,,
Less than H.S.,44,7.0,4.6-9.4
H.S. or G.E.D.,69,3.3,2.4-4.3
Some post-H.S.,54,2.1,1.4-2.8
College graduate,77,1.6,1.2-2.1
New Mexico,,,
Less than H.S.,18,*,
H.S. or G.E.D.,62,3.0,2.0-4.0
Some post-H.S.,62,3.0,2.0-3.9
College graduate,75,2.2,1.6-2.9
New York,,,
Less than H.S.,162,3.5,2.5-4.4
H.S. or G.E.D.,483,3.1,2.6-3.7
Some post-H.S.,381,2.4,1.9-3.0
College graduate,412,1.5,1.2-1.7
North Carolina,,,
Less than H.S.,36,8.8,5.5-12.2
H.S. or G.E.D.,62,5.0,3.3-6.8
Some post-H.S.,67,4.2,3.0-5.3
College graduate,47,1.9,1.3-2.5
North Dakota,,,
Less than H.S.,18,*,
H.S. or G.E.D.,83,2.7,2.0-3.4
Some post-H.S.,75,3.0,2.2-3.8
College graduate,62,1.6,1.1-2.1
Ohio,,,
Less than H.S.,89,9.9,7.2-12.7
H.S. or G.E.D.,275,4.2,3.5-5.0
Some post-H.S.,208,4.0,3.3-4.8
College graduate,137,1.9,1.4-2.3
Oklahoma,,,
Less than H.S.,41,10.0,6.5-13.4
H.S. or G.E.D.,72,3.8,2.7-4.9
Some post-H.S.,93,3.8,2.8-4.8
College graduate,66,2.3,1.6-3.1
Oregon,,,
Less than H.S.,7,*,
H.S. or G.E.D.,32,3.2,1.6-4.7
Some post-H.S.,68,3.8,2.6-4.9
College graduate,53,2.4,1.6-3.2
Pennsylvania,,,
Less than H.S.,22,8.1,4.2-12.0
H.S. or G.E.D.,100,4.6,3.4-5.8
Some post-H.S.,65,4.0,2.9-5.1
College graduate,60,1.7,1.2-2.3
Rhode Island,,,
Less than H.S.,24,5.7,3.0-8.4
H.S. or G.E.D.,38,2.2,1.3-3.0
Some post-H.S.,50,3.0,2.0-4.0
College graduate,63,1.9,1.3-2.4
South Carolina,,,
Less than H.S.,53,4.5,2.9-6.1
H.S. or G.E.D.,146,4.1,3.1-5.0
Some post-H.S.,111,2.8,2.0-3.6
College graduate,109,1.8,1.4-2.3
South Dakota,,,
Less than H.S.,22,*,
H.S. or G.E.D.,92,*,
Some post-H.S.,84,2.5,1.2-3.7
College graduate,84,2.4,1.0-3.8
Tennessee,,,
Less than H.S.,43,14.0,9.0-19.0
H.S. or G.E.D.,75,4.1,2.9-5.3
Some post-H.S.,72,4.2,3.0-5.4
College graduate,43,1.9,1.1-2.6
Texas,,,
Less than H.S.,70,5.4,3.2-7.6
H.S. or G.E.D.,117,2.6,1.8-3.3
Some post-H.S.,136,3.4,2.6-4.3
College graduate,128,1.8,1.3-2.4
Utah,,,
Less than H.S.,26,*,
H.S. or G.E.D.,70,1.9,1.3-2.5
Some post-H.S.,122,2.8,2.2-3.4
College graduate,99,1.7,1.2-2.1
Vermont,,,
Less than H.S.,15,*,
H.S. or G.E.D.,54,2.5,1.6-3.3
Some post-H.S.,62,2.5,1.8-3.3
College graduate,58,1.4,0.9-1.8
Virginia,,,
Less than H.S.,46,8.7,5.8-11.7
H.S. or G.E.D.,102,3.4,2.5-4.2
Some post-H.S.,130,3.4,2.6-4.1
College graduate,140,2.1,1.7-2.6
Washington,,,
Less than H.S.,38,4.4,2.7-6.2
H.S. or G.E.D.,118,2.8,2.1-3.4
Some post-H.S.,169,2.8,2.2-3.3
College graduate,192,2.2,1.8-2.6
West Virginia,,,
Less than H.S.,56,10.2,7.3-13.0
H.S. or G.E.D.,135,4.2,3.4-5.1
Some post-H.S.,91,4.0,3.0-4.9
College graduate,80,2.5,1.9-3.1
Wisconsin,,,
Less than H.S.,17,*,
H.S. or G.E.D.,70,2.8,1.9-3.7
Some post-H.S.,70,3.3,2.1-4.6
College graduate,48,1.2,0.7-1.7
Wyoming,,,
Less than H.S.,13,*,
H.S. or G.E.D.,43,2.0,1.2-2.8
Some post-H.S.,66,3.2,2.1-4.4
College graduate,47,1.7,1.0-2.4
Guam,,,
Less than H.S.,7,*,
H.S. or G.E.D.,21,*,
Some post-H.S.,14,*,
College graduate,14,*,
Puerto Rico,,,
Less than H.S.,32,5.8,3.5-8.1
H.S. or G.E.D.,19,1.9,0.9-2.9
Some post-H.S.,16,*,
College graduate,29,1.3,0.7-1.9
Virgin Islands,,,
Less than H.S.,14,*,
H.S. or G.E.D.,14,*,
Some post-H.S.,7,*,
College graduate,10,*,
Virgin Islands,,,
Less than H.S.,15,*,
H.S. or G.E.D.,20,*,
Some post-H.S.,13,*,
College graduate,12,*,
