Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,78,10.9,8.0-13.7
H.S. or G.E.D.,174,6.3,5.1-7.5
Some post-H.S.,132,4.5,3.5-5.4
College graduate,106,3.8,3.0-4.7
Alaska,,,
Less than H.S.,7,*,
H.S. or G.E.D.,38,2.4,1.3-3.5
Some post-H.S.,48,3.7,2.2-5.2
College graduate,36,1.7,0.9-2.5
Arizona,,,
Less than H.S.,46,6.3,3.2-9.4
H.S. or G.E.D.,132,4.4,3.2-5.5
Some post-H.S.,181,4.3,3.2-5.3
College graduate,185,3.9,3.1-4.8
Arkansas,,,
Less than H.S.,83,11.5,8.4-14.7
H.S. or G.E.D.,156,5.6,4.4-6.7
Some post-H.S.,142,6.3,5.0-7.7
College graduate,83,2.5,1.8-3.2
California,,,
Less than H.S.,90,4.5,3.3-5.6
H.S. or G.E.D.,88,3.1,2.2-3.9
Some post-H.S.,129,3.3,2.6-4.0
College graduate,143,2.3,1.7-2.9
Colorado,,,
Less than H.S.,35,3.6,2.2-4.9
H.S. or G.E.D.,82,3.0,2.2-3.7
Some post-H.S.,118,3.3,2.6-3.9
College graduate,130,1.9,1.5-2.4
Connecticut,,,
Less than H.S.,33,5.5,3.3-7.7
H.S. or G.E.D.,123,3.5,2.8-4.2
Some post-H.S.,106,3.1,2.4-3.9
College graduate,159,2.1,1.7-2.5
Delaware,,,
Less than H.S.,27,6.0,3.4-8.6
H.S. or G.E.D.,75,5.2,3.6-6.7
Some post-H.S.,65,5.3,3.7-6.9
College graduate,51,2.4,1.4-3.3
District of Columbia,,,
Less than H.S.,18,10.3,5.2-15.5
H.S. or G.E.D.,25,3.3,1.8-4.7
Some post-H.S.,21,3.0,1.6-4.4
College graduate,50,1.3,0.9-1.8
Florida,,,
Less than H.S.,186,8.0,5.3-10.7
H.S. or G.E.D.,381,5.3,4.2-6.4
Some post-H.S.,372,4.6,3.6-5.6
College graduate,260,2.6,2.1-3.2
Georgia,,,
Less than H.S.,99,9.4,6.5-12.4
H.S. or G.E.D.,144,4.3,3.3-5.3
Some post-H.S.,120,3.6,2.7-4.6
College graduate,98,2.2,1.6-2.8
Hawaii,,,
Less than H.S.,22,4.2,2.0-6.3
H.S. or G.E.D.,100,3.6,2.7-4.5
Some post-H.S.,103,3.8,2.8-4.9
College graduate,121,2.7,2.1-3.3
Idaho,,,
Less than H.S.,50,12.4,7.7-17.0
H.S. or G.E.D.,73,3.8,2.6-5.1
Some post-H.S.,113,4.1,2.9-5.3
College graduate,71,2.4,1.6-3.1
Illinois,,,
Less than H.S.,24,4.6,2.5-6.6
H.S. or G.E.D.,69,4.4,3.3-5.6
Some post-H.S.,79,4.3,3.3-5.4
College graduate,72,2.2,1.6-2.8
Indiana,,,
Less than H.S.,77,9.4,7.1-11.7
H.S. or G.E.D.,231,5.5,4.7-6.3
Some post-H.S.,136,4.0,3.2-4.7
College graduate,126,2.8,2.2-3.3
Iowa,,,
Less than H.S.,35,6.2,4.0-8.4
H.S. or G.E.D.,204,4.9,4.2-5.6
Some post-H.S.,155,3.8,3.1-4.5
College graduate,115,2.4,1.9-3.0
Kansas,,,
Less than H.S.,48,7.5,5.0-10.1
H.S. or G.E.D.,188,5.2,4.3-6.0
Some post-H.S.,186,4.2,3.5-4.9
College graduate,161,2.6,2.1-3.0
Kentucky,,,
