Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,60,9.1,6.1-12.2
H.S. or G.E.D.,86,3.6,2.7-4.6
Some post-H.S.,98,4.3,3.2-5.3
College graduate,62,2.3,1.6-2.9
Alaska,,,
Less than H.S.,11,*,
H.S. or G.E.D.,42,1.8,0.9-2.7
Some post-H.S.,44,2.4,1.5-3.3
College graduate,38,1.4,0.7-2.0
Arizona,,,
Less than H.S.,38,3.9,2.2-5.6
H.S. or G.E.D.,99,2.8,2.0-3.5
Some post-H.S.,144,3.1,2.4-3.8
College graduate,113,2.3,1.7-2.8
Arkansas,,,
Less than H.S.,50,9.1,6.0-12.3
H.S. or G.E.D.,115,3.7,2.9-4.6
Some post-H.S.,93,3.8,2.8-4.8
College graduate,47,1.8,1.1-2.6
California,,,
Less than H.S.,29,6.1,3.0-9.2
H.S. or G.E.D.,21,2.9,1.3-4.5
Some post-H.S.,37,2.4,1.4-3.4
College graduate,44,1.6,0.9-2.3
Colorado,,,
Less than H.S.,29,4.0,2.4-5.6
H.S. or G.E.D.,72,2.2,1.6-2.8
Some post-H.S.,78,2.5,1.8-3.1
College graduate,100,1.6,1.3-2.0
Connecticut,,,
Less than H.S.,34,7.2,4.0-10.4
H.S. or G.E.D.,73,2.3,1.5-3.1
Some post-H.S.,74,2.3,1.6-3.0
College graduate,62,0.9,0.6-1.2
Delaware,,,
Less than H.S.,17,4.6,2.0-7.2
H.S. or G.E.D.,56,4.9,3.2-6.7
Some post-H.S.,33,2.7,1.3-4.1
College graduate,37,1.9,1.2-2.6
District of Columbia,,,
Less than H.S.,10,*,
H.S. or G.E.D.,33,4.5,2.7-6.4
Some post-H.S.,40,5.8,3.6-7.9
College graduate,54,1.2,0.8-1.6
Florida,,,
Less than H.S.,102,6.2,3.6-8.8
H.S. or G.E.D.,228,3.5,2.6-4.4
Some post-H.S.,192,3.4,2.5-4.3
College graduate,151,2.9,1.9-3.9
Georgia,,,
Less than H.S.,94,6.6,4.6-8.6
H.S. or G.E.D.,139,4.0,3.0-5.1
Some post-H.S.,133,3.3,2.4-4.2
College graduate,76,1.7,1.1-2.4
Hawaii,,,
Less than H.S.,10,*,
H.S. or G.E.D.,67,2.5,1.6-3.3
Some post-H.S.,88,3.0,2.2-3.9
College graduate,99,2.7,2.0-3.4
Idaho,,,
Less than H.S.,22,5.0,2.2-7.8
H.S. or G.E.D.,68,3.4,2.3-4.6
Some post-H.S.,87,2.8,2.0-3.5
College graduate,28,1.1,0.5-1.6
Illinois,,,
Less than H.S.,8,*,
H.S. or G.E.D.,47,4.0,2.6-5.4
Some post-H.S.,36,2.0,1.2-2.7
College graduate,36,1.8,1.1-2.6
Indiana,,,
Less than H.S.,43,5.7,3.8-7.6
H.S. or G.E.D.,155,3.9,3.2-4.6
Some post-H.S.,107,3.6,2.8-4.4
College graduate,77,1.9,1.4-2.4
Iowa,,,
Less than H.S.,25,4.6,2.6-6.7
H.S. or G.E.D.,106,2.7,2.1-3.3
Some post-H.S.,89,2.7,2.1-3.3
College graduate,77,1.9,1.4-2.4
Kansas,,,
Less than H.S.,27,5.5,3.1-8.0
H.S. or G.E.D.,115,3.4,2.6-4.1
Some post-H.S.,113,2.8,2.1-3.4
College graduate,87,1.6,1.2-2.0
Kentucky,,,
Less than H.S.,40,8.9,5.8-12.0
H.S. or G.E.D.,75,4.7,3.4-5.9
Some post-H.S.,66,4.2,2.9-5.4
College graduate,41,2.6,1.6-3.7
Louisiana,,,
Less than H.S.,40,8.5,5.4-11.5
H.S. or G.E.D.,91,4.4,3.4-5.4
Some post-H.S.,62,3.5,2.5-4.6
College graduate,65,3.0,2.1-3.9
Maine,,,
Less than H.S.,40,5.4,3.1-7.7
H.S. or G.E.D.,144,3.1,2.3-3.8
Some post-H.S.,162,3.6,2.8-4.4
College graduate,116,1.7,1.3-2.1
Maryland,,,
Less than H.S.,58,5.4,3.5-7.4
H.S. or G.E.D.,183,3.0,2.4-3.6
Some post-H.S.,143,3.3,2.5-4.0
College graduate,148,1.6,1.2-1.9
Massachusetts,,,
Less than H.S.,22,6.9,3.2-10.6
H.S. or G.E.D.,41,2.1,1.2-2.9
Some post-H.S.,52,2.2,1.5-3.0
College graduate,70,1.5,1.0-1.9
Michigan,,,
Less than H.S.,23,4.9,2.4-7.4
H.S. or G.E.D.,99,4.4,3.3-5.4
Some post-H.S.,97,3.3,2.6-4.1
College graduate,85,2.1,1.5-2.7
Minnesota,,,
Less than H.S.,36,5.7,3.4-7.9
H.S. or G.E.D.,171,3.7,3.0-4.4
Some post-H.S.,156,2.7,2.2-3.2
College graduate,143,1.8,1.4-2.1
Mississippi,,,
Less than H.S.,95,11.9,8.9-15.0
H.S. or G.E.D.,158,5.4,4.4-6.4
Some post-H.S.,101,3.9,3.0-4.9
College graduate,80,2.7,2.0-3.4
Missouri,,,
Less than H.S.,62,5.9,3.9-8.0
H.S. or G.E.D.,147,4.3,3.4-5.2
Some post-H.S.,149,3.7,2.9-4.4
College graduate,97,2.1,1.6-2.7
Montana,,,
Less than H.S.,22,5.1,2.7-7.6
H.S. or G.E.D.,57,3.0,2.1-3.9
Some post-H.S.,63,2.6,1.9-3.4
College graduate,68,2.0,1.5-2.6
Nebraska,,,
Less than H.S.,37,3.0,1.4-4.7
H.S. or G.E.D.,171,2.6,2.1-3.2
Some post-H.S.,153,2.6,2.0-3.2
College graduate,117,1.7,1.2-2.1
Nevada,,,
Less than H.S.,14,*,
H.S. or G.E.D.,28,3.8,2.0-5.6
Some post-H.S.,28,3.4,1.8-5.0
College graduate,19,*,
New Hampshire,,,
Less than H.S.,23,*,
H.S. or G.E.D.,69,2.6,1.8-3.5
Some post-H.S.,50,2.1,1.3-2.9
College graduate,80,2.2,1.5-2.8
New Jersey,,,
Less than H.S.,43,6.9,4.4-9.4
H.S. or G.E.D.,80,2.5,1.8-3.2
