Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,64,11.9,8.1-15.6
H.S. or G.E.D.,136,8.6,6.8-10.4
Some post-H.S.,146,9.3,7.6-11.1
College graduate,138,7.2,5.7-8.7
Alaska,,,
Less than H.S.,11,*,
H.S. or G.E.D.,81,7.8,4.7-11.0
Some post-H.S.,102,8.7,6.3-11.1
College graduate,120,10.8,7.9-13.6
Arizona,,,
Less than H.S.,84,9.9,7.1-12.6
H.S. or G.E.D.,240,8.2,6.8-9.5
Some post-H.S.,369,11.0,9.5-12.5
College graduate,378,9.3,8.0-10.5
Arkansas,,,
Less than H.S.,61,12.9,8.6-17.2
H.S. or G.E.D.,144,7.8,6.2-9.4
Some post-H.S.,144,9.9,7.6-12.1
College graduate,129,7.6,5.8-9.4
California,,,
Less than H.S.,35,6.5,3.8-9.2
H.S. or G.E.D.,59,7.0,4.6-9.4
Some post-H.S.,167,13.7,11.0-16.4
College graduate,196,8.1,6.7-9.6
Colorado,,,
Less than H.S.,60,8.8,6.3-11.2
H.S. or G.E.D.,200,9.9,8.4-11.4
Some post-H.S.,256,10.0,8.6-11.3
College graduate,442,9.3,8.3-10.2
Connecticut,,,
Less than H.S.,78,12.3,8.6-15.9
H.S. or G.E.D.,241,11.8,9.7-13.9
Some post-H.S.,229,9.5,7.5-11.5
College graduate,385,10.2,8.7-11.6
Delaware,,,
Less than H.S.,41,9.8,5.5-14.1
H.S. or G.E.D.,114,12.0,9.0-15.0
Some post-H.S.,122,12.2,9.2-15.3
College graduate,121,8.3,6.5-10.2
District of Columbia,,,
Less than H.S.,23,14.5,8.1-20.9
H.S. or G.E.D.,65,13.6,9.6-17.6
Some post-H.S.,58,11.0,7.3-14.7
College graduate,191,8.4,7.0-9.9
Florida,,,
Less than H.S.,113,8.6,5.6-11.6
H.S. or G.E.D.,274,7.3,5.6-8.9
Some post-H.S.,294,8.0,6.3-9.7
College graduate,254,5.9,4.6-7.2
Georgia,,,
Less than H.S.,114,10.6,7.4-13.8
H.S. or G.E.D.,232,8.7,6.9-10.4
Some post-H.S.,251,10.6,8.5-12.7
College graduate,223,6.9,5.4-8.3
Hawaii,,,
Less than H.S.,28,10.9,6.2-15.6
H.S. or G.E.D.,181,9.5,7.8-11.1
Some post-H.S.,218,9.2,7.6-10.7
College graduate,251,7.1,6.0-8.2
Idaho,,,
Less than H.S.,35,8.1,4.5-11.8
H.S. or G.E.D.,140,8.8,6.8-10.8
Some post-H.S.,206,10.6,8.5-12.6
College graduate,161,8.8,7.0-10.6
Illinois,,,
Less than H.S.,18,*,
H.S. or G.E.D.,67,7.0,5.1-9.0
Some post-H.S.,95,9.5,7.3-11.7
College graduate,142,8.7,7.0-10.4
Indiana,,,
Less than H.S.,95,12.9,10.0-15.8
