Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,196,32.8,28.0-37.6
H.S. or G.E.D.,507,24.1,21.6-26.5
Some post-H.S.,512,25.7,23.2-28.2
College graduate,394,16.4,14.5-18.2
Alaska,,,
Less than H.S.,28,17.8,9.3-26.2
H.S. or G.E.D.,127,14.3,10.9-17.6
Some post-H.S.,172,21.6,17.2-25.9
College graduate,172,14.8,11.8-17.7
Arizona,,,
Less than H.S.,143,19.5,14.8-24.1
H.S. or G.E.D.,324,14.0,11.7-16.4
Some post-H.S.,539,18.8,16.4-21.2
College graduate,506,15.6,13.6-17.6
Arkansas,,,
Less than H.S.,143,30.4,24.8-36.0
H.S. or G.E.D.,363,21.8,19.1-24.5
Some post-H.S.,383,30.6,27.1-34.1
College graduate,293,18.3,15.6-20.9
California,,,
Less than H.S.,250,14.1,12.1-16.2
H.S. or G.E.D.,332,13.9,12.3-15.6
Some post-H.S.,537,17.4,15.8-19.1
College graduate,715,12.6,11.5-13.8
Colorado,,,
Less than H.S.,88,15.3,11.7-19.0
H.S. or G.E.D.,295,16.6,14.6-18.6
Some post-H.S.,488,20.7,18.8-22.6
College graduate,650,15.0,13.7-16.2
Connecticut,,,
Less than H.S.,78,16.0,11.8-20.3
H.S. or G.E.D.,333,15.1,13.1-17.2
Some post-H.S.,384,16.7,14.6-18.8
College graduate,553,11.9,10.7-13.2
Delaware,,,
Less than H.S.,70,22.2,15.6-28.8
H.S. or G.E.D.,208,18.2,15.1-21.3
Some post-H.S.,200,22.6,18.6-26.6
College graduate,225,14.4,12.0-16.8
District of Columbia,,,
Less than H.S.,26,20.7,12.2-29.1
H.S. or G.E.D.,93,23.7,18.4-29.1
Some post-H.S.,93,22.3,17.2-27.5
College graduate,270,18.8,16.3-21.4
Florida,,,
Less than H.S.,408,22.9,18.7-27.1
H.S. or G.E.D.,927,16.1,14.0-18.3
Some post-H.S.,"1,054",19.9,17.8-22.1
College graduate,758,13.7,11.6-15.8
Georgia,,,
Less than H.S.,188,20.2,15.8-24.6
H.S. or G.E.D.,349,16.2,13.9-18.5
Some post-H.S.,437,19.0,16.4-21.6
College graduate,391,14.4,12.4-16.5
Hawaii,,,
Less than H.S.,69,20.2,14.5-25.9
H.S. or G.E.D.,296,12.6,10.9-14.2
Some post-H.S.,313,12.9,11.1-14.6
College graduate,396,10.9,9.6-12.3
Idaho,,,
Less than H.S.,97,28.1,21.0-35.2
H.S. or G.E.D.,304,20.7,17.6-23.9
Some post-H.S.,425,24.9,21.7-28.1
College graduate,327,20.0,17.1-23.0
Illinois,,,
Less than H.S.,72,19.4,14.7-24.0
H.S. or G.E.D.,223,17.1,14.8-19.5
Some post-H.S.,306,21.8,19.3-24.2
College graduate,390,15.5,14.0-17.1
Indiana,,,
Less than H.S.,159,25.1,20.9-29.2
H.S. or G.E.D.,540,20.2,18.3-22.1
Some post-H.S.,499,23.2,21.1-25.4
College graduate,536,17.3,15.7-18.9
Iowa,,,
Less than H.S.,85,16.0,12.5-19.5
H.S. or G.E.D.,459,16.0,14.4-17.6
Some post-H.S.,526,18.5,16.9-20.1
College graduate,424,13.6,12.3-15.0
Kansas,,,
Less than H.S.,118,28.3,23.2-33.4
H.S. or G.E.D.,519,18.5,16.8-20.2
Some post-H.S.,707,21.1,19.5-22.7
College graduate,712,17.0,15.7-18.3
Kentucky,,,
Less than H.S.,210,29.9,24.7-35.2
H.S. or G.E.D.,571,23.9,21.4-26.4
Some post-H.S.,630,29.7,26.7-32.7
College graduate,507,20.0,17.6-22.4
Louisiana,,,
Less than H.S.,170,35.6,30.3-40.9
H.S. or G.E.D.,366,23.0,20.5-25.5
Some post-H.S.,294,23.0,20.1-25.9
College graduate,281,18.1,15.7-20.4
Maine,,,
Less than H.S.,149,32.4,25.1-39.7
H.S. or G.E.D.,771,24.8,22.5-27.1
Some post-H.S.,716,25.6,23.1-28.1
College graduate,758,17.4,15.7-19.2
Maryland,,,
Less than H.S.,177,15.6,12.3-18.9
H.S. or G.E.D.,742,17.5,15.7-19.3
Some post-H.S.,740,18.7,17.0-20.5
College graduate,"1,061",12.2,11.2-13.2
Massachusetts,,,
Less than H.S.,107,24.2,19.2-29.2
H.S. or G.E.D.,283,17.9,15.6-20.3
Some post-H.S.,355,20.3,17.8-22.8
College graduate,649,16.4,15.0-17.9
Michigan,,,
Less than H.S.,130,30.8,25.2-36.5
H.S. or G.E.D.,585,20.5,18.7-22.4
Some post-H.S.,788,23.4,21.6-25.2
College graduate,711,16.2,14.9-17.6
Minnesota,,,
Less than H.S.,130,20.3,16.6-24.0
H.S. or G.E.D.,682,19.3,17.7-20.8
Some post-H.S.,"1,096",22.9,21.5-24.3
College graduate,"1,197",18.5,17.4-19.5
Mississippi,,,
Less than H.S.,171,29.0,24.2-33.8
H.S. or G.E.D.,296,19.0,16.5-21.5
Some post-H.S.,318,20.0,17.5-22.5
College graduate,248,17.5,15.1-19.9
Missouri,,,
Less than H.S.,156,30.9,25.5-36.3
H.S. or G.E.D.,511,22.8,20.4-25.3
Some post-H.S.,483,23.9,21.3-26.5
College graduate,406,18.1,15.9-20.2
Montana,,,
Less than H.S.,74,27.6,21.4-33.7
H.S. or G.E.D.,409,24.8,22.4-27.2
Some post-H.S.,482,25.9,23.5-28.2
College graduate,479,20.3,18.4-22.3
Nebraska,,,
Less than H.S.,127,13.0,10.1-15.9
H.S. or G.E.D.,719,16.8,15.1-18.4
Some post-H.S.,854,19.7,18.0-21.4
College graduate,628,12.7,11.4-14.0
Nevada,,,
Less than H.S.,50,17.4,12.1-22.8
H.S. or G.E.D.,129,19.0,15.0-23.0
Some post-H.S.,169,19.2,15.6-22.7
College graduate,135,14.2,10.8-17.6
New Hampshire,,,
Less than H.S.,64,25.6,18.3-32.8
H.S. or G.E.D.,321,22.1,19.2-25.0
Some post-H.S.,307,21.5,18.4-24.5
College graduate,406,15.9,14.0-17.9
New Mexico,,,
Less than H.S.,144,22.1,17.9-26.3
H.S. or G.E.D.,235,14.7,12.3-17.2
Some post-H.S.,322,19.6,16.9-22.3
College graduate,315,14.1,12.2-16.1
New York,,,
Less than H.S.,224,16.7,13.9-19.5
H.S. or G.E.D.,586,13.8,12.3-15.3
Some post-H.S.,668,18.9,16.8-20.9
College graduate,904,13.3,12.1-14.4
North Carolina,,,
Less than H.S.,94,26.4,21.1-31.7
H.S. or G.E.D.,211,20.2,17.4-23.1
Some post-H.S.,305,22.9,20.3-25.6
College graduate,311,19.0,16.8-21.1
North Dakota,,,
Less than H.S.,35,19.6,12.0-27.3
H.S. or G.E.D.,200,17.7,14.8-20.6
Some post-H.S.,285,18.6,15.9-21.3
College graduate,306,16.7,14.3-19.1
Ohio,,,
Less than H.S.,278,29.8,24.9-34.7
H.S. or G.E.D.,949,19.8,18.0-21.6
Some post-H.S.,797,20.6,18.7-22.5
College graduate,687,16.7,15.0-18.4
Oklahoma,,,
Less than H.S.,140,29.0,24.0-34.0
H.S. or G.E.D.,403,22.7,20.3-25.1
Some post-H.S.,471,24.2,21.8-26.6
College graduate,376,18.3,16.3-20.4
Oregon,,,
Less than H.S.,99,27.9,21.9-33.8
H.S. or G.E.D.,336,23.7,21.0-26.4
Some post-H.S.,526,27.3,24.9-29.6
College graduate,533,21.3,19.4-23.1
Pennsylvania,,,
Less than H.S.,81,21.6,16.6-26.7
H.S. or G.E.D.,367,18.9,16.8-21.0
Some post-H.S.,363,22.9,20.3-25.5
College graduate,477,16.7,14.9-18.5
Rhode Island,,,
Less than H.S.,111,27.0,20.7-33.3
H.S. or G.E.D.,313,19.5,16.6-22.3
Some post-H.S.,325,19.9,16.8-22.9
College graduate,469,16.5,14.5-18.5
South Carolina,,,
Less than H.S.,157,28.5,23.6-33.5
H.S. or G.E.D.,366,18.7,16.5-21.0
