Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,252,46.7,41.0-52.3
H.S. or G.E.D.,668,35.2,32.2-38.1
Some post-H.S.,603,31.2,28.5-34.0
College graduate,594,25.3,23.0-27.6
Alaska,,,
Less than H.S.,53,18.3,12.0-24.6
H.S. or G.E.D.,290,19.0,15.5-22.4
Some post-H.S.,352,26.0,22.3-29.6
College graduate,337,19.9,17.0-22.9
Arizona,,,
Less than H.S.,253,23.8,20.0-27.5
H.S. or G.E.D.,681,18.0,16.1-19.9
Some post-H.S.,"1,115",26.6,24.5-28.6
College graduate,"1,068",22.1,20.4-23.8
Arkansas,,,
Less than H.S.,256,41.7,35.7-47.7
H.S. or G.E.D.,673,28.6,25.9-31.2
Some post-H.S.,594,30.8,27.8-33.9
College graduate,517,21.0,18.6-23.4
California,,,
Less than H.S.,120,22.2,17.6-26.9
H.S. or G.E.D.,160,16.3,13.1-19.4
Some post-H.S.,335,22.2,19.3-25.2
College graduate,455,18.4,16.2-20.7
Colorado,,,
Less than H.S.,146,19.3,15.8-22.9
H.S. or G.E.D.,565,20.5,18.6-22.3
Some post-H.S.,786,23.9,22.1-25.6
College graduate,"1,161",19.5,18.3-20.7
Connecticut,,,
Less than H.S.,169,26.0,20.7-31.4
H.S. or G.E.D.,686,23.8,21.4-26.2
Some post-H.S.,688,23.1,20.8-25.5
College graduate,"1,034",19.8,18.1-21.6
Delaware,,,
Less than H.S.,94,25.3,19.2-31.5
H.S. or G.E.D.,376,28.7,25.3-32.1
Some post-H.S.,333,28.1,24.5-31.8
College graduate,371,23.4,20.5-26.3
District of Columbia,,,
Less than H.S.,60,28.9,20.8-37.0
H.S. or G.E.D.,145,18.9,15.2-22.6
Some post-H.S.,158,19.2,15.5-23.0
College graduate,496,12.2,10.9-13.5
Florida,,,
Less than H.S.,402,26.1,20.9-31.2
H.S. or G.E.D.,"1,120",21.7,19.1-24.3
Some post-H.S.,"1,299",28.8,26.0-31.7
College graduate,"1,213",20.2,18.1-22.2
Georgia,,,
Less than H.S.,407,30.7,26.3-35.2
H.S. or G.E.D.,916,26.6,24.0-29.2
Some post-H.S.,851,23.4,21.0-25.9
College graduate,901,19.7,17.8-21.6
Hawaii,,,
Less than H.S.,54,20.5,14.0-26.9
H.S. or G.E.D.,451,18.8,16.6-21.0
Some post-H.S.,653,24.7,22.4-27.0
College graduate,764,18.3,16.7-19.9
Idaho,,,
Less than H.S.,109,20.3,15.4-25.1
H.S. or G.E.D.,473,21.6,19.1-24.0
Some post-H.S.,629,26.4,23.8-28.9
College graduate,451,20.4,18.0-22.8
Illinois,,,
Less than H.S.,73,45.5,34.9-56.1
H.S. or G.E.D.,303,23.9,20.8-26.9
Some post-H.S.,314,24.8,21.8-27.8
College graduate,376,16.9,15.0-18.9
Indiana,,,
Less than H.S.,246,34.1,29.9-38.4
H.S. or G.E.D.,"1,036",29.5,27.6-31.3
Some post-H.S.,766,26.2,24.2-28.2
College graduate,754,20.8,19.2-22.4
Iowa,,,
Less than H.S.,155,26.5,22.1-31.0
H.S. or G.E.D.,944,26.5,24.7-28.3
Some post-H.S.,906,25.6,23.9-27.4
College graduate,774,19.6,18.2-21.1
Kansas,,,
Less than H.S.,158,31.6,26.5-36.8
H.S. or G.E.D.,906,26.1,24.2-27.9
Some post-H.S.,"1,060",26.1,24.3-27.8
College graduate,"1,044",19.2,18.0-20.5
Kentucky,,,
Less than H.S.,210,49.0,42.5-55.5
H.S. or G.E.D.,501,34.7,31.4-37.9
Some post-H.S.,416,29.0,26.0-32.0
College graduate,363,22.3,19.7-24.9
Louisiana,,,
Less than H.S.,179,36.8,31.1-42.5
H.S. or G.E.D.,489,28.2,25.4-31.0
Some post-H.S.,403,26.0,23.1-28.9
College graduate,446,20.8,18.6-23.0
Maine,,,
Less than H.S.,219,38.5,31.6-45.4
H.S. or G.E.D.,"1,173",30.2,27.9-32.6
Some post-H.S.,"1,177",28.9,26.7-31.2
College graduate,"1,490",25.7,23.9-27.4
Maryland,,,
Less than H.S.,287,24.0,20.3-27.6
H.S. or G.E.D.,"1,304",25.4,23.6-27.3
Some post-H.S.,"1,106",25.1,23.2-27.0
College graduate,"1,685",19.8,18.6-21.0
Massachusetts,,,
Less than H.S.,98,33.8,26.9-40.6
H.S. or G.E.D.,437,25.8,22.9-28.7
Some post-H.S.,561,24.4,22.0-26.8
College graduate,939,20.0,18.5-21.5
Michigan,,,
Less than H.S.,134,38.4,31.9-45.0
H.S. or G.E.D.,741,33.0,30.5-35.5
Some post-H.S.,851,31.0,28.8-33.3
College graduate,899,22.6,20.9-24.3
Minnesota,,,
Less than H.S.,175,24.1,20.2-27.9
H.S. or G.E.D.,"1,116",24.6,23.1-26.2
Some post-H.S.,"1,351",23.7,22.4-25.0
College graduate,"1,452",17.8,16.8-18.8
Mississippi,,,
Less than H.S.,426,42.9,38.4-47.5
H.S. or G.E.D.,873,32.0,29.6-34.5
Some post-H.S.,662,27.9,25.5-30.4
College graduate,619,22.8,20.7-25.0
Missouri,,,
Less than H.S.,289,41.9,36.4-47.4
H.S. or G.E.D.,"1,094",29.7,27.6-31.8
Some post-H.S.,968,28.6,26.4-30.7
College graduate,884,20.8,19.2-22.5
Montana,,,
Less than H.S.,111,31.0,24.8-37.1
H.S. or G.E.D.,533,26.1,23.6-28.5
Some post-H.S.,632,28.1,25.8-30.4
College graduate,702,22.8,21.0-24.6
Nebraska,,,
Less than H.S.,230,17.6,14.6-20.8
H.S. or G.E.D.,"1,475",26.0,24.2-27.8
Some post-H.S.,"1,456",25.0,23.2-26.7
College graduate,"1,264",19.0,17.6-20.4
Nevada,,,
Less than H.S.,44,21.3,14.2-28.5
H.S. or G.E.D.,200,25.6,21.2-30.1
Some post-H.S.,275,29.8,25.3-34.3
College graduate,216,19.4,15.9-23.0
New Hampshire,,,
Less than H.S.,105,31.3,24.2-38.4
H.S. or G.E.D.,604,26.3,23.6-28.9
Some post-H.S.,652,25.4,23.0-27.8
College graduate,894,22.6,20.8-24.4
New Jersey,,,
Less than H.S.,176,24.1,20.1-28.1
H.S. or G.E.D.,722,24.6,22.4-26.8
Some post-H.S.,737,23.3,21.3-25.2
College graduate,"1,087",15.6,14.4-16.7
New Mexico,,,
Less than H.S.,225,26.7,21.9-31.5
H.S. or G.E.D.,618,24.1,21.2-27.0
Some post-H.S.,642,27.0,24.0-30.1
College graduate,763,24.0,21.6-26.5
New York,,,
Less than H.S.,324,25.4,22.1-28.7
H.S. or G.E.D.,"1,069",22.5,20.8-24.2
Some post-H.S.,"1,014",22.6,20.8-24.4
College graduate,"1,454",16.6,15.5-17.6
North Carolina,,,
Less than H.S.,205,35.0,29.9-40.0
H.S. or G.E.D.,456,24.0,21.5-26.5
Some post-H.S.,549,27.3,24.9-29.8
College graduate,528,20.4,18.4-22.3
North Dakota,,,
Less than H.S.,90,29.9,21.8-38.1
H.S. or G.E.D.,419,22.4,19.7-25.1
Some post-H.S.,503,25.7,23.0-28.5
College graduate,448,16.5,14.6-18.4
Ohio,,,
Less than H.S.,452,37.2,32.8-41.6
H.S. or G.E.D.,"1,883",29.5,27.8-31.2
Some post-H.S.,"1,499",29.0,27.2-30.8
College graduate,"1,352",22.1,20.6-23.6
Oklahoma,,,
Less than H.S.,150,31.4,26.2-36.6
H.S. or G.E.D.,516,26.4,23.9-29.0
Some post-H.S.,566,27.8,25.3-30.4
College graduate,440,21.0,18.8-23.2
Oregon,,,
Less than H.S.,78,22.3,17.1-27.4
H.S. or G.E.D.,358,24.8,22.1-27.5
Some post-H.S.,539,26.2,24.0-28.4
College graduate,483,19.2,17.4-21.0
Pennsylvania,,,
Less than H.S.,103,33.3,26.1-40.5
H.S. or G.E.D.,557,31.8,29.0-34.6
Some post-H.S.,443,30.6,27.4-33.7
College graduate,557,21.2,19.2-23.3
Rhode Island,,,
Less than H.S.,138,29.1,23.5-34.8
H.S. or G.E.D.,465,27.3,24.1-30.4
Some post-H.S.,467,25.4,22.5-28.4
College graduate,614,18.5,16.6-20.4
South Carolina,,,
Less than H.S.,180,45.2,38.4-52.0
H.S. or G.E.D.,438,32.5,29.2-35.8
Some post-H.S.,424,30.9,27.6-34.2
College graduate,428,21.2,18.9-23.6
South Dakota,,,
Less than H.S.,122,30.0,20.3-39.7
