Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,184,42.4,35.7-49.1
H.S. or G.E.D.,480,28.1,25.1-31.1
Some post-H.S.,534,31.7,28.6-34.8
College graduate,513,27.5,24.9-30.2
Alaska,,,
Less than H.S.,62,28.9,20.6-37.1
H.S. or G.E.D.,360,19.3,16.7-21.8
Some post-H.S.,556,27.9,25.2-30.6
College graduate,666,23.7,21.5-25.9
Arizona,,,
Less than H.S.,242,25.2,21.2-29.2
H.S. or G.E.D.,852,20.2,18.2-22.2
Some post-H.S.,"1,470",31.2,29.0-33.4
College graduate,"1,642",23.8,22.2-25.4
Arkansas,,,
Less than H.S.,196,41.5,35.3-47.7
H.S. or G.E.D.,708,29.3,26.8-31.8
Some post-H.S.,595,31.0,28.3-33.8
College graduate,575,24.3,22.2-26.5
California,,,
Less than H.S.,262,19.5,16.6-22.4
H.S. or G.E.D.,540,18.6,16.5-20.7
Some post-H.S.,983,24.7,22.6-26.8
College graduate,"1,389",20.2,18.3-22.1
Colorado,,,
Less than H.S.,105,17.0,13.1-21.0
H.S. or G.E.D.,424,20.6,18.3-22.8
Some post-H.S.,695,26.6,24.3-28.8
College graduate,"1,166",21.8,20.4-23.2
Connecticut,,,
Less than H.S.,136,24.7,18.9-30.5
H.S. or G.E.D.,632,23.5,20.9-26.2
Some post-H.S.,735,28.2,25.3-31.0
College graduate,"1,319",21.8,20.2-23.4
Delaware,,,
Less than H.S.,76,25.4,18.3-32.6
H.S. or G.E.D.,430,31.5,27.9-35.0
Some post-H.S.,429,30.3,26.6-33.9
College graduate,633,26.2,23.6-28.8
District of Columbia,,,
Less than H.S.,34,28.4,17.4-39.5
H.S. or G.E.D.,165,17.6,13.8-21.4
Some post-H.S.,150,20.2,15.2-25.2
College graduate,483,13.5,11.8-15.3
Florida,,,
Less than H.S.,333,31.3,25.0-37.6
H.S. or G.E.D.,"1,377",26.0,23.2-28.7
Some post-H.S.,"1,453",29.2,26.4-32.0
College graduate,"1,663",22.5,20.6-24.4
Georgia,,,
Less than H.S.,234,24.5,20.4-28.7
H.S. or G.E.D.,791,23.6,21.3-25.8
Some post-H.S.,752,26.1,23.7-28.6
College graduate,"1,052",21.9,20.0-23.7
Hawaii,,,
Less than H.S.,83,23.6,17.0-30.3
H.S. or G.E.D.,481,21.2,18.6-23.8
Some post-H.S.,679,25.9,23.4-28.5
College graduate,"1,012",23.5,21.6-25.4
Idaho,,,
Less than H.S.,148,25.8,20.9-30.6
H.S. or G.E.D.,586,23.4,21.2-25.7
Some post-H.S.,713,30.7,28.0-33.4
College graduate,653,25.7,23.3-28.1
Illinois,,,
Less than H.S.,103,24.9,19.1-30.8
H.S. or G.E.D.,313,26.3,23.0-29.5
Some post-H.S.,352,25.8,22.3-29.2
College graduate,602,22.0,20.0-24.1
Indiana,,,
Less than H.S.,233,29.7,25.6-33.8
H.S. or G.E.D.,"1,337",31.0,29.3-32.8
Some post-H.S.,"1,126",32.6,30.6-34.6
College graduate,"1,213",22.7,21.3-24.1
Iowa,,,
Less than H.S.,172,23.2,18.9-27.5
H.S. or G.E.D.,919,28.4,26.3-30.4
Some post-H.S.,864,29.3,27.1-31.4
College graduate,843,24.0,22.2-25.8
Kansas,,,
Less than H.S.,126,27.5,22.1-32.8
H.S. or G.E.D.,825,25.7,23.5-27.8
Some post-H.S.,"1,108",29.5,27.5-31.5
College graduate,"1,122",22.5,21.0-24.1
Louisiana,,,
Less than H.S.,230,40.0,34.4-45.6
H.S. or G.E.D.,598,29.9,27.2-32.6
Some post-H.S.,565,31.6,28.7-34.4
College graduate,540,25.2,22.8-27.6
Maine,,,
Less than H.S.,192,38.2,32.0-44.5
H.S. or G.E.D.,"1,377",33.3,31.1-35.5
Some post-H.S.,"1,442",35.1,32.9-37.3
College graduate,"2,098",28.5,27.0-30.1
Maryland,,,
Less than H.S.,308,23.4,19.6-27.1
H.S. or G.E.D.,"1,588",24.2,22.2-26.2
Some post-H.S.,"1,519",27.9,25.8-30.0
College graduate,"2,708",23.3,22.1-24.6
Massachusetts,,,
Less than H.S.,143,29.4,23.2-35.7
H.S. or G.E.D.,509,26.8,23.8-29.8
Some post-H.S.,703,31.0,28.2-33.8
College graduate,"1,385",22.2,20.7-23.7
Michigan,,,
Less than H.S.,150,30.8,25.2-36.4
H.S. or G.E.D.,"1,003",30.0,27.8-32.2
Some post-H.S.,"1,171",34.6,32.3-36.8
College graduate,"1,339",23.2,21.7-24.6
Minnesota,,,
Less than H.S.,154,19.2,15.4-22.9
H.S. or G.E.D.,"1,025",21.9,19.9-23.8
Some post-H.S.,"1,462",25.8,24.0-27.6
College graduate,"1,834",19.5,18.4-20.7
Mississippi,,,
Less than H.S.,144,44.5,37.2-51.9
H.S. or G.E.D.,378,31.0,27.4-34.5
Some post-H.S.,389,29.3,26.1-32.6
College graduate,421,25.3,22.6-28.0
Missouri,,,
Less than H.S.,203,35.7,29.8-41.6
H.S. or G.E.D.,844,29.9,27.3-32.4
Some post-H.S.,734,30.4,27.8-33.0
College graduate,736,24.7,22.6-26.8
Montana,,,
Less than H.S.,118,27.8,21.9-33.8
H.S. or G.E.D.,661,29.6,27.2-32.1
Some post-H.S.,779,30.7,28.3-33.1
College graduate,"1,023",27.2,25.4-29.1
Nebraska,,,
Less than H.S.,187,17.8,14.5-21.1
H.S. or G.E.D.,"1,174",25.5,23.6-27.3
Some post-H.S.,"1,238",26.9,25.1-28.7
College graduate,"1,228",21.3,19.8-22.7
Nevada,,,
Less than H.S.,29,14.4,6.8-22.1
H.S. or G.E.D.,195,20.5,14.4-26.5
Some post-H.S.,306,30.3,25.5-35.0
College graduate,344,26.9,22.6-31.2
New Hampshire,,,
Less than H.S.,107,44.0,35.0-53.0
H.S. or G.E.D.,724,29.3,26.4-32.2
Some post-H.S.,714,30.0,27.2-32.9
College graduate,"1,283",24.0,22.2-25.7
New Jersey,,,
Less than H.S.,115,20.9,16.5-25.4
H.S. or G.E.D.,618,24.2,21.9-26.6
Some post-H.S.,623,25.4,22.8-28.0
College graduate,"1,200",18.7,17.4-20.1
New Mexico,,,
Less than H.S.,99,24.5,18.0-31.1
H.S. or G.E.D.,257,24.4,20.1-28.8
Some post-H.S.,312,26.7,22.6-30.8
College graduate,417,28.1,24.7-31.6
New York,,,
Less than H.S.,392,25.7,22.5-28.8
H.S. or G.E.D.,"1,119",22.9,20.9-24.9
Some post-H.S.,"1,159",25.1,23.0-27.1
College graduate,"2,025",21.6,20.2-23.0
North Carolina,,,
Less than H.S.,107,31.3,24.1-38.6
H.S. or G.E.D.,303,25.7,22.0-29.3
Some post-H.S.,419,29.6,26.2-33.1
College graduate,468,24.5,21.9-27.2
North Dakota,,,
Less than H.S.,71,30.8,22.9-38.6
H.S. or G.E.D.,528,26.4,23.9-29.0
Some post-H.S.,633,27.5,25.1-29.8
College graduate,709,22.4,20.6-24.2
Ohio,,,
Less than H.S.,324,35.0,30.0-40.1
H.S. or G.E.D.,"1,724",30.5,28.6-32.3
Some post-H.S.,"1,479",33.7,31.6-35.8
College graduate,"1,611",24.7,23.2-26.1
Oklahoma,,,
Less than H.S.,138,31.8,26.6-37.1
H.S. or G.E.D.,596,27.1,24.8-29.4
Some post-H.S.,778,32.1,29.9-34.4
College graduate,789,26.4,24.5-28.3
Oregon,,,
Less than H.S.,93,23.6,18.0-29.2
