Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,125,20.7,16.2-25.2
H.S. or G.E.D.,294,16.0,13.8-18.3
Some post-H.S.,265,14.4,12.3-16.5
College graduate,239,10.2,8.6-11.7
Alaska,,,
Less than H.S.,14,*,
H.S. or G.E.D.,113,6.9,4.9-9.0
Some post-H.S.,125,9.2,6.7-11.6
College graduate,116,7.0,5.1-9.0
Arizona,,,
Less than H.S.,173,17.2,13.9-20.4
H.S. or G.E.D.,334,9.5,8.0-10.9
Some post-H.S.,449,11.5,10.0-13.0
College graduate,384,8.6,7.4-9.8
Arkansas,,,
Less than H.S.,113,17.8,13.6-22.0
H.S. or G.E.D.,312,12.8,11.0-14.6
Some post-H.S.,269,13.6,11.6-15.7
College graduate,230,10.3,8.5-12.1
California,,,
Less than H.S.,105,17.5,13.6-21.4
H.S. or G.E.D.,83,8.7,6.5-11.0
Some post-H.S.,146,11.3,9.0-13.6
College graduate,146,5.2,4.0-6.3
Colorado,,,
Less than H.S.,106,14.4,11.4-17.4
H.S. or G.E.D.,240,8.1,6.9-9.3
Some post-H.S.,267,8.1,7.0-9.3
College graduate,315,5.1,4.5-5.8
Connecticut,,,
Less than H.S.,109,15.9,11.6-20.2
H.S. or G.E.D.,301,11.9,10.0-13.8
Some post-H.S.,245,8.1,6.6-9.6
College graduate,341,6.8,5.7-7.9
Delaware,,,
Less than H.S.,63,14.1,9.8-18.4
H.S. or G.E.D.,186,15.5,12.4-18.6
Some post-H.S.,140,11.1,8.8-13.4
College graduate,155,9.7,7.7-11.7
District of Columbia,,,
Less than H.S.,36,23.2,15.2-31.1
H.S. or G.E.D.,79,9.1,6.8-11.4
Some post-H.S.,86,10.7,8.0-13.4
College graduate,133,3.4,2.6-4.1
Florida,,,
Less than H.S.,253,22.5,17.0-28.0
H.S. or G.E.D.,539,11.0,9.1-13.0
Some post-H.S.,524,11.4,9.6-13.2
College graduate,477,8.2,6.6-9.7
Georgia,,,
Less than H.S.,225,16.6,13.5-19.6
H.S. or G.E.D.,457,12.3,10.6-14.0
Some post-H.S.,437,11.6,9.9-13.4
College graduate,384,8.3,7.0-9.6
Hawaii,,,
Less than H.S.,43,20.5,13.6-27.5
H.S. or G.E.D.,242,10.9,9.2-12.6
Some post-H.S.,260,10.8,9.2-12.4
College graduate,278,8.5,7.3-9.7
Idaho,,,
Less than H.S.,58,13.2,8.1-18.3
H.S. or G.E.D.,199,9.1,7.3-10.8
Some post-H.S.,253,8.9,7.4-10.4
College graduate,174,6.6,5.3-7.9
Illinois,,,
Less than H.S.,37,21.9,14.2-29.7
H.S. or G.E.D.,140,11.1,9.0-13.3
Some post-H.S.,117,10.6,8.3-12.8
College graduate,130,6.1,4.8-7.4
Indiana,,,
Less than H.S.,125,14.5,11.7-17.2
H.S. or G.E.D.,460,13.1,11.8-14.5
Some post-H.S.,353,11.6,10.3-13.0
College graduate,340,8.7,7.6-9.8
Iowa,,,
Less than H.S.,85,12.5,9.5-15.5
H.S. or G.E.D.,387,10.7,9.5-11.9
Some post-H.S.,372,10.9,9.7-12.1
College graduate,308,8.0,7.0-9.0
Kansas,,,
Less than H.S.,85,15.2,11.7-18.8
H.S. or G.E.D.,420,12.6,11.2-13.9
Some post-H.S.,428,10.6,9.4-11.8
College graduate,464,8.9,8.0-9.8
Kentucky,,,
Less than H.S.,86,19.9,15.2-24.6
H.S. or G.E.D.,215,13.7,11.5-15.9
Some post-H.S.,183,12.3,10.2-14.4
College graduate,134,8.5,6.7-10.3
Louisiana,,,
Less than H.S.,90,18.6,14.1-23.1
H.S. or G.E.D.,270,15.9,13.7-18.1
Some post-H.S.,208,13.4,11.1-15.8
College graduate,207,9.3,7.8-10.9
Maine,,,
Less than H.S.,102,16.8,12.3-21.2
H.S. or G.E.D.,456,11.9,10.3-13.5
Some post-H.S.,422,10.5,9.1-11.8
College graduate,389,6.8,5.8-7.8
Maryland,,,
Less than H.S.,159,13.2,10.2-16.3
H.S. or G.E.D.,603,11.6,10.3-12.9
Some post-H.S.,467,11.2,9.9-12.5
College graduate,621,7.7,6.9-8.5
Massachusetts,,,
Less than H.S.,59,20.0,14.0-26.0
H.S. or G.E.D.,169,10.3,8.4-12.2
Some post-H.S.,183,8.4,6.9-9.8
College graduate,257,5.4,4.6-6.3
Michigan,,,
Less than H.S.,67,20.8,15.4-26.1
H.S. or G.E.D.,284,12.8,11.1-14.5
Some post-H.S.,334,12.8,11.2-14.5
College graduate,313,8.0,6.9-9.1
Minnesota,,,
Less than H.S.,80,10.4,7.8-13.0
H.S. or G.E.D.,482,10.6,9.5-11.7
Some post-H.S.,549,9.4,8.6-10.4
College graduate,517,6.4,5.8-7.1
Mississippi,,,
Less than H.S.,216,23.4,19.4-27.4
H.S. or G.E.D.,394,15.1,13.3-16.9
Some post-H.S.,315,12.5,10.8-14.2
College graduate,285,10.9,9.3-12.5
Missouri,,,
Less than H.S.,128,15.9,12.3-19.4
H.S. or G.E.D.,431,11.3,9.9-12.7
Some post-H.S.,393,11.2,9.7-12.6
College graduate,318,7.7,6.7-8.8
Montana,,,
Less than H.S.,42,10.7,6.5-15.0
H.S. or G.E.D.,193,9.4,7.9-11.0
Some post-H.S.,242,9.8,8.3-11.2
College graduate,226,7.4,6.2-8.5
Nebraska,,,
Less than H.S.,151,13.5,10.4-16.6
H.S. or G.E.D.,615,11.2,10.0-12.4
Some post-H.S.,597,10.3,9.1-11.4
College graduate,463,7.1,6.2-8.0
Nevada,,,
Less than H.S.,32,14.6,8.7-20.5
H.S. or G.E.D.,86,10.3,7.4-13.1
Some post-H.S.,101,11.5,8.6-14.4
College graduate,81,9.4,6.4-12.5
New Hampshire,,,
Less than H.S.,46,14.3,9.3-19.3
H.S. or G.E.D.,216,9.3,7.6-10.9
Some post-H.S.,254,10.1,8.5-11.7
College graduate,245,6.4,5.4-7.4
New Jersey,,,
Less than H.S.,127,16.4,13.0-19.8
H.S. or G.E.D.,309,11.2,9.4-13.0
Some post-H.S.,315,9.5,8.2-10.8
College graduate,467,7.5,6.6-8.4
New Mexico,,,
Less than H.S.,157,17.8,13.8-21.7
H.S. or G.E.D.,365,13.9,11.8-16.1
Some post-H.S.,286,12.5,10.2-14.8
College graduate,240,7.4,5.9-9.0
New York,,,
Less than H.S.,212,19.9,16.8-23.1
H.S. or G.E.D.,475,10.9,9.6-12.2
Some post-H.S.,438,10.0,8.6-11.3
College graduate,522,6.2,5.4-6.9
North Carolina,,,
Less than H.S.,113,19.4,15.2-23.7
H.S. or G.E.D.,229,14.1,11.9-16.4
Some post-H.S.,242,12.1,10.3-13.8
College graduate,192,7.9,6.6-9.2
North Dakota,,,
Less than H.S.,34,14.8,8.0-21.6
H.S. or G.E.D.,178,11.2,9.1-13.3
Some post-H.S.,210,10.3,8.6-12.1
College graduate,170,6.7,5.4-8.0
Ohio,,,
Less than H.S.,204,17.5,14.2-20.8
H.S. or G.E.D.,819,13.3,12.0-14.6
Some post-H.S.,627,12.4,11.1-13.7
College graduate,534,9.2,8.2-10.3
Oklahoma,,,
Less than H.S.,75,17.9,13.4-22.4
H.S. or G.E.D.,248,13.7,11.7-15.6
Some post-H.S.,259,12.9,11.1-14.7
College graduate,196,9.2,7.7-10.7
Oregon,,,
Less than H.S.,41,11.2,7.3-15.0
H.S. or G.E.D.,130,9.8,7.8-11.6
Some post-H.S.,207,10.8,9.1-12.4
College graduate,172,7.4,6.1-8.6
Pennsylvania,,,
Less than H.S.,53,16.5,10.7-22.4
H.S. or G.E.D.,242,13.5,11.6-15.5
Some post-H.S.,167,10.9,8.9-12.9
College graduate,195,7.8,6.4-9.1
Rhode Island,,,
Less than H.S.,82,20.5,15.6-25.4
H.S. or G.E.D.,190,11.4,9.3-13.4
Some post-H.S.,178,9.7,7.8-11.6
College graduate,209,6.3,5.2-7.4
South Carolina,,,
Less than H.S.,89,21.1,16.1-26.1
H.S. or G.E.D.,212,15.2,12.8-17.6
Some post-H.S.,169,12.3,10.0-14.5
College graduate,177,9.7,8.0-11.5
South Dakota,,,
Less than H.S.,53,7.1,3.1-11.0
H.S. or G.E.D.,277,8.5,6.4-10.7
Some post-H.S.,268,7.4,5.7-9.2
College graduate,281,8.1,6.0-10.2
Tennessee,,,
Less than H.S.,90,20.9,15.4-26.3
H.S. or G.E.D.,243,14.2,11.9-16.5
Some post-H.S.,218,15.2,12.7-17.6
College graduate,184,9.4,7.7-11.2
Texas,,,
Less than H.S.,408,19.8,15.6-24.0
H.S. or G.E.D.,451,12.1,9.8-14.4
Some post-H.S.,450,12.5,10.3-14.6
College graduate,400,8.7,7.1-10.4
Utah,,,
Less than H.S.,60,10.8,7.5-14.2
H.S. or G.E.D.,296,8.0,6.9-9.2
Some post-H.S.,416,8.8,7.7-9.8
College graduate,388,6.9,6.1-7.7
Vermont,,,
Less than H.S.,50,18.2,12.2-24.3
H.S. or G.E.D.,226,8.9,7.5-10.4
Some post-H.S.,157,6.2,4.9-7.6
College graduate,203,6.0,4.9-7.1
Virginia,,,
Less than H.S.,128,14.6,11.5-17.7
H.S. or G.E.D.,392,12.2,10.6-13.9
Some post-H.S.,396,12.3,10.7-14.0
College graduate,447,8.1,7.1-9.2
Washington,,,
Less than H.S.,100,12.1,9.0-15.2
H.S. or G.E.D.,331,8.9,7.6-10.2
Some post-H.S.,496,9.7,8.6-10.8
College graduate,466,6.4,5.6-7.1
West Virginia,,,
Less than H.S.,133,21.3,17.4-25.2
H.S. or G.E.D.,456,17.2,15.5-19.0
Some post-H.S.,287,14.7,12.8-16.5
College graduate,231,9.9,8.5-11.3
Wisconsin,,,
Less than H.S.,41,14.5,8.6-20.4
H.S. or G.E.D.,197,9.2,7.5-10.9
Some post-H.S.,197,9.8,8.0-11.7
College graduate,163,5.7,4.5-7.0
Wyoming,,,
Less than H.S.,38,14.0,8.6-19.4
H.S. or G.E.D.,170,8.0,6.3-9.6
Some post-H.S.,192,9.1,7.4-10.9
College graduate,150,6.7,5.2-8.2
Guam,,,
Less than H.S.,36,22.4,12.7-32.1
H.S. or G.E.D.,131,14.0,10.4-17.7
Some post-H.S.,95,13.6,9.1-18.2
College graduate,118,9.7,7.4-12.0
Puerto Rico,,,
Less than H.S.,165,29.4,22.4-36.3
H.S. or G.E.D.,213,14.5,12.0-17.0
Some post-H.S.,180,11.5,9.4-13.6
College graduate,203,9.1,7.4-10.7
Virgin Islands,,,
Less than H.S.,65,30.9,17.8-44.0
H.S. or G.E.D.,86,14.9,8.0-21.8
Some post-H.S.,57,*,
College graduate,49,*,
