Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,53,14.7,10.0-19.4
H.S. or G.E.D.,112,8.4,6.5-10.3
Some post-H.S.,152,11.0,8.8-13.2
College graduate,107,6.7,5.2-8.2
Alaska,,,
Less than H.S.,36,10.9,6.7-15.1
H.S. or G.E.D.,142,9.9,7.9-11.9
Some post-H.S.,173,12.0,9.7-14.3
College graduate,230,9.7,8.1-11.4
Arizona,,,
Less than H.S.,61,9.3,5.9-12.7
H.S. or G.E.D.,193,9.7,7.7-11.7
Some post-H.S.,394,11.6,9.8-13.3
College graduate,383,7.9,6.7-9.2
Arkansas,,,
Less than H.S.,67,15.6,11.2-20.0
H.S. or G.E.D.,178,9.1,7.4-10.8
Some post-H.S.,153,12.1,9.9-14.4
College graduate,138,7.6,6.2-9.1
California,,,
Less than H.S.,66,7.0,4.8-9.3
H.S. or G.E.D.,182,9.1,7.3-10.9
Some post-H.S.,300,10.0,8.5-11.5
College graduate,471,7.8,6.8-8.8
Colorado,,,
Less than H.S.,52,10.2,7.0-13.4
H.S. or G.E.D.,187,11.6,9.4-13.7
Some post-H.S.,280,11.8,10.1-13.5
College graduate,469,9.8,8.8-10.8
Connecticut,,,
Less than H.S.,73,14.2,9.6-18.8
H.S. or G.E.D.,257,12.7,10.6-14.7
Some post-H.S.,302,14.4,12.3-16.6
College graduate,520,10.3,9.1-11.5
Delaware,,,
Less than H.S.,27,9.6,4.9-14.3
H.S. or G.E.D.,109,11.2,8.5-13.9
Some post-H.S.,122,9.3,7.2-11.3
College graduate,171,9.1,7.4-10.8
District of Columbia,,,
Less than H.S.,22,16.4,8.9-24.0
H.S. or G.E.D.,60,11.6,7.8-15.4
Some post-H.S.,57,13.8,9.4-18.1
College graduate,186,9.6,7.9-11.3
Florida,,,
Less than H.S.,105,8.5,5.1-11.8
H.S. or G.E.D.,311,9.6,7.4-11.8
Some post-H.S.,397,10.2,8.3-12.2
College graduate,405,8.5,7.0-10.0
Georgia,,,
Less than H.S.,92,13.9,10.0-17.9
H.S. or G.E.D.,230,9.1,7.4-10.8
Some post-H.S.,262,9.9,8.2-11.6
College graduate,298,7.8,6.6-9.0
Hawaii,,,
Less than H.S.,29,11.5,6.6-16.4
H.S. or G.E.D.,212,10.2,8.4-11.9
Some post-H.S.,219,8.9,7.4-10.5
College graduate,275,7.8,6.5-9.0
Idaho,,,
Less than H.S.,47,14.3,9.4-19.1
H.S. or G.E.D.,164,10.8,8.9-12.7
Some post-H.S.,240,11.6,9.9-13.2
College graduate,206,9.1,7.7-10.5
Illinois,,,
Less than H.S.,28,7.1,4.0-10.3
H.S. or G.E.D.,83,9.7,7.2-12.1
Some post-H.S.,93,9.3,7.0-11.6
College graduate,137,8.0,6.4-9.7
Indiana,,,
Less than H.S.,106,15.5,12.1-18.8
H.S. or G.E.D.,352,10.7,9.4-12.0
Some post-H.S.,323,11.3,9.9-12.6
College graduate,340,9.1,8.0-10.2
Iowa,,,
Less than H.S.,55,10.1,6.7-13.4
H.S. or G.E.D.,243,9.8,8.3-11.3
Some post-H.S.,265,10.9,9.4-12.5
College graduate,235,7.9,6.7-9.2
Kansas,,,
Less than H.S.,59,14.0,10.0-17.9
H.S. or G.E.D.,303,11.0,9.4-12.5
Some post-H.S.,401,12.4,10.9-13.9
College graduate,366,7.6,6.6-8.5
Kentucky,,,
Less than H.S.,61,16.2,11.1-21.3
H.S. or G.E.D.,140,10.8,8.5-13.1
Some post-H.S.,120,9.6,7.2-11.9
College graduate,115,9.7,7.4-12.0
Louisiana,,,
Less than H.S.,55,14.6,10.5-18.8
H.S. or G.E.D.,156,9.9,7.9-11.9
Some post-H.S.,143,9.2,7.5-11.0
College graduate,169,8.2,6.7-9.6
Maine,,,
Less than H.S.,53,19.3,13.1-25.5
H.S. or G.E.D.,334,13.1,11.0-15.1
Some post-H.S.,383,13.6,11.9-15.4
College graduate,502,11.4,10.2-12.7
Maryland,,,
Less than H.S.,106,8.9,6.4-11.5
H.S. or G.E.D.,439,10.8,9.2-12.4
Some post-H.S.,445,11.5,10.0-13.1
College graduate,726,9.6,8.6-10.7
Massachusetts,,,
Less than H.S.,79,13.5,9.8-17.1
H.S. or G.E.D.,242,11.8,9.9-13.7
Some post-H.S.,312,11.9,10.2-13.5
College graduate,611,10.3,9.2-11.4
Michigan,,,
Less than H.S.,58,13.9,9.8-18.1
H.S. or G.E.D.,296,12.3,10.6-14.0
Some post-H.S.,353,12.8,11.3-14.3
College graduate,398,9.6,8.5-10.6
Minnesota,,,
Less than H.S.,74,14.8,10.9-18.7
H.S. or G.E.D.,311,10.3,8.8-11.7
Some post-H.S.,498,10.1,9.0-11.1
College graduate,692,8.4,7.6-9.1
Mississippi,,,
Less than H.S.,49,13.0,8.4-17.5
H.S. or G.E.D.,112,9.3,7.1-11.5
Some post-H.S.,106,8.2,6.4-10.0
College graduate,101,8.9,6.4-11.4
Missouri,,,
Less than H.S.,61,13.2,8.9-17.5
H.S. or G.E.D.,229,10.5,8.8-12.2
Some post-H.S.,223,10.4,8.6-12.1
College graduate,230,9.4,7.9-10.9
Montana,,,
Less than H.S.,49,17.1,11.9-22.2
H.S. or G.E.D.,172,9.9,8.2-11.7
Some post-H.S.,268,14.4,12.4-16.4
College graduate,249,9.2,7.8-10.5
Nebraska,,,
Less than H.S.,34,9.2,5.1-13.3
H.S. or G.E.D.,173,7.2,5.7-8.6
Some post-H.S.,218,9.8,8.1-11.5
College graduate,176,6.9,5.5-8.2
Nevada,,,
Less than H.S.,20,9.1,4.4-13.8
H.S. or G.E.D.,78,8.6,6.1-11.0
Some post-H.S.,109,12.8,9.4-16.2
College graduate,146,9.1,7.2-11.1
New Hampshire,,,
Less than H.S.,35,20.8,12.5-29.0
H.S. or G.E.D.,185,12.9,10.4-15.5
Some post-H.S.,226,13.7,11.4-16.0
College graduate,330,11.4,9.9-12.9
New Jersey,,,
Less than H.S.,45,10.3,6.5-14.1
H.S. or G.E.D.,154,8.4,6.8-10.0
Some post-H.S.,187,10.6,8.7-12.4
College graduate,315,7.8,6.7-9.0
New Mexico,,,
Less than H.S.,52,9.8,6.3-13.2
H.S. or G.E.D.,101,8.0,5.9-10.0
Some post-H.S.,161,12.4,9.9-14.9
College graduate,210,10.8,8.9-12.7
New York,,,
Less than H.S.,153,10.3,8.4-12.3
H.S. or G.E.D.,445,11.4,10.0-12.8
Some post-H.S.,467,11.9,10.4-13.4
College graduate,708,8.3,7.5-9.2
North Carolina,,,
Less than H.S.,40,14.6,8.3-21.0
H.S. or G.E.D.,81,7.4,5.5-9.4
Some post-H.S.,136,10.5,8.4-12.6
College graduate,141,7.2,5.8-8.6
North Dakota,,,
Less than H.S.,21,13.5,6.8-20.3
H.S. or G.E.D.,103,10.5,8.3-12.8
Some post-H.S.,140,10.6,8.6-12.5
College graduate,139,9.3,7.7-11.0
Ohio,,,
Less than H.S.,155,19.0,14.9-23.1
H.S. or G.E.D.,534,10.6,9.3-11.8
Some post-H.S.,546,11.8,10.5-13.2
College graduate,523,9.2,8.1-10.2
Oklahoma,,,
Less than H.S.,64,14.3,10.3-18.2
H.S. or G.E.D.,193,13.0,11.0-15.1
Some post-H.S.,243,12.4,10.7-14.2
College graduate,203,10.4,8.8-11.9
Oregon,,,
Less than H.S.,42,11.9,7.9-16.0
H.S. or G.E.D.,141,10.6,8.5-12.6
Some post-H.S.,246,13.2,11.4-15.0
College graduate,243,10.1,8.6-11.6
Pennsylvania,,,
Less than H.S.,27,*,
H.S. or G.E.D.,142,11.3,8.9-13.6
Some post-H.S.,130,10.3,8.0-12.6
College graduate,169,8.1,6.5-9.7
Rhode Island,,,
Less than H.S.,78,15.7,11.5-20.0
H.S. or G.E.D.,151,12.7,10.1-15.2
Some post-H.S.,196,14.8,12.1-17.4
College graduate,312,11.5,9.9-13.1
South Carolina,,,
Less than H.S.,73,10.8,7.7-13.8
H.S. or G.E.D.,227,8.7,7.2-10.3
Some post-H.S.,272,9.5,8.1-10.9
College graduate,314,7.9,6.8-9.0
South Dakota,,,
Less than H.S.,50,8.6,4.2-12.9
H.S. or G.E.D.,162,6.3,4.4-8.3
Some post-H.S.,219,9.7,6.6-12.7
College graduate,210,8.9,6.0-11.7
Tennessee,,,
Less than H.S.,84,21.6,16.2-27.1
H.S. or G.E.D.,171,10.2,8.2-12.1
Some post-H.S.,181,12.4,10.2-14.6
College graduate,158,8.7,7.0-10.3
Texas,,,
Less than H.S.,119,7.8,5.5-10.0
H.S. or G.E.D.,300,8.5,6.9-10.1
Some post-H.S.,384,8.1,6.8-9.3
College graduate,472,7.2,6.2-8.2
Utah,,,
Less than H.S.,46,9.1,6.0-12.2
H.S. or G.E.D.,247,10.8,9.1-12.5
Some post-H.S.,358,12.4,10.8-14.1
College graduate,395,9.8,8.6-10.9
Vermont,,,
Less than H.S.,43,19.2,12.9-25.6
H.S. or G.E.D.,246,13.6,11.5-15.8
Some post-H.S.,246,13.7,11.5-15.8
College graduate,514,10.7,9.6-11.8
Virginia,,,
Less than H.S.,81,13.8,9.7-17.9
H.S. or G.E.D.,215,10.0,8.0-12.0
Some post-H.S.,297,12.1,10.2-13.9
College graduate,405,7.2,6.3-8.1
Washington,,,
Less than H.S.,145,12.2,9.9-14.6
H.S. or G.E.D.,564,10.7,9.6-11.7
Some post-H.S.,933,12.5,11.5-13.5
College graduate,"1,225",9.2,8.6-9.8
West Virginia,,,
Less than H.S.,64,15.5,11.4-19.5
H.S. or G.E.D.,221,12.7,10.7-14.7
Some post-H.S.,171,13.4,11.1-15.8
College graduate,179,11.1,9.4-12.9
Wisconsin,,,
Less than H.S.,69,14.2,10.2-18.2
H.S. or G.E.D.,306,10.8,9.3-12.3
Some post-H.S.,394,12.3,10.7-13.9
College graduate,416,8.7,7.6-9.8
Wyoming,,,
Less than H.S.,18,12.7,6.0-19.3
H.S. or G.E.D.,85,9.5,7.2-11.9
Some post-H.S.,155,12.3,10.0-14.6
College graduate,144,8.6,7.0-10.1
Guam,,,
Less than H.S.,9,*,
H.S. or G.E.D.,36,7.0,3.4-10.6
Some post-H.S.,33,7.6,3.4-11.8
College graduate,48,6.6,2.8-10.4
Puerto Rico,,,
Less than H.S.,94,13.9,10.4-17.5
H.S. or G.E.D.,166,9.7,7.8-11.6
Some post-H.S.,218,13.9,11.5-16.2
College graduate,235,11.5,9.5-13.5
Virgin Islands,,,
Less than H.S.,11,*,
H.S. or G.E.D.,26,*,
Some post-H.S.,24,*,
College graduate,41,*,
