Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,50,12.8,8.6-17.0
H.S. or G.E.D.,92,5.5,4.1-7.0
Some post-H.S.,71,3.8,2.6-4.9
College graduate,70,3.2,2.3-4.2
Alaska,,,
Less than H.S.,18,*,
H.S. or G.E.D.,67,2.9,1.9-3.8
Some post-H.S.,79,3.0,2.1-4.0
College graduate,86,2.9,2.1-3.8
Arizona,,,
Less than H.S.,49,5.6,3.6-7.7
H.S. or G.E.D.,123,3.7,2.8-4.6
Some post-H.S.,214,4.8,3.9-5.6
College graduate,194,3.6,2.8-4.3
Arkansas,,,
Less than H.S.,55,9.8,5.9-13.7
H.S. or G.E.D.,175,6.0,4.8-7.2
Some post-H.S.,131,4.8,3.7-6.0
College graduate,99,2.4,1.8-3.0
California,,,
Less than H.S.,40,3.6,2.3-4.8
H.S. or G.E.D.,38,2.2,1.4-3.0
Some post-H.S.,73,3.9,2.7-5.0
College graduate,91,2.1,1.5-2.7
Colorado,,,
Less than H.S.,31,3.4,2.0-4.8
H.S. or G.E.D.,85,2.7,2.0-3.4
Some post-H.S.,107,3.1,2.4-3.8
College graduate,127,2.0,1.6-2.5
Connecticut,,,
Less than H.S.,28,6.6,3.7-9.4
H.S. or G.E.D.,92,4.7,3.4-5.9
Some post-H.S.,93,3.6,2.6-4.7
College graduate,95,1.9,1.4-2.4
Delaware,,,
Less than H.S.,29,14.8,8.3-21.4
H.S. or G.E.D.,54,4.4,3.0-5.8
Some post-H.S.,46,3.9,2.5-5.2
College graduate,55,2.8,2.0-3.7
District of Columbia,,,
Less than H.S.,15,*,
H.S. or G.E.D.,23,2.6,1.4-3.8
Some post-H.S.,19,*,
College graduate,47,1.3,0.8-1.8
Georgia,,,
Less than H.S.,78,9.2,6.4-12.1
H.S. or G.E.D.,145,4.7,3.6-5.8
Some post-H.S.,132,4.2,2.9-5.6
College graduate,129,2.3,1.7-2.9
Hawaii,,,
Less than H.S.,8,*,
H.S. or G.E.D.,74,2.7,1.9-3.4
Some post-H.S.,103,3.8,2.6-4.9
College graduate,101,2.2,1.6-2.7
Idaho,,,
Less than H.S.,33,5.3,3.3-7.3
H.S. or G.E.D.,108,4.9,3.6-6.1
Some post-H.S.,117,3.8,3.0-4.6
College graduate,87,3.0,2.2-3.7
Illinois,,,
Less than H.S.,10,*,
H.S. or G.E.D.,37,3.7,2.3-5.1
Some post-H.S.,37,4.2,2.6-5.9
College graduate,41,2.2,1.4-3.0
Indiana,,,
Less than H.S.,65,8.3,6.1-10.5
H.S. or G.E.D.,205,5.1,4.3-5.8
Some post-H.S.,158,4.4,3.6-5.1
College graduate,132,2.4,2.0-2.9
Iowa,,,
Less than H.S.,38,5.7,3.4-8.0
H.S. or G.E.D.,172,4.9,4.0-5.8
Some post-H.S.,150,4.4,3.6-5.3
College graduate,107,2.4,1.8-2.9
Kansas,,,
Less than H.S.,67,9.3,6.6-12.0
H.S. or G.E.D.,295,5.2,4.5-5.8
Some post-H.S.,316,4.2,3.7-4.8
College graduate,252,2.6,2.2-3.0
Kentucky,,,
Less than H.S.,59,10.7,7.0-14.3
H.S. or G.E.D.,144,6.4,4.9-7.8
Some post-H.S.,110,5.5,4.2-6.8
College graduate,54,2.1,1.4-2.8
Louisiana,,,
Less than H.S.,39,8.0,5.0-10.9
H.S. or G.E.D.,97,4.3,3.2-5.3
Some post-H.S.,95,5.4,4.1-6.7
College graduate,66,2.0,1.4-2.6
Maine,,,
Less than H.S.,50,13.5,8.8-18.1
H.S. or G.E.D.,251,6.0,5.1-7.0
Some post-H.S.,227,5.1,4.2-5.9
College graduate,247,3.8,3.1-4.4
Maryland,,,
Less than H.S.,56,4.6,3.0-6.2
H.S. or G.E.D.,230,4.0,3.3-4.7
Some post-H.S.,187,3.4,2.7-4.0
College graduate,236,2.3,1.8-2.7
Massachusetts,,,
Less than H.S.,28,6.4,3.7-9.1
H.S. or G.E.D.,79,5.3,3.7-6.9
Some post-H.S.,72,3.3,2.4-4.2
College graduate,115,2.6,2.0-3.2
Michigan,,,
Less than H.S.,44,10.0,6.5-13.4
H.S. or G.E.D.,162,5.1,4.2-6.0
Some post-H.S.,149,4.4,3.6-5.3
College graduate,138,2.8,2.2-3.3
Minnesota,,,
Less than H.S.,40,6.6,4.0-9.1
H.S. or G.E.D.,210,4.9,4.2-5.7
Some post-H.S.,233,3.8,3.3-4.4
College graduate,191,2.0,1.7-2.4
Mississippi,,,
Less than H.S.,58,12.5,8.5-16.5
H.S. or G.E.D.,99,5.4,4.1-6.7
Some post-H.S.,64,3.6,2.5-4.8
College graduate,60,3.2,2.2-4.2
Missouri,,,
Less than H.S.,102,9.4,7.0-11.9
H.S. or G.E.D.,312,6.0,4.8-7.2
Some post-H.S.,217,4.3,3.4-5.2
College graduate,178,3.1,2.4-3.8
Montana,,,
Less than H.S.,27,6.0,3.2-8.8
H.S. or G.E.D.,101,4.4,3.4-5.4
Some post-H.S.,102,3.8,3.0-4.7
College graduate,109,3.2,2.5-3.8
Nebraska,,,
Less than H.S.,57,6.1,3.6-8.6
H.S. or G.E.D.,255,4.0,3.3-4.6
Some post-H.S.,220,3.1,2.6-3.6
College graduate,155,2.1,1.7-2.5
Nevada,,,
Less than H.S.,11,*,
H.S. or G.E.D.,36,3.5,2.0-5.0
Some post-H.S.,61,4.3,2.9-5.7
College graduate,38,2.3,1.3-3.2
New Hampshire,,,
Less than H.S.,22,7.2,3.8-10.6
H.S. or G.E.D.,107,4.7,3.4-6.1
Some post-H.S.,107,3.6,2.8-4.5
College graduate,135,2.6,2.1-3.2
New Jersey,,,
Less than H.S.,45,8.3,5.2-11.4
H.S. or G.E.D.,71,3.0,2.2-3.9
Some post-H.S.,80,3.5,2.6-4.5
College graduate,114,2.5,1.9-3.0
New Mexico,,,
Less than H.S.,44,5.8,3.4-8.2
H.S. or G.E.D.,82,3.9,2.8-5.0
Some post-H.S.,82,3.5,2.4-4.6
College graduate,102,3.3,2.5-4.2
New York,,,
Less than H.S.,239,5.3,4.0-6.6
H.S. or G.E.D.,736,4.3,3.7-4.9
Some post-H.S.,571,3.3,2.8-3.9
College graduate,547,2.4,2.0-2.8
North Carolina,,,
Less than H.S.,41,8.2,5.1-11.2
H.S. or G.E.D.,62,5.3,3.5-7.2
Some post-H.S.,81,4.8,3.6-6.0
College graduate,59,2.2,1.6-2.8
North Dakota,,,
Less than H.S.,31,8.9,4.7-13.0
H.S. or G.E.D.,139,4.9,3.9-5.9
Some post-H.S.,94,3.4,2.5-4.2
College graduate,95,2.3,1.8-2.9
Ohio,,,
Less than H.S.,111,8.8,6.5-11.1
H.S. or G.E.D.,378,6.1,5.3-7.0
Some post-H.S.,272,5.2,4.3-6.0
College graduate,205,2.7,2.2-3.2
Oklahoma,,,
Less than H.S.,39,10.1,6.5-13.7
H.S. or G.E.D.,101,4.6,3.6-5.7
Some post-H.S.,124,4.7,3.8-5.7
College graduate,88,3.3,2.4-4.2
Oregon,,,
Less than H.S.,18,*,
H.S. or G.E.D.,53,4.9,3.2-6.6
Some post-H.S.,89,4.4,3.4-5.4
College graduate,65,2.4,1.7-3.1
Pennsylvania,,,
Less than H.S.,32,8.4,5.0-11.8
H.S. or G.E.D.,118,6.0,4.6-7.3
Some post-H.S.,78,4.8,3.4-6.2
College graduate,78,2.3,1.7-2.9
Rhode Island,,,
Less than H.S.,30,7.8,4.6-11.0
H.S. or G.E.D.,68,4.1,2.9-5.2
Some post-H.S.,70,3.9,2.9-4.9
College graduate,90,2.4,1.8-3.0
South Carolina,,,
Less than H.S.,65,6.9,4.6-9.2
H.S. or G.E.D.,184,4.0,3.2-4.8
Some post-H.S.,169,4.6,3.6-5.6
College graduate,174,2.9,2.4-3.5
South Dakota,,,
