Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,122,27.1,22.0-32.1
H.S. or G.E.D.,395,26.2,23.5-28.9
Some post-H.S.,315,21.6,19.1-24.1
College graduate,277,16.3,14.2-18.4
Alaska,,,
Less than H.S.,44,38.6,26.3-51.0
H.S. or G.E.D.,284,41.9,36.6-47.3
Some post-H.S.,210,28.6,23.8-33.4
College graduate,234,23.0,18.7-27.4
Arizona,,,
Less than H.S.,217,45.2,38.8-51.6
H.S. or G.E.D.,561,37.3,33.6-41.0
Some post-H.S.,544,23.8,21.1-26.5
College graduate,471,18.6,16.3-20.9
Arkansas,,,
Less than H.S.,77,28.3,21.9-34.7
H.S. or G.E.D.,240,22.5,19.4-25.6
Some post-H.S.,176,20.2,17.0-23.5
College graduate,158,14.7,12.0-17.4
California,,,
Less than H.S.,735,41.5,38.7-44.2
H.S. or G.E.D.,628,30.1,27.8-32.5
Some post-H.S.,614,21.7,19.8-23.5
College graduate,846,16.2,15.0-17.5
Colorado,,,
Less than H.S.,286,50.1,45.5-54.6
H.S. or G.E.D.,511,32.1,29.6-34.6
Some post-H.S.,473,24.6,22.4-26.7
College graduate,647,19.0,17.6-20.5
Connecticut,,,
Less than H.S.,120,34.2,28.7-39.7
H.S. or G.E.D.,304,20.2,17.8-22.7
Some post-H.S.,211,12.7,10.6-14.8
College graduate,370,11.6,10.3-12.9
Delaware,,,
Less than H.S.,146,34.3,27.4-41.2
H.S. or G.E.D.,189,19.6,16.3-22.9
Some post-H.S.,129,15.0,11.6-18.3
College graduate,149,12.0,9.4-14.5
District of Columbia,,,
Less than H.S.,27,25.5,15.0-36.0
H.S. or G.E.D.,78,24.1,18.7-29.5
Some post-H.S.,80,25.4,19.6-31.1
College graduate,236,22.2,19.4-25.1
Florida,,,
Less than H.S.,556,39.6,34.7-44.6
H.S. or G.E.D.,"1,208",29.7,26.9-32.6
Some post-H.S.,"1,079",26.1,23.5-28.8
College graduate,879,23.0,20.4-25.7
Georgia,,,
Less than H.S.,302,41.6,36.2-46.9
H.S. or G.E.D.,468,32.0,28.4-35.6
Some post-H.S.,349,22.7,19.4-26.0
College graduate,339,16.4,14.1-18.7
Hawaii,,,
Less than H.S.,65,23.7,17.3-30.1
H.S. or G.E.D.,379,20.4,18.2-22.7
Some post-H.S.,276,13.8,11.9-15.7
College graduate,392,13.4,11.8-15.0
Idaho,,,
Less than H.S.,115,39.5,31.9-47.1
H.S. or G.E.D.,397,31.6,28.0-35.3
Some post-H.S.,394,26.3,22.9-29.7
College graduate,349,20.6,17.7-23.4
Illinois,,,
Less than H.S.,137,35.9,30.4-41.3
H.S. or G.E.D.,244,20.2,17.7-22.8
Some post-H.S.,240,18.9,16.6-21.3
College graduate,343,15.9,14.2-17.6
Indiana,,,
Less than H.S.,145,29.9,25.3-34.5
H.S. or G.E.D.,509,25.1,22.9-27.3
Some post-H.S.,349,20.2,18.0-22.3
College graduate,366,15.8,14.1-17.5
Iowa,,,
Less than H.S.,142,29.2,24.7-33.7
H.S. or G.E.D.,428,17.9,16.2-19.6
Some post-H.S.,421,16.9,15.3-18.5
College graduate,343,12.8,11.4-14.2
Kansas,,,
Less than H.S.,129,33.5,28.1-38.9
H.S. or G.E.D.,579,25.3,23.3-27.3
Some post-H.S.,623,21.6,19.9-23.3
College graduate,527,15.0,13.7-16.3
Kentucky,,,
Less than H.S.,86,20.5,15.0-25.9
H.S. or G.E.D.,351,19.6,17.0-22.1
Some post-H.S.,292,18.8,15.9-21.6
College graduate,284,14.3,11.9-16.7
Louisiana,,,
Less than H.S.,108,28.9,23.6-34.2
H.S. or G.E.D.,273,25.2,22.0-28.3
Some post-H.S.,226,22.1,19.1-25.0
College graduate,236,19.5,16.9-22.0
Maine,,,
Less than H.S.,83,25.6,18.5-32.6
