Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,62,24.8,18.7-30.9
H.S. or G.E.D.,164,18.4,15.3-21.5
Some post-H.S.,155,15.4,12.9-18.0
College graduate,135,10.3,8.4-12.2
Alaska,,,
Less than H.S.,69,38.8,30.0-47.6
H.S. or G.E.D.,365,30.4,26.5-34.2
Some post-H.S.,294,21.1,18.1-24.1
College graduate,326,16.1,13.6-18.6
Arizona,,,
Less than H.S.,195,36.5,31.7-41.4
H.S. or G.E.D.,568,30.4,27.8-33.0
Some post-H.S.,523,17.5,15.7-19.3
College graduate,505,14.6,13.1-16.2
Arkansas,,,
Less than H.S.,46,20.6,14.2-27.0
H.S. or G.E.D.,158,17.7,14.6-20.8
Some post-H.S.,107,13.2,10.5-15.9
College graduate,117,12.6,9.9-15.3
California,,,
Less than H.S.,290,31.6,28.0-35.1
H.S. or G.E.D.,290,24.8,21.7-27.8
Some post-H.S.,220,13.2,11.2-15.1
College graduate,362,11.0,9.7-12.4
Colorado,,,
Less than H.S.,280,40.7,36.4-44.9
H.S. or G.E.D.,481,24.3,22.2-26.5
Some post-H.S.,408,16.4,14.7-18.1
College graduate,539,10.9,9.9-11.9
Connecticut,,,
Less than H.S.,119,28.8,23.3-34.2
H.S. or G.E.D.,246,16.4,13.9-19.0
Some post-H.S.,187,10.5,8.6-12.4
College graduate,263,7.0,5.9-8.1
Delaware,,,
Less than H.S.,84,34.8,26.4-43.2
H.S. or G.E.D.,158,17.2,14.1-20.3
Some post-H.S.,109,13.1,10.2-16.1
College graduate,97,7.8,6.0-9.6
District of Columbia,,,
Less than H.S.,20,20.0,10.7-29.3
H.S. or G.E.D.,60,16.9,12.2-21.7
Some post-H.S.,55,18.4,13.2-23.7
College graduate,192,11.7,10.0-13.5
Georgia,,,
Less than H.S.,145,32.2,26.9-37.5
H.S. or G.E.D.,310,20.8,18.0-23.6
Some post-H.S.,245,16.9,14.2-19.7
College graduate,283,12.7,10.8-14.5
Hawaii,,,
Less than H.S.,22,10.9,5.5-16.4
H.S. or G.E.D.,231,13.2,11.3-15.1
Some post-H.S.,178,9.2,7.6-10.9
College graduate,246,7.3,6.2-8.4
Idaho,,,
Less than H.S.,110,27.7,22.1-33.2
H.S. or G.E.D.,333,22.8,20.2-25.3
Some post-H.S.,293,14.4,12.6-16.2
College graduate,245,11.6,10.0-13.2
Illinois,,,
Less than H.S.,24,23.4,13.7-33.2
H.S. or G.E.D.,124,20.2,16.6-23.9
Some post-H.S.,111,14.5,11.7-17.4
College graduate,199,12.7,10.9-14.6
Indiana,,,
Less than H.S.,146,27.9,23.5-32.4
H.S. or G.E.D.,362,16.6,14.8-18.3
Some post-H.S.,261,13.4,11.7-15.0
College graduate,295,10.1,8.8-11.3
Iowa,,,
Less than H.S.,232,33.4,28.2-38.6
H.S. or G.E.D.,431,17.8,15.9-19.8
Some post-H.S.,263,11.1,9.6-12.7
College graduate,253,9.0,7.7-10.2
Kansas,,,
Less than H.S.,119,27.2,22.6-31.8
H.S. or G.E.D.,614,18.1,16.6-19.6
Some post-H.S.,535,12.6,11.4-13.7
College graduate,509,8.3,7.5-9.1
Kentucky,,,
Less than H.S.,54,16.7,11.3-22.1
H.S. or G.E.D.,219,15.7,13.4-18.1
Some post-H.S.,156,12.6,10.2-15.0
College graduate,145,10.7,8.7-12.7
Louisiana,,,
Less than H.S.,66,21.9,16.4-27.4
H.S. or G.E.D.,149,14.4,12.0-16.9
Some post-H.S.,158,14.8,12.3-17.3
College graduate,139,9.1,7.4-10.8
Maine,,,
Less than H.S.,49,13.8,8.7-19.0
H.S. or G.E.D.,293,13.1,11.1-15.0
Some post-H.S.,194,7.3,5.9-8.7
College graduate,244,6.1,5.0-7.2
Maryland,,,
Less than H.S.,241,37.2,32.5-41.9
H.S. or G.E.D.,386,12.7,11.0-14.3
Some post-H.S.,274,10.4,8.7-12.0
College graduate,480,7.4,6.6-8.3
Massachusetts,,,
Less than H.S.,96,25.1,19.6-30.6
