Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,59,24.3,17.7-30.9
H.S. or G.E.D.,185,23.8,20.2-27.3
Some post-H.S.,141,13.9,11.5-16.3
College graduate,128,10.9,8.8-13.1
Alaska,,,
Less than H.S.,51,32.2,23.4-40.9
H.S. or G.E.D.,337,26.0,22.9-29.0
Some post-H.S.,277,18.8,16.1-21.4
College graduate,299,14.3,12.3-16.3
Arizona,,,
Less than H.S.,201,36.1,31.0-41.2
H.S. or G.E.D.,550,28.6,25.8-31.3
Some post-H.S.,435,15.8,14.0-17.7
College graduate,479,11.7,10.4-13.0
Arkansas,,,
Less than H.S.,68,29.1,22.4-35.9
H.S. or G.E.D.,169,15.8,13.2-18.3
Some post-H.S.,115,12.7,10.2-15.2
College graduate,110,9.3,7.4-11.2
California,,,
Less than H.S.,442,37.8,34.3-41.3
H.S. or G.E.D.,477,22.4,20.1-24.7
Some post-H.S.,407,14.5,12.7-16.3
College graduate,582,9.9,8.7-11.1
Colorado,,,
Less than H.S.,201,40.4,35.2-45.7
H.S. or G.E.D.,380,24.1,21.6-26.7
Some post-H.S.,335,18.4,16.1-20.7
College graduate,498,11.9,10.7-13.1
Connecticut,,,
Less than H.S.,175,33.5,27.9-39.1
H.S. or G.E.D.,267,15.0,12.6-17.3
Some post-H.S.,179,10.6,8.5-12.7
College graduate,312,7.5,6.3-8.8
Delaware,,,
Less than H.S.,95,39.1,30.6-47.7
H.S. or G.E.D.,127,14.1,11.0-17.3
Some post-H.S.,74,8.7,6.0-11.4
College graduate,112,6.5,5.0-8.1
District of Columbia,,,
Less than H.S.,16,23.1,11.6-34.6
H.S. or G.E.D.,43,15.0,9.5-20.6
Some post-H.S.,42,18.2,12.2-24.3
College graduate,192,13.0,10.9-15.1
Florida,,,
Less than H.S.,219,35.3,28.7-41.9
H.S. or G.E.D.,569,23.9,20.8-27.1
Some post-H.S.,435,15.5,13.2-17.9
College graduate,512,15.0,12.9-17.0
Georgia,,,
Less than H.S.,139,35.3,29.4-41.2
H.S. or G.E.D.,317,20.5,17.9-23.2
