Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,90,29.6,23.3-35.9
H.S. or G.E.D.,196,18.0,15.0-20.9
Some post-H.S.,210,17.9,15.2-20.5
College graduate,206,13.5,11.4-15.6
Alaska,,,
Less than H.S.,39,17.0,10.8-23.2
H.S. or G.E.D.,213,18.8,15.5-22.1
Some post-H.S.,213,13.1,10.7-15.5
College graduate,202,9.1,7.3-10.9
Arizona,,,
Less than H.S.,117,17.8,13.8-21.8
H.S. or G.E.D.,355,16.9,14.8-19.0
Some post-H.S.,556,17.9,16.1-19.7
College graduate,409,9.8,8.5-11.0
Arkansas,,,
Less than H.S.,65,18.4,13.1-23.8
H.S. or G.E.D.,258,20.6,17.5-23.7
Some post-H.S.,233,20.3,17.3-23.4
College graduate,168,12.1,9.8-14.4
California,,,
Less than H.S.,102,9.8,7.6-11.9
H.S. or G.E.D.,192,16.3,13.7-18.9
Some post-H.S.,281,18.0,15.4-20.5
College graduate,342,11.8,10.2-13.4
Colorado,,,
Less than H.S.,75,11.9,9.0-14.8
H.S. or G.E.D.,324,16.5,14.6-18.4
Some post-H.S.,437,17.8,16.0-19.6
College graduate,496,10.3,9.3-11.3
Connecticut,,,
Less than H.S.,61,13.7,9.7-17.7
H.S. or G.E.D.,263,14.2,12.0-16.3
Some post-H.S.,275,14.8,12.5-17.0
College graduate,393,9.8,8.5-11.1
Delaware,,,
Less than H.S.,28,10.7,6.0-15.5
H.S. or G.E.D.,124,15.2,11.8-18.7
Some post-H.S.,144,15.9,12.7-19.2
College graduate,129,8.3,6.5-10.2
District of Columbia,,,
Less than H.S.,25,19.1,11.0-27.2
H.S. or G.E.D.,60,15.3,10.6-20.0
Some post-H.S.,64,21.3,15.2-27.3
College graduate,198,11.1,9.4-12.8
Georgia,,,
Less than H.S.,116,19.7,15.3-24.2
H.S. or G.E.D.,291,15.0,12.6-17.4
Some post-H.S.,302,17.2,14.6-19.8
College graduate,307,10.2,8.6-11.8
Hawaii,,,
Less than H.S.,31,14.4,8.4-20.4
H.S. or G.E.D.,242,11.3,9.6-13.0
Some post-H.S.,258,11.8,10.0-13.6
College graduate,304,7.9,6.8-9.1
Idaho,,,
Less than H.S.,75,22.7,17.2-28.3
H.S. or G.E.D.,241,16.7,14.3-19.1
Some post-H.S.,323,15.1,13.2-16.9
College graduate,208,8.8,7.5-10.2
Illinois,,,
Less than H.S.,29,21.5,13.4-29.6
H.S. or G.E.D.,78,11.6,8.9-14.4
Some post-H.S.,128,16.8,13.6-20.0
College graduate,129,8.1,6.5-9.6
Indiana,,,
Less than H.S.,122,23.2,18.9-27.4
H.S. or G.E.D.,418,16.6,14.8-18.3
Some post-H.S.,403,17.5,15.8-19.3
College graduate,349,10.2,9.0-11.3
Iowa,,,
Less than H.S.,96,15.3,11.3-19.3
H.S. or G.E.D.,404,15.9,14.0-17.8
Some post-H.S.,364,15.0,13.1-16.8
College graduate,279,9.8,8.5-11.2
Kansas,,,
Less than H.S.,142,27.1,22.6-31.6
H.S. or G.E.D.,598,15.9,14.5-17.3
Some post-H.S.,773,16.5,15.2-17.7
College graduate,652,9.8,8.9-10.6
Kentucky,,,
Less than H.S.,110,28.2,22.0-34.3
H.S. or G.E.D.,295,17.4,14.9-19.8
Some post-H.S.,271,19.4,16.7-22.1
College graduate,182,10.9,9.0-12.9
Louisiana,,,
Less than H.S.,102,27.4,21.8-33.0
H.S. or G.E.D.,230,16.5,14.1-18.9
Some post-H.S.,239,18.3,15.7-20.9
College graduate,224,13.0,11.0-15.0
Maine,,,
Less than H.S.,95,28.7,22.0-35.4
H.S. or G.E.D.,420,16.2,14.2-18.2
Some post-H.S.,472,16.5,14.6-18.4
College graduate,474,9.8,8.6-11.0
Maryland,,,
Less than H.S.,115,13.0,10.0-16.0
H.S. or G.E.D.,511,15.5,13.6-17.4
Some post-H.S.,483,14.4,12.6-16.1
College graduate,683,9.5,8.5-10.4
Massachusetts,,,
Less than H.S.,57,14.6,9.9-19.2
H.S. or G.E.D.,228,15.2,12.8-17.6
Some post-H.S.,316,15.9,13.9-17.9
College graduate,416,10.0,8.9-11.2
Michigan,,,
Less than H.S.,85,24.1,18.7-29.4
H.S. or G.E.D.,389,17.1,15.2-18.9
Some post-H.S.,392,16.3,14.5-18.1
College graduate,375,10.1,8.9-11.2
Minnesota,,,
Less than H.S.,74,13.8,10.3-17.4
H.S. or G.E.D.,439,14.3,12.9-15.8
Some post-H.S.,645,14.0,12.9-15.2
College graduate,623,8.9,8.1-9.6
Mississippi,,,
Less than H.S.,67,17.1,12.2-22.1
H.S. or G.E.D.,159,14.1,11.3-16.9
Some post-H.S.,185,16.4,13.6-19.1
College graduate,146,10.8,8.8-12.8
Missouri,,,
Less than H.S.,184,25.2,20.4-30.0
