Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,96,21.8,17.1-26.6
H.S. or G.E.D.,238,15.1,12.9-17.4
Some post-H.S.,230,17.2,14.8-19.7
College graduate,190,11.1,9.2-13.0
Alaska,,,
Less than H.S.,19,*,
H.S. or G.E.D.,106,10.7,7.5-13.9
Some post-H.S.,112,10.6,8.1-13.1
College graduate,109,9.4,6.8-12.0
Arizona,,,
Less than H.S.,108,11.9,9.0-14.8
H.S. or G.E.D.,348,14.3,12.4-16.2
Some post-H.S.,449,15.4,13.7-17.2
College graduate,390,11.1,9.7-12.5
Arkansas,,,
Less than H.S.,88,25.2,19.1-31.2
H.S. or G.E.D.,229,17.1,14.4-19.7
Some post-H.S.,222,20.6,17.5-23.8
College graduate,137,10.1,8.0-12.3
California,,,
Less than H.S.,70,14.4,10.6-18.3
H.S. or G.E.D.,106,13.6,10.5-16.6
Some post-H.S.,204,14.6,12.2-17.0
College graduate,252,9.3,7.8-10.7
Colorado,,,
Less than H.S.,75,11.5,8.7-14.3
H.S. or G.E.D.,302,14.9,13.1-16.7
Some post-H.S.,363,14.8,13.2-16.5
College graduate,451,10.2,9.2-11.2
Connecticut,,,
Less than H.S.,81,14.8,10.5-19.1
H.S. or G.E.D.,309,14.6,12.3-17.0
Some post-H.S.,301,13.0,10.6-15.3
College graduate,354,10.1,8.5-11.7
Delaware,,,
Less than H.S.,50,11.5,7.1-15.9
H.S. or G.E.D.,153,13.6,10.9-16.3
Some post-H.S.,150,15.3,12.2-18.5
College graduate,125,8.2,6.2-10.2
District of Columbia,,,
Less than H.S.,20,19.7,10.5-29.0
H.S. or G.E.D.,79,18.0,13.2-22.9
Some post-H.S.,86,18.7,14.1-23.3
College graduate,224,11.3,9.6-13.0
Florida,,,
Less than H.S.,201,16.8,12.4-21.3
H.S. or G.E.D.,450,12.0,9.6-14.3
Some post-H.S.,481,13.3,11.2-15.4
College graduate,382,9.7,7.8-11.5
Georgia,,,
Less than H.S.,168,18.0,14.3-21.6
H.S. or G.E.D.,334,14.1,11.8-16.5
Some post-H.S.,383,17.8,15.1-20.5
College graduate,308,9.2,7.7-10.8
Hawaii,,,
Less than H.S.,33,12.9,8.0-17.8
H.S. or G.E.D.,227,11.4,9.6-13.3
Some post-H.S.,276,11.6,9.9-13.3
College graduate,283,8.6,7.4-9.8
Idaho,,,
Less than H.S.,48,15.2,9.8-20.7
