Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,40,9.2,5.9-12.5
H.S. or G.E.D.,124,7.3,5.8-8.9
Some post-H.S.,146,8.8,7.1-10.4
College graduate,176,8.1,6.8-9.4
Alaska,,,
Less than H.S.,10,*,
H.S. or G.E.D.,70,9.0,5.5-12.6
Some post-H.S.,82,8.8,6.2-11.5
College graduate,122,11.2,8.1-14.2
Arizona,,,
Less than H.S.,61,11.2,7.0-15.3
H.S. or G.E.D.,166,9.7,7.3-12.1
Some post-H.S.,228,8.8,7.0-10.6
College graduate,275,9.8,8.1-11.4
Arkansas,,,
Less than H.S.,33,11.8,7.1-16.5
H.S. or G.E.D.,124,9.0,7.2-10.9
Some post-H.S.,89,8.9,6.7-11.1
College graduate,129,9.2,7.2-11.1
California,,,
Less than H.S.,135,9.0,7.2-10.8
H.S. or G.E.D.,207,10.7,9.1-12.3
Some post-H.S.,313,11.5,10.0-13.0
College graduate,587,12.2,11.1-13.4
Colorado,,,
Less than H.S.,73,12.8,9.8-15.9
H.S. or G.E.D.,209,12.1,10.3-13.8
Some post-H.S.,261,11.6,10.1-13.1
College graduate,544,13.3,12.1-14.5
Connecticut,,,
Less than H.S.,34,10.2,6.2-14.2
H.S. or G.E.D.,139,7.8,6.2-9.4
Some post-H.S.,169,7.7,6.2-9.1
College graduate,433,9.6,8.4-10.7
Delaware,,,
Less than H.S.,35,6.9,3.8-10.1
H.S. or G.E.D.,91,7.7,5.8-9.7
Some post-H.S.,77,7.1,5.2-9.0
College graduate,129,9.2,7.2-11.2
District of Columbia,,,
Less than H.S.,5,*,
H.S. or G.E.D.,28,9.0,5.5-12.5
Some post-H.S.,33,7.5,4.5-10.6
College graduate,160,8.7,7.1-10.3
Florida,,,
Less than H.S.,143,8.8,6.2-11.4
H.S. or G.E.D.,390,9.3,7.5-11.0
Some post-H.S.,450,9.7,8.0-11.4
College graduate,518,12.0,10.0-14.1
Georgia,,,
Less than H.S.,57,6.7,4.0-9.4
H.S. or G.E.D.,138,8.1,6.2-10.0
Some post-H.S.,144,9.7,7.2-12.1
College graduate,225,11.4,9.1-13.7
Hawaii,,,
Less than H.S.,29,11.5,6.6-16.4
H.S. or G.E.D.,211,10.1,8.5-11.7
Some post-H.S.,250,10.6,9.0-12.1
College graduate,380,10.6,9.3-11.9
Idaho,,,
Less than H.S.,39,14.8,9.0-20.6
H.S. or G.E.D.,147,10.9,8.5-13.4
Some post-H.S.,191,12.7,10.0-15.3
College graduate,215,12.4,9.9-14.8
Illinois,,,
Less than H.S.,26,7.1,4.1-10.0
H.S. or G.E.D.,94,8.3,6.4-10.2
Some post-H.S.,114,9.1,7.3-10.9
College graduate,239,9.6,8.3-10.9
Indiana,,,
Less than H.S.,42,7.5,5.0-9.9
H.S. or G.E.D.,179,8.1,6.7-9.4
Some post-H.S.,182,8.7,7.4-10.1
College graduate,269,9.2,7.9-10.4
Iowa,,,
Less than H.S.,37,8.0,5.1-10.9
H.S. or G.E.D.,332,11.7,10.4-13.0
Some post-H.S.,322,10.5,9.3-11.6
College graduate,318,9.7,8.5-10.8
Kansas,,,
Less than H.S.,32,8.0,4.7-11.2
H.S. or G.E.D.,282,9.6,8.3-10.8
Some post-H.S.,315,8.6,7.5-9.7
College graduate,464,9.9,8.9-10.9
Kentucky,,,
Less than H.S.,38,6.0,3.3-8.6
H.S. or G.E.D.,175,8.0,6.3-9.7
Some post-H.S.,141,7.6,5.7-9.6
College graduate,242,9.4,7.7-11.1
Louisiana,,,
Less than H.S.,30,7.0,4.3-9.7
H.S. or G.E.D.,96,8.3,6.3-10.3
Some post-H.S.,95,9.5,7.3-11.7
College graduate,169,11.9,9.9-13.8
Maine,,,
Less than H.S.,31,11.4,6.3-16.6
H.S. or G.E.D.,300,11.3,9.4-13.2
Some post-H.S.,323,9.9,8.3-11.4
College graduate,488,10.3,9.0-11.6
Maryland,,,
Less than H.S.,77,12.9,9.3-16.6
H.S. or G.E.D.,300,7.5,6.3-8.7
Some post-H.S.,273,7.4,6.2-8.6
College graduate,683,8.6,7.8-9.5
Massachusetts,,,
Less than H.S.,21,7.1,3.4-10.7
H.S. or G.E.D.,112,7.6,6.0-9.3
Some post-H.S.,144,8.2,6.6-9.8
College graduate,337,8.3,7.3-9.4
Michigan,,,
Less than H.S.,27,6.8,3.9-9.7
H.S. or G.E.D.,186,8.3,6.9-9.7
Some post-H.S.,238,7.8,6.6-9.0
