Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,107,26.2,20.6-31.9
H.S. or G.E.D.,193,12.7,10.5-14.9
Some post-H.S.,119,8.6,6.8-10.4
College graduate,55,2.4,1.7-3.2
Alaska,,,
Less than H.S.,34,16.9,10.2-23.6
H.S. or G.E.D.,109,7.8,5.5-10.2
Some post-H.S.,77,4.2,2.8-5.6
College graduate,30,0.8,0.4-1.1
Arizona,,,
Less than H.S.,92,10.5,7.6-13.3
H.S. or G.E.D.,168,5.4,4.3-6.6
Some post-H.S.,231,5.3,4.4-6.2
College graduate,104,2.1,1.5-2.6
Arkansas,,,
Less than H.S.,102,22.4,17.2-27.5
H.S. or G.E.D.,212,12.9,10.6-15.2
Some post-H.S.,144,7.7,6.0-9.4
College graduate,59,3.2,2.2-4.1
California,,,
Less than H.S.,105,11.2,8.5-13.9
H.S. or G.E.D.,64,4.4,3.0-5.7
Some post-H.S.,99,4.5,3.4-5.6
College graduate,61,1.7,1.1-2.2
Colorado,,,
Less than H.S.,75,9.3,7.0-11.7
H.S. or G.E.D.,128,5.0,4.0-6.0
Some post-H.S.,147,4.6,3.7-5.4
College graduate,71,1.2,0.9-1.6
Connecticut,,,
Less than H.S.,76,17.0,12.1-21.8
H.S. or G.E.D.,139,6.2,4.6-7.7
Some post-H.S.,108,3.9,2.9-4.8
College graduate,59,1.2,0.6-1.8
Delaware,,,
Less than H.S.,40,17.1,10.5-23.7
H.S. or G.E.D.,70,6.8,4.6-8.9
Some post-H.S.,63,5.2,3.6-6.8
College graduate,29,1.6,0.8-2.3
District of Columbia,,,
Less than H.S.,40,24.9,16.2-33.6
H.S. or G.E.D.,60,13.3,8.6-18.0
Some post-H.S.,39,7.4,4.3-10.6
College graduate,26,0.9,0.5-1.4
Georgia,,,
Less than H.S.,169,19.8,15.8-23.9
H.S. or G.E.D.,253,9.1,7.5-10.7
Some post-H.S.,170,6.7,5.3-8.1
College graduate,86,2.0,1.3-2.7
Hawaii,,,
Less than H.S.,30,10.7,6.5-14.8
H.S. or G.E.D.,109,4.2,3.2-5.3
Some post-H.S.,71,2.4,1.7-3.1
College graduate,50,1.0,0.6-1.4
Idaho,,,
Less than H.S.,60,12.7,9.1-16.4
H.S. or G.E.D.,108,5.4,4.1-6.8
Some post-H.S.,111,4.3,3.4-5.3
College graduate,53,1.6,1.1-2.1
Illinois,,,
Less than H.S.,26,20.8,12.4-29.1
H.S. or G.E.D.,49,6.6,4.5-8.7
Some post-H.S.,60,5.6,4.0-7.2
College graduate,25,1.1,0.5-1.6
Indiana,,,
Less than H.S.,137,20.0,16.4-23.7
H.S. or G.E.D.,286,8.2,7.2-9.3
Some post-H.S.,197,6.2,5.2-7.1
College graduate,82,1.7,1.3-2.1
Iowa,,,
Less than H.S.,83,15.2,11.3-19.1
H.S. or G.E.D.,162,4.8,3.9-5.8
Some post-H.S.,116,3.2,2.4-3.9
College graduate,51,1.1,0.7-1.6
Kansas,,,
Less than H.S.,117,17.3,13.7-20.8
H.S. or G.E.D.,283,5.8,5.0-6.6
Some post-H.S.,316,4.7,4.1-5.3
College graduate,123,1.4,1.1-1.6
Kentucky,,,
Less than H.S.,141,26.6,21.4-31.9
H.S. or G.E.D.,277,12.1,10.2-14.0
Some post-H.S.,148,6.9,5.3-8.4
College graduate,45,2.4,1.5-3.4
Louisiana,,,
Less than H.S.,120,26.7,21.5-31.9
H.S. or G.E.D.,183,12.1,9.9-14.4
Some post-H.S.,103,6.0,4.6-7.4
College graduate,44,1.8,1.2-2.4
Maine,,,
Less than H.S.,107,28.9,22.6-35.3
H.S. or G.E.D.,313,9.4,8.0-10.8
Some post-H.S.,258,7.0,5.8-8.1
College graduate,116,2.1,1.6-2.6
Maryland,,,
Less than H.S.,129,12.9,9.7-16.2
H.S. or G.E.D.,266,6.2,5.1-7.3
Some post-H.S.,195,3.9,3.1-4.6
College graduate,100,1.0,0.7-1.3
Massachusetts,,,
Less than H.S.,71,15.8,11.4-20.3
H.S. or G.E.D.,123,6.3,4.8-7.8
Some post-H.S.,106,4.5,3.5-5.6
College graduate,64,1.5,1.0-2.0
Michigan,,,
Less than H.S.,86,21.0,16.2-25.7
H.S. or G.E.D.,248,8.2,7.1-9.4
Some post-H.S.,199,6.6,5.5-7.8
College graduate,82,1.8,1.4-2.3
Minnesota,,,
Less than H.S.,66,10.8,8.0-13.7
H.S. or G.E.D.,166,4.2,3.5-4.9
Some post-H.S.,206,3.8,3.2-4.4
College graduate,106,1.2,0.9-1.4
Mississippi,,,
Less than H.S.,117,24.3,19.6-29.1
H.S. or G.E.D.,200,12.2,10.2-14.2
Some post-H.S.,120,7.4,5.8-9.1
College graduate,54,3.2,2.2-4.2
Missouri,,,
Less than H.S.,176,18.9,15.1-22.7
H.S. or G.E.D.,377,8.5,7.2-9.8
Some post-H.S.,256,6.0,4.9-7.1
College graduate,83,1.8,1.2-2.3
Montana,,,
Less than H.S.,39,14.5,9.2-19.8
H.S. or G.E.D.,108,6.7,5.2-8.2
Some post-H.S.,89,4.4,3.2-5.6
College graduate,47,1.7,1.1-2.2
Nebraska,,,
Less than H.S.,98,13.3,9.8-16.7
H.S. or G.E.D.,231,4.8,4.0-5.6
Some post-H.S.,206,4.0,3.3-4.8
College graduate,78,1.1,0.8-1.4
Nevada,,,
Less than H.S.,17,10.8,5.0-16.5
H.S. or G.E.D.,50,5.6,3.6-7.6
Some post-H.S.,58,6.8,4.2-9.4
College graduate,21,2.1,1.0-3.1
New Hampshire,,,
Less than H.S.,45,17.7,11.7-23.6
H.S. or G.E.D.,132,7.8,6.2-9.5
Some post-H.S.,101,5.4,4.1-6.8
College graduate,53,1.4,0.9-1.9
New Jersey,,,
Less than H.S.,95,15.0,11.5-18.5
H.S. or G.E.D.,146,6.8,5.3-8.2
Some post-H.S.,101,4.9,3.6-6.3
College graduate,64,1.5,1.0-1.9
New Mexico,,,
Less than H.S.,93,12.4,9.2-15.6
H.S. or G.E.D.,156,9.0,7.2-10.8
Some post-H.S.,116,5.8,4.5-7.2
College graduate,64,2.4,1.6-3.2
New York,,,
Less than H.S.,537,17.0,14.9-19.0
H.S. or G.E.D.,991,7.5,6.6-8.4
Some post-H.S.,700,5.3,4.6-6.0
College graduate,385,1.8,1.5-2.2
North Carolina,,,
Less than H.S.,77,15.2,11.3-19.2
H.S. or G.E.D.,118,8.3,6.3-10.3
Some post-H.S.,100,6.1,4.7-7.4
College graduate,49,1.9,1.3-2.5
North Dakota,,,
Less than H.S.,30,11.6,6.5-16.6
H.S. or G.E.D.,60,3.5,2.5-4.6
Some post-H.S.,63,3.4,2.4-4.4
College graduate,33,1.5,0.8-2.1
Ohio,,,
Less than H.S.,161,17.6,14.0-21.1
H.S. or G.E.D.,434,7.9,6.9-8.9
Some post-H.S.,291,5.8,4.9-6.6
College graduate,123,1.7,1.3-2.1
Oklahoma,,,
Less than H.S.,73,20.5,15.5-25.4
H.S. or G.E.D.,137,8.3,6.7-9.9
Some post-H.S.,151,7.4,6.1-8.8
College graduate,64,3.1,2.2-4.0
Oregon,,,
Less than H.S.,33,10.4,6.6-14.4
H.S. or G.E.D.,84,7.0,5.2-8.8
Some post-H.S.,91,4.6,3.5-5.6
College graduate,51,2.2,1.4-2.9
Pennsylvania,,,
Less than H.S.,56,12.8,8.9-16.7
H.S. or G.E.D.,159,7.4,6.0-8.8
Some post-H.S.,113,5.7,4.4-7.0
College graduate,58,1.6,1.1-2.1
Rhode Island,,,
Less than H.S.,70,15.5,11.3-19.6
H.S. or G.E.D.,116,8.6,6.5-10.6
Some post-H.S.,99,6.0,4.6-7.4
College graduate,54,1.5,1.0-2.0
South Carolina,,,
Less than H.S.,179,21.9,18.2-25.6
H.S. or G.E.D.,294,10.1,8.5-11.8
Some post-H.S.,203,7.2,6.0-8.5
College graduate,99,2.1,1.5-2.6
South Dakota,,,
Less than H.S.,54,*,
H.S. or G.E.D.,126,4.4,2.6-6.1
Some post-H.S.,104,3.2,1.8-4.6
College graduate,48,*,
Tennessee,,,
Less than H.S.,120,31.6,25.5-37.8
H.S. or G.E.D.,174,11.7,9.6-13.9
Some post-H.S.,126,6.8,5.3-8.2
College graduate,53,2.4,1.6-3.1
Texas,,,
Less than H.S.,215,12.3,9.6-15.1
H.S. or G.E.D.,245,7.2,5.7-8.7
Some post-H.S.,202,5.6,4.3-6.9
College graduate,74,0.9,0.6-1.2
Utah,,,
Less than H.S.,56,8.4,5.7-11.1
H.S. or G.E.D.,129,4.5,3.5-5.4
Some post-H.S.,128,3.3,2.6-4.0
College graduate,64,1.3,0.9-1.6
Vermont,,,
Less than H.S.,53,18.4,12.1-24.8
H.S. or G.E.D.,127,7.0,5.3-8.7
Some post-H.S.,76,3.6,2.5-4.7
College graduate,52,1.4,0.8-1.9
Virginia,,,
Less than H.S.,98,20.1,15.5-24.7
H.S. or G.E.D.,176,6.2,5.1-7.4
Some post-H.S.,150,4.9,3.9-5.9
College graduate,83,1.7,1.2-2.2
Washington,,,
Less than H.S.,91,12.1,9.2-15.1
H.S. or G.E.D.,177,5.7,4.6-6.8
Some post-H.S.,234,4.6,3.8-5.3
College graduate,108,1.2,0.9-1.5
West Virginia,,,
Less than H.S.,131,23.1,19.0-27.3
H.S. or G.E.D.,314,11.4,10.0-12.8
