Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,61,24.8,18.8-30.8
H.S. or G.E.D.,382,40.9,37.3-44.6
Some post-H.S.,485,47.1,43.6-50.5
College graduate,786,58.7,55.8-61.5
Alaska,,,
Less than H.S.,55,33.8,24.9-42.8
H.S. or G.E.D.,579,50.2,46.2-54.2
Some post-H.S.,673,47.6,44.0-51.2
College graduate,"1,121",61.4,58.4-64.3
Arizona,,,
Less than H.S.,177,33.2,28.4-37.9
H.S. or G.E.D.,874,48.2,45.4-51.0
Some post-H.S.,"1,206",43.7,41.5-46.0
College graduate,"1,873",54.8,52.8-56.8
Arkansas,,,
Less than H.S.,60,28.5,21.3-35.7
H.S. or G.E.D.,380,40.6,37.0-44.3
Some post-H.S.,414,45.1,41.4-48.8
College graduate,648,59.5,56.3-62.7
California,,,
Less than H.S.,337,37.6,33.8-41.3
H.S. or G.E.D.,487,45.4,41.7-49.0
Some post-H.S.,568,41.3,38.0-44.6
College graduate,"1,568",58.7,56.4-61.0
Colorado,,,
Less than H.S.,297,42.0,37.8-46.3
H.S. or G.E.D.,886,46.2,43.7-48.7
Some post-H.S.,"1,115",47.6,45.3-50.0
College graduate,"2,674",59.8,58.3-61.4
Connecticut,,,
Less than H.S.,146,37.3,31.0-43.6
H.S. or G.E.D.,816,48.2,45.0-51.3
Some post-H.S.,906,51.4,48.4-54.5
College graduate,"2,352",62.4,60.5-64.3
Delaware,,,
Less than H.S.,81,36.6,27.8-45.3
H.S. or G.E.D.,354,43.2,38.9-47.5
Some post-H.S.,403,46.1,41.9-50.2
College graduate,746,59.2,56.2-62.3
District of Columbia,,,
Less than H.S.,26,34.3,22.0-46.6
H.S. or G.E.D.,148,39.8,33.4-46.1
Some post-H.S.,150,47.8,41.1-54.4
College graduate,"1,289",74.9,72.8-77.0
Georgia,,,
Less than H.S.,128,29.4,24.1-34.7
H.S. or G.E.D.,626,41.0,37.7-44.4
Some post-H.S.,724,43.9,40.7-47.2
College graduate,"1,412",59.8,57.3-62.2
Hawaii,,,
Less than H.S.,58,29.2,21.3-37.2
H.S. or G.E.D.,861,51.3,48.5-54.2
Some post-H.S.,888,49.0,46.1-51.8
College graduate,"1,645",57.8,55.7-60.0
Idaho,,,
Less than H.S.,142,41.7,35.4-47.9
H.S. or G.E.D.,667,47.3,44.3-50.2
Some post-H.S.,860,47.5,44.9-50.0
College graduate,"1,088",54.0,51.6-56.3
Illinois,,,
Less than H.S.,26,27.5,17.6-37.5
H.S. or G.E.D.,249,40.6,36.2-45.0
Some post-H.S.,337,48.4,44.3-52.6
College graduate,876,63.8,61.0-66.5
Indiana,,,
Less than H.S.,174,33.4,28.8-38.1
H.S. or G.E.D.,"1,004",43.7,41.5-45.9
Some post-H.S.,"1,065",48.9,46.6-51.2
College graduate,"1,978",63.4,61.7-65.1
Iowa,,,
Less than H.S.,285,37.3,32.0-42.6
H.S. or G.E.D.,"1,157",44.1,41.7-46.5
Some post-H.S.,"1,217",52.6,50.2-54.9
College graduate,"1,664",62.2,60.2-64.3
Kansas,,,
Less than H.S.,173,35.1,30.4-39.9
H.S. or G.E.D.,"1,710",47.6,45.8-49.4
Some post-H.S.,"2,383",51.4,49.8-53.0
College graduate,"3,903",62.2,60.9-63.5
Kentucky,,,
Less than H.S.,74,21.5,16.0-27.1
H.S. or G.E.D.,573,44.8,41.6-48.0
Some post-H.S.,613,49.8,46.4-53.2
College graduate,875,61.6,58.7-64.5
Louisiana,,,
Less than H.S.,71,21.6,16.4-26.9
H.S. or G.E.D.,436,40.4,37.0-43.9
Some post-H.S.,559,47.7,44.3-51.1
College graduate,955,60.5,57.8-63.2
Maine,,,
Less than H.S.,64,20.1,14.2-25.9
H.S. or G.E.D.,983,41.5,39.0-44.1
Some post-H.S.,"1,188",45.5,43.0-47.9
College graduate,"2,132",53.8,51.9-55.6
Maryland,,,
Less than H.S.,279,41.0,36.2-45.8
H.S. or G.E.D.,"1,341",45.4,42.9-47.9
Some post-H.S.,"1,392",49.0,46.5-51.4
College graduate,"4,080",65.0,63.5-66.4
Massachusetts,,,
Less than H.S.,93,24.5,19.0-30.1
H.S. or G.E.D.,607,47.4,44.0-50.8
Some post-H.S.,799,46.6,43.8-49.5
College graduate,"2,320",63.0,61.2-64.9
Michigan,,,
Less than H.S.,65,23.5,17.9-29.1
H.S. or G.E.D.,796,41.5,39.1-44.0
Some post-H.S.,995,46.2,43.9-48.5
College graduate,"2,007",61.2,59.4-63.0
Minnesota,,,
Less than H.S.,183,36.1,31.0-41.1
H.S. or G.E.D.,"1,362",48.7,46.6-50.8
Some post-H.S.,"2,213",51.0,49.3-52.7
College graduate,"4,200",65.3,64.1-66.5
Mississippi,,,
Less than H.S.,85,26.9,21.0-32.9
H.S. or G.E.D.,411,42.6,39.0-46.3
Some post-H.S.,518,51.6,48.1-55.1
College graduate,668,59.4,56.2-62.6
Missouri,,,
Less than H.S.,181,28.6,23.8-33.5
H.S. or G.E.D.,"1,316",45.7,43.1-48.2
Some post-H.S.,"1,414",49.2,46.7-51.7
College graduate,"2,022",62.7,60.6-64.9
Montana,,,
Less than H.S.,74,35.1,27.1-43.2
H.S. or G.E.D.,607,46.3,43.2-49.3
Some post-H.S.,678,42.9,40.1-45.7
College graduate,"1,088",53.0,50.7-55.3
Nebraska,,,
Less than H.S.,243,40.6,35.5-45.7
H.S. or G.E.D.,"1,504",47.8,45.7-50.0
Some post-H.S.,"2,026",52.7,50.8-54.7
College graduate,"2,708",64.3,62.6-66.0
Nevada,,,
Less than H.S.,48,35.4,25.9-44.8
H.S. or G.E.D.,280,45.8,40.9-50.7
Some post-H.S.,325,46.1,41.4-50.8
College graduate,445,55.0,50.3-59.7
New Hampshire,,,
Less than H.S.,42,30.1,20.9-39.4
H.S. or G.E.D.,537,51.2,47.7-54.7
Some post-H.S.,583,49.0,45.7-52.4
College graduate,"1,373",62.1,59.9-64.2
New Jersey,,,
Less than H.S.,189,34.0,29.0-39.0
H.S. or G.E.D.,668,42.8,39.6-45.9
Some post-H.S.,785,49.0,45.9-52.1
College graduate,"2,134",62.9,60.9-64.9
New Mexico,,,
Less than H.S.,191,32.0,27.2-36.8
H.S. or G.E.D.,615,44.0,40.7-47.3
Some post-H.S.,723,47.6,44.4-50.8
College graduate,"1,043",51.9,49.2-54.6
New York,,,
Less than H.S.,686,30.2,27.4-32.8
H.S. or G.E.D.,"3,451",39.6,37.8-41.4
Some post-H.S.,"3,765",45.0,43.2-46.8
College graduate,"7,123",57.9,56.5-59.2
North Carolina,,,
Less than H.S.,157,35.4,29.8-41.1
H.S. or G.E.D.,466,46.4,42.8-50.0
Some post-H.S.,541,43.6,40.3-46.9
College graduate,"1,100",62.0,59.6-64.4
North Dakota,,,
Less than H.S.,75,43.8,35.7-51.9
H.S. or G.E.D.,602,52.0,48.9-55.1
Some post-H.S.,777,53.1,50.2-56.0
College graduate,"1,013",64.8,62.4-67.2
Ohio,,,
Less than H.S.,148,26.6,21.8-31.4
H.S. or G.E.D.,"1,577",45.1,42.9-47.2
Some post-H.S.,"1,561",47.7,45.5-49.9
College graduate,"2,717",64.6,62.8-66.3
Oklahoma,,,
Less than H.S.,94,31.9,25.8-38.0
H.S. or G.E.D.,473,44.6,41.3-47.8
Some post-H.S.,643,48.3,45.2-51.3
College graduate,912,57.2,54.5-60.0
Oregon,,,
