Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,20,4.9,2.2-7.6
H.S. or G.E.D.,75,8.2,5.9-10.5
Some post-H.S.,95,8.7,6.6-10.8
College graduate,113,8.6,6.8-10.5
Alaska,,,
Less than H.S.,25,8.7,4.6-12.8
H.S. or G.E.D.,150,10.7,8.6-12.8
Some post-H.S.,172,9.4,7.7-11.1
College graduate,264,10.3,8.8-11.8
Arizona,,,
Less than H.S.,56,11.5,7.6-15.3
H.S. or G.E.D.,145,7.9,5.9-9.9
Some post-H.S.,285,11.0,9.1-12.9
College graduate,334,9.4,7.8-10.9
Arkansas,,,
Less than H.S.,25,9.6,5.5-13.8
H.S. or G.E.D.,139,10.4,8.4-12.4
Some post-H.S.,104,7.9,6.3-9.6
College graduate,146,9.6,7.9-11.4
California,,,
Less than H.S.,69,10.9,7.8-13.9
H.S. or G.E.D.,201,10.3,8.5-12.2
Some post-H.S.,285,11.0,9.4-12.6
College graduate,578,10.5,9.3-11.7
Colorado,,,
Less than H.S.,63,13.4,8.7-18.2
H.S. or G.E.D.,206,11.9,10.1-13.7
Some post-H.S.,224,10.1,8.6-11.7
College graduate,509,10.8,9.7-11.9
Connecticut,,,
Less than H.S.,64,17.4,12.4-22.4
H.S. or G.E.D.,148,8.3,6.6-10.0
Some post-H.S.,185,8.4,6.8-10.1
College graduate,513,10.0,8.8-11.2
Delaware,,,
Less than H.S.,17,*,
H.S. or G.E.D.,66,7.0,5.0-8.9
Some post-H.S.,57,6.5,4.5-8.5
College graduate,100,7.0,5.0-9.0
District of Columbia,,,
Less than H.S.,6,*,
H.S. or G.E.D.,26,6.4,3.2-9.7
Some post-H.S.,25,5.4,2.9-7.8
College graduate,207,7.8,6.5-9.2
Florida,,,
Less than H.S.,68,9.1,5.1-13.2
H.S. or G.E.D.,289,11.3,8.9-13.8
Some post-H.S.,325,10.6,8.6-12.6
College graduate,476,12.7,10.8-14.5
Georgia,,,
Less than H.S.,47,9.6,6.2-13.0
H.S. or G.E.D.,149,9.4,7.4-11.4
Some post-H.S.,210,11.2,9.2-13.2
College graduate,351,10.7,9.2-12.2
Hawaii,,,
Less than H.S.,23,10.8,6.0-15.6
H.S. or G.E.D.,199,9.4,7.8-11.1
Some post-H.S.,222,9.6,8.0-11.3
College graduate,374,10.5,9.1-11.8
Idaho,,,
Less than H.S.,34,9.2,5.9-12.6
