Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,66,23.7,17.4-30.0
H.S. or G.E.D.,423,46.8,43.1-50.5
Some post-H.S.,470,47.7,44.1-51.4
College graduate,693,55.1,52.0-58.1
Alaska,,,
Less than H.S.,54,32.2,23.7-40.7
H.S. or G.E.D.,594,49.8,46.3-53.3
Some post-H.S.,643,47.7,44.4-51.1
College graduate,"1,090",58.6,55.9-61.2
Arizona,,,
Less than H.S.,179,31.4,26.5-36.4
H.S. or G.E.D.,809,45.1,42.1-48.0
Some post-H.S.,"1,163",42.9,40.4-45.4
College graduate,"1,881",52.9,50.9-54.9
Arkansas,,,
Less than H.S.,81,29.2,22.8-35.6
H.S. or G.E.D.,491,41.3,38.2-44.4
Some post-H.S.,491,45.2,41.9-48.5
College graduate,760,55.7,53.0-58.4
California,,,
Less than H.S.,398,37.9,34.2-41.5
H.S. or G.E.D.,802,42.3,39.4-45.1
Some post-H.S.,"1,061",44.5,41.8-47.1
College graduate,"2,435",54.9,52.7-57.2
Colorado,,,
Less than H.S.,198,42.0,36.7-47.4
H.S. or G.E.D.,729,49.2,46.2-52.2
Some post-H.S.,863,46.4,43.7-49.1
College graduate,"2,179",56.5,54.7-58.2
Connecticut,,,
Less than H.S.,148,33.3,27.2-39.3
H.S. or G.E.D.,765,41.1,37.8-44.4
Some post-H.S.,854,45.6,42.2-48.9
College graduate,"2,524",61.3,59.3-63.3
Delaware,,,
Less than H.S.,75,35.1,26.7-43.5
H.S. or G.E.D.,350,40.4,36.2-44.5
Some post-H.S.,379,48.6,44.1-53.1
College graduate,794,58.1,54.9-61.2
District of Columbia,,,
Less than H.S.,14,22.7,10.0-35.4
H.S. or G.E.D.,142,42.5,35.1-49.9
Some post-H.S.,165,47.1,39.8-54.3
College graduate,"1,304",73.7,71.5-76.0
Florida,,,
Less than H.S.,180,25.2,19.2-31.2
H.S. or G.E.D.,955,34.6,31.3-37.9
Some post-H.S.,"1,134",41.0,37.5-44.4
College graduate,"1,843",50.3,47.5-53.1
Georgia,,,
Less than H.S.,115,27.7,22.3-33.0
H.S. or G.E.D.,603,41.1,37.9-44.4
Some post-H.S.,664,44.3,41.2-47.5
College graduate,"1,533",57.0,54.6-59.4
Hawaii,,,
Less than H.S.,76,37.7,29.1-46.3
H.S. or G.E.D.,825,50.8,47.5-54.0
Some post-H.S.,857,49.0,46.0-52.0
College graduate,"1,557",57.8,55.6-60.1
Idaho,,,
Less than H.S.,165,41.2,35.3-47.1
H.S. or G.E.D.,950,51.0,48.1-53.9
Some post-H.S.,825,45.1,42.1-48.0
College graduate,"1,032",54.5,51.7-57.2
Illinois,,,
