Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,684,21.5,23.2-29.8
H.S. or G.E.D.,144,33.6,30.6-46.5
Some post-H.S.,55,59.9,52.3-77.6
College graduate,789,74.6,76.8-82.4
Alaska,,,
Less than H.S.,311,22.8,19.5-29.1
H.S. or G.E.D.,280,37.8,32.6-44.0
Some post-H.S.,258,67.2,62.0-73.4
College graduate,172,76.8,71.0-83.6
Arizona,,,
Less than H.S.,784,23.1,20.6-26.6
H.S. or G.E.D.,134,40.1,32.3-48.9
Some post-H.S.,722,61.1,58.1-65.2
College graduate,788,73.1,70.5-76.7
Arkansas,,,
Less than H.S.,943,20.7,22.9-28.5
H.S. or G.E.D.,588,28.3,29.5-37.1
Some post-H.S.,119,52.8,49.0-66.7
College graduate,634,68.3,69.9-76.8
California,,,
Less than H.S.,462,22.0,18.2-25.7
H.S. or G.E.D.,62,39.9,27.8-52.1
Some post-H.S.,60,60.3,47.9-72.7
College graduate,125,70.8,62.8-78.7
Colorado,,,
Less than H.S.,253,30.4,23.8-35.0
H.S. or G.E.D.,268,39.3,32.5-44.1
Some post-H.S.,547,64.2,59.2-67.2
College graduate,646,71.7,67.2-74.2
Connecticut,,,
Less than H.S.,57,24.4,12.4-34.4
H.S. or G.E.D.,604,40.3,35.4-43.2
Some post-H.S.,233,60.5,53.2-65.8
College graduate,763,77.1,73.1-79.2
Delaware,,,
Less than H.S.,695,23.2,20.1-26.3
H.S. or G.E.D.,748,38.1,34.6-41.6
Some post-H.S.,588,61.2,57.3-65.1
College graduate,459,80.6,76.9-84.2
District of Columbia,,,
Less than H.S.,255,25.0,19.6-30.3
H.S. or G.E.D.,489,35.8,31.6-40.1
Some post-H.S.,633,65.5,61.8-69.2
College graduate,314,71.3,66.3-76.3
Florida,,,
Less than H.S.,858,25.6,22.7-28.5
H.S. or G.E.D.,920,33.1,30.1-36.2
Some post-H.S.,36,59.0,43.0-75.1
College graduate,807,75.6,72.6-78.6
Georgia,,,
Less than H.S.,855,27.2,24.2-30.2
H.S. or G.E.D.,193,39.5,32.6-46.4
Some post-H.S.,744,62.7,59.2-66.1
College graduate,462,74.1,70.1-78.1
Hawaii,,,
Less than H.S.,378,20.6,16.5-24.6
H.S. or G.E.D.,314,36.8,31.5-42.2
Some post-H.S.,189,61.6,54.7-68.6
College graduate,250,78.2,73.1-83.3
Idaho,,,
Less than H.S.,811,26.0,23.0-29.1
H.S. or G.E.D.,374,33.7,28.9-38.5
Some post-H.S.,134,64.0,55.8-72.1
College graduate,124,73.8,66.1-81.6
Illinois,,,
Less than H.S.,419,23.0,18.9-27.0
H.S. or G.E.D.,129,40.8,32.4-49.3
Some post-H.S.,397,66.1,61.4-70.7
College graduate,897,77.8,75.1-80.5
Indiana,,,
Less than H.S.,382,22.5,18.3-26.7
H.S. or G.E.D.,648,38.1,34.3-41.8
Some post-H.S.,300,64.0,58.6-69.4
College graduate,856,77.9,75.1-80.7
Iowa,,,
Less than H.S.,74,23.6,13.9-33.2
H.S. or G.E.D.,777,38.4,35.0-41.9
Some post-H.S.,500,59.7,55.4-64.0
College graduate,579,71.4,67.7-75.1
Kansas,,,
Less than H.S.,157,27.4,20.5-34.4
H.S. or G.E.D.,974,43.1,40.0-46.2
Some post-H.S.,417,62.8,58.1-67.4
College graduate,110,78.0,70.3-85.8
Kentucky,,,
Less than H.S.,595,26.1,22.6-29.6
H.S. or G.E.D.,330,37.1,31.9-42.3
Some post-H.S.,879,64.1,60.9-67.3
College graduate,673,79.6,76.6-82.7
Louisiana,,,
Less than H.S.,663,24.9,21.6-28.2
H.S. or G.E.D.,936,43.7,40.5-46.9
Some post-H.S.,912,55.1,51.9-58.4
College graduate,400,77.5,73.4-81.6
Maine,,,
Less than H.S.,621,25.3,21.8-28.7
H.S. or G.E.D.,226,38.1,31.8-44.4
Some post-H.S.,751,63.3,59.8-66.7
College graduate,101,69.0,60.0-78.1
Maryland,,,
Less than H.S.,76,25.3,14.7-34.0
H.S. or G.E.D.,707,41.1,36.5-43.7
Some post-H.S.,263,68.4,61.8-73.1
College graduate,821,74.4,70.4-76.5
Massachusetts,,,
Less than H.S.,326,23.6,18.0-27.1
H.S. or G.E.D.,111,38.5,28.5-46.5
Some post-H.S.,905,66.7,62.7-68.8
College graduate,268,77.0,70.9-81.1
Michigan,,,
Less than H.S.,917,23.4,20.7-26.2
H.S. or G.E.D.,133,40.5,32.2-48.9
Some post-H.S.,419,63.3,58.7-67.9
College graduate,314,77.9,73.3-82.5
Minnesota,,,
Less than H.S.,494,22.9,19.2-26.6
H.S. or G.E.D.,680,38.0,34.4-41.7
Some post-H.S.,884,61.8,58.6-65.0
College graduate,403,70.6,66.2-75.1
Mississippi,,,
Less than H.S.,196,25.9,19.8-32.0
H.S. or G.E.D.,409,39.8,35.0-44.5
Some post-H.S.,393,63.0,58.2-67.8
College graduate,244,74.3,68.8-79.8
Missouri,,,
Less than H.S.,716,20.8,17.8-23.7
H.S. or G.E.D.,303,37.7,32.3-43.2
Some post-H.S.,748,62.0,58.5-65.5
College graduate,989,72.6,69.8-75.4
Montana,,,
Less than H.S.,729,24.5,21.4-27.6
H.S. or G.E.D.,693,40.2,36.6-43.9
Some post-H.S.,103,68.7,59.7-77.6
College graduate,653,75.5,72.2-78.8
Nebraska,,,
Less than H.S.,680,25.8,22.5-29.1
H.S. or G.E.D.,205,38.8,32.1-45.4
Some post-H.S.,576,57.2,53.2-61.3
College graduate,776,74.9,71.9-78.0
Nevada,,,
Less than H.S.,280,25.2,20.1-30.3
H.S. or G.E.D.,197,46.4,39.4-53.4
Some post-H.S.,503,62.4,58.2-66.7
College graduate,418,75.9,71.8-80.0
New Hampshire,,,
Less than H.S.,306,24.9,20.1-29.7
H.S. or G.E.D.,977,35.5,32.5-38.5
Some post-H.S.,685,66.4,62.9-70.0
College graduate,734,77.3,74.2-80.3
New Mexico,,,
Less than H.S.,600,27.4,23.8-30.9
H.S. or G.E.D.,254,36.3,30.4-42.2
Some post-H.S.,731,67.2,63.8-70.6
College graduate,362,70.8,66.1-75.5
New York,,,
Less than H.S.,893,26.8,23.9-29.7
H.S. or G.E.D.,816,45.6,42.2-49.0
Some post-H.S.,824,60.0,56.7-63.4
College graduate,87,73.3,64.0-82.6
North Carolina,,,
Less than H.S.,264,25.3,20.1-30.5
H.S. or G.E.D.,871,37.5,34.3-40.7
Some post-H.S.,62,58.3,46.1-70.6
College graduate,854,75.2,72.3-78.1
North Dakota,,,
Less than H.S.,353,21.8,17.5-26.1
H.S. or G.E.D.,440,40.4,35.8-45.0
Some post-H.S.,304,60.2,54.7-65.7
College graduate,97,79.6,71.6-87.7
Ohio,,,
Less than H.S.,246,22.7,17.4-27.9
H.S. or G.E.D.,965,38.0,35.0-41.1
Some post-H.S.,995,65.4,62.5-68.4
College graduate,610,71.3,67.7-74.9
Oklahoma,,,
Less than H.S.,927,25.7,22.9-28.5
H.S. or G.E.D.,765,42.9,39.4-46.4
Some post-H.S.,352,58.2,53.0-63.3
College graduate,247,75.6,70.2-80.9
Oregon,,,
Less than H.S.,701,25.8,22.5-29.0
H.S. or G.E.D.,541,41.3,37.2-45.5
Some post-H.S.,435,59.3,54.7-63.9
College graduate,935,71.0,68.1-73.9
Pennsylvania,,,
Less than H.S.,966,26.6,23.8-29.4
H.S. or G.E.D.,688,39.9,36.2-43.5
Some post-H.S.,499,63.8,59.5-68.0
College graduate,176,76.0,69.7-82.3
Rhode Island,,,
Less than H.S.,301,23.0,18.2-27.7
H.S. or G.E.D.,172,39.7,32.4-47.0
Some post-H.S.,282,63.9,58.3-69.5
College graduate,792,72.9,69.8-76.0
South Carolina,,,
Less than H.S.,604,30.6,26.9-34.3
H.S. or G.E.D.,581,40.4,36.4-44.4
Some post-H.S.,299,59.4,53.9-65.0
College graduate,794,77.0,74.0-79.9
South Dakota,,,
Less than H.S.,628,22.1,18.8-25.3
H.S. or G.E.D.,468,41.4,36.9-45.8
Some post-H.S.,949,66.5,63.5-69.5
College graduate,627,72.5,69.0-76.0
Tennessee,,,
Less than H.S.,438,27.9,23.7-32.1
H.S. or G.E.D.,400,40.2,35.4-45.0
Some post-H.S.,254,65.5,59.6-71.3
College graduate,171,80.7,74.8-86.6
Texas,,,
Less than H.S.,551,24.3,20.7-27.8
H.S. or G.E.D.,535,36.7,32.7-40.8
Some post-H.S.,123,60.3,51.7-69.0
