Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,684,13.5,11.9-17.1
H.S. or G.E.D.,144,10.6,8.0-19.2
Some post-H.S.,55,23.9,11.0-32.9
College graduate,789,47.6,32.2-38.9
Alaska,,,
Less than H.S.,311,15.8,8.6-15.9
H.S. or G.E.D.,280,14.8,9.3-17.3
Some post-H.S.,258,31.2,19.5-30.0
College graduate,172,49.8,26.3-40.3
Arizona,,,
Less than H.S.,784,15.1,9.4-13.8
H.S. or G.E.D.,134,17.1,9.5-21.8
Some post-H.S.,722,25.1,15.8-21.4
College graduate,788,46.1,26.4-32.8
Arkansas,,,
Less than H.S.,943,12.7,11.5-15.9
H.S. or G.E.D.,588,5.3,6.0-10.5
Some post-H.S.,119,16.8,8.4-21.2
College graduate,634,41.3,25.8-32.9
California,,,
Less than H.S.,462,10.0,7.2-12.7
H.S. or G.E.D.,62,14.9,6.1-23.8
Some post-H.S.,60,17.3,7.7-26.8
College graduate,125,26.8,19.0-34.5
Colorado,,,
Less than H.S.,253,18.4,12.7-22.1
H.S. or G.E.D.,268,14.3,9.3-17.4
Some post-H.S.,547,21.2,16.8-23.6
College graduate,646,27.7,23.3-30.1
Connecticut,,,
Less than H.S.,57,12.4,3.1-19.6
H.S. or G.E.D.,604,15.3,11.5-17.1
Some post-H.S.,233,17.5,11.8-21.3
College graduate,763,33.1,28.8-35.4
Delaware,,,
Less than H.S.,695,11.2,8.9-13.5
H.S. or G.E.D.,748,13.1,10.7-15.5
Some post-H.S.,588,18.2,15.1-21.3
College graduate,459,36.6,32.2-41.0
District of Columbia,,,
Less than H.S.,255,13.0,8.8-17.1
H.S. or G.E.D.,489,10.8,8.1-13.6
Some post-H.S.,633,22.5,19.2-25.7
College graduate,314,27.3,22.4-32.3
Florida,,,
Less than H.S.,858,13.6,11.3-15.9
H.S. or G.E.D.,920,8.1,6.4-9.9
Some post-H.S.,36,16.0,4.0-28.0
College graduate,807,31.6,28.4-34.8
Georgia,,,
Less than H.S.,855,15.2,12.8-17.6
H.S. or G.E.D.,193,14.5,9.5-19.5
Some post-H.S.,744,19.7,16.8-22.5
College graduate,462,30.1,25.9-34.3
Hawaii,,,
Less than H.S.,378,8.6,5.7-11.4
H.S. or G.E.D.,314,11.8,8.3-15.4
Some post-H.S.,189,18.6,13.1-24.2
College graduate,250,34.2,28.3-40.1
Idaho,,,
Less than H.S.,811,14.0,11.6-16.4
H.S. or G.E.D.,374,8.7,5.9-11.6
Some post-H.S.,134,21.0,14.1-27.9
College graduate,124,29.8,21.8-37.9
Illinois,,,
Less than H.S.,419,11.0,8.0-14.0
H.S. or G.E.D.,129,15.8,9.5-22.1
Some post-H.S.,397,23.1,18.9-27.2
College graduate,897,33.8,30.7-36.9
Indiana,,,
Less than H.S.,382,10.5,7.4-13.6
H.S. or G.E.D.,648,13.1,10.5-15.7
Some post-H.S.,300,21.0,16.4-25.6
College graduate,856,33.9,30.8-37.1
Iowa,,,
Less than H.S.,74,11.6,4.3-18.8
H.S. or G.E.D.,777,13.4,11.0-15.8
Some post-H.S.,500,16.7,13.4-19.9
College graduate,579,27.4,23.8-31.0
Kansas,,,
Less than H.S.,157,15.4,9.8-21.1
H.S. or G.E.D.,974,18.1,15.7-20.5
Some post-H.S.,417,19.8,16.0-23.6
College graduate,110,34.0,25.2-42.9
Kentucky,,,
Less than H.S.,595,14.1,11.3-16.9
H.S. or G.E.D.,330,12.1,8.6-15.6
Some post-H.S.,879,21.1,18.4-23.8
College graduate,673,35.6,32.0-39.2
Louisiana,,,
Less than H.S.,663,12.9,10.3-15.4
H.S. or G.E.D.,936,18.7,16.2-21.2
Some post-H.S.,912,12.1,10.0-14.3
College graduate,400,33.5,28.8-38.1
Maine,,,
Less than H.S.,621,13.3,10.6-15.9
H.S. or G.E.D.,226,13.1,8.7-17.5
Some post-H.S.,751,20.3,17.4-23.2
College graduate,101,25.0,16.6-33.5
Maryland,,,
Less than H.S.,76,13.3,4.9-19.7
H.S. or G.E.D.,707,16.1,12.4-17.7
Some post-H.S.,263,25.4,19.2-29.6
College graduate,821,30.4,26.3-32.6
Massachusetts,,,
Less than H.S.,326,11.6,7.2-13.9
H.S. or G.E.D.,111,13.5,6.3-18.6
Some post-H.S.,905,23.7,20.0-25.5
College graduate,268,33.0,26.4-37.6
Michigan,,,
Less than H.S.,917,11.4,9.4-13.5
H.S. or G.E.D.,133,15.5,9.4-21.7
Some post-H.S.,419,20.3,16.4-24.1
College graduate,314,33.9,28.7-39.1
Minnesota,,,
Less than H.S.,494,10.9,8.1-13.6
H.S. or G.E.D.,680,13.0,10.5-15.5
Some post-H.S.,884,18.8,16.2-21.4
College graduate,403,26.6,22.3-30.9
Mississippi,,,
Less than H.S.,196,13.9,9.0-18.7
H.S. or G.E.D.,409,14.8,11.3-18.2
Some post-H.S.,393,20.0,16.1-24.0
College graduate,244,30.3,24.5-36.1
Missouri,,,
Less than H.S.,716,8.8,6.7-10.8
H.S. or G.E.D.,303,12.7,9.0-16.5
Some post-H.S.,748,19.0,16.2-21.8
College graduate,989,28.6,25.8-31.4
Montana,,,
Less than H.S.,729,12.5,10.1-14.9
H.S. or G.E.D.,693,15.2,12.5-17.9
Some post-H.S.,103,25.7,17.2-34.1
College graduate,653,31.5,28.0-35.1
Nebraska,,,
Less than H.S.,680,13.8,11.2-16.4
H.S. or G.E.D.,205,13.8,9.1-18.5
Some post-H.S.,576,14.2,11.4-17.1
College graduate,776,30.9,27.7-34.2
Nevada,,,
Less than H.S.,280,13.2,9.2-17.1
H.S. or G.E.D.,197,21.4,15.7-27.1
Some post-H.S.,503,19.4,16.0-22.9
College graduate,418,31.9,27.4-36.4
New Hampshire,,,
Less than H.S.,306,12.9,9.1-16.7
H.S. or G.E.D.,977,10.5,8.6-12.4
Some post-H.S.,685,23.4,20.3-26.6
College graduate,734,33.3,29.8-36.7
New Mexico,,,
Less than H.S.,600,15.4,12.5-18.3
H.S. or G.E.D.,254,11.3,7.4-15.2
Some post-H.S.,731,24.2,21.1-27.3
College graduate,362,26.8,22.2-31.4
New York,,,
Less than H.S.,893,14.8,12.4-17.1
H.S. or G.E.D.,816,20.6,17.8-23.3
Some post-H.S.,824,17.0,14.5-19.6
College graduate,87,29.3,19.7-38.9
North Carolina,,,
