Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,684,17.5,14.6-20.3
H.S. or G.E.D.,144,17.6,11.4-23.8
Some post-H.S.,55,31.9,19.6-44.3
College graduate,789,54.6,51.1-58.0
Alaska,,,
Less than H.S.,311,15.3,11.3-19.3
H.S. or G.E.D.,280,17.3,12.9-21.7
Some post-H.S.,258,34.7,28.9-40.5
College graduate,172,52.3,44.8-59.8
Arizona,,,
Less than H.S.,784,14.6,12.1-17.1
H.S. or G.E.D.,134,19.6,12.9-26.4
Some post-H.S.,722,28.6,25.3-31.9
College graduate,788,48.6,45.1-52.1
Arkansas,,,
Less than H.S.,943,16.7,14.3-19.1
H.S. or G.E.D.,588,12.3,9.6-14.9
Some post-H.S.,119,24.8,17.1-32.6
College graduate,634,48.3,44.4-52.2
California,,,
Less than H.S.,462,13.0,9.9-16.0
H.S. or G.E.D.,62,18.9,9.2-28.7
Some post-H.S.,60,27.3,16.0-38.5
College graduate,125,45.8,37.0-54.5
Colorado,,,
Less than H.S.,253,20.4,15.4-25.4
H.S. or G.E.D.,268,17.3,12.8-21.9
Some post-H.S.,547,30.2,26.4-34.1
College graduate,646,45.7,41.9-49.6
Connecticut,,,
Less than H.S.,57,14.4,5.3-23.5
H.S. or G.E.D.,604,18.3,15.2-21.4
Some post-H.S.,233,26.5,20.9-32.2
College graduate,763,51.1,47.6-54.7
Delaware,,,
Less than H.S.,695,14.2,11.6-16.8
H.S. or G.E.D.,748,17.1,14.4-19.8
Some post-H.S.,588,28.2,24.6-31.8
College graduate,459,55.6,51.0-60.1
District of Columbia,,,
Less than H.S.,255,16.0,11.5-20.5
H.S. or G.E.D.,489,14.8,11.7-18.0
Some post-H.S.,633,32.5,28.8-36.1
College graduate,314,46.3,40.8-51.9
Florida,,,
Less than H.S.,858,16.6,14.1-19.1
H.S. or G.E.D.,920,12.1,10.0-14.2
Some post-H.S.,36,26.0,11.7-40.3
College graduate,807,50.6,47.1-54.0
Georgia,,,
Less than H.S.,855,18.2,15.6-20.8
H.S. or G.E.D.,193,18.5,13.0-24.0
Some post-H.S.,744,29.7,26.4-32.9
College graduate,462,49.1,44.5-53.7
Hawaii,,,
Less than H.S.,378,11.6,8.3-14.8
H.S. or G.E.D.,314,15.8,11.8-19.9
Some post-H.S.,189,28.6,22.2-35.1
College graduate,250,53.2,47.0-59.4
Idaho,,,
Less than H.S.,811,17.0,14.4-19.6
H.S. or G.E.D.,374,12.7,9.3-16.1
Some post-H.S.,134,31.0,23.1-38.8
College graduate,124,48.8,40.0-57.6
Illinois,,,
Less than H.S.,419,14.0,10.6-17.3
H.S. or G.E.D.,129,19.8,13.0-26.7
Some post-H.S.,397,33.1,28.5-37.7
College graduate,897,52.8,49.5-56.1
Indiana,,,
Less than H.S.,382,13.5,10.1-16.9
H.S. or G.E.D.,648,17.1,14.2-20.0
Some post-H.S.,300,31.0,25.8-36.2
College graduate,856,52.9,49.6-56.3
Iowa,,,
Less than H.S.,74,14.6,6.5-22.6
H.S. or G.E.D.,777,17.4,14.8-20.1
Some post-H.S.,500,26.7,22.8-30.6
College graduate,579,46.4,42.3-50.5
Kansas,,,
Less than H.S.,157,18.4,12.4-24.5
H.S. or G.E.D.,974,22.1,19.5-24.7
Some post-H.S.,417,29.8,25.4-34.2
College graduate,110,53.0,43.7-62.3
Kentucky,,,
Less than H.S.,595,17.1,14.1-20.1
H.S. or G.E.D.,330,16.1,12.1-20.0
Some post-H.S.,879,31.1,28.0-34.1
College graduate,673,54.6,50.9-58.4
Louisiana,,,
Less than H.S.,663,15.9,13.1-18.7
H.S. or G.E.D.,936,22.7,20.0-25.4
Some post-H.S.,912,22.1,19.4-24.8
College graduate,400,52.5,47.6-57.4
Maine,,,
Less than H.S.,621,16.3,13.4-19.2
H.S. or G.E.D.,226,17.1,12.2-22.0
Some post-H.S.,751,30.3,27.0-33.6
College graduate,101,44.0,34.4-53.7
Maryland,,,
Less than H.S.,76,15.3,7.2-23.4
H.S. or G.E.D.,707,19.1,16.2-22.0
Some post-H.S.,263,34.4,28.7-40.2
College graduate,821,48.4,45.0-51.9
Massachusetts,,,
Less than H.S.,326,13.6,9.9-17.3
H.S. or G.E.D.,111,16.5,9.6-23.4
Some post-H.S.,905,32.7,29.7-35.8
College graduate,268,51.0,45.0-57.0
Michigan,,,
Less than H.S.,917,14.4,12.1-16.7
H.S. or G.E.D.,133,19.5,12.8-26.3
Some post-H.S.,419,30.3,25.9-34.7
College graduate,314,52.9,47.4-58.4
Minnesota,,,
Less than H.S.,494,13.9,10.8-16.9
H.S. or G.E.D.,680,17.0,14.2-19.8
Some post-H.S.,884,28.8,25.8-31.8
College graduate,403,45.6,40.7-50.5
Mississippi,,,
Less than H.S.,196,16.9,11.6-22.1
H.S. or G.E.D.,409,18.8,15.0-22.6
Some post-H.S.,393,30.0,25.5-34.5
College graduate,244,49.3,43.0-55.6
Missouri,,,
Less than H.S.,716,11.8,9.4-14.1
H.S. or G.E.D.,303,16.7,12.5-20.9
Some post-H.S.,748,29.0,25.7-32.2
College graduate,989,47.6,44.5-50.7
Montana,,,
Less than H.S.,729,15.5,12.9-18.1
H.S. or G.E.D.,693,19.2,16.3-22.1
Some post-H.S.,103,35.7,26.4-44.9
College graduate,653,50.5,46.7-54.4
Nebraska,,,
Less than H.S.,680,16.8,14.0-19.6
H.S. or G.E.D.,205,17.8,12.5-23.0
Some post-H.S.,576,24.2,20.7-27.7
College graduate,776,49.9,46.4-53.4
Nevada,,,
Less than H.S.,280,16.2,11.9-20.5
H.S. or G.E.D.,197,25.4,19.3-31.5
Some post-H.S.,503,29.4,25.4-33.4
College graduate,418,50.9,46.1-55.7
New Hampshire,,,
Less than H.S.,306,15.9,11.8-20.0
H.S. or G.E.D.,977,14.5,12.3-16.7
Some post-H.S.,685,33.4,29.9-37.0
College graduate,734,52.3,48.6-55.9
New Mexico,,,
Less than H.S.,600,18.4,15.3-21.5
H.S. or G.E.D.,254,15.3,10.8-19.7
Some post-H.S.,731,34.2,30.8-37.6
College graduate,362,45.8,40.7-50.9
New York,,,
Less than H.S.,893,17.8,15.3-20.3
H.S. or G.E.D.,816,24.6,21.6-27.5
Some post-H.S.,824,27.0,24.0-30.1
College graduate,87,48.3,37.8-58.8
North Carolina,,,
Less than H.S.,264,16.3,11.8-20.8
H.S. or G.E.D.,871,16.5,14.0-19.0
Some post-H.S.,62,25.3,14.5-36.2
College graduate,854,50.2,46.9-53.6
North Dakota,,,
Less than H.S.,353,12.8,9.3-16.3
H.S. or G.E.D.,440,19.4,15.7-23.1
Some post-H.S.,304,27.2,22.2-32.2
