Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,684,20.5,17.5-23.5
H.S. or G.E.D.,144,36.6,28.7-44.5
Some post-H.S.,55,65.9,53.4-78.5
College graduate,789,75.6,72.6-78.6
Alaska,,,
Less than H.S.,311,18.3,14.0-22.6
H.S. or G.E.D.,280,36.3,30.7-41.9
Some post-H.S.,258,68.7,63.1-74.4
College graduate,172,73.3,66.7-79.9
Arizona,,,
Less than H.S.,784,17.6,14.9-20.3
H.S. or G.E.D.,134,38.6,30.4-46.9
Some post-H.S.,722,62.6,59.1-66.1
College graduate,788,69.6,66.4-72.8
Arkansas,,,
Less than H.S.,943,19.7,17.2-22.3
H.S. or G.E.D.,588,31.3,27.5-35.0
Some post-H.S.,119,58.8,50.0-67.7
College graduate,634,69.3,65.7-72.9
California,,,
Less than H.S.,462,16.0,12.6-19.3
H.S. or G.E.D.,62,37.9,25.9-50.0
Some post-H.S.,60,61.3,49.0-73.6
College graduate,125,66.8,58.5-75.0
Colorado,,,
Less than H.S.,253,23.4,18.2-28.6
H.S. or G.E.D.,268,36.3,30.6-42.1
Some post-H.S.,547,64.2,60.2-68.2
College graduate,646,66.7,63.1-70.4
Connecticut,,,
Less than H.S.,57,17.4,7.5-27.2
H.S. or G.E.D.,604,37.3,33.5-41.2
Some post-H.S.,233,60.5,54.3-66.8
College graduate,763,72.1,68.9-75.3
Delaware,,,
Less than H.S.,695,17.2,14.4-20.0
H.S. or G.E.D.,748,36.1,32.7-39.6
Some post-H.S.,588,62.2,58.3-66.1
College graduate,459,76.6,72.7-80.4
District of Columbia,,,
Less than H.S.,255,19.0,14.1-23.8
H.S. or G.E.D.,489,33.8,29.6-38.0
Some post-H.S.,633,66.5,62.8-70.1
College graduate,314,67.3,62.2-72.5
Florida,,,
Less than H.S.,858,19.6,17.0-22.3
H.S. or G.E.D.,920,31.1,28.1-34.1
Some post-H.S.,36,60.0,44.0-76.0
College graduate,807,71.6,68.5-74.7
Georgia,,,
Less than H.S.,855,21.2,18.5-24.0
H.S. or G.E.D.,193,37.5,30.7-44.3
Some post-H.S.,744,63.7,60.2-67.1
College graduate,462,70.1,65.9-74.3
Hawaii,,,
Less than H.S.,378,14.6,11.0-18.1
H.S. or G.E.D.,314,34.8,29.6-40.1
Some post-H.S.,189,62.6,55.7-69.5
College graduate,250,74.2,68.7-79.6
Idaho,,,
Less than H.S.,811,20.0,17.3-22.8
H.S. or G.E.D.,374,31.7,27.0-36.4
Some post-H.S.,134,65.0,56.9-73.0
College graduate,124,69.8,61.8-77.9
Illinois,,,
Less than H.S.,419,17.0,13.4-20.6
H.S. or G.E.D.,129,38.8,30.4-47.2
Some post-H.S.,397,67.1,62.5-71.7
College graduate,897,73.8,70.9-76.7
Indiana,,,
Less than H.S.,382,16.5,12.8-20.2
H.S. or G.E.D.,648,36.1,32.4-39.8
Some post-H.S.,300,65.0,59.6-70.4
College graduate,856,73.9,71.0-76.9
Iowa,,,
Less than H.S.,74,17.6,8.9-26.2
H.S. or G.E.D.,777,36.4,33.1-39.8
Some post-H.S.,500,60.7,56.4-65.0
College graduate,579,67.4,63.6-71.2
Kansas,,,
Less than H.S.,157,21.4,15.0-27.9
H.S. or G.E.D.,974,41.1,38.0-44.2
Some post-H.S.,417,63.8,59.2-68.4
College graduate,110,74.0,65.8-82.2
Kentucky,,,
Less than H.S.,595,20.1,16.9-23.3
H.S. or G.E.D.,330,35.1,29.9-40.2
Some post-H.S.,879,65.1,61.9-68.2
College graduate,673,75.6,72.4-78.9
Louisiana,,,
Less than H.S.,663,18.9,15.9-21.9
H.S. or G.E.D.,936,41.7,38.5-44.9
Some post-H.S.,912,56.1,52.9-59.4
College graduate,400,73.5,69.1-77.8
Maine,,,
Less than H.S.,621,19.3,16.2-22.4
H.S. or G.E.D.,226,36.1,29.8-42.4
Some post-H.S.,751,64.3,60.8-67.7
College graduate,101,65.0,55.7-74.3
Maryland,,,
Less than H.S.,76,18.3,9.6-27.0
H.S. or G.E.D.,707,38.1,34.5-41.7
Some post-H.S.,263,68.4,62.8-74.1
College graduate,821,69.4,66.3-72.6
Massachusetts,,,
Less than H.S.,326,16.6,12.5-20.6
H.S. or G.E.D.,111,35.5,26.6-44.4
Some post-H.S.,905,66.7,63.7-69.8
College graduate,268,72.0,66.6-77.4
Michigan,,,
Less than H.S.,917,17.4,15.0-19.9
H.S. or G.E.D.,133,38.5,30.3-46.8
Some post-H.S.,419,64.3,59.7-68.9
College graduate,314,73.9,69.0-78.8
Minnesota,,,
Less than H.S.,494,16.9,13.6-20.2
H.S. or G.E.D.,680,36.0,32.4-39.6
Some post-H.S.,884,62.8,59.6-66.0
College graduate,403,66.6,62.0-71.2
Mississippi,,,
Less than H.S.,196,19.9,14.3-25.5
H.S. or G.E.D.,409,37.8,33.1-42.5
Some post-H.S.,393,64.0,59.3-68.8
College graduate,244,70.3,64.6-76.0
Missouri,,,
Less than H.S.,716,14.8,12.2-17.4
H.S. or G.E.D.,303,35.7,30.3-41.1
Some post-H.S.,748,63.0,59.5-66.4
College graduate,989,68.6,65.7-71.5
Montana,,,
Less than H.S.,729,18.5,15.7-21.3
H.S. or G.E.D.,693,38.2,34.6-41.8
Some post-H.S.,103,69.7,60.8-78.5
College graduate,653,71.5,68.1-75.0
Nebraska,,,
Less than H.S.,680,19.8,16.8-22.8
H.S. or G.E.D.,205,36.8,30.2-43.4
Some post-H.S.,576,58.2,54.2-62.3
College graduate,776,70.9,67.7-74.1
Nevada,,,
Less than H.S.,280,19.2,14.6-23.8
H.S. or G.E.D.,197,44.4,37.5-51.3
Some post-H.S.,503,63.4,59.2-67.6
College graduate,418,71.9,67.6-76.2
New Hampshire,,,
Less than H.S.,306,18.9,14.5-23.3
H.S. or G.E.D.,977,33.5,30.5-36.5
Some post-H.S.,685,67.4,63.9-70.9
College graduate,734,73.3,70.1-76.5
New Mexico,,,
Less than H.S.,600,21.4,18.1-24.7
H.S. or G.E.D.,254,34.3,28.4-40.1
Some post-H.S.,731,68.2,64.8-71.6
College graduate,362,66.8,61.9-71.6
New York,,,
Less than H.S.,893,20.8,18.1-23.4
H.S. or G.E.D.,816,43.6,40.2-47.0
Some post-H.S.,824,61.0,57.7-64.4
College graduate,87,69.3,59.6-79.0
North Carolina,,,
Less than H.S.,264,19.3,14.5-24.1
H.S. or G.E.D.,871,35.5,32.3-38.7
Some post-H.S.,62,59.3,47.1-71.6
College graduate,854,71.2,68.2-74.2
North Dakota,,,
Less than H.S.,353,15.8,12.0-19.6
H.S. or G.E.D.,440,38.4,33.9-43.0
Some post-H.S.,304,61.2,55.8-66.7
College graduate,97,75.6,67.1-84.2
Ohio,,,
Less than H.S.,246,16.7,12.0-21.3
H.S. or G.E.D.,965,36.0,33.0-39.1
Some post-H.S.,995,66.4,63.5-69.4
College graduate,610,67.3,63.6-71.0
Oklahoma,,,
Less than H.S.,927,19.7,17.1-22.2
H.S. or G.E.D.,765,40.9,37.4-44.4
Some post-H.S.,352,59.2,54.0-64.3
College graduate,247,71.6,65.9-77.2
Oregon,,,
Less than H.S.,701,19.8,16.8-22.7
H.S. or G.E.D.,541,39.3,35.2-43.5
Some post-H.S.,435,60.3,55.7-64.9
College graduate,935,67.0,64.0-70.1
Pennsylvania,,,
Less than H.S.,966,20.6,18.0-23.1
H.S. or G.E.D.,688,37.9,34.3-41.5
Some post-H.S.,499,64.8,60.6-68.9
College graduate,176,72.0,65.4-78.7
Rhode Island,,,
Less than H.S.,301,17.0,12.7-21.2
H.S. or G.E.D.,172,37.7,30.5-44.9
Some post-H.S.,282,64.9,59.3-70.5
College graduate,792,68.9,65.6-72.1
South Carolina,,,
Less than H.S.,604,24.6,21.2-28.0
H.S. or G.E.D.,581,38.4,34.5-42.4
Some post-H.S.,299,60.4,54.9-66.0
College graduate,794,73.0,69.9-76.1
South Dakota,,,
Less than H.S.,628,16.1,13.2-18.9
H.S. or G.E.D.,468,39.4,34.9-43.8
Some post-H.S.,949,67.5,64.5-70.5
College graduate,627,68.5,64.9-72.2
Tennessee,,,
Less than H.S.,438,21.9,18.0-25.8
