Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,684,17.5,19.4-25.6
H.S. or G.E.D.,144,29.6,26.8-42.4
Some post-H.S.,55,59.9,52.3-77.6
College graduate,789,72.6,74.7-80.5
Alaska,,,
Less than H.S.,311,19.8,15.8-24.8
H.S. or G.E.D.,280,33.8,28.7-39.9
Some post-H.S.,258,67.2,62.0-73.4
College graduate,172,74.8,68.9-81.7
Arizona,,,
Less than H.S.,784,19.1,16.8-22.4
H.S. or G.E.D.,134,36.1,28.5-44.8
Some post-H.S.,722,61.1,58.1-65.2
College graduate,788,71.1,68.5-74.8
Arkansas,,,
Less than H.S.,943,16.7,19.1-24.4
H.S. or G.E.D.,588,24.3,25.6-32.9
Some post-H.S.,119,52.8,49.0-66.7
College graduate,634,66.3,67.8-74.8
California,,,
Less than H.S.,462,18.0,14.5-21.5
H.S. or G.E.D.,62,35.9,24.0-47.9
Some post-H.S.,60,60.3,47.9-72.7
College graduate,125,68.8,60.6-76.9
Colorado,,,
Less than H.S.,253,26.4,20.0-30.8
H.S. or G.E.D.,268,35.3,28.6-40.0
Some post-H.S.,547,64.2,59.2-67.2
College graduate,646,69.7,65.2-72.3
Connecticut,,,
Less than H.S.,57,20.4,9.1-29.6
H.S. or G.E.D.,604,36.3,31.5-39.1
Some post-H.S.,233,60.5,53.2-65.8
College graduate,763,75.1,71.0-77.2
Delaware,,,
Less than H.S.,695,19.2,16.3-22.1
H.S. or G.E.D.,748,34.1,30.7-37.5
Some post-H.S.,588,61.2,57.3-65.1
College graduate,459,78.6,74.8-82.3
District of Columbia,,,
Less than H.S.,255,21.0,16.0-26.0
H.S. or G.E.D.,489,31.8,27.7-36.0
Some post-H.S.,633,65.5,61.8-69.2
College graduate,314,69.3,64.2-74.4
Florida,,,
Less than H.S.,858,21.6,18.9-24.4
H.S. or G.E.D.,920,29.1,26.2-32.1
Some post-H.S.,36,59.0,43.0-75.1
College graduate,807,73.6,70.5-76.6
Georgia,,,
Less than H.S.,855,23.2,20.4-26.0
H.S. or G.E.D.,193,35.5,28.8-42.3
Some post-H.S.,744,62.7,59.2-66.1
College graduate,462,72.1,68.0-76.2
Hawaii,,,
Less than H.S.,378,16.6,12.8-20.3
H.S. or G.E.D.,314,32.8,27.6-38.0
Some post-H.S.,189,61.6,54.7-68.6
College graduate,250,76.2,70.9-81.5
Idaho,,,
Less than H.S.,811,22.0,19.2-24.9
H.S. or G.E.D.,374,29.7,25.1-34.3
Some post-H.S.,134,64.0,55.8-72.1
College graduate,124,71.8,63.9-79.8
Illinois,,,
Less than H.S.,419,19.0,15.2-22.7
H.S. or G.E.D.,129,36.8,28.5-45.2
Some post-H.S.,397,66.1,61.4-70.7
College graduate,897,75.8,73.0-78.6
Indiana,,,
Less than H.S.,382,18.5,14.6-22.4
H.S. or G.E.D.,648,34.1,30.4-37.7
Some post-H.S.,300,64.0,58.6-69.4
College graduate,856,75.9,73.1-78.8
Iowa,,,
Less than H.S.,74,19.6,10.5-28.6
H.S. or G.E.D.,777,34.4,31.1-37.8
Some post-H.S.,500,59.7,55.4-64.0
College graduate,579,69.4,65.7-73.2
Kansas,,,
Less than H.S.,157,23.4,16.8-30.1
H.S. or G.E.D.,974,39.1,36.0-42.1
Some post-H.S.,417,62.8,58.1-67.4
College graduate,110,76.0,68.0-84.0
Kentucky,,,
Less than H.S.,595,22.1,18.8-25.4
H.S. or G.E.D.,330,33.1,28.0-38.1
Some post-H.S.,879,64.1,60.9-67.3
College graduate,673,77.6,74.5-80.8
Louisiana,,,
Less than H.S.,663,20.9,17.8-24.0
H.S. or G.E.D.,936,39.7,36.6-42.8
Some post-H.S.,912,55.1,51.9-58.4
College graduate,400,75.5,71.2-79.7
Maine,,,
Less than H.S.,621,21.3,18.0-24.5
H.S. or G.E.D.,226,34.1,27.9-40.3
Some post-H.S.,751,63.3,59.8-66.7
College graduate,101,67.0,57.9-76.2
Maryland,,,
Less than H.S.,76,21.3,11.3-29.4
H.S. or G.E.D.,707,37.1,32.5-39.6
Some post-H.S.,263,68.4,61.8-73.1
College graduate,821,72.4,68.4-74.5
Massachusetts,,,
Less than H.S.,326,19.6,14.4-22.8
H.S. or G.E.D.,111,34.5,24.7-42.3
Some post-H.S.,905,66.7,62.7-68.8
College graduate,268,75.0,68.7-79.2
Michigan,,,
Less than H.S.,917,19.4,16.9-22.0
H.S. or G.E.D.,133,36.5,28.4-44.7
