Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,19,8.5,4.3-12.6
H.S. or G.E.D.,70,7.7,5.6-9.9
Some post-H.S.,78,8.7,6.4-11.0
College graduate,147,12.8,10.6-15.1
Alaska,,,
Less than H.S.,15,5.9,2.4-9.3
H.S. or G.E.D.,154,13.8,11.3-16.3
Some post-H.S.,149,12.3,10.1-14.5
College graduate,198,12.6,10.5-14.7
Arizona,,,
Less than H.S.,66,15.0,10.5-19.5
H.S. or G.E.D.,163,12.2,9.6-14.7
Some post-H.S.,228,10.1,8.2-11.9
College graduate,274,11.5,9.7-13.3
Arkansas,,,
Less than H.S.,21,8.5,4.5-12.5
H.S. or G.E.D.,105,11.2,8.8-13.5
Some post-H.S.,110,13.1,10.5-15.7
College graduate,161,14.4,12.1-16.7
California,,,
Less than H.S.,88,14.0,10.8-17.3
H.S. or G.E.D.,175,9.8,8.1-11.6
Some post-H.S.,247,13.0,11.0-15.0
College graduate,472,12.3,10.8-13.7
Colorado,,,
Less than H.S.,77,14.6,11.1-18.0
H.S. or G.E.D.,169,11.0,9.2-12.8
Some post-H.S.,188,9.8,8.3-11.4
College graduate,571,14.5,13.3-15.7
Connecticut,,,
Less than H.S.,64,15.0,10.8-19.3
H.S. or G.E.D.,148,9.1,7.2-11.0
Some post-H.S.,177,10.0,8.2-11.8
College graduate,577,16.2,14.6-17.9
Delaware,,,
Less than H.S.,28,12.3,6.2-18.3
H.S. or G.E.D.,72,8.6,6.0-11.2
Some post-H.S.,69,7.5,5.4-9.6
College graduate,156,13.8,11.2-16.4
District of Columbia,,,
Less than H.S.,7,*,
H.S. or G.E.D.,38,13.4,8.5-18.3
Some post-H.S.,33,10.4,6.1-14.6
College graduate,184,9.3,7.8-10.8
Florida,,,
Less than H.S.,56,9.4,5.8-13.1
H.S. or G.E.D.,181,7.1,5.4-8.9
Some post-H.S.,258,9.2,7.3-11.2
College graduate,347,11.0,9.2-12.9
Georgia,,,
Less than H.S.,62,12.8,9.1-16.5
H.S. or G.E.D.,138,9.9,7.6-12.2
Some post-H.S.,185,11.4,9.4-13.4
College graduate,314,11.6,10.0-13.1
Hawaii,,,
Less than H.S.,20,10.8,5.3-16.2
H.S. or G.E.D.,215,12.4,10.4-14.3
Some post-H.S.,185,10.9,9.1-12.7
College graduate,306,12.9,11.2-14.6
Idaho,,,
Less than H.S.,33,11.4,7.3-15.5
H.S. or G.E.D.,154,11.9,9.9-13.9
Some post-H.S.,197,11.9,10.1-13.6
College graduate,275,15.0,13.2-16.8
Illinois,,,
Less than H.S.,46,14.3,8.8-19.7
H.S. or G.E.D.,88,10.1,7.7-12.6
Some post-H.S.,86,9.8,7.1-12.5
College graduate,215,14.5,12.3-16.6
Indiana,,,
Less than H.S.,63,11.7,8.6-14.7
H.S. or G.E.D.,221,10.5,9.0-11.9
Some post-H.S.,255,12.5,11.0-14.1
College graduate,358,12.5,11.2-13.9
Iowa,,,
Less than H.S.,83,10.8,7.5-14.0
H.S. or G.E.D.,191,9.7,8.0-11.4
Some post-H.S.,235,10.9,9.3-12.5
College graduate,309,14.5,12.8-16.2
Kansas,,,
Less than H.S.,35,12.3,7.9-16.7
H.S. or G.E.D.,199,10.5,8.7-12.3
Some post-H.S.,287,11.8,10.2-13.4
College graduate,476,14.5,13.1-16.0
Kentucky,,,
Less than H.S.,16,*,
H.S. or G.E.D.,100,9.4,7.2-11.6
Some post-H.S.,103,11.1,8.6-13.6
College graduate,126,11.8,9.5-14.2
Louisiana,,,
Less than H.S.,25,10.1,6.1-14.0
H.S. or G.E.D.,130,11.5,9.4-13.6
Some post-H.S.,139,11.7,9.6-13.7
College graduate,163,11.4,9.5-13.2
Maine,,,
