Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,51,10.4,7.2-13.6
H.S. or G.E.D.,140,10.3,8.3-12.2
Some post-H.S.,177,12.3,10.3-14.2
College graduate,211,13.5,11.6-15.4
Alaska,,,
Less than H.S.,10,*,
H.S. or G.E.D.,91,15.9,11.9-19.9
Some post-H.S.,85,12.3,8.9-15.7
College graduate,114,12.2,9.3-15.0
Arizona,,,
Less than H.S.,70,15.7,11.0-20.5
H.S. or G.E.D.,168,12.5,9.8-15.2
Some post-H.S.,203,10.9,8.8-12.9
College graduate,245,12.8,10.7-14.9
Arkansas,,,
Less than H.S.,23,10.0,5.1-14.9
H.S. or G.E.D.,110,12.0,9.5-14.5
Some post-H.S.,79,10.7,8.1-13.3
College graduate,108,13.0,10.4-15.6
California,,,
Less than H.S.,313,20.3,17.9-22.7
H.S. or G.E.D.,270,14.4,12.6-16.3
Some post-H.S.,271,11.6,9.9-13.2
College graduate,536,16.1,14.6-17.6
Colorado,,,
Less than H.S.,110,20.2,16.4-24.0
H.S. or G.E.D.,188,13.6,11.6-15.6
Some post-H.S.,195,10.9,9.3-12.5
College graduate,431,14.7,13.2-16.1
Connecticut,,,
Less than H.S.,39,13.0,8.9-17.1
H.S. or G.E.D.,128,10.4,8.4-12.5
Some post-H.S.,134,9.7,7.8-11.6
College graduate,388,13.4,11.9-14.8
Delaware,,,
Less than H.S.,57,10.9,7.2-14.6
H.S. or G.E.D.,104,13.0,9.9-16.1
Some post-H.S.,70,9.9,7.0-12.9
College graduate,147,14.2,11.4-17.0
District of Columbia,,,
Less than H.S.,11,15.9,6.7-25.0
H.S. or G.E.D.,40,13.5,9.2-17.9
Some post-H.S.,25,8.8,5.0-12.5
College graduate,127,10.1,8.3-12.0
Florida,,,
Less than H.S.,133,11.9,8.8-15.1
H.S. or G.E.D.,363,10.3,8.3-12.2
Some post-H.S.,365,10.4,8.3-12.5
College graduate,383,11.3,9.3-13.2
Georgia,,,
Less than H.S.,98,13.3,10.0-16.6
H.S. or G.E.D.,167,14.7,11.6-17.7
Some post-H.S.,167,13.9,11.0-16.9
College graduate,215,12.1,9.8-14.4
Hawaii,,,
Less than H.S.,27,11.4,6.2-16.5
H.S. or G.E.D.,214,12.7,10.7-14.7
Some post-H.S.,190,11.7,9.8-13.6
College graduate,300,13.1,11.5-14.7
Idaho,,,
Less than H.S.,37,11.3,6.9-15.6
H.S. or G.E.D.,137,13.1,10.3-15.9
Some post-H.S.,167,12.1,9.6-14.6
College graduate,186,13.3,10.7-15.8
Illinois,,,
Less than H.S.,42,10.3,7.1-13.5
H.S. or G.E.D.,119,11.6,9.3-13.8
Some post-H.S.,122,10.1,8.3-12.0
College graduate,273,14.5,12.8-16.2
Indiana,,,
Less than H.S.,64,15.5,11.5-19.4
H.S. or G.E.D.,176,10.2,8.6-11.9
Some post-H.S.,180,12.3,10.4-14.1
College graduate,309,14.6,13.0-16.3
Iowa,,,
Less than H.S.,60,12.7,9.2-16.2
H.S. or G.E.D.,217,10.0,8.6-11.3
Some post-H.S.,317,13.7,12.2-15.2
College graduate,360,14.9,13.3-16.4
Kansas,,,
Less than H.S.,34,10.3,6.5-14.1
H.S. or G.E.D.,225,11.2,9.6-12.7
Some post-H.S.,296,11.4,10.1-12.8
College graduate,471,15.7,14.3-17.1
Kentucky,,,
Less than H.S.,43,10.3,6.3-14.3
H.S. or G.E.D.,183,10.0,8.2-11.8
Some post-H.S.,224,14.3,11.8-16.8
College graduate,283,15.1,12.7-17.5
Louisiana,,,
Less than H.S.,35,9.8,6.1-13.5
H.S. or G.E.D.,128,10.9,8.7-13.2
Some post-H.S.,142,13.8,11.4-16.2
College graduate,178,14.8,12.5-17.1
Maine,,,
Less than H.S.,22,*,
H.S. or G.E.D.,159,8.6,6.8-10.4
Some post-H.S.,178,9.2,7.3-11.0
College graduate,287,11.8,10.1-13.4
Maryland,,,
Less than H.S.,100,18.6,14.6-22.6
H.S. or G.E.D.,303,11.7,10.1-13.2
Some post-H.S.,282,11.9,10.3-13.6
College graduate,765,16.7,15.3-18.0
Massachusetts,,,
Less than H.S.,27,7.2,4.3-10.0
H.S. or G.E.D.,116,9.8,7.8-11.7
Some post-H.S.,128,9.7,7.8-11.7
College graduate,358,13.8,12.3-15.3
Michigan,,,
Less than H.S.,30,9.6,5.8-13.4
H.S. or G.E.D.,198,10.1,8.5-11.6
Some post-H.S.,302,13.3,11.7-15.0
College graduate,392,13.5,12.0-14.9
Minnesota,,,
Less than H.S.,80,14.2,10.8-17.5
H.S. or G.E.D.,290,10.5,9.2-11.7
Some post-H.S.,452,11.9,10.7-13.1
College graduate,832,16.8,15.6-17.9
Mississippi,,,
Less than H.S.,40,8.0,5.0-11.1
H.S. or G.E.D.,96,8.1,6.3-9.9
Some post-H.S.,136,12.4,10.1-14.7
College graduate,155,15.5,13.0-18.0
Missouri,,,
Less than H.S.,40,13.1,8.5-17.8
H.S. or G.E.D.,136,9.1,7.2-10.9
Some post-H.S.,166,11.8,9.6-14.0
College graduate,223,15.1,12.9-17.4
Montana,,,
Less than H.S.,21,9.1,5.0-13.1
H.S. or G.E.D.,144,10.5,8.6-12.3
Some post-H.S.,189,12.4,10.5-14.3
College graduate,253,14.6,12.8-16.4
Nebraska,,,
Less than H.S.,115,13.5,10.4-16.7
H.S. or G.E.D.,348,10.6,9.2-12.0
Some post-H.S.,421,12.7,11.2-14.1
College graduate,569,17.3,15.7-18.9
Nevada,,,
Less than H.S.,40,16.1,10.7-21.5
H.S. or G.E.D.,72,14.0,10.1-17.8
Some post-H.S.,86,12.7,9.6-15.9
College graduate,94,12.9,9.9-15.9
New Hampshire,,,
Less than H.S.,17,12.9,6.0-19.8
