Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,70,14.9,11.0-18.9
H.S. or G.E.D.,276,17.7,15.3-20.1
Some post-H.S.,232,14.7,12.6-16.8
College graduate,288,16.0,14.0-17.9
Alaska,,,
Less than H.S.,12,*,
H.S. or G.E.D.,95,13.7,9.9-17.6
Some post-H.S.,79,10.4,7.4-13.4
College graduate,140,18.0,14.1-21.9
Arizona,,,
Less than H.S.,78,14.2,9.7-18.6
H.S. or G.E.D.,230,16.5,13.6-19.5
Some post-H.S.,289,14.6,12.2-17.0
College graduate,269,11.8,9.9-13.8
Arkansas,,,
Less than H.S.,43,12.2,7.9-16.6
H.S. or G.E.D.,163,15.4,12.8-18.0
Some post-H.S.,121,14.8,11.8-17.9
College graduate,144,16.5,13.6-19.4
California,,,
Less than H.S.,278,17.3,15.0-19.6
H.S. or G.E.D.,325,16.6,14.7-18.6
Some post-H.S.,372,15.5,13.7-17.3
College graduate,588,14.2,12.9-15.6
Colorado,,,
Less than H.S.,96,17.6,13.9-21.2
H.S. or G.E.D.,234,15.7,13.7-17.8
Some post-H.S.,258,13.6,11.8-15.3
College graduate,436,13.6,12.3-15.0
Connecticut,,,
Less than H.S.,56,17.7,13.0-22.4
H.S. or G.E.D.,198,14.6,12.3-17.0
Some post-H.S.,236,16.1,13.8-18.4
College graduate,419,13.9,12.4-15.4
Delaware,,,
Less than H.S.,50,12.8,8.3-17.2
H.S. or G.E.D.,130,15.2,12.2-18.3
Some post-H.S.,132,18.2,14.2-22.1
College graduate,160,14.0,11.2-16.9
District of Columbia,,,
Less than H.S.,12,*,
H.S. or G.E.D.,49,15.4,11.0-19.9
Some post-H.S.,53,16.1,11.4-20.8
College graduate,181,13.6,11.5-15.8
Florida,,,
Less than H.S.,182,13.0,9.3-16.7
H.S. or G.E.D.,488,14.3,12.1-16.6
Some post-H.S.,511,13.5,11.4-15.5
College graduate,499,15.0,12.8-17.2
Georgia,,,
Less than H.S.,102,14.6,10.7-18.6
H.S. or G.E.D.,221,14.7,12.1-17.2
Some post-H.S.,238,15.5,12.5-18.4
College graduate,290,16.0,13.4-18.6
Hawaii,,,
Less than H.S.,35,13.2,8.4-18.0
H.S. or G.E.D.,271,16.4,14.2-18.5
Some post-H.S.,219,14.4,12.2-16.6
College graduate,317,12.1,10.6-13.5
Idaho,,,
Less than H.S.,43,17.8,11.5-24.0
H.S. or G.E.D.,163,16.3,13.1-19.6
Some post-H.S.,202,13.6,11.0-16.2
College graduate,153,11.1,8.7-13.6
Illinois,,,
Less than H.S.,57,15.0,10.8-19.2
H.S. or G.E.D.,155,14.6,12.2-17.0
Some post-H.S.,165,14.3,12.0-16.5
College graduate,302,14.6,13.0-16.3
Indiana,,,
Less than H.S.,68,14.5,10.8-18.3
H.S. or G.E.D.,246,14.1,12.2-16.0
Some post-H.S.,243,14.6,12.7-16.5
College graduate,303,13.9,12.3-15.5
Iowa,,,
Less than H.S.,62,12.7,9.4-16.1
H.S. or G.E.D.,247,10.7,9.3-12.1
Some post-H.S.,344,14.1,12.6-15.6
College graduate,316,12.6,11.2-14.0
Kansas,,,
Less than H.S.,68,21.2,16.3-26.2
H.S. or G.E.D.,296,14.4,12.7-16.2
Some post-H.S.,383,14.8,13.3-16.3
College graduate,442,13.2,11.9-14.4
Kentucky,,,
Less than H.S.,70,15.4,10.9-19.9
H.S. or G.E.D.,321,16.9,14.5-19.4
Some post-H.S.,294,15.4,13.0-17.7
College graduate,328,14.3,12.2-16.4
Louisiana,,,
Less than H.S.,62,13.3,9.8-16.8
H.S. or G.E.D.,203,17.3,14.7-19.8
Some post-H.S.,169,17.3,14.5-20.1
College graduate,197,14.6,12.5-16.8
Maine,,,
Less than H.S.,37,13.7,7.5-20.0
H.S. or G.E.D.,254,10.8,9.0-12.6
Some post-H.S.,232,12.3,10.2-14.5
College graduate,306,11.8,10.0-13.5
Maryland,,,
Less than H.S.,116,19.0,14.9-23.1
H.S. or G.E.D.,468,16.9,15.0-18.9
Some post-H.S.,413,15.9,14.0-17.9
College graduate,767,13.6,12.4-14.8
Massachusetts,,,
Less than H.S.,52,16.5,11.5-21.4
H.S. or G.E.D.,154,13.0,10.8-15.2
Some post-H.S.,193,12.9,10.9-14.8
College graduate,382,12.9,11.5-14.3
Michigan,,,
Less than H.S.,34,12.2,7.7-16.8
H.S. or G.E.D.,255,13.0,11.3-14.7
Some post-H.S.,349,12.6,11.1-14.2
College graduate,418,13.3,11.9-14.7
Minnesota,,,
Less than H.S.,75,14.4,10.9-17.9
H.S. or G.E.D.,349,12.3,10.9-13.7
Some post-H.S.,471,12.1,11.0-13.3
College graduate,652,12.1,11.1-13.1
Mississippi,,,
Less than H.S.,56,9.7,6.7-12.7
H.S. or G.E.D.,168,15.1,12.5-17.8
Some post-H.S.,179,14.4,12.0-16.7
College graduate,172,15.5,13.0-18.1
Missouri,,,
Less than H.S.,40,10.4,6.6-14.2
H.S. or G.E.D.,208,13.4,11.2-15.5
Some post-H.S.,214,15.1,12.7-17.5
College graduate,221,11.3,9.6-13.1
Montana,,,
Less than H.S.,30,12.3,7.5-17.1
H.S. or G.E.D.,166,11.3,9.5-13.2
Some post-H.S.,203,12.7,10.9-14.6
College graduate,205,10.8,9.2-12.4
Nebraska,,,
Less than H.S.,121,17.1,13.6-20.7
H.S. or G.E.D.,419,13.1,11.5-14.7
Some post-H.S.,481,13.6,12.1-15.1
College graduate,461,12.0,10.6-13.3
Nevada,,,
Less than H.S.,48,19.1,13.3-24.9
H.S. or G.E.D.,92,19.4,15.1-23.7
Some post-H.S.,100,15.3,11.8-18.9
College graduate,107,16.7,12.3-21.0
New Hampshire,,,
Less than H.S.,14,*,
H.S. or G.E.D.,156,15.4,12.7-18.1
Some post-H.S.,127,13.1,10.5-15.8
College graduate,232,13.9,11.9-16.0
New Mexico,,,
Less than H.S.,75,16.3,12.2-20.3
H.S. or G.E.D.,173,15.6,12.9-18.3
Some post-H.S.,190,16.9,14.2-19.6
College graduate,188,12.7,10.5-14.9
New York,,,
