Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,283,71.5,65.2-77.7
H.S. or G.E.D.,921,68.2,64.6-71.7
Some post-H.S.,929,65.3,61.8-68.9
College graduate,"1,096",67.7,64.8-70.7
Alaska,,,
Less than H.S.,139,62.7,54.0-71.3
H.S. or G.E.D.,960,60.1,56.7-63.6
Some post-H.S.,"1,166",68.5,65.4-71.7
College graduate,"1,648",64.0,61.2-66.7
Arizona,,,
Less than H.S.,461,55.7,50.6-60.9
H.S. or G.E.D.,"1,911",63.0,60.0-65.9
Some post-H.S.,"2,858",69.5,67.1-71.9
College graduate,"3,867",70.2,68.3-72.2
Arkansas,,,
Less than H.S.,283,61.3,54.5-68.0
H.S. or G.E.D.,"1,328",67.8,64.8-70.9
Some post-H.S.,"1,093",67.8,64.5-71.0
College graduate,"1,334",66.5,63.7-69.3
California,,,
Less than H.S.,712,55.3,51.6-59.0
H.S. or G.E.D.,"1,508",61.7,58.8-64.5
Some post-H.S.,"2,281",68.7,66.2-71.2
College graduate,"4,113",69.1,66.9-71.3
Colorado,,,
Less than H.S.,275,48.2,42.8-53.7
H.S. or G.E.D.,"1,101",63.6,60.6-66.6
Some post-H.S.,"1,552",69.8,67.3-72.4
College graduate,"3,178",68.5,66.8-70.2
Connecticut,,,
Less than H.S.,285,55.3,48.9-61.8
H.S. or G.E.D.,"1,445",69.8,66.6-73.0
Some post-H.S.,"1,558",71.5,68.4-74.6
College graduate,"3,564",67.5,65.4-69.6
Delaware,,,
Less than H.S.,130,51.5,42.7-60.4
H.S. or G.E.D.,843,72.1,68.2-76.1
Some post-H.S.,806,70.8,66.5-75.1
College graduate,"1,443",66.2,62.7-69.7
District of Columbia,,,
Less than H.S.,76,71.2,58.6-83.8
H.S. or G.E.D.,334,63.1,55.7-70.5
Some post-H.S.,343,67.8,60.3-75.3
College graduate,"1,719",76.4,74.1-78.7
Florida,,,
Less than H.S.,591,62.3,55.7-68.8
H.S. or G.E.D.,"2,794",71.6,68.4-74.8
Some post-H.S.,"2,920",73.4,70.3-76.5
College graduate,"3,969",74.8,72.4-77.2
Georgia,,,
Less than H.S.,396,58.3,52.3-64.3
H.S. or G.E.D.,"1,551",65.1,61.8-68.3
Some post-H.S.,"1,481",67.2,64.1-70.3
College graduate,"2,528",64.8,62.4-67.2
Hawaii,,,
Less than H.S.,169,61.2,52.4-70.0
H.S. or G.E.D.,"1,235",61.1,57.8-64.4
Some post-H.S.,"1,603",66.4,63.5-69.3
College graduate,"2,653",69.8,67.6-72.0
Idaho,,,
Less than H.S.,277,55.2,49.2-61.2
H.S. or G.E.D.,"1,408",63.2,60.3-66.1
Some post-H.S.,"1,501",67.1,64.3-69.9
College graduate,"1,450",59.6,56.8-62.4
Illinois,,,
Less than H.S.,248,54.5,48.2-60.8
H.S. or G.E.D.,760,68.4,64.9-71.8
Some post-H.S.,873,70.8,67.1-74.4
College graduate,"1,783",67.3,64.8-69.7
Indiana,,,
Less than H.S.,404,54.1,49.3-58.9
H.S. or G.E.D.,"2,562",68.2,66.0-70.3
Some post-H.S.,"2,050",66.1,63.9-68.4
College graduate,"2,909",64.1,62.3-65.9
Iowa,,,
Less than H.S.,348,56.2,50.6-61.7
H.S. or G.E.D.,"1,986",69.9,67.6-72.2
Some post-H.S.,"1,833",67.0,64.5-69.4
College graduate,"1,969",63.2,60.9-65.4
Kansas,,,
Less than H.S.,239,61.9,55.3-68.5
H.S. or G.E.D.,"1,798",65.4,62.7-68.1
Some post-H.S.,"2,250",67.7,65.5-70.0
College graduate,"2,796",65.4,63.5-67.3
Louisiana,,,
Less than H.S.,345,64.4,58.4-70.4
H.S. or G.E.D.,"1,141",65.4,62.2-68.5
Some post-H.S.,"1,040",64.7,61.4-68.0
College graduate,"1,287",64.3,61.4-67.2
Maine,,,
Less than H.S.,339,74.5,67.8-81.2
H.S. or G.E.D.,"2,594",73.9,71.4-76.3
Some post-H.S.,"2,677",74.8,72.4-77.2
College graduate,"4,462",71.9,70.0-73.9
Maryland,,,
Less than H.S.,538,47.0,42.3-51.6
H.S. or G.E.D.,"3,186",66.1,63.4-68.8
Some post-H.S.,"2,820",67.6,64.9-70.3
College graduate,"6,112",65.7,64.0-67.4
Massachusetts,,,
Less than H.S.,277,54.5,47.6-61.3
H.S. or G.E.D.,"1,222",74.3,71.1-77.5
Some post-H.S.,"1,566",74.9,72.2-77.7
College graduate,"3,917",71.4,69.6-73.1
Michigan,,,
Less than H.S.,280,70.1,63.7-76.4
H.S. or G.E.D.,"1,953",69.3,66.7-71.9
Some post-H.S.,"2,113",72.3,69.9-74.6
College graduate,"3,270",68.4,66.5-70.3
Minnesota,,,
Less than H.S.,406,59.8,54.6-65.1
H.S. or G.E.D.,"2,642",69.3,66.9-71.7
Some post-H.S.,"3,507",69.4,67.1-71.6
College graduate,"5,384",66.0,64.4-67.6
Mississippi,,,
Less than H.S.,201,67.7,60.7-74.7
H.S. or G.E.D.,694,64.2,60.6-67.8
Some post-H.S.,794,63.5,60.3-66.8
College graduate,941,63.8,60.7-67.0
Missouri,,,
Less than H.S.,328,65.2,58.6-71.9
H.S. or G.E.D.,"1,681",67.9,64.9-70.8
Some post-H.S.,"1,495",70.5,67.6-73.4
College graduate,"1,878",67.4,64.8-70.0
Montana,,,
Less than H.S.,212,62.9,55.6-70.3
H.S. or G.E.D.,"1,356",69.0,66.1-71.9
Some post-H.S.,"1,578",71.8,69.1-74.5
College graduate,"2,270",69.4,67.2-71.5
Nebraska,,,
Less than H.S.,483,51.9,47.4-56.4
H.S. or G.E.D.,"2,725",68.5,66.3-70.7
Some post-H.S.,"2,768",68.2,66.1-70.4
College graduate,"3,116",64.2,62.3-66.1
Nevada,,,
Less than H.S.,62,47.6,35.5-59.8
H.S. or G.E.D.,488,64.0,58.4-69.6
Some post-H.S.,608,66.6,61.3-71.9
College graduate,778,67.3,62.5-72.0
New Hampshire,,,
Less than H.S.,177,71.7,62.3-81.2
H.S. or G.E.D.,"1,397",72.0,68.2-75.8
Some post-H.S.,"1,430",73.9,70.4-77.4
College graduate,"2,871",70.6,68.2-73.0
New Jersey,,,
Less than H.S.,287,55.6,50.0-61.2
H.S. or G.E.D.,"1,453",72.7,70.1-75.3
Some post-H.S.,"1,438",68.9,65.7-72.1
College graduate,"3,489",65.4,63.4-67.4
New Mexico,,,
Less than H.S.,215,62.5,54.6-70.4
H.S. or G.E.D.,621,71.0,65.9-76.1
