Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,339,67.3,61.7-72.8
H.S. or G.E.D.,"1,095",64.5,61.4-67.7
Some post-H.S.,"1,062",62.4,59.2-65.6
College graduate,"1,271",63.2,60.4-66.0
Alaska,,,
Less than H.S.,123,56.2,46.0-66.5
H.S. or G.E.D.,727,60.4,55.6-65.2
Some post-H.S.,780,65.7,61.0-70.3
College graduate,930,66.8,62.8-70.9
Arizona,,,
Less than H.S.,461,48.3,43.6-53.0
H.S. or G.E.D.,"1,696",60.7,57.9-63.5
Some post-H.S.,"2,285",65.7,63.3-68.1
College graduate,"2,852",68.6,66.5-70.7
Arkansas,,,
Less than H.S.,372,67.1,60.5-73.8
H.S. or G.E.D.,"1,372",68.4,65.0-71.7
Some post-H.S.,"1,103",63.3,59.6-67.0
College graduate,"1,247",64.1,60.8-67.5
California,,,
Less than H.S.,249,49.2,43.7-54.8
H.S. or G.E.D.,506,59.2,54.8-63.7
Some post-H.S.,890,68.1,64.3-71.8
College graduate,"1,642",67.3,64.5-70.1
Colorado,,,
Less than H.S.,321,46.0,41.5-50.5
H.S. or G.E.D.,"1,437",61.5,58.9-64.0
Some post-H.S.,"1,913",67.0,64.8-69.2
College graduate,"3,414",66.3,64.7-68.0
Connecticut,,,
Less than H.S.,350,61.0,54.9-67.2
H.S. or G.E.D.,"1,554",67.1,64.0-70.3
Some post-H.S.,"1,547",70.2,67.0-73.4
College graduate,"2,947",67.4,65.1-69.6
Delaware,,,
Less than H.S.,194,47.2,40.2-54.3
H.S. or G.E.D.,783,65.3,61.4-69.2
Some post-H.S.,702,65.9,61.8-70.1
College graduate,974,65.1,61.5-68.7
District of Columbia,,,
Less than H.S.,114,69.3,58.9-79.6
H.S. or G.E.D.,351,64.2,58.3-70.0
Some post-H.S.,392,68.4,62.4-74.4
College graduate,"1,774",78.6,76.6-80.6
Florida,,,
Less than H.S.,779,65.9,59.6-72.1
H.S. or G.E.D.,"2,443",68.2,64.2-72.1
Some post-H.S.,"2,611",69.9,66.6-73.2
College graduate,"3,045",69.7,66.6-72.8
Georgia,,,
Less than H.S.,629,57.2,51.6-62.8
H.S. or G.E.D.,"1,822",63.6,60.4-66.9
Some post-H.S.,"1,687",62.2,58.8-65.6
