Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,24,8.8,4.7-12.9
H.S. or G.E.D.,125,13.5,10.7-16.2
Some post-H.S.,130,12.6,10.2-15.1
College graduate,176,15.5,13.0-18.0
Alaska,,,
Less than H.S.,35,19.2,12.3-26.1
H.S. or G.E.D.,178,16.1,13.4-18.8
Some post-H.S.,186,13.4,11.2-15.6
College graduate,244,12.7,10.9-14.5
Arizona,,,
Less than H.S.,88,17.4,12.4-22.4
H.S. or G.E.D.,211,16.3,13.5-19.1
Some post-H.S.,310,13.9,11.8-15.9
College graduate,355,14.5,12.5-16.5
Arkansas,,,
Less than H.S.,23,10.7,6.0-15.4
H.S. or G.E.D.,151,13.1,10.8-15.4
Some post-H.S.,134,14.1,11.5-16.6
College graduate,164,12.6,10.5-14.7
California,,,
Less than H.S.,105,14.9,11.5-18.3
H.S. or G.E.D.,315,18.6,16.2-21.0
Some post-H.S.,308,13.8,11.9-15.7
College graduate,576,14.8,13.2-16.4
Colorado,,,
Less than H.S.,67,11.9,8.6-15.2
H.S. or G.E.D.,229,16.9,14.1-19.7
Some post-H.S.,287,14.3,12.5-16.2
College graduate,505,12.6,11.4-13.7
Connecticut,,,
Less than H.S.,74,16.7,12.1-21.2
H.S. or G.E.D.,229,13.2,11.0-15.4
Some post-H.S.,252,16.4,13.7-19.0
College graduate,510,12.9,11.5-14.3
Delaware,,,
Less than H.S.,41,17.4,11.3-23.5
H.S. or G.E.D.,128,15.1,12.1-18.2
Some post-H.S.,124,14.3,11.2-17.3
College graduate,161,12.4,10.0-14.9
District of Columbia,,,
Less than H.S.,12,*,
H.S. or G.E.D.,59,18.3,13.1-23.4
Some post-H.S.,45,15.1,9.7-20.4
College graduate,218,11.4,9.6-13.2
Florida,,,
Less than H.S.,78,10.3,6.3-14.3
H.S. or G.E.D.,290,11.3,9.1-13.5
Some post-H.S.,345,12.8,10.1-15.5
College graduate,424,13.3,11.3-15.2
Georgia,,,
Less than H.S.,77,16.8,12.4-21.2
H.S. or G.E.D.,248,16.2,13.8-18.6
Some post-H.S.,277,15.5,13.3-17.7
College graduate,392,14.4,12.7-16.2
Hawaii,,,
Less than H.S.,22,11.0,6.0-16.0
H.S. or G.E.D.,257,15.0,12.9-17.2
Some post-H.S.,265,15.5,13.4-17.7
College graduate,375,14.5,12.8-16.2
Idaho,,,
Less than H.S.,48,17.6,11.7-23.5
H.S. or G.E.D.,190,12.9,11.0-14.8
Some post-H.S.,182,11.0,9.3-12.8
College graduate,240,12.3,10.6-14.0
Illinois,,,
Less than H.S.,51,15.5,10.6-20.3
H.S. or G.E.D.,121,12.1,9.7-14.5
Some post-H.S.,131,14.9,12.0-17.8
College graduate,200,13.9,11.8-16.0
Indiana,,,
Less than H.S.,90,20.2,16.0-24.5
H.S. or G.E.D.,260,10.9,9.5-12.4
Some post-H.S.,301,13.9,12.2-15.6
College graduate,403,12.9,11.6-14.2
Iowa,,,
Less than H.S.,94,18.7,14.0-23.4
H.S. or G.E.D.,255,11.3,9.6-13.0
Some post-H.S.,261,13.0,11.2-14.7
College graduate,276,11.4,9.9-12.9
Kansas,,,
Less than H.S.,55,15.4,11.0-19.9
H.S. or G.E.D.,298,16.2,14.0-18.4
Some post-H.S.,340,13.9,12.2-15.6
College graduate,459,13.2,11.8-14.6
Kentucky,,,
Less than H.S.,36,12.5,7.8-17.1
H.S. or G.E.D.,133,12.8,10.1-15.5
Some post-H.S.,131,12.2,9.6-14.8
College graduate,131,12.3,9.8-14.9
Louisiana,,,
Less than H.S.,54,16.8,11.8-21.8
H.S. or G.E.D.,171,15.6,13.1-18.1
Some post-H.S.,205,16.6,14.2-19.0
College graduate,244,15.7,13.5-17.8
Maine,,,
Less than H.S.,29,13.2,7.7-18.7
H.S. or G.E.D.,225,11.3,9.5-13.2
Some post-H.S.,252,11.3,9.7-13.0
College graduate,356,10.5,9.2-11.8
Maryland,,,
Less than H.S.,136,17.1,13.6-20.6
H.S. or G.E.D.,418,15.7,13.7-17.7
Some post-H.S.,367,13.8,11.9-15.7
College graduate,840,14.5,13.2-15.7
Massachusetts,,,
Less than H.S.,72,13.4,9.7-17.1
H.S. or G.E.D.,258,14.8,12.5-17.1
Some post-H.S.,300,13.8,12.0-15.6
College graduate,627,12.3,11.1-13.4
Michigan,,,
Less than H.S.,52,20.8,15.0-26.6
H.S. or G.E.D.,231,13.6,11.8-15.5
Some post-H.S.,216,11.1,9.5-12.7
College graduate,390,12.1,10.8-13.3
Minnesota,,,
Less than H.S.,62,13.2,9.4-17.0
H.S. or G.E.D.,331,12.2,10.6-13.7
Some post-H.S.,469,12.7,11.4-14.0
College graduate,868,13.6,12.5-14.6
Mississippi,,,
Less than H.S.,45,12.3,7.7-16.9
H.S. or G.E.D.,144,15.1,12.2-18.0
Some post-H.S.,201,15.6,13.3-18.0
College graduate,205,16.8,14.2-19.4
Missouri,,,
Less than H.S.,51,16.0,11.2-20.9
H.S. or G.E.D.,224,13.4,11.1-15.7
Some post-H.S.,241,13.6,11.4-15.7
College graduate,274,12.5,10.8-14.3
Montana,,,
Less than H.S.,52,20.8,15.0-26.6
H.S. or G.E.D.,190,13.4,11.4-15.4
Some post-H.S.,191,11.4,9.6-13.1
College graduate,231,10.8,9.3-12.3
Nebraska,,,
Less than H.S.,70,17.1,12.4-21.8
H.S. or G.E.D.,193,13.1,10.9-15.4
Some post-H.S.,197,13.1,10.8-15.3
College graduate,218,12.8,10.8-14.7
Nevada,,,
Less than H.S.,33,14.5,9.0-20.1
H.S. or G.E.D.,92,16.1,12.4-19.9
Some post-H.S.,89,11.0,8.0-14.0
College graduate,132,15.7,12.2-19.3
New Hampshire,,,
Less than H.S.,10,*,
H.S. or G.E.D.,103,16.0,12.5-19.4
Some post-H.S.,105,12.7,10.0-15.4
College graduate,201,11.1,9.4-12.8
New Jersey,,,
Less than H.S.,65,17.5,12.9-22.2
H.S. or G.E.D.,198,13.6,11.4-15.7
Some post-H.S.,202,14.0,11.7-16.2
College graduate,513,15.1,13.6-16.6
New Mexico,,,
Less than H.S.,48,13.7,9.1-18.4
H.S. or G.E.D.,146,18.6,15.2-22.1
Some post-H.S.,133,14.7,11.7-17.7
College graduate,157,11.2,9.1-13.3
New York,,,
Less than H.S.,199,18.1,15.0-21.2
H.S. or G.E.D.,446,13.9,12.4-15.5
Some post-H.S.,435,13.5,11.9-15.2
College graduate,779,12.1,11.1-13.2
North Carolina,,,
Less than H.S.,51,12.7,8.7-16.7
H.S. or G.E.D.,136,13.9,11.2-16.7
Some post-H.S.,173,14.8,12.3-17.3
College graduate,214,13.3,11.3-15.3
North Dakota,,,
Less than H.S.,11,*,
H.S. or G.E.D.,82,12.6,9.9-15.3
Some post-H.S.,104,10.2,8.1-12.2
College graduate,135,12.4,10.3-14.5
Ohio,,,
Less than H.S.,65,10.4,7.2-13.6
H.S. or G.E.D.,464,11.4,10.1-12.8
Some post-H.S.,478,12.1,10.7-13.5
College graduate,680,13.7,12.5-15.0
Oklahoma,,,
Less than H.S.,49,15.5,11.2-19.9
H.S. or G.E.D.,145,11.7,9.7-13.8
Some post-H.S.,227,15.2,13.2-17.2
College graduate,220,14.1,12.1-16.1
Oregon,,,
Less than H.S.,39,13.7,8.9-18.4
H.S. or G.E.D.,118,12.0,9.6-14.5
Some post-H.S.,190,12.2,10.4-14.1
College graduate,259,11.8,10.3-13.3
Pennsylvania,,,
Less than H.S.,15,*,
H.S. or G.E.D.,160,15.0,12.2-17.9
Some post-H.S.,138,14.3,11.5-17.1
College graduate,211,12.5,10.3-14.6
Rhode Island,,,
Less than H.S.,48,13.3,9.0-17.6
H.S. or G.E.D.,119,13.7,10.5-16.8
Some post-H.S.,151,16.0,12.9-19.1
College graduate,275,13.1,11.4-14.9
South Carolina,,,
Less than H.S.,66,12.8,9.2-16.4
H.S. or G.E.D.,229,12.9,10.9-14.9
Some post-H.S.,253,14.6,12.6-16.6
College graduate,356,12.5,11.0-14.0
South Dakota,,,
Less than H.S.,28,*,
H.S. or G.E.D.,183,10.4,6.7-14.2
Some post-H.S.,215,9.5,6.1-12.9
College graduate,269,10.9,7.7-14.2
Tennessee,,,
Less than H.S.,37,11.6,7.2-16.0
H.S. or G.E.D.,194,15.2,12.7-17.7
Some post-H.S.,198,16.2,13.6-18.8
College graduate,240,15.4,13.2-17.6
Texas,,,
Less than H.S.,159,14.3,10.7-17.8
H.S. or G.E.D.,378,14.4,12.3-16.4
Some post-H.S.,417,13.3,11.4-15.2
College graduate,608,14.6,12.8-16.3
Utah,,,
Less than H.S.,55,12.3,8.6-15.9
H.S. or G.E.D.,265,13.3,11.5-15.2
Some post-H.S.,312,12.8,11.2-14.5
College graduate,422,11.9,10.6-13.3
Vermont,,,
Less than H.S.,22,14.1,7.3-20.9
H.S. or G.E.D.,171,13.2,10.8-15.5
Some post-H.S.,172,11.3,9.4-13.2
College graduate,483,12.7,11.5-13.9
Virginia,,,
Less than H.S.,54,13.5,9.3-17.7
H.S. or G.E.D.,252,17.3,14.9-19.7
Some post-H.S.,262,14.3,12.2-16.3
College graduate,539,14.5,13.1-16.0
Washington,,,
Less than H.S.,149,15.4,12.7-18.1
H.S. or G.E.D.,551,14.1,12.8-15.3
Some post-H.S.,679,13.3,12.2-14.4
College graduate,"1,271",13.2,12.4-14.0
West Virginia,,,
Less than H.S.,34,11.0,7.1-15.0
H.S. or G.E.D.,175,13.5,11.4-15.7
Some post-H.S.,146,14.7,12.2-17.2
College graduate,196,13.9,11.9-15.9
Wisconsin,,,
Less than H.S.,43,12.0,7.7-16.3
H.S. or G.E.D.,238,11.1,9.4-12.8
Some post-H.S.,306,12.2,10.6-13.8
College graduate,397,12.4,11.0-13.8
Wyoming,,,
Less than H.S.,17,14.2,7.4-21.0
H.S. or G.E.D.,97,13.1,10.4-15.8
Some post-H.S.,122,13.0,10.7-15.4
College graduate,156,14.4,12.2-16.7
Guam,,,
Less than H.S.,19,18.6,7.8-29.4
H.S. or G.E.D.,122,18.7,13.3-24.2
Some post-H.S.,88,18.1,12.3-24.0
College graduate,124,19.8,14.2-25.4
Puerto Rico,,,
Less than H.S.,28,4.2,2.3-6.0
H.S. or G.E.D.,144,14.2,11.2-17.2
Some post-H.S.,194,15.4,12.6-18.2
College graduate,310,18.4,15.8-21.0
Virgin Islands,,,
Less than H.S.,16,*,
H.S. or G.E.D.,69,14.0,6.8-21.2
Some post-H.S.,39,*,
College graduate,65,20.5,
