Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,36,13.8,8.6-19.0
H.S. or G.E.D.,126,14.3,11.4-17.2
Some post-H.S.,170,16.6,14.0-19.2
College graduate,171,13.2,11.0-15.2
Alaska,,,
Less than H.S.,31,15.8,9.0-22.7
H.S. or G.E.D.,183,15.8,12.9-18.8
Some post-H.S.,205,15.8,13.1-18.5
College graduate,217,11.9,9.8-13.9
Arizona,,,
Less than H.S.,88,15.3,11.6-18.9
H.S. or G.E.D.,282,15.9,13.8-18.1
Some post-H.S.,367,13.7,12.0-15.3
College graduate,387,12.1,10.7-13.6
Arkansas,,,
Less than H.S.,36,16.3,10.4-22.2
H.S. or G.E.D.,121,13.7,10.9-16.5
Some post-H.S.,137,16.0,13.0-19.0
College graduate,158,16.5,13.6-19.3
California,,,
Less than H.S.,147,18.2,15.0-21.4
H.S. or G.E.D.,188,18.2,15.3-21.1
Some post-H.S.,188,14.3,11.8-16.7
College graduate,342,14.2,12.4-16.0
Colorado,,,
Less than H.S.,116,17.5,14.2-20.8
H.S. or G.E.D.,261,14.8,12.9-16.6
Some post-H.S.,274,11.8,10.3-13.4
College graduate,612,14.6,13.3-15.9
Connecticut,,,
Less than H.S.,50,13.3,9.2-17.4
H.S. or G.E.D.,241,15.7,13.3-18.2
Some post-H.S.,232,12.9,10.8-15.0
College graduate,507,13.8,12.4-15.2
Delaware,,,
Less than H.S.,32,17.0,10.2-23.9
H.S. or G.E.D.,106,15.3,11.9-18.8
Some post-H.S.,120,16.1,12.7-19.6
College graduate,159,11.8,9.7-14.0
District of Columbia,,,
Less than H.S.,11,*,
H.S. or G.E.D.,54,17.0,11.9-22.2
Some post-H.S.,44,13.1,8.5-17.7
College graduate,210,10.9,9.3-12.5
Georgia,,,
Less than H.S.,76,14.9,10.6-19.1
H.S. or G.E.D.,210,15.8,12.9-18.8
Some post-H.S.,231,16.1,13.4-18.8
College graduate,312,12.8,11.0-14.6
Hawaii,,,
Less than H.S.,19,10.7,4.5-16.8
H.S. or G.E.D.,246,15.3,13.2-17.5
Some post-H.S.,237,12.5,10.6-14.3
College graduate,324,11.8,10.4-13.3
Idaho,,,
Less than H.S.,47,16.5,11.6-21.5
H.S. or G.E.D.,210,14.2,12.0-16.2
Some post-H.S.,223,11.8,10.1-13.6
College graduate,256,13.1,11.4-14.8
Illinois,,,
Less than H.S.,15,14.4,7.1-21.6
H.S. or G.E.D.,83,15.0,11.3-18.7
Some post-H.S.,78,11.5,8.6-14.3
College graduate,159,12.6,10.5-14.8
Indiana,,,
Less than H.S.,70,14.6,11.0-18.2
H.S. or G.E.D.,293,14.1,12.4-15.8
Some post-H.S.,260,13.4,11.7-15.2
College graduate,404,13.3,12.0-14.6
Iowa,,,
Less than H.S.,108,14.6,10.8-18.4
H.S. or G.E.D.,292,12.4,10.7-14.2
Some post-H.S.,266,12.3,10.6-14.0
College graduate,336,13.8,12.2-15.4
Kansas,,,
Less than H.S.,79,16.2,12.4-20.0
H.S. or G.E.D.,463,14.2,12.8-15.5
Some post-H.S.,548,13.0,11.8-14.2
College graduate,819,13.9,12.8-14.9
Kentucky,,,
Less than H.S.,30,9.7,5.3-14.0
H.S. or G.E.D.,169,12.8,10.5-15.1
Some post-H.S.,168,13.9,11.5-16.4
College graduate,157,10.8,8.8-12.8
Louisiana,,,
Less than H.S.,41,11.3,7.6-15.0
H.S. or G.E.D.,161,14.6,12.1-17.2
Some post-H.S.,181,17.4,14.7-20.1
College graduate,240,15.9,13.7-18.1
Maine,,,
Less than H.S.,35,12.2,6.7-17.8
H.S. or G.E.D.,277,12.1,10.3-13.8
Some post-H.S.,316,12.5,10.8-14.3
College graduate,412,11.1,9.8-12.4
Maryland,,,
Less than H.S.,121,18.8,14.7-22.9
H.S. or G.E.D.,429,17.1,15.0-19.2
Some post-H.S.,365,14.3,12.4-16.1
College graduate,818,14.4,13.1-15.6
Massachusetts,,,
Less than H.S.,29,8.1,4.7-11.4
H.S. or G.E.D.,170,13.5,11.2-15.8
Some post-H.S.,215,13.5,11.4-15.5
College graduate,401,12.0,10.6-13.4
Michigan,,,
Less than H.S.,42,13.7,9.3-18.0
H.S. or G.E.D.,231,12.9,11.1-14.6
Some post-H.S.,250,12.8,11.1-14.5
College graduate,367,12.0,10.7-13.3
Minnesota,,,
Less than H.S.,85,19.3,14.8-23.8
H.S. or G.E.D.,328,12.7,11.2-14.2
Some post-H.S.,469,11.8,10.6-12.9
College graduate,789,12.7,11.8-13.7
