Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,230,39.5,34.5-44.5
H.S. or G.E.D.,916,44.3,41.6-47.1
Some post-H.S.,957,49.0,46.2-51.8
College graduate,"1,418",66.0,63.5-68.5
Alaska,,,
Less than H.S.,30,19.8,11.3-28.2
H.S. or G.E.D.,376,43.4,38.3-48.6
Some post-H.S.,454,54.9,49.7-60.1
College graduate,731,64.8,60.5-69.2
Arizona,,,
Less than H.S.,254,43.6,37.3-50.0
H.S. or G.E.D.,935,41.3,37.7-44.8
Some post-H.S.,"1,407",48.3,45.3-51.4
College graduate,"1,931",62.9,60.3-65.6
Arkansas,,,
Less than H.S.,182,42.8,36.6-49.0
H.S. or G.E.D.,815,47.3,44.0-50.5
Some post-H.S.,708,52.3,48.6-56.0
College graduate,974,67.3,64.0-70.6
California,,,
Less than H.S.,825,50.5,47.7-53.3
H.S. or G.E.D.,758,40.5,37.9-43.2
Some post-H.S.,"1,045",42.6,40.2-45.0
College graduate,"2,632",62.8,61.1-64.5
Colorado,,,
Less than H.S.,275,45.4,40.9-49.9
H.S. or G.E.D.,795,41.5,38.9-44.2
Some post-H.S.,"1,182",49.8,47.5-52.2
College graduate,"2,648",65.6,63.9-67.3
Connecticut,,,
Less than H.S.,144,33.8,28.5-39.1
H.S. or G.E.D.,849,41.7,38.8-44.5
Some post-H.S.,995,44.8,41.9-47.6
College graduate,"2,671",64.5,62.5-66.4
Delaware,,,
Less than H.S.,140,40.9,33.6-48.2
H.S. or G.E.D.,412,44.3,40.2-48.4
Some post-H.S.,422,45.3,40.9-49.7
College graduate,866,65.4,62.0-68.9
District of Columbia,,,
Less than H.S.,21,20.2,11.7-28.7
H.S. or G.E.D.,58,10.6,7.6-13.6
Some post-H.S.,89,17.8,13.4-22.2
College graduate,671,42.0,39.0-45.1
Florida,,,
Less than H.S.,570,36.2,31.6-40.8
H.S. or G.E.D.,"2,003",43.4,40.4-46.5
Some post-H.S.,"2,238",46.2,43.3-49.0
College graduate,"2,940",62.6,59.8-65.4
Georgia,,,
Less than H.S.,296,41.0,35.6-46.4
H.S. or G.E.D.,772,43.0,39.5-46.6
Some post-H.S.,859,47.5,43.9-51.1
