Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,111,33.7,27.4-39.9
H.S. or G.E.D.,558,45.6,42.1-49.2
Some post-H.S.,646,51.3,47.9-54.7
College graduate,"1,054",64.7,61.8-67.6
Alaska,,,
Less than H.S.,71,30.6,22.6-38.5
H.S. or G.E.D.,559,39.3,35.4-43.1
Some post-H.S.,835,52.2,48.6-55.8
College graduate,"1,360",67.6,64.7-70.5
Arizona,,,
Less than H.S.,252,43.7,38.7-48.7
H.S. or G.E.D.,946,40.5,37.8-43.2
Some post-H.S.,"1,660",48.8,46.6-51.1
College graduate,"2,435",61.7,59.7-63.7
Arkansas,,,
Less than H.S.,144,44.4,37.4-51.4
H.S. or G.E.D.,791,47.8,44.4-51.3
Some post-H.S.,737,50.7,47.1-54.4
College graduate,"1,036",65.5,62.2-68.8
California,,,
Less than H.S.,413,48.8,44.9-52.8
H.S. or G.E.D.,426,40.3,36.7-44.0
Some post-H.S.,584,44.2,40.9-47.5
College graduate,"1,643",61.6,59.3-63.9
Colorado,,,
Less than H.S.,296,39.4,35.3-43.6
H.S. or G.E.D.,853,42.3,39.9-44.8
Some post-H.S.,"1,172",47.1,44.8-49.3
College graduate,"3,100",65.8,64.3-67.3
Connecticut,,,
Less than H.S.,139,39.6,32.9-46.2
H.S. or G.E.D.,736,39.1,36.1-42.2
Some post-H.S.,886,45.0,42.0-48.0
College graduate,"2,555",64.1,62.1-66.0
Delaware,,,
Less than H.S.,75,35.7,27.0-44.3
H.S. or G.E.D.,394,41.9,37.7-46.0
Some post-H.S.,462,48.9,44.7-53.0
College graduate,923,64.9,61.8-67.9
District of Columbia,,,
Less than H.S.,19,9.3,4.5-14.1
H.S. or G.E.D.,105,15.8,12.3-19.3
Some post-H.S.,114,22.8,17.7-27.8
College graduate,951,40.0,37.5-42.6
Georgia,,,
Less than H.S.,224,37.2,32.0-42.3
H.S. or G.E.D.,854,41.3,38.1-44.5
Some post-H.S.,"1,008",50.0,46.8-53.2
College graduate,"1,816",60.4,57.8-63.0
Hawaii,,,
Less than H.S.,77,44.6,35.6-53.7
H.S. or G.E.D.,791,40.1,37.3-42.9
Some post-H.S.,"1,102",54.2,51.4-57.0
College graduate,"2,012",63.5,61.4-65.6
Idaho,,,
Less than H.S.,161,40.1,34.1-46.1
H.S. or G.E.D.,777,48.2,45.4-51.2
Some post-H.S.,"1,243",59.6,57.1-62.1
College graduate,"1,629",73.1,71.0-75.2
Illinois,,,
Less than H.S.,36,37.6,26.6-48.6
H.S. or G.E.D.,272,41.7,37.3-46.2
Some post-H.S.,368,49.3,45.1-53.4
College graduate,871,61.0,58.1-63.9
Indiana,,,
Less than H.S.,202,34.0,29.5-38.5
H.S. or G.E.D.,"1,281",45.9,43.8-48.1
Some post-H.S.,"1,294",51.7,49.4-53.9
College graduate,"2,320",66.1,64.3-67.8
Iowa,,,
