Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,166,31.2,26.1-36.3
H.S. or G.E.D.,361,19.2,16.9-21.5
Some post-H.S.,301,17.3,15.1-19.5
College graduate,195,9.2,7.7-10.7
Alaska,,,
Less than H.S.,20,19.4,9.1-29.7
H.S. or G.E.D.,87,12.8,8.9-16.7
Some post-H.S.,102,15.7,11.2-20.2
College graduate,93,9.2,6.4-11.9
Arizona,,,
Less than H.S.,134,23.5,17.8-29.2
H.S. or G.E.D.,281,16.2,13.5-19.0
Some post-H.S.,320,12.0,10.0-14.0
College graduate,254,8.9,7.3-10.6
Arkansas,,,
Less than H.S.,90,22.9,17.4-28.3
H.S. or G.E.D.,222,16.9,14.2-19.6
Some post-H.S.,162,16.5,13.4-19.6
College graduate,84,6.9,5.2-8.7
California,,,
Less than H.S.,351,19.5,17.4-21.7
H.S. or G.E.D.,289,13.0,11.3-14.6
Some post-H.S.,357,11.9,10.5-13.3
College graduate,411,6.8,6.0-7.7
Colorado,,,
Less than H.S.,108,17.2,13.7-20.7
H.S. or G.E.D.,215,12.9,11.1-14.7
Some post-H.S.,312,13.9,12.3-15.6
College graduate,307,8.8,7.7-9.8
Connecticut,,,
Less than H.S.,66,17.3,13.0-21.6
H.S. or G.E.D.,184,9.7,8.0-11.4
Some post-H.S.,209,10.9,9.1-12.7
College graduate,266,7.2,6.1-8.3
Delaware,,,
Less than H.S.,98,17.6,13.1-22.0
H.S. or G.E.D.,124,11.7,9.1-14.4
Some post-H.S.,103,11.7,8.7-14.7
College graduate,87,5.6,4.0-7.3
District of Columbia,,,
Less than H.S.,16,12.0,5.6-18.3
H.S. or G.E.D.,52,13.9,9.4-18.4
Some post-H.S.,53,13.7,9.6-17.8
College graduate,98,7.8,6.0-9.7
Florida,,,
Less than H.S.,413,21.4,17.8-25.0
H.S. or G.E.D.,774,16.9,14.6-19.3
Some post-H.S.,777,17.8,15.3-20.3
College graduate,453,10.6,8.4-12.7
Georgia,,,
Less than H.S.,243,30.6,25.7-35.6
H.S. or G.E.D.,351,18.2,15.6-20.9
Some post-H.S.,337,18.4,15.6-21.3
College graduate,228,10.1,8.0-12.1
Hawaii,,,
Less than H.S.,58,19.8,13.9-25.6
H.S. or G.E.D.,199,9.4,7.8-11.0
Some post-H.S.,172,7.6,6.2-9.1
College graduate,163,4.4,3.6-5.3
Idaho,,,
Less than H.S.,82,27.2,20.2-34.2
H.S. or G.E.D.,207,15.1,12.2-18.0
Some post-H.S.,239,13.5,11.1-15.9
College graduate,156,10.6,8.2-13.0
Illinois,,,
