Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,293,75.5,69.3-81.7
H.S. or G.E.D.,"1,011",75.9,72.6-79.3
Some post-H.S.,"1,059",80.3,77.1-83.4
College graduate,"1,325",85.9,83.7-88.2
Alaska,,,
Less than H.S.,136,69.7,61.7-77.8
H.S. or G.E.D.,965,67.6,64.4-70.9
Some post-H.S.,"1,173",73.5,70.5-76.5
College graduate,"1,704",75.8,73.5-78.2
Arizona,,,
Less than H.S.,534,69.3,64.3-74.2
H.S. or G.E.D.,"1,909",66.9,64.0-69.8
Some post-H.S.,"2,971",77.8,75.6-79.9
College graduate,"4,084",79.4,77.6-81.1
Arkansas,,,
Less than H.S.,309,72.5,65.9-79.1
H.S. or G.E.D.,"1,421",77.7,75.0-80.5
Some post-H.S.,"1,217",80.8,78.1-83.6
College graduate,"1,527",82.7,80.4-84.9
California,,,
Less than H.S.,832,71.9,68.8-75.1
H.S. or G.E.D.,"1,612",73.7,71.3-76.2
Some post-H.S.,"2,297",75.2,72.9-77.4
College graduate,"4,152",75.8,73.9-77.7
Colorado,,,
Less than H.S.,326,64.5,59.4-69.6
H.S. or G.E.D.,"1,145",68.8,66.0-71.7
Some post-H.S.,"1,563",72.6,70.2-75.1
College graduate,"3,414",75.5,73.9-77.0
Connecticut,,,
Less than H.S.,367,76.0,71.0-81.0
H.S. or G.E.D.,"1,618",80.7,78.0-83.4
Some post-H.S.,"1,731",82.1,79.4-84.7
College graduate,"4,137",83.7,82.1-85.4
Delaware,,,
Less than H.S.,176,68.2,59.3-77.0
H.S. or G.E.D.,926,81.9,78.5-85.2
Some post-H.S.,907,83.7,80.3-87.2
College graduate,"1,617",84.1,81.5-86.6
District of Columbia,,,
Less than H.S.,78,84.4,75.3-93.6
H.S. or G.E.D.,362,76.6,70.1-83.1
Some post-H.S.,357,77.2,70.6-83.7
College graduate,"1,783",77.3,74.9-79.6
Florida,,,
Less than H.S.,624,69.4,62.9-75.9
H.S. or G.E.D.,"2,888",75.8,72.7-79.0
Some post-H.S.,"3,075",82.0,79.3-84.6
College graduate,"4,252",82.1,80.0-84.1
Georgia,,,
Less than H.S.,430,63.2,57.2-69.1
H.S. or G.E.D.,"1,721",76.8,74.0-79.7
Some post-H.S.,"1,638",76.8,74.0-79.7
College graduate,"3,002",82.4,80.6-84.3
Hawaii,,,
Less than H.S.,175,70.4,62.5-78.4
H.S. or G.E.D.,"1,437",75.8,73.1-78.5
Some post-H.S.,"1,776",77.8,75.3-80.4
College graduate,"2,866",81.4,79.5-83.2
Idaho,,,
Less than H.S.,306,64.8,58.9-70.8
H.S. or G.E.D.,"1,477",72.3,69.7-74.8
