Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,359,70.0,64.6-75.4
H.S. or G.E.D.,"1,206",76.2,73.4-79.0
Some post-H.S.,"1,224",77.5,74.7-80.3
College graduate,"1,486",79.8,77.4-82.1
Alaska,,,
Less than H.S.,117,58.0,47.9-68.2
H.S. or G.E.D.,696,63.7,59.0-68.4
Some post-H.S.,735,65.4,61.0-69.7
College graduate,893,67.8,63.8-71.7
Arizona,,,
Less than H.S.,542,65.1,60.5-69.7
H.S. or G.E.D.,"1,748",68.2,65.5-70.9
Some post-H.S.,"2,389",74.6,72.5-76.7
College graduate,"2,982",76.8,74.9-78.7
Arkansas,,,
Less than H.S.,393,79.7,74.3-85.1
H.S. or G.E.D.,"1,380",72.6,69.3-75.9
Some post-H.S.,"1,176",74.7,71.2-78.2
College graduate,"1,367",80.8,78.1-83.6
California,,,
Less than H.S.,333,65.4,60.2-70.5
H.S. or G.E.D.,551,67.0,62.9-71.2
Some post-H.S.,852,64.7,60.8-68.6
College graduate,"1,509",65.8,63.2-68.6
Colorado,,,
Less than H.S.,371,60.5,56.0-65.0
H.S. or G.E.D.,"1,423",65.0,62.5-67.4
Some post-H.S.,"1,805",67.2,65.0-69.4
College graduate,"3,478",71.6,70.1-73.1
Connecticut,,,
Less than H.S.,422,73.8,68.2-79.3
H.S. or G.E.D.,"1,731",79.2,76.5-81.9
Some post-H.S.,"1,719",79.1,76.4-81.8
College graduate,"3,237",78.7,76.8-80.7
Delaware,,,
Less than H.S.,284,66.7,60.0-73.4
H.S. or G.E.D.,929,78.7,75.4-82.1
Some post-H.S.,818,80.0,76.6-83.4
College graduate,"1,123",77.7,74.6-80.9
District of Columbia,,,
Less than H.S.,118,79.9,71.8-88.0
H.S. or G.E.D.,406,79.5,74.6-84.5
Some post-H.S.,406,76.7,71.5-81.9
College graduate,"1,613",66.3,63.7-68.8
Florida,,,
Less than H.S.,809,69.4,63.3-75.4
H.S. or G.E.D.,"2,528",75.3,72.3-78.4
Some post-H.S.,"2,813",78.4,75.7-81.2
College graduate,"3,229",79.9,77.5-82.4
Georgia,,,
Less than H.S.,725,73.8,68.9-78.7
H.S. or G.E.D.,"2,003",72.7,69.6-75.8
Some post-H.S.,"1,947",75.9,72.9-78.9
College graduate,"2,582",79.2,76.8-81.5
Hawaii,,,
Less than H.S.,161,73.0,65.8-80.1
H.S. or G.E.D.,"1,557",79.0,76.7-81.3
Some post-H.S.,"1,840",81.7,79.6-83.7
College graduate,"2,650",81.5,79.8-83.2
Idaho,,,
Less than H.S.,241,62.1,55.1-69.2
H.S. or G.E.D.,"1,101",67.4,64.1-70.7
Some post-H.S.,"1,521",73.9,71.2-76.6
College graduate,"1,427",74.9,72.1-77.7
Illinois,,,
Less than H.S.,116,77.1,67.6-86.7
H.S. or G.E.D.,716,78.4,75.2-81.7
Some post-H.S.,770,79.6,76.5-82.8
College graduate,"1,292",77.2,74.7-79.6
Indiana,,,
Less than H.S.,458,70.8,66.4-75.3
H.S. or G.E.D.,"2,178",75.6,73.5-77.6
Some post-H.S.,"1,771",76.7,74.5-79.0
College graduate,"2,244",77.0,75.1-78.8
Iowa,,,
Less than H.S.,367,73.8,69.0-78.5
H.S. or G.E.D.,"2,324",76.1,74.2-77.9
Some post-H.S.,"2,297",75.7,73.8-77.6
College graduate,"2,505",77.3,75.6-79.0
Kansas,,,
Less than H.S.,278,66.7,60.8-72.5
H.S. or G.E.D.,"2,050",73.6,71.5-75.8
Some post-H.S.,"2,451",74.6,72.6-76.5
College graduate,"3,312",77.1,75.5-78.7
Kentucky,,,
Less than H.S.,290,73.0,66.4-79.6
H.S. or G.E.D.,952,76.5,73.3-79.7
Some post-H.S.,873,74.7,71.6-77.9
College graduate,"1,020",79.5,76.7-82.3
Louisiana,,,
Less than H.S.,301,72.1,65.9-78.2
H.S. or G.E.D.,"1,151",79.6,76.9-82.4
Some post-H.S.,972,78.0,74.9-81.0
College graduate,"1,406",80.1,77.6-82.5
Maine,,,
Less than H.S.,335,74.9,67.9-82.0
H.S. or G.E.D.,"2,443",78.4,75.9-80.9
Some post-H.S.,"2,575",80.9,78.8-83.1
College graduate,"3,717",82.4,80.6-84.2
Maryland,,,
Less than H.S.,657,68.6,64.1-73.2
H.S. or G.E.D.,"3,055",78.3,76.1-80.4
Some post-H.S.,"2,628",78.8,76.7-80.9
College graduate,"5,061",77.5,76.0-78.9
Massachusetts,,,
Less than H.S.,232,80.4,74.4-86.3
H.S. or G.E.D.,"1,108",80.9,78.1-83.7
Some post-H.S.,"1,439",81.0,78.6-83.4
College graduate,"2,965",78.0,76.2-79.8
Michigan,,,
Less than H.S.,220,74.0,67.4-80.6
H.S. or G.E.D.,"1,381",76.0,73.5-78.6
Some post-H.S.,"1,711",77.3,75.1-79.5
College graduate,"2,385",77.3,75.4-79.2
Minnesota,,,
Less than H.S.,444,68.4,64.1-72.7
H.S. or G.E.D.,"2,703",70.8,69.1-72.6
Some post-H.S.,"3,531",72.2,70.7-73.8
College graduate,"4,768",72.4,71.1-73.7
Mississippi,,,
