Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,526,75.5,70.7-80.4
H.S. or G.E.D.,"1,839",83.8,81.5-86.1
Some post-H.S.,"1,836",87.8,85.8-89.8
College graduate,"2,162",94.6,93.4-95.7
Alaska,,,
Less than H.S.,106,80.5,70.4-90.6
H.S. or G.E.D.,738,86.1,81.9-90.2
Some post-H.S.,784,92.5,90.1-94.9
College graduate,"1,093",93.4,90.8-96.0
Arizona,,,
Less than H.S.,493,64.6,58.3-70.8
H.S. or G.E.D.,"1,862",82.6,79.6-85.6
Some post-H.S.,"2,625",89.1,87.1-91.2
College graduate,"3,072",93.7,92.3-95.2
Arkansas,,,
Less than H.S.,437,78.9,73.0-84.8
H.S. or G.E.D.,"1,614",83.6,80.8-86.4
Some post-H.S.,"1,313",87.9,85.1-90.7
College graduate,"1,542",95.3,93.8-96.8
California,,,
Less than H.S.,"1,198",70.4,67.9-72.8
H.S. or G.E.D.,"1,745",84.0,82.2-85.9
Some post-H.S.,"2,579",91.3,89.9-92.7
College graduate,"4,643",95.6,95.0-96.3
Colorado,,,
Less than H.S.,389,59.2,54.8-63.7
H.S. or G.E.D.,"1,601",82.7,80.6-84.7
Some post-H.S.,"2,243",90.3,88.8-91.8
College graduate,"4,113",95.6,94.9-96.4
Connecticut,,,
Less than H.S.,344,71.7,66.4-76.9
H.S. or G.E.D.,"1,902",90.2,88.5-91.9
Some post-H.S.,"2,103",94.2,92.6-95.7
College graduate,"4,234",96.8,96.1-97.4
Delaware,,,
Less than H.S.,223,61.4,54.7-68.1
H.S. or G.E.D.,924,89.9,87.4-92.3
Some post-H.S.,883,91.8,89.0-94.5
College graduate,"1,419",97.7,96.7-98.6
District of Columbia,,,
Less than H.S.,117,82.0,72.4-91.6
H.S. or G.E.D.,380,88.4,84.7-92.1
Some post-H.S.,408,90.7,87.2-94.2
College graduate,"1,539",95.8,94.4-97.2
Florida,,,
Less than H.S.,"1,249",69.0,64.4-73.6
H.S. or G.E.D.,"4,080",83.1,80.9-85.3
